Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,CurrentInfected_pc,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob,Nightlights_City,NightLights_Cidade de Deus,Nightlights_Pedra de Guaratiba,Nightlights_Copacabana,Night_lightsIpanema,Nightlights_Centro,Nightlights_Cidade Nova,Nightlights_Barra da Tijuca,Nightlights_Campo Grande
31,41.38390625,7.5,1068,609,5,213,42,813,6718903,0.090639796407241,0.090639796407241,0.121001895696366,-66,-18,-75,-60,-53,21,-41.8333333333333,-0.268,,-0.461,-0.413,-0.01,-0.567,-0.5,-0.291,-0.061
32,22.168128342246,7.5,1110,626,12,232,47,831,6718903,0.093169971348001,0.093169971348001,0.123680904457171,-66,-14,-78,-61,-53,21,-41.8333333333333,-0.332,-0.116,-0.159,0.151,0.035,0.133,0.107,-0.139,-0.176
33,25.2189361702128,7.5,1251,785,14,330,59,862,6718903,0.116834548735113,0.116834548735113,0.128294752878558,-62,1,-74,-58,-52,21,-37.3333333333333,,,,,,,,,
34,29.4901058201058,7.5,1449,1195,9,381,73,995,6718903,0.177856414953453,0.177856414953453,0.148089650944507,-79,-32,-79,-75,-73,28,-51.6666666666667,-0.113,,0.083,-0.24,-0.552,,,-0.308,0.027
35,32.60078125,7.5,1633,787,10,424,82,1127,6718903,0.117132216375203,0.117132216375203,0.167735715190411,-69,-14,-83,-58,-43,19,-41.3333333333333,-0.112,,,0.074,-0.217,0.089,0.155,-0.023,
36,27.202380952381,7.5,1808,899,6,496,92,1220,6718903,0.133801604220213,0.133801604220213,0.181577260454571,-74,-26,-85,-59,-34,16,-43.6666666666667,-0.319,,-0.417,-0.376,-0.075,-0.527,-0.592,-0.075,0.039
37,24.88203125,7.5,1905,1026,8,571,98,1236,6718903,0.152703499365894,0.152703499365894,0.183958601575287,-66,-26,-72,-60,-49,20,-42.1666666666667,0.26,,-0.215,,-0.225,0.046,-0.51,-0.039,0.026
38,25.7286033519553,7.5,1996,948,9,598,106,1292,6718903,0.141094461402405,0.141094461402405,0.192293295497792,-68,-30,-72,-62,-53,22,-43.8333333333333,-0.236,-0.265,-0.53,-0.402,-0.253,-0.147,-0.264,-0.134,-0.148
39,31.6124607329843,7.5,2322,1182,25,628,115,1579,6718903,0.175921575292871,0.175921575292871,0.235008601850629,-67,-23,-74,-62,-52,21,-42.8333333333333,0.107,0.19,-0.622,-0.129,-0.225,0.059,-0.17,-0.104,0.01
40,31.2244198895028,7.5,2393,1072,27,706,140,1547,6718903,0.159549855087951,0.159549855087951,0.230245919609198,-68,-25,-77,-63,-52,23,-43.6666666666667,0.054,,,,,,,,
41,23.6354891304348,7.5,2519,1044,28,745,167,1607,6718903,0.155382508126699,0.155382508126699,0.239175948811882,-65,-19,-73,-60,-51,23,-40.8333333333333,,,,,,,,,
42,25.3335329341317,7.5,2659,1083,24,774,195,1690,6718903,0.161187027108443,0.161187027108443,0.251529155875595,-68,-19,-80,-57,-39,18,-40.8333333333333,-0.304,,0.013,0.013,0.022,-0.376,0.1,-0.839,-0.028
43,22.7056886227545,7.5,2946,913,18,870,219,1857,6718903,0.135885277700839,0.135885277700839,0.276384403823065,-73,-27,-81,-61,-36,17,-43.5,-0.03,,,,,,,,
44,20.0361363636364,7.5,3059,2187,8,1119,237,1703,6718903,0.325499564437826,0.325499564437826,0.253463995536176,-62,-18,-72,-59,-49,19,-40.1666666666667,-0.265,0.135,-0.625,-0.346,-0.361,-0.406,-0.431,-0.179,-0.023
45,28.0519895287958,7.5,3127,1008,12,1347,245,1535,6718903,0.150024490605088,0.150024490605088,0.228459913768661,-77,-44,-72,-76,-72,27,-52.3333333333333,0.109,0.292,0.404,,-0.129,0.232,0.173,-0.119,0.132
46,28.9165680473373,7.5,3243,1263,26,1359,257,1627,6718903,0.187977114716495,0.187977114716495,0.242152625212777,-63,-15,-72,-60,-51,20,-40.1666666666667,0.031,0.247,0.251,-0.23,-0.097,-0.081,0.089,-0.136,0.087
47,21.7132142857143,7.5,3587,1160,20,1580,283,1724,6718903,0.172647231251887,0.172647231251887,0.256589505757115,-78,-41,-75,-75,-70,27,-52,-0.118,0.068,-0.066,-0.1,-0.046,-0.013,-0.027,-0.166,-0.071
48,19.6504191616766,7.5,3656,1280,19,1775,303,1578,6718903,0.190507289657255,0.190507289657255,0.234859768030585,-65,-20,-69,-60,-50,22,-40.3333333333333,0.016,0.056,-0.352,-0.252,-0.226,,,-0.085,-0.008
49,27.466582278481,7.5,4027,611,25,1888,322,1817,6718903,0.09093746404733,0.09093746404733,0.270431051021275,-69,-22,-77,-58,-38,18,-41,-0.077,0.058,0.118,-0.054,-0.228,-0.04,-0.132,-0.171,-0.085
50,26.1462179487179,7.5,4091,1261,20,1964,347,1780,6718903,0.187679447076405,0.187679447076405,0.26492419967962,-74,-29,-78,-63,-36,17,-43.8333333333333,0.031,0.196,0.147,-0.162,-0.023,0.179,-0.024,-0.02,0.17
51,23.5415568862275,7.5,4481,965,15,2394,367,1720,6718903,0.143624636343165,0.143624636343165,0.255994170476936,-65,-24,-72,-60,-48,20,-41.5,0.03,0.443,0.238,-0.292,-0.08,0.038,-0.092,-0.084,0.14
52,28.6081547619048,7.5,4498,1304,23,2505,382,1611,6718903,0.194079301338329,0.194079301338329,0.239771284092061,-67,-27,-74,-62,-52,22,-43.3333333333333,-0.117,0.16,-0.255,-0.251,-0.378,-0.031,-0.074,-0.192,0.009
53,32.1666285714286,7.5,5261,3611,51,2824,405,2032,6718903,0.537438924181522,0.537438924181522,0.302430322330892,-66,-23,-72,-62,-51,21,-42.1666666666667,-0.079,-0.215,-0.166,-0.058,-0.342,0.145,0.101,-0.037,-0.107
54,44.7603243243243,7.5,5554,995,40,3067,456,2031,6718903,0.148089650944507,0.148089650944507,0.302281488510848,-64,-14,-70,-59,-49,21,-39.1666666666667,-0.18,-0.156,-0.059,0.043,-0.294,0.204,-0.073,-0.133,-0.149
55,51.0522994652406,7.5,5689,1572,39,3467,496,1726,6718903,0.233966765110316,0.233966765110316,0.256887173397205,-78,-34,-70,-75,-71,28,-50,-0.047,0.133,0.297,0.004,-0.183,0.031,0.096,-0.102,0.01
56,44.3695857988166,7.5,5903,2016,39,3716,535,1652,6718903,0.300048981210177,0.300048981210177,0.245873470713895,-70,-20,-79,-59,-40,19,-41.5,0.172,0.408,,-0.196,0.047,-0.122,0.038,-0.119,0.266
57,20.6125,7.5,6189,1061,29,4027,574,1588,6718903,0.157912683067459,0.157912683067459,0.236348106231032,-77,-30,-87,-64,-38,18,-46.3333333333333,0.015,-0.09,0.016,-0.348,-0.061,-0.128,-0.101,-0.117,0.082
58,22.9009770114942,7.5,6448,823,28,4180,603,1665,6718903,0.122490233896813,0.122490233896813,0.247808310374476,-63,-14,-71,-58,-47,19,-39,0.071,,,,,0.139,0.358,,0.07
59,33.5027027027027,7.5,6750,1284,39,4224,631,1895,6718903,0.191102624937434,0.191102624937434,0.282040088984764,-64,-17,-70,-59,-50,21,-39.8333333333333,-0.126,-0.472,0.032,-0.051,-0.222,0.027,-0.316,-0.275,-0.118
60,42.4980952380952,7.5,7283,1606,43,4728,670,1885,6718903,0.239027114991837,0.239027114991837,0.280551750784317,-64,-13,-71,-59,-50,21,-39.3333333333333,-0.32,0.023,0.108,-0.071,-0.115,0.06,-0.013,-0.12,-0.103
61,13.0898958333333,7.5,7832,935,51,5137,713,1982,6718903,0.139159621741823,0.139159621741823,0.294988631328656,-68,-16,-78,-62,-52,23,-42.1666666666667,0.115,0.148,0.229,-0.217,-0.174,-0.049,0.012,-0.167,0.07
62,16.7294791666667,7.5,8577,893,155,5729,764,2084,6718903,0.132908601299944,0.132908601299944,0.310169680973218,-61,-3,-67,-56,-47,21,-35.5,,,,,,,,,
63,22.6812234042553,7.5,9051,1056,83,6168,919,1964,6718903,0.157168513967235,0.157168513967235,0.292309622567851,-64,1,-75,-50,-34,17,-34.1666666666667,-0.129,,-0.434,,,,,0.042,-0.02
64,19.943595505618,7.5,9672,758,90,6304,1002,2366,6718903,0.112816035593906,0.112816035593906,0.352140818225832,-71,-13,-81,-56,-22,14,-38.1666666666667,-0.128,-0.087,0.073,0.151,0.149,0.184,0.077,0.044,-0.227
65,23.588,7.5,10479,1483,34,7196,1092,2191,6718903,0.220720555126335,0.220720555126335,0.326094899718005,-64,-21,-70,-59,-47,19,-40.3333333333333,-0.113,0.014,0.036,0.135,-0.05,0.128,0.048,-0.023,-0.12
66,36.2553225806452,7.5,10520,914,46,7317,1126,2077,6718903,0.136034111520884,0.136034111520884,0.309127844232905,-67,-24,-71,-60,-50,22,-41.6666666666667,0.12,0.203,0.435,-0.13,-0.207,-0.042,0.049,-0.077,0.058
67,43.800985915493,7.5,10619,817,107,7499,1172,1948,6718903,0.121597230976545,0.121597230976545,0.289928281447135,-66,-22,-72,-61,-49,21,-41.5,0.126,0.297,0.266,-0.376,-0.252,0.018,0.217,-0.036,0.078
68,30.8550617283951,7.5,10816,769,84,7905,1279,1632,6718903,0.114453207614398,0.114453207614398,0.242896794313,-69,-25,-75,-63,-50,23,-43.1666666666667,-0.111,0.027,,-0.015,-0.342,0.123,0.039,-0.073,-0.082
69,16.2255414012739,7.5,11026,702,146,8171,1363,1492,6718903,0.104481341671401,0.104481341671401,0.222060059506738,-68,-21,-75,-63,-50,24,-42.1666666666667,0.027,,,,,,,,0.061
70,29.3117123287671,7.5,11264,1128,122,8505,1509,1250,6718903,0.167884549010456,0.167884549010456,0.186042275055913,-68,-15,-78,-56,-33,18,-38.6666666666667,,,,,,,,,
71,32.733950617284,7.5,11715,700,120,9132,1631,952,6718903,0.104183674031311,0.104183674031311,0.141689796682583,-73,-22,-79,-60,-29,17,-41,,,,,,,,,
72,36.4681875,7.5,12295,598,90,9674,1751,870,6718903,0.089002624386749,0.089002624386749,0.129485423438916,-64,-18,-70,-59,-45,19,-39.5,0.156,0.249,0.41,0.149,-0.121,-0.234,-0.031,-0.056,0.318
73,24.499125,7.5,12921,725,119,10322,1841,758,6718903,0.10790451953243,0.10790451953243,0.112816035593906,-65,-22,-70,-60,-48,21,-40.6666666666667,-0.14,0.051,-0.609,-0.475,-0.307,-0.616,-0.509,-0.142,-0.01
74,30.1099375,7.5,13443,646,175,10740,1960,743,6718903,0.096146647748896,0.096146647748896,0.110583528293235,-64,-16,-69,-59,-47,21,-39,-0.095,-0.164,-0.082,-0.131,-0.281,0.083,-0.07,-0.13,-0.011
75,36.0564670658683,7.5,14531,1000,114,11532,2135,864,6718903,0.148833820044731,0.148833820044731,0.128592420518647,-65,-18,-68,-59,-47,22,-39.1666666666667,-0.18,0.008,0.05,0.223,-0.162,0.244,0.159,-0.083,-0.213
76,37.1113903743315,7.5,17066,692,127,13843,2249,974,6718903,0.102993003470954,0.102993003470954,0.144964140723568,-62,-13,-62,-57,-44,21,-36.1666666666667,-0.11,0.045,0.153,0.023,-0.273,0.153,0.122,-0.133,-0.071
77,38.0588481675393,7.5,18743,790,144,15190,2376,1177,6718903,0.117578717835337,0.117578717835337,0.175177406192648,-66,-14,-74,-53,-29,16,-36.6666666666667,-0.022,,,-0.047,,-0.092,0.053,0.05,
78,23.702972972973,7.5,20161,486,182,16373,2520,1268,6718903,0.072333236541739,0.072333236541739,0.188721283816718,-77,-30,-88,-63,-32,17,-45.5,0.047,0.178,0.201,-0.251,0.051,-0.085,-0.107,-0.211,-0.042
79,26.208418079096,7.5,21043,320,53,17196,2702,1145,6718903,0.047626822414314,0.047626822414314,0.170414723951216,-62,-16,-69,-57,-44,19,-38.1666666666667,,,,,,,,,
80,28.5727083333333,7.5,21775,771,76,17911,2755,1109,6718903,0.114750875254487,0.114750875254487,0.165056706429606,-64,-19,-68,-58,-46,20,-39.1666666666667,,,,,,,,,
81,35.9580729166667,7.5,22466,574,147,18588,2831,1047,6718903,0.085430612705675,0.085430612705675,0.155829009586833,-63,-14,-69,-57,-45,20,-38,-0.17,0.033,-0.05,-0.251,0.021,0.015,0.07,-0.13,-0.195
82,34.5869791666667,7.5,23290,706,157,19192,2978,1120,6718903,0.10507667695158,0.10507667695158,0.166693878450098,-64,-15,-69,-58,-44,21,-38.1666666666667,0.016,0.194,0.378,-0.079,-0.033,0.01,0.054,-0.102,0.053
83,43.5863020833333,7.5,24750,568,158,19566,3135,2049,6718903,0.084537609785407,0.084537609785407,0.304960497271653,-59,-3,-60,-53,-41,19,-32.8333333333333,0.156,0.292,0.214,-0.376,-0.061,-0.174,-0.054,-0.058,0.149
84,42.5799479166667,7.5,25974,704,137,20252,3293,2429,6718903,0.10477900931149,0.10477900931149,0.36151734888865,-63,-6,-70,-48,-23,14,-32.6666666666667,-0.078,0.137,0.275,-0.137,-0.159,-0.099,-0.011,-0.176,-0.103
85,52.1069270833333,7.5,27311,451,95,22291,3430,1590,6718903,0.067124052840174,0.067124052840174,0.236645773871121,-69,-15,-71,-54,-19,13,-35.8333333333333,-0.17,-0.085,0.132,0.107,0.078,0.113,-0.22,-0.166,-0.196
86,63.9312169312169,7.5,28481,254,146,23493,3525,1463,6718903,0.037803790291362,0.037803790291362,0.217743878725441,-58,-10,-64,-53,-39,16,-34.6666666666667,-0.172,0.122,-0.017,0.156,-0.129,0.098,0.016,-0.159,-0.18
87,58.765625,4.5,30014,990,157,24791,3671,1552,6718903,0.147345481844283,0.147345481844283,0.230990088709422,-60,-12,-64,-54,-42,19,-35.5,-0.06,0.243,0.236,0.002,-0.405,0.122,-0.148,-0.083,0.021
88,55.0833333333333,4.5,31204,490,227,25760,3828,1616,6718903,0.072928571821918,0.072928571821918,0.240515453192284,-59,-9,-65,-53,-41,19,-34.6666666666667,0.124,0.325,0.517,0.104,-0.027,-0.088,0.059,-0.067,0.2
89,39.8541666666667,4.5,32951,564,176,27040,4055,1856,6718903,0.083942274505228,0.083942274505228,0.27623557000302,-60,-9,-66,-53,-41,20,-34.8333333333333,0.06,-0.039,-0.163,,,,,-0.178,0.053
90,25.390625,4.5,33695,436,78,27781,4231,1683,6718903,0.064891545539503,0.064891545539503,0.250487319135281,-54,3,-57,-48,-38,19,-29.1666666666667,-0.063,-0.124,-0.17,-0.049,-0.406,0.001,-0.246,-0.192,-0.038
91,30.875,4.5,35043,452,92,29025,4309,1709,6718903,0.067272886660218,0.067272886660218,0.254356998456444,-57,0,-66,-43,-20,14,-28.6666666666667,-0.059,0.041,-0.137,-0.496,-0.273,-0.39,-0.404,-0.086,-0.071
92,31.4375,4.5,35703,591,61,29838,4401,1464,6718903,0.087960787646436,0.087960787646436,0.217892712545485,-67,-13,-73,-51,-18,14,-34.6666666666667,0.046,,,,,,,,
93,37.8563829787234,4.5,36115,296,54,30245,4462,1408,6718903,0.04405481073324,0.04405481073324,0.209558018622981,-53,-6,-60,-48,-36,16,-31.1666666666667,0.061,0.25,0.18,-0.068,-0.254,-0.037,-0.02,-0.102,0.103
94,55.8817204301075,4.5,36893,492,83,30874,4516,1503,6718903,0.073226239462008,0.073226239462008,0.22369723152723,-55,-10,-60,-50,-39,18,-32.6666666666667,0.118,0.019,-0.442,-0.568,-0.533,-0.288,-0.205,-0.261,-0.084
95,54.1966292134832,4.5,37903,383,117,31886,4599,1418,6718903,0.057003353077132,0.057003353077132,0.211046356823428,-51,-1,-57,-47,-38,16,-29.6666666666667,-0.129,,-0.196,-0.38,-0.022,-0.336,-0.508,-0.192,-0.103
96,64.1197916666667,4.5,38960,905,134,32823,4716,1421,6718903,0.134694607140481,0.134694607140481,0.211492858283562,-64,-22,-55,-66,-61,24,-40.6666666666667,,,,,,,,,
97,72.2239583333333,4.5,40039,265,27,33709,4850,1480,6718903,0.039440962311854,0.039440962311854,0.220274053666201,-44,6,-45,-46,-39,17,-25.1666666666667,-0.449,,,,,,,,
98,68.90625,4.5,40504,339,116,34187,4877,1440,6718903,0.050454664995164,0.050454664995164,0.214320700864412,-54,-10,-58,-44,-18,13,-28.5,0.107,0.008,0.183,,-0.4,,,-0.165,0.041
99,49.5572916666667,4.5,41411,335,50,34503,4993,1915,6718903,0.049859329714985,0.049859329714985,0.285016765385659,-65,-20,-80,-53,-18,13,-37.1666666666667,0.061,-0.046,0.074,-0.355,-0.18,-0.142,-0.205,-0.102,0.054
100,30.4585635359116,4.5,41768,203,47,35388,5043,1337,6718903,0.03021326546908,0.03021326546908,0.198990817399805,-52,-11,-70,-50,-37,17,-33.8333333333333,-0.116,0.117,-0.085,-0.13,-0.29,-0.074,0.029,-0.122,-0.132
101,26.9341317365269,4.5,42385,627,149,35753,5090,1542,6718903,0.093318805168046,0.093318805168046,0.229501750508974,-52,-12,-63,-49,-39,18,-32.8333333333333,-0.038,,0.422,0.052,-0.055,,-0.81,-0.062,-0.152
102,26.5416666666667,4.7,43874,369,104,37354,5239,1281,6718903,0.054919679596506,0.054919679596506,0.1906561234773,-50,-8,-60,-48,-37,17,-31,-0.172,,0.236,,,,,,0.036
103,32.6011904761905,4.7,45978,288,165,38210,5343,2425,6718903,0.042864140172882,0.042864140172882,0.360922013608471,-52,-11,-57,-49,-37,18,-31.3333333333333,0.017,-0.595,-0.552,-0.033,-0.661,0.104,-0.439,-0.291,0.071
104,57.2095808383234,4.7,46255,300,124,39550,5508,1197,6718903,0.044650146013419,0.044650146013419,0.178154082593542,-48,-3,-49,-46,-34,17,-27.1666666666667,0.157,0.379,0.501,0.277,-0.031,-0.025,0.251,-0.008,0.276
105,63.9642857142857,4.7,48753,332,159,41366,5632,1755,6718903,0.049412828254851,0.049412828254851,0.261203354178502,-51,-5,-55,-41,-15,12,-25.8333333333333,0.025,,,,,,,,0.006
106,53.40625,4.7,50129,421,41,42501,5791,1837,6718903,0.062659038238832,0.062659038238832,0.27340772742217,-58,-13,-53,-47,-11,12,-28.3333333333333,-0.156,-0.103,0.046,-0.023,0.046,-0.027,-0.105,-0.088,-0.215
107,51.7225806451613,4.7,50430,164,43,43102,5832,1496,6718903,0.024408746487336,0.024408746487336,0.222655394786917,-49,-11,-53,-47,-35,15,-30,-0.243,-0.129,-0.133,0.071,-0.334,-0.134,-0.143,-0.324,-0.102
108,61.9821428571429,4.7,50922,320,125,43582,5875,1465,6718903,0.047626822414314,0.047626822414314,0.21804154636553,-51,-14,-54,-48,-38,18,-31.1666666666667,-0.093,0.138,0.15,0.037,-0.385,-0.007,-0.014,-0.154,-0.108
109,51.4916201117318,4.7,52325,306,87,44620,6000,1705,6718903,0.045543148933688,0.045543148933688,0.253761663176265,-50,-10,-54,-48,-36,17,-30.1666666666667,0.188,,0.23,-0.01,-0.14,,0.029,,0.183
110,57.9635416666667,4.7,53307,353,74,45532,6087,1688,6718903,0.05253833847579,0.05253833847579,0.251231488235505,-51,-10,-54,-48,-35,18,-30,0.047,,0.23,,0.352,-0.106,,0.137,0.037
111,38.5520833333333,4.7,54169,298,103,46676,6161,1332,6718903,0.04435247837333,0.04435247837333,0.198246648299581,-48,-4,-48,-44,-33,17,-26.6666666666667,-0.197,,,,,-0.088,-0.027,-0.244,-0.035
112,34.5511363636364,4.7,55152,319,102,47435,6264,1453,6718903,0.047477988594269,0.047477988594269,0.216255540524993,-54,-7,-67,-43,-17,13,-29.1666666666667,-0.156,0.133,0.17,0.133,-0.671,0.087,-0.056,-0.12,-0.119
113,20.2022471910112,4.7,55286,212,27,47601,6366,1319,6718903,0.031552769849483,0.031552769849483,0.196311808639,-61,-13,-70,-49,-13,13,-32.1666666666667,-0.086,-0.001,-0.646,-0.661,-0.603,-0.66,-0.575,-0.556,-0.023
114,17,4.7,56060,294,24,48248,6393,1419,6718903,0.043757143093151,0.043757143093151,0.211195190643473,-48,-9,-63,-47,-33,16,-30.6666666666667,0.047,0.161,-0.7,-0.253,-0.095,-0.057,0.02,-0.226,0.033
115,25.15625,4.7,56351,342,133,48800,6417,1134,6718903,0.050901166455298,0.050901166455298,0.168777551930724,-46,-4,-55,-45,-35,16,-28.1666666666667,-0.039,,0.17,-0.069,-0.092,,,0.127,-0.04
116,,4.8,56936,296,68,49311,6550,1075,6718903,0.04405481073324,0.04405481073324,0.159996356548085,-46,0,-59,-45,-34,16,-28,,,,,,,,,
117,,4.8,57879,733,71,50090,6618,1171,6718903,0.109095190092787,0.109095190092787,0.174284403272379,-44,2,-55,-44,-33,16,-26.3333333333333,,,,,,,,,
118,,4.8,58615,360,102,51045,6689,881,6718903,0.053580175216103,0.053580175216103,0.131122595459408,-39,7,-52,-41,-31,15,-23.5,,,,,,,,,
119,,4.8,59448,743,78,51449,6791,1208,6718903,0.110583528293235,0.110583528293235,0.179791254614034,-42,8,-63,-36,-12,11,-22.3333333333333,,,,,,,,,
