Date,PM10,Policy,Total Confirmed,New Cases,New Deaths,Recovered Population,Accumulative Deaths,Measured Current Infected,Population,New_Cases_pc,Active_Cases_pc,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob
57,20.6125,7.5,6189,286,29,4027,574,1588,6718903,0.042566472532793,0.236348106231032,-77,-30,-87,-64,-38,18,-46.3333333333333
58,22.9009770114942,7.5,6448,259,28,4180,603,1665,6718903,0.038547959391585,0.247808310374476,-63,-14,-71,-58,-47,19,-39
59,33.5027027027027,7.5,6750,302,39,4224,631,1895,6718903,0.044947813653509,0.282040088984764,-64,-17,-70,-59,-50,21,-39.8333333333333
60,42.4980952380952,7.5,7283,533,43,4728,670,1885,6718903,0.079328426083841,0.280551750784317,-64,-13,-71,-59,-50,21,-39.3333333333333
61,13.0898958333333,7.5,7832,549,51,5137,713,1982,6718903,0.081709767204557,0.294988631328656,-68,-16,-78,-62,-52,23,-42.1666666666667
62,16.7294791666667,7.5,8577,745,155,5729,764,2084,6718903,0.110881195933324,0.310169680973218,-61,-3,-67,-56,-47,21,-35.5
63,22.6812234042553,7.5,9051,474,83,6168,919,1964,6718903,0.070547230701202,0.292309622567851,-64,1,-75,-50,-34,17,-34.1666666666667
64,19.943595505618,7.5,9672,621,90,6304,1002,2366,6718903,0.092425802247778,0.352140818225832,-71,-13,-81,-56,-22,14,-38.1666666666667
65,23.588,7.5,10479,807,34,7196,1092,2191,6718903,0.120108892776098,0.326094899718005,-64,-21,-70,-59,-47,19,-40.3333333333333
66,36.2553225806452,7.5,10520,41,46,7317,1126,2077,6718903,0.006102186621834,0.309127844232905,-67,-24,-71,-60,-50,22,-41.6666666666667
67,43.800985915493,7.5,10619,99,107,7499,1172,1948,6718903,0.014734548184428,0.289928281447135,-66,-22,-72,-61,-49,21,-41.5
68,30.8550617283951,7.5,10816,197,84,7905,1279,1632,6718903,0.029320262548812,0.242896794313,-69,-25,-75,-63,-50,23,-43.1666666666667
69,16.2255414012739,7.5,11026,210,146,8171,1363,1492,6718903,0.031255102209393,0.222060059506738,-68,-21,-75,-63,-50,24,-42.1666666666667
70,29.3117123287671,7.5,11264,238,122,8505,1509,1250,6718903,0.035422449170646,0.186042275055913,-68,-15,-78,-56,-33,18,-38.6666666666667
71,32.733950617284,7.5,11715,451,120,9132,1631,952,6718903,0.067124052840174,0.141689796682583,-73,-22,-79,-60,-29,17,-41
72,36.4681875,7.5,12295,580,90,9674,1751,870,6718903,0.086323615625944,0.129485423438916,-64,-18,-70,-59,-45,19,-39.5
73,24.499125,7.5,12921,626,119,10322,1841,758,6718903,0.093169971348001,0.112816035593906,-65,-22,-70,-60,-48,21,-40.6666666666667
74,30.1099375,7.5,13443,522,175,10740,1960,743,6718903,0.077691254063349,0.110583528293235,-64,-16,-69,-59,-47,21,-39
75,36.0564670658683,7.5,14531,1088,114,11532,2135,864,6718903,0.161931196208667,0.128592420518647,-65,-18,-68,-59,-47,22,-39.1666666666667
76,37.1113903743315,7.5,17066,2535,127,13843,2249,974,6718903,0.377293733813392,0.144964140723568,-62,-13,-62,-57,-44,21,-36.1666666666667
77,38.0588481675393,7.5,18743,1677,144,15190,2376,1177,6718903,0.249594316215013,0.175177406192648,-66,-14,-74,-53,-29,16,-36.6666666666667
78,23.702972972973,7.5,20161,1418,182,16373,2520,1268,6718903,0.211046356823428,0.188721283816718,-77,-30,-88,-63,-32,17,-45.5
79,26.208418079096,7.5,21043,882,53,17196,2702,1145,6718903,0.131271429279452,0.170414723951216,-62,-16,-69,-57,-44,19,-38.1666666666667
80,28.5727083333333,7.5,21775,732,76,17911,2755,1109,6718903,0.108946356272743,0.165056706429606,-64,-19,-68,-58,-46,20,-39.1666666666667
81,35.9580729166667,7.5,22466,691,147,18588,2831,1047,6718903,0.102844169650909,0.155829009586833,-63,-14,-69,-57,-45,20,-38
82,34.5869791666667,7.5,23290,824,157,19192,2978,1120,6718903,0.122639067716858,0.166693878450098,-64,-15,-69,-58,-44,21,-38.1666666666667
83,43.5863020833333,7.5,24750,1460,158,19566,3135,2049,6718903,0.217297377265307,0.304960497271653,-59,-3,-60,-53,-41,19,-32.8333333333333
84,42.5799479166667,7.5,25974,1224,137,20252,3293,2429,6718903,0.18217259573475,0.36151734888865,-63,-6,-70,-48,-23,14,-32.6666666666667
85,52.1069270833333,7.5,27311,1337,95,22291,3430,1590,6718903,0.198990817399805,0.236645773871121,-69,-15,-71,-54,-19,13,-35.8333333333333
86,63.9312169312169,7.5,28481,1170,146,23493,3525,1463,6718903,0.174135569452335,0.217743878725441,-58,-10,-64,-53,-39,16,-34.6666666666667
87,58.765625,4.5,30014,1533,157,24791,3671,1552,6718903,0.228162246128572,0.230990088709422,-60,-12,-64,-54,-42,19,-35.5
88,55.0833333333333,4.5,31204,1190,227,25760,3828,1616,6718903,0.177112245853229,0.240515453192284,-59,-9,-65,-53,-41,19,-34.6666666666667
89,39.8541666666667,4.5,32951,1747,176,27040,4055,1856,6718903,0.260012683618144,0.27623557000302,-60,-9,-66,-53,-41,20,-34.8333333333333
90,25.390625,4.5,33695,744,78,27781,4231,1683,6718903,0.110732362113279,0.250487319135281,-54,3,-57,-48,-38,19,-29.1666666666667
91,30.875,4.5,35043,1348,92,29025,4309,1709,6718903,0.200627989420297,0.254356998456444,-57,0,-66,-43,-20,14,-28.6666666666667
92,31.4375,4.5,35703,660,61,29838,4401,1464,6718903,0.098230321229522,0.217892712545485,-67,-13,-73,-51,-18,14,-34.6666666666667
93,37.8563829787234,4.5,36115,412,54,30245,4462,1408,6718903,0.061319533858429,0.209558018622981,-53,-6,-60,-48,-36,16,-31.1666666666667
94,55.8817204301075,4.5,36893,778,83,30874,4516,1503,6718903,0.1157927119948,0.22369723152723,-55,-10,-60,-50,-39,18,-32.6666666666667
95,54.1966292134832,4.5,37903,1010,117,31886,4599,1418,6718903,0.150322158245178,0.211046356823428,-51,-1,-57,-47,-38,16,-29.6666666666667
96,64.1197916666667,4.5,38960,1057,134,32823,4716,1421,6718903,0.15731734778728,0.211492858283562,-64,-22,-55,-66,-61,24,-40.6666666666667
97,72.2239583333333,4.5,40039,1079,27,33709,4850,1480,6718903,0.160591691828264,0.220274053666201,-44,6,-45,-46,-39,17,-25.1666666666667
98,68.90625,4.5,40504,465,116,34187,4877,1440,6718903,0.0692077263208,0.214320700864412,-54,-10,-58,-44,-18,13,-28.5
99,49.5572916666667,4.5,41411,907,50,34503,4993,1915,6718903,0.134992274780571,0.285016765385659,-65,-20,-80,-53,-18,13,-37.1666666666667
100,30.4585635359116,4.5,41768,357,47,35388,5043,1337,6718903,0.053133673755969,0.198990817399805,-52,-11,-70,-50,-37,17,-33.8333333333333
101,26.9341317365269,4.5,42385,617,149,35753,5090,1542,6718903,0.091830466967599,0.229501750508974,-52,-12,-63,-49,-39,18,-32.8333333333333
102,26.5416666666667,4.7,43874,1489,104,37354,5239,1281,6718903,0.221613558046604,0.1906561234773,-50,-8,-60,-48,-37,17,-31
103,32.6011904761905,4.7,45978,2104,165,38210,5343,2425,6718903,0.313146357374113,0.360922013608471,-52,-11,-57,-49,-37,18,-31.3333333333333
104,57.2095808383234,4.7,46255,277,124,39550,5508,1197,6718903,0.04122696815239,0.178154082593542,-48,-3,-49,-46,-34,17,-27.1666666666667
105,63.9642857142857,4.7,48753,2498,159,41366,5632,1755,6718903,0.371786882471737,0.261203354178502,-51,-5,-55,-41,-15,12,-25.8333333333333
106,53.40625,4.7,50129,1376,41,42501,5791,1837,6718903,0.204795336381549,0.27340772742217,-58,-13,-53,-47,-11,12,-28.3333333333333
107,51.7225806451613,4.7,50430,301,43,43102,5832,1496,6718903,0.044798979833464,0.222655394786917,-49,-11,-53,-47,-35,15,-30
108,61.9821428571429,4.7,50922,492,125,43582,5875,1465,6718903,0.073226239462008,0.21804154636553,-51,-14,-54,-48,-38,18,-31.1666666666667
109,51.4916201117318,4.7,52325,1403,87,44620,6000,1705,6718903,0.208813849522757,0.253761663176265,-50,-10,-54,-48,-36,17,-30.1666666666667
110,57.9635416666667,4.7,53307,982,74,45532,6087,1688,6718903,0.146154811283925,0.251231488235505,-51,-10,-54,-48,-35,18,-30
111,38.5520833333333,4.7,54169,862,103,46676,6161,1332,6718903,0.128294752878558,0.198246648299581,-48,-4,-48,-44,-33,17,-26.6666666666667
112,34.5511363636364,4.7,55152,983,102,47435,6264,1453,6718903,0.14630364510397,0.216255540524993,-54,-7,-67,-43,-17,13,-29.1666666666667
113,20.2022471910112,4.7,55286,134,27,47601,6366,1319,6718903,0.019943731885994,0.196311808639,-61,-13,-70,-49,-13,13,-32.1666666666667
114,17,4.7,56060,774,24,48248,6393,1419,6718903,0.115197376714621,0.211195190643473,-48,-9,-63,-47,-33,16,-30.6666666666667
115,25.15625,4.7,56351,291,133,48800,6417,1134,6718903,0.043310641633017,0.168777551930724,-46,-4,-55,-45,-35,16,-28.1666666666667
116,,4.8,56936,585,68,49311,6550,1075,6718903,0.087067784726167,0.159996356548085,-46,0,-59,-45,-34,16,-28
117,,4.8,57879,943,71,50090,6618,1171,6718903,0.140350292302181,0.174284403272379,-44,2,-55,-44,-33,16,-26.3333333333333
118,,4.8,58615,736,102,51045,6689,881,6718903,0.109541691552922,0.131122595459408,-39,7,-52,-41,-31,15,-23.5
119,,4.8,59448,833,78,51449,6791,1208,6718903,0.123978572097261,0.179791254614034,-42,8,-63,-36,-12,11,-22.3333333333333
120,,4.8,60033,585,29,51938,6869,1226,6718903,0.087067784726167,0.18247026337484,-48,-1,-52,-41,-7,9,-23.3333333333333
121,,4.8,60233,200,26,52043,6898,1292,6718903,0.029766764008946,0.192293295497792,-37,2,-48,-40,-30,12,-23.5
122,,4.8,60596,363,131,52498,6924,1174,6718903,0.054026676676237,0.174730904732514,-38,2,-48,-40,-33,14,-23.8333333333333
123,,4.8,61658,1062,46,53348,7055,1255,6718903,0.158061516887504,0.186786444156137,-38,3,-48,-41,-32,13,-23.8333333333333
124,,5,62463,805,77,53903,7101,1459,6718903,0.119811225136008,0.217148543445262,-42,0,-54,-43,-31,15,-25.8333333333333
125,,5,63396,933,76,54768,7178,1450,6718903,0.138861954101734,0.215809039064859,-35,7,-45,-38,-29,13,-21.1666666666667
126,,5,64027,631,48,55407,7254,1366,6718903,0.093914140448225,0.203306998181102,-38,4,-49,-32,-9,9,-19.1666666666667
127,,5,64102,75,8,55519,7302,1281,6718903,0.011162536503355,0.1906561234773,-47,-6,-48,-40,-7,8,-23.3333333333333
128,,5,64110,8,45,55671,7310,1129,6718903,0.001190670560358,0.168033382830501,-38,-4,-46,-40,-29,12,-24.1666666666667
129,,5,64635,525,77,56139,7355,1141,6718903,0.078137755523484,0.169819388671038,-46,-14,-65,-46,-35,16,-31.6666666666667
130,,5,65121,486,68,56525,7432,1164,6718903,0.072333236541739,0.173242566532066,-43,-4,-66,-47,-33,16,-29.5
131,,5.5,65489,368,50,56671,7500,1318,6718903,0.054770845776461,0.196162974818955,-40,-2,-58,-43,-31,16,-26.3333333333333
132,,5.5,65571,82,71,57006,7550,1015,6718903,0.012204373243668,0.151066327345401,-33,4,-40,-37,-27,14,-19.8333333333333
133,,5.5,65696,125,69,57217,7621,858,6718903,0.018604227505591,0.127699417598379,-36,3,-49,-32,-9,10,-18.8333333333333
134,,5.5,66829,1133,13,58039,7690,1100,6718903,0.16862871811068,0.163717202049204,-43,-7,-41,-39,-6,9,-21.1666666666667
135,,5.5,66909,80,30,58122,7703,1084,6718903,0.011906705603579,0.161335860928488,-35,-1,-44,-39,-26,12,-22.1666666666667
136,,5.5,67036,127,63,58346,7733,957,6718903,0.018901895145681,0.142433965782807,-38,-7,-43,-41,-29,15,-23.8333333333333
137,,5.5,67121,85,91,58504,7796,821,6718903,0.012650874703802,0.122192566256724,-37,-2,-43,-40,-29,14,-22.8333333333333
138,,5.5,68334,1213,26,59347,7887,1100,6718903,0.180535423714258,0.163717202049204,-38,-3,-39,-40,-28,15,-22.1666666666667
139,,5.5,68510,176,28,59470,7913,1127,6718903,0.026194752327873,0.167735715190411,-33,4,-26,-35,-25,13,-17
140,,5.5,69456,946,63,60124,7941,1391,6718903,0.140796793762315,0.20702784368222,-35,3,-34,-30,-8,9,-15.8333333333333
141,,5.5,69546,90,19,60363,8004,1179,6718903,0.013395043804026,0.175475073832737,-43,-4,-40,-36,-6,8,-20.1666666666667
142,,5.5,69570,24,30,60420,8023,1127,6718903,0.003572011681074,0.167735715190411,-35,-2,-40,-38,-27,12,-21.6666666666667
143,,5.5,70370,800,71,60893,8053,1424,6718903,0.119067056035784,0.211939359743696,-38,-6,-35,-39,-30,14,-22.3333333333333
144,,5.5,70459,89,96,60744,8124,1591,6718903,0.013246209983981,0.236794607691166,-40,-3,-57,-41,-31,14,-26.3333333333333
145,,5.5,70692,233,50,60990,8220,1482,6718903,0.034678280070422,0.220571721306291,-48,-12,-66,-47,-33,17,-31.5
146,,5.5,70989,297,40,61011,8270,1708,6718903,0.044203644553285,0.2542081646364,-32,10,-47,-36,-27,14,-19.6666666666667
147,,5.7,71322,333,34,61464,8310,1548,6718903,0.049561662074895,0.230394753429243,-31,10,-48,-30,-8,9,-16.3333333333333
148,,5.7,71792,470,14,61937,8344,1511,6718903,0.069951895421023,0.224887902087588,-38,2,-36,-35,-6,8,-17.5
149,,5.7,71802,10,13,61967,8358,1477,6718903,0.001488338200447,0.219827552206067,-30,6,-40,-34,-26,11,-18.8333333333333
150,,5.7,72079,277,48,62392,8371,1316,6718903,0.04122696815239,0.195865307178865,-32,2,-38,-35,-29,13,-19.8333333333333
151,,5.7,72722,643,80,62700,8419,1603,6718903,0.095700146288762,0.238580613531703,-29,8,-37,-35,-27,12,-18
152,,5.7,73396,674,41,63238,8499,1659,6718903,0.100313994710148,0.246915307454208,-30,10,-33,-34,-26,13,-16.6666666666667
153,,5.7,73517,121,56,63321,8540,1656,6718903,0.018008892225412,0.246468805994074,-21,19,-19,-27,-23,11,-10
154,,5.7,73855,338,10,63712,8596,1547,6718903,0.050305831175119,0.230245919609198,-21,22,-29,-19,-5,6,-7.66666666666667
155,,5.7,74403,548,6,64065,8606,1732,6718903,0.081560933384512,0.257780176317473,-40,8,-43,-27,4,4,-15.6666666666667
156,,5.7,74421,18,10,64198,8612,1611,6718903,0.002679008760805,0.239771284092061,-29,3,-35,-33,-26,10,-18.3333333333333
157,,5.7,74674,253,43,64536,8622,1516,6718903,0.037654956471317,0.225632071187811,-32,-2,-30,-35,-28,13,-19
158,,5.7,76102,1428,45,65514,8665,1923,6718903,0.212534695023875,0.286207435946017,-31,2,-33,-36,-27,12,-18.8333333333333
159,,5.7,77627,1525,56,66661,8710,2256,6718903,0.226971575568214,0.335769098020912,-33,1,-28,-35,-26,13,-18
160,,5.7,78500,873,33,66957,8766,2777,6718903,0.12993192489905,0.413311518264217,-25,9,-15,-29,-24,11,-12.1666666666667
161,,5.7,79865,1365,14,68489,8799,2577,6718903,0.203158164361057,0.38354475425527,-29,6,-26,-25,-8,7,-12.5
162,,5.7,80565,700,13,69361,8813,2391,6718903,0.104183674031311,0.355861663726951,-41,-2,-55,-36,-9,8,-22.5
163,,5.7,80762,197,4,70409,8826,1527,6718903,0.029320262548812,0.227269243208303,-31,3,-43,-34,-25,11,-19.8333333333333
164,,5.7,80899,137,101,70726,8830,1343,6718903,0.020390233346128,0.199883820320073,-34,-2,-39,-36,-26,13,-20.6666666666667
165,,5.7,82188,1289,117,71685,8931,1572,6718903,0.191846794037658,0.233966765110316,-33,2,-38,-35,-25,12,-19.5
166,,5.7,83735,1547,79,73325,9048,1362,6718903,0.230245919609198,0.202711662900923,-38,-1,-54,-38,-26,14,-23.8333333333333
167,,5.7,84488,753,48,73906,9127,1455,6718903,0.112071866493682,0.216553208165083,-39,-1,-54,-38,-27,14,-24.1666666666667
168,,5.7,85488,1000,31,74771,9175,1542,6718903,0.148833820044731,0.229501750508974,-43,-3,-73,-42,-15,13,-27.1666666666667
169,,5.7,86419,931,25,75331,9206,1882,6718903,0.138564286461644,0.280105249324183,-42,-2,-57,-39,-8,10,-23
170,,5.7,86767,348,85,75882,9231,1654,6718903,0.051794169375566,0.246171138353984,-33,2,-46,-35,-23,11,-20.6666666666667
171,,5.7,87164,397,88,76608,9316,1240,6718903,0.059087026557758,0.184553936855466,-34,0,-43,-36,-26,13,-21
172,,5.7,87748,584,64,77000,9404,1344,6718903,0.086918950906123,0.200032654140118,-33,3,-44,-36,-24,12,-20.3333333333333
173,,5.7,88699,951,98,77680,9468,1551,6718903,0.141540962862539,0.230841254889377,-34,3,-35,-34,-23,12,-18.5
174,,5.7,89434,735,32,78164,9566,1704,6718903,0.109392857732877,0.253612829356221,-25,10,-17,-29,-20,10,-11.8333333333333
175,,5.7,90130,696,30,78757,9598,1775,6718903,0.103588338751132,0.264180030579397,-27,7,-23,-23,-4,6,-10.6666666666667
176,,5.7,90263,133,6,78855,9628,1780,6718903,0.019794898065949,0.26492419967962,-34,2,-11,-27,-4,5,-11.5
177,,5.7,90345,82,29,79067,9634,1644,6718903,0.012204373243668,0.244682800153537,-31,6,-40,-33,-22,10,-18.3333333333333
178,,6.2,90466,121,74,79446,9663,1357,6718903,0.018008892225412,0.201967493800699,-32,5,-41,-34,-25,12,-19.1666666666667
179,,6.2,91688,1222,41,80175,9737,1776,6718903,0.181874928094661,0.264328864399441,-30,10,-39,-33,-24,11,-17.5
180,,6.2,91888,200,35,80442,9778,1668,6718903,0.029766764008946,0.24825481183461,-30,9,-27,-31,-22,11,-15
181,,6.2,92366,478,40,80741,9813,1812,6718903,0.071142565981381,0.269686881921052,-22,16,-8,-23,-21,9,-8.16666666666667
182,,6.2,93012,646,27,81395,9853,1764,6718903,0.096146647748896,0.262542858558905,-24,14,-25,-18,-6,5,-9
183,,6.2,93238,226,22,81374,9880,1984,6718903,0.033636443330109,0.295286298968745,-30,9,-2,-23,-5,4,-7.83333333333333
184,,6.2,93480,242,22,81470,9902,2108,6718903,0.036017784450825,0.313741692654292,-47,-20,24,-57,-64,13,-25.1666666666667
185,,6.2,93652,172,33,81945,9924,1783,6718903,0.025599417047694,0.265370701139754,-31,6,-34,-28,-25,9,-17.1666666666667
186,,6.2,93899,247,70,82126,9957,1816,6718903,0.036761953551049,0.270282217201231,-29,10,-36,-32,-23,10,-16.6666666666667
187,,6.2,94212,313,47,82473,10027,1712,6718903,0.046584985674001,0.254803499916579,-29,9,-25,-30,-22,11,-14.3333333333333
188,,6.2,94896,684,-21,82983,10074,1839,6718903,0.101802332910596,0.273705395062259,-23,13,-11,-25,-20,10,-9.33333333333333
189,,6.2,95008,112,60,83053,10053,1902,6718903,0.01666938784501,0.283081925725077,-24,9,-17,-19,-4,6,-8.16666666666667
190,,6.2,95190,182,3,82902,10113,2175,6718903,0.027087755248141,0.323713558597289,-33,3,-9,-24,-4,5,-10.3333333333333
191,,6.2,95337,147,3,83107,10116,2114,6718903,0.021878571546575,0.31463469557456,-29,5,-18,-29,-20,9,-13.6666666666667
192,,6.2,95444,107,114,83677,10119,1648,6718903,0.015925218744786,0.245278135433716,-34,1,-45,-33,-24,13,-20.3333333333333
193,,6.2,96051,607,97,84090,10233,1728,6718903,0.090342128767152,0.257184841037294,-30,5,-31,-32,-22,11,-16.5
194,,6.2,96818,767,61,84700,10330,1788,6718903,0.114155539974308,0.266114870239978,-31,3,-23,-32,-21,12,-15.3333333333333
195,,6.2,97399,581,58,85197,10391,1811,6718903,0.086472449445989,0.269538048101007,-25,9,-10,-28,-19,10,-10.5
196,,6.2,97612,213,21,85236,10449,1927,6718903,0.031701603669528,0.286802771226196,-27,7,-29,-23,-4,7,-11.5
