Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion
Valparaíso,5,Olmué,5803,231.32,19266.0
Libertador General Bernardo O'Higgins,6,Rancagua,6101,260.94,265211.0
Libertador General Bernardo O'Higgins,6,Codegua,6102,284.17,14096.0
Libertador General Bernardo O'Higgins,6,Coinco,6103,97.34,7831.0
Libertador General Bernardo O'Higgins,6,Coltauco,6104,222.02,21263.0
Libertador General Bernardo O'Higgins,6,Doñihue,6105,80.47,22700.0
Libertador General Bernardo O'Higgins,6,Graneros,6106,112.45,36504.0
Libertador General Bernardo O'Higgins,6,Las Cabras,6107,751.28,26749.0
Libertador General Bernardo O'Higgins,6,Machalí,6108,2593.18,59913.0
Libertador General Bernardo O'Higgins,6,Malloa,6109,220.65,14163.0
Libertador General Bernardo O'Higgins,6,Mostazal,6110,525.72,27462.0
Libertador General Bernardo O'Higgins,6,Olivar,6111,44.22,14624.0
Libertador General Bernardo O'Higgins,6,Peumo,6112,155.15,14952.0
Libertador General Bernardo O'Higgins,6,Pichidegua,6113,319.47,20743.0
Libertador General Bernardo O'Higgins,6,Quinta de Tilcoco,6114,86.75,13877.0
Libertador General Bernardo O'Higgins,6,Rengo,6115,585.04,63710.0
Libertador General Bernardo O'Higgins,6,Requínoa,6116,677.18,30371.0
Libertador General Bernardo O'Higgins,6,San Vicente,6117,484.76,50617.0
Libertador General Bernardo O'Higgins,6,Pichilemu,6201,715.89,17882.0
Libertador General Bernardo O'Higgins,6,La Estrella,6202,431.44,3114.0
Libertador General Bernardo O'Higgins,6,Litueche,6203,613.64,6765.0
Libertador General Bernardo O'Higgins,6,Marchihue,6204,657.65,7632.0
Libertador General Bernardo O'Higgins,6,Navidad,6205,301.4,6904.0
Libertador General Bernardo O'Higgins,6,Paredones,6206,572.51,6349.0
Libertador General Bernardo O'Higgins,6,San Fernando,6301,2321.18,78642.0
Libertador General Bernardo O'Higgins,6,Chépica,6302,477.33,15925.0
Libertador General Bernardo O'Higgins,6,Chimbarongo,6303,509.03,37696.0
Libertador General Bernardo O'Higgins,6,Lolol,6304,596.92,7289.0
Libertador General Bernardo O'Higgins,6,Nancagua,6305,151.21,19141.0
Libertador General Bernardo O'Higgins,6,Palmilla,6306,235.79,13299.0
Libertador General Bernardo O'Higgins,6,Peralillo,6307,283.03,11848.0
Libertador General Bernardo O'Higgins,6,Placilla,6308,144.4,9164.0
Libertador General Bernardo O'Higgins,6,Pumanque,6309,441.31,3531.0
Libertador General Bernardo O'Higgins,6,Santa Cruz,6310,393.53,41096.0
Maule,7,Talca,7101,232.05,236724.0
Maule,7,Constitución,7102,1339.62,50348.0
Maule,7,Curepto,7103,1070.81,9426.0
Maule,7,Empedrado,7104,565.5,4206.0
Maule,7,Maule,7105,243.05,60000.0
Maule,7,Pelarco,7106,330.93,9083.0
Maule,7,Pencahue,7107,956.23,8601.0
Maule,7,Río Claro,7108,434.71,14753.0
Maule,7,San Clemente,7109,4500.58,46292.0
Maule,7,San Rafael,7110,261.97,9959.0
Maule,7,Cauquenes,7201,2126.16,44143.0
Maule,7,Chanco,7202,528.01,9331.0
Maule,7,Pelluhue,7203,369.56,8092.0
