Categoria,Fecha inicio de sintomas,Fecha inicio de sintomas,Fecha inicio de sintomas,Fecha notificación,Fecha notificación,Fecha notificación
2020-05-02,2562,86,49,1552,86,5
2020-05-03,2726,84,50,1573,84,27
2020-05-04,3718,181,49,2931,181,33
2020-05-05,3384,275,42,3075,275,30
2020-05-06,3373,263,48,3084,263,44
2020-05-07,3575,242,30,3333,242,43
2020-05-08,4081,296,48,3467,296,18
2020-05-09,3834,155,41,2616,155,13
2020-05-10,4233,103,67,2055,103,10
2020-05-11,5189,393,69,5081,393,34
2020-05-12,4643,319,58,4665,319,53
2020-05-13,4159,232,65,4053,232,46
2020-05-14,4054,295,86,4123,295,48
2020-05-15,5220,405,95,3951,405,57
2020-05-16,4560,451,73,3056,451,31
2020-05-17,4513,201,86,2695,201,22
2020-05-18,5838,281,157,5517,281,66
2020-05-19,4951,480,133,5545,480,78
2020-05-20,5754,708,184,5289,708,72
2020-05-21,4527,260,152,3104,260,55
2020-05-22,5530,358,176,5675,358,97
2020-05-23,5006,195,207,3743,195,57
2020-05-24,4540,140,204,3470,140,55
2020-05-25,6251,299,450,6858,299,151
2020-05-26,4753,273,397,6047,273,174
2020-05-27,4931,266,454,5633,266,152
2020-05-28,4984,311,568,4748,311,124
2020-05-29,5177,291,643,5340,291,134
2020-05-30,4837,184,719,3795,184,103
2020-05-31,4426,99,745,3093,99,292
2020-06-01,7106,239,1367,7287,239,965
2020-06-02,4728,248,930,6279,248,1042
2020-06-03,4540,249,942,5644,249,996
2020-06-04,4489,289,890,5730,289,1053
2020-06-05,5151,205,1045,5395,205,1027
2020-06-06,4486,85,939,3780,85,556
2020-06-07,3972,74,874,2963,74,415
2020-06-08,5312,268,1237,6372,268,1253
2020-06-09,4117,259,930,5688,259,1228
2020-06-10,4413,204,992,5433,204,1213
2020-06-11,3909,218,925,4920,218,1241
2020-06-12,4498,262,991,4694,262,1197
2020-06-13,4135,139,908,3265,139,577
2020-06-14,3688,59,834,2603,59,441
2020-06-15,4727,260,1171,5838,260,1260
2020-06-16,3997,282,940,5312,282,1123
2020-06-17,3682,300,864,4810,300,1103
2020-06-18,3808,335,889,4584,335,1146
2020-06-19,3926,213,830,4508,213,1189
2020-06-20,3703,109,898,2763,109,537
2020-06-21,3046,83,772,2184,83,353
2020-06-22,3750,142,977,5027,142,1286
2020-06-23,3374,190,777,4225,190,1067
2020-06-24,3130,167,749,4184,167,1080
2020-06-25,3017,172,665,3814,172,1045
2020-06-26,3133,136,687,3749,136,1040
2020-06-27,2672,79,561,2648,79,524
2020-06-28,2546,33,603,2128,33,337
2020-06-29,2672,42,677,1944,42,365
2020-06-30,2911,129,718,3943,129,873
2020-07-01,3247,120,633,3636,120,980
2020-07-02,2386,101,529,3375,101,888
2020-07-03,2606,89,536,3367,89,814
2020-07-04,2335,37,505,1697,37,347
2020-07-05,2246,29,524,1633,29,274
2020-07-06,2787,79,620,3555,79,769
2020-07-07,2436,77,560,3276,77,796
2020-07-08,2242,64,354,2797,64,768
2020-07-09,2216,58,387,2928,58,675
2020-07-10,2498,49,368,2600,49,632
2020-07-11,1968,37,281,1737,37,298
2020-07-12,1900,14,219,1354,14,195
2020-07-13,2365,63,221,2959,63,614
2020-07-14,2215,68,152,2740,68,466
2020-07-15,2084,57,137,2490,57,195
2020-07-16,1717,10,124,1298,10,63
2020-07-17,2213,55,139,2454,55,165
2020-07-18,1927,12,104,1593,12,61
2020-07-19,1616,10,137,1377,10,58
2020-07-20,2385,42,195,2701,42,191
2020-07-21,1965,23,145,2279,23,187
2020-07-22,1919,18,134,2383,18,145
2020-07-23,2056,31,124,2366,31,159
2020-07-24,1951,36,123,2122,36,148
2020-07-25,1726,32,125,1507,32,67
2020-07-26,1509,4,141,1352,4,48
2020-07-27,2216,25,224,2540,25,168
2020-07-28,1859,33,173,2089,33,123
2020-07-29,1751,37,201,2087,37,145
2020-07-30,1871,39,219,2080,39,151
2020-07-31,1905,35,240,1929,35,162
2020-08-01,1910,10,336,1379,10,55
2020-08-02,1582,5,322,1109,5,100
2020-08-03,2077,18,435,2340,18,449
2020-08-04,1923,26,376,2371,26,458
2020-08-05,1802,29,347,2251,29,426
2020-08-06,1840,33,302,2063,33,392
2020-08-07,1821,21,316,2048,21,406
2020-08-08,1481,13,349,1247,13,182
2020-08-09,1291,2,321,924,2,143
2020-08-10,1998,17,447,2204,17,460
2020-08-11,1787,14,344,2075,14,497
2020-08-12,1675,18,316,1932,18,453
2020-08-13,1542,13,284,1763,13,411
2020-08-14,1693,15,263,1749,15,374
2020-08-15,1358,11,311,982,11,140
2020-08-16,1232,8,301,852,8,119
2020-08-17,1803,18,393,2112,18,404
2020-08-18,1748,37,333,1987,37,398
2020-08-19,1547,17,307,1957,17,474
2020-08-20,1538,20,293,1950,20,369
2020-08-21,1288,34,317,1791,34,446
2020-08-22,878,11,289,956,11,154
2020-08-23,652,5,299,830,5,164
2020-08-24,828,55,239,1871,55,559
2020-08-25,446,59,129,1049,59,459
2020-08-26,121,24,45,292,24,601
2020-08-27,1,0,0,2,0,12
