Date,New Cases,Measured Current Infected,Population,New_Cases_pc,Active_Cases_pc,Closure Policy Name,Policy,nat_retail_recreation_mob,nat_grocery__pharmacy_mob,nat_parks_mob,nat_transit_mob,nat_workplaces_mob,nat_residential_mob,loc_retail_recreation_mob,loc_grocery__pharmacy_mob,loc_parks_mob,loc_transit_mob,loc_workplaces_mob,loc_residential_mob
20,0,1,2038371,0,0.00049058782724,No Closures,10,6,8,5,5,6,-1,5,11,5,14,7,-2
21,0,1,2038371,0,0.00049058782724,No Closures,10,6,9,7,7,3,-1,7,11,5,14,5,-2
22,0,1,2038371,0,0.00049058782724,No Closures,10,1,6,2,4,10,-2,0,7,4,12,10,-2
23,0,1,2038371,0,0.00049058782724,No Closures,10,1,3,2,2,9,-2,0,6,4,13,8,-1
24,0,1,2038371,0,0.00049058782724,No Closures,10,1,4,2,3,9,-1,0,5,3,12,8,-2
25,0,1,2038371,0,0.00049058782724,No Closures,10,2,3,3,3,8,-1,2,2,2,14,8,-1
26,0,1,2038371,0,0.00049058782724,No Closures,10,-1,0,0,3,12,-1,-1,2,-7,11,9,-1
27,0,1,2038371,0,0.00049058782724,No Closures,10,1,2,4,2,6,0,0,4,2,12,7,-1
28,0,1,2038371,0,0.00049058782724,No Closures,10,3,3,10,4,3,0,5,5,10,9,5,-1
29,0,1,2038371,0,0.00049058782724,No Closures,10,-11,-6,-8,-17,-16,7,-13,-8,-8,-4,-18,8
30,2,3,2038371,0.000981175654481,0.001471763481721,No Closures,10,-2,0,2,3,9,-2,-2,3,4,15,8,-2
31,1,4,2038371,0.00049058782724,0.001962351308962,No Closures,10,-1,2,2,2,8,-1,-1,2,4,13,8,-2
32,1,5,2038371,0.00049058782724,0.002452939136202,No Closures,10,1,4,3,3,8,-2,1,4,3,14,7,-2
33,2,7,2038371,0.000981175654481,0.003434114790683,No Closures,10,2,6,3,5,5,-1,-2,6,-9,12,3,0
34,1,8,2038371,0.00049058782724,0.003924702617924,No Closures,10,2,10,6,4,3,-1,0,9,-4,19,4,-2
35,0,8,2038371,0,0.003924702617924,No Closures,10,0,7,6,-4,1,-1,2,9,5,3,3,-2
36,0,8,2038371,0,0.003924702617924,No Closures,10,-11,5,-7,-30,-54,13,-13,3,-8,-15,-63,16
37,2,10,2038371,0.000981175654481,0.004905878272405,No Closures,10,-7,5,-8,-9,-3,2,-7,11,-3,11,-5,2
38,2,12,2038371,0.000981175654481,0.005887053926886,No Closures,10,-13,3,-14,-17,-10,6,-15,1,-17,-5,-18,8
39,3,15,2038371,0.001471763481721,0.007358817408607,Initial Moderate Closures,5.2,-17,1,-16,-22,-14,7,-20,-3,-20,-10,-20,10
40,0,15,2038371,0,0.007358817408607,Initial Moderate Closures,5.2,-23,-3,-22,-26,-14,9,-26,-2,-27,-16,-20,13
41,1,16,2038371,0.00049058782724,0.007849405235848,Initial Moderate Closures,5.2,-31,-7,-32,-29,-7,9,-33,-4,-35,-15,-7,10
42,0,16,2038371,0,0.007849405235848,Initial Moderate Closures,5.2,-37,-13,-37,-33,-10,8,-41,-15,-43,-22,-13,9
43,3,19,2038371,0.001471763481721,0.009321168717569,Initial Moderate Closures,5.2,-31,-14,-30,-37,-29,12,-32,-15,-29,-20,-28,14
44,4,21,2038371,0.001962351308962,0.01030234437205,Initial Moderate Closures,5.2,-35,-16,-33,-41,-34,14,-35,-15,-29,-23,-33,16
45,2,22,2038371,0.000981175654481,0.010792932199291,Initial Moderate Closures,5.2,-37,-16,-36,-44,-36,16,-36,-17,-33,-24,-34,16
46,1,22,2038371,0.00049058782724,0.010792932199291,Initial Moderate Closures,5.2,-37,-17,-36,-46,-37,16,-37,-18,-33,-25,-35,18
47,4,24,2038371,0.001962351308962,0.011774107853772,Initial Moderate Closures,5.2,-39,-17,-37,-47,-34,17,-38,-13,-36,-30,-34,19
48,2,24,2038371,0.000981175654481,0.011774107853772,Initial Moderate Closures,5.2,-40,-14,-39,-43,-18,12,-39,-11,-41,-25,-17,13
49,1,25,2038371,0.00049058782724,0.012264695681012,Initial Moderate Closures,5.2,-45,-19,-46,-47,-20,11,-45,-20,-48,-34,-20,11
50,1,26,2038371,0.00049058782724,0.012755283508253,Initial Moderate Closures,5.2,-35,-15,-36,-47,-38,15,-35,-17,-32,-29,-36,17
51,4,28,2038371,0.001962351308962,0.013736459162733,Extraordinary Measures,4.8,-35,-15,-37,-48,-41,16,-36,-14,-32,-31,-39,18
52,3,29,2038371,0.001471763481721,0.014227046989974,Extraordinary Measures,4.8,-37,-13,-39,-50,-44,18,-38,-15,-37,-32,-43,19
53,1,26,2038371,0.00049058782724,0.012755283508253,Extraordinary Measures,4.8,-47,-12,-41,-52,-46,19,-46,-12,-38,-31,-45,21
54,3,29,2038371,0.001471763481721,0.014227046989974,Extraordinary Measures,4.8,-56,-11,-43,-52,-43,21,-56,-6,-41,-32,-43,23
55,1,29,2038371,0.00049058782724,0.014227046989974,Extraordinary Measures,4.8,-57,-11,-46,-48,-27,16,-57,-7,-49,-28,-27,16
56,0,29,2038371,0,0.014227046989974,Extraordinary Measures,4.8,-62,-19,-52,-51,-27,13,-63,-18,-57,-36,-28,13
57,4,31,2038371,0.001962351308962,0.015208222644455,Extraordinary Measures,4.8,-54,-15,-41,-54,-49,19,-55,-14,-41,-38,-50,22
58,5,33,2038371,0.002452939136202,0.016189398298936,Extraordinary Measures,4.8,-53,-18,-42,-56,-52,20,-53,-14,-40,-34,-52,22
59,3,34,2038371,0.001471763481721,0.016679986126176,Extraordinary Measures,4.8,-52,-13,-42,-55,-53,20,-51,-11,-42,-32,-53,22
60,3,37,2038371,0.001471763481721,0.018151749607898,Extraordinary Measures,4.8,-58,-16,-46,-62,-64,23,-58,-13,-46,-37,-66,26
61,2,36,2038371,0.000981175654481,0.017661161780657,Extraordinary Measures,4.8,-71,-30,-57,-72,-72,30,-72,-27,-61,-56,-76,34
62,3,36,2038371,0.001471763481721,0.017661161780657,Extraordinary Measures,4.8,-66,-26,-54,-63,-49,20,-67,-25,-59,-47,-51,21
63,1,36,2038371,0.00049058782724,0.017661161780657,Extraordinary Measures,4.8,-65,-29,-58,-57,-31,13,-67,-29,-61,-41,-33,13
64,8,43,2038371,0.003924702617924,0.021095276571341,Extraordinary Measures,4.8,-54,-20,-45,-56,-49,20,-54,-18,-43,-37,-49,22
65,8,46,2038371,0.003924702617924,0.022567040053062,Extraordinary Measures,4.8,-54,-19,-44,-57,-50,21,-54,-16,-42,-36,-51,23
66,3,45,2038371,0.001471763481721,0.022076452225822,Extraordinary Measures,4.8,-51,-13,-44,-56,-50,21,-51,-10,-42,-34,-51,22
67,7,51,2038371,0.003434114790683,0.025019979189264,Extraordinary Measures,4.8,-51,-15,-45,-57,-51,22,-53,-14,-44,-35,-51,24
68,5,54,2038371,0.002452939136202,0.026491742670986,Extraordinary Measures,4.8,-55,-18,-47,-58,-47,24,-55,-12,-46,-37,-49,26
69,2,55,2038371,0.000981175654481,0.026982330498226,Extraordinary Measures,4.8,-59,-23,-51,-55,-29,17,-58,-19,-55,-39,-29,17
70,2,57,2038371,0.000981175654481,0.027963506152707,Extraordinary Measures,4.8,-62,-28,-56,-56,-26,13,-62,-26,-60,-44,-26,13
71,5,58,2038371,0.002452939136202,0.028454093979948,Extraordinary Measures,4.8,-55,-25,-47,-57,-47,20,-55,-24,-43,-43,-48,22
72,2,54,2038371,0.000981175654481,0.026491742670986,Extraordinary Measures,4.8,-58,-28,-50,-60,-50,21,-57,-25,-47,-45,-50,24
73,7,59,2038371,0.003434114790683,0.028944681807188,Extraordinary Measures,4.8,-58,-27,-51,-60,-50,22,-57,-25,-49,-43,-50,24
74,9,65,2038371,0.004415290445164,0.031888208770631,Extraordinary Measures,4.8,-59,-28,-52,-61,-51,23,-58,-26,-49,-43,-51,25
75,10,73,2038371,0.004905878272405,0.035812911388555,Extraordinary Measures,4.8,-61,-28,-53,-62,-47,24,-59,-22,-51,-45,-48,27
76,1,70,2038371,0.00049058782724,0.034341147906834,Extraordinary Measures,4.8,-62,-27,-55,-58,-31,18,-60,-22,-58,-41,-31,18
77,2,70,2038371,0.000981175654481,0.034341147906834,Extraordinary Measures,4.8,-65,-31,-60,-59,-28,14,-64,-30,-63,-46,-28,14
78,3,64,2038371,0.001471763481721,0.031397620943391,Extraordinary Measures,4.8,-58,-28,-51,-60,-48,22,-57,-27,-48,-45,-48,24
79,9,66,2038371,0.004415290445164,0.032378796597872,Extraordinary Measures,4.8,-58,-28,-50,-61,-50,17,-57,-26,-46,-43,-50,18
80,12,74,2038371,0.005887053926886,0.036303499215795,Extraordinary Measures,4.8,-55,-21,-49,-60,-50,22,-55,-20,-47,-42,-49,23
81,6,73,2038371,0.002943526963443,0.035812911388555,Extraordinary Measures,4.8,-47,-10,-45,-57,-49,20,-49,-12,-45,-41,-49,22
82,8,76,2038371,0.003924702617924,0.037284674870276,Extraordinary Measures,4.8,-61,-22,-54,-67,-63,28,-61,-16,-53,-51,-67,31
83,12,86,2038371,0.005887053926886,0.042190553142681,Extraordinary Measures,4.8,-59,-21,-52,-57,-33,18,-60,-19,-56,-43,-35,18
84,4,88,2038371,0.001962351308962,0.043171728797162,Extraordinary Measures,4.8,-63,-28,-58,-58,-25,13,-66,-30,-63,-46,-26,13
85,10,92,2038371,0.004905878272405,0.045134080106124,Extraordinary Measures,4.8,-54,-22,-47,-59,-47,21,-56,-23,-46,-44,-48,23
86,11,101,2038371,0.005396466099645,0.049549370551288,Extraordinary Measures,4.8,-56,-25,-50,-61,-51,22,-58,-26,-50,-46,-51,25
87,9,104,2038371,0.004415290445164,0.05102113403301,Extraordinary Measures,4.8,-56,-23,-49,-61,-49,22,-57,-24,-48,-43,-50,24
88,14,110,2038371,0.006868229581367,0.053964660996453,Extraordinary Measures,4.8,-56,-22,-50,-62,-50,23,-59,-26,-52,-45,-50,26
89,26,126,2038371,0.012755283508253,0.0618140662323,Extraordinary Measures,4.8,-57,-22,-51,-61,-46,24,-59,-19,-52,-45,-47,27
90,26,151,2038371,0.012755283508253,0.074078761913312,Extraordinary Measures,4.8,-56,-17,-51,-56,-28,17,-59,-18,-56,-40,-28,18
91,19,166,2038371,0.009321168717569,0.081437579321919,Extraordinary Measures,4.8,-59,-24,-56,-57,-14,11,-63,-27,-62,-45,-15,11
92,47,209,2038371,0.023057627880303,0.10253285589326,Extraordinary Measures,4.8,-57,-26,-50,-60,-47,21,-59,-27,-51,-43,-48,24
93,34,230,2038371,0.016679986126176,0.11283520026531,Extraordinary Measures,4.8,-55,-25,-48,-60,-48,21,-58,-25,-48,-41,-49,24
94,29,248,2038371,0.014227046989974,0.121665781155638,Extraordinary Measures,4.8,-55,-23,-48,-61,-48,22,-58,-25,-48,-43,-49,24
95,41,281,2038371,0.02011410091686,0.137855179454574,Extraordinary Measures,4.8,-53,-20,-48,-60,-48,22,-57,-23,-48,-41,-49,25
96,49,321,2038371,0.024038803534784,0.157478692544193,Extraordinary Measures,4.8,-53,-16,-46,-58,-44,23,-56,-14,-48,-43,-46,26
97,28,332,2038371,0.013736459162733,0.162875158643839,Extraordinary Measures,4.8,-55,-16,-49,-53,-26,16,-58,-16,-54,-37,-26,17
98,17,337,2038371,0.008339993063088,0.165328097780041,Extraordinary Measures,4.8,-60,-24,-55,-56,-20,13,-64,-26,-60,-44,-20,13
99,47,375,2038371,0.023057627880303,0.183970435215179,Extraordinary Measures,4.8,-52,-19,-46,-57,-44,20,-55,-21,-45,-41,-44,22
100,61,424,2038371,0.029925857461669,0.208009238749963,Extraordinary Measures,4.8,-53,-21,-45,-58,-46,21,-56,-20,-44,-35,-46,23
101,42,455,2038371,0.0206046887441,0.223217461394417,Extraordinary Measures,4.8,-53,-19,-45,-58,-46,21,-56,-18,-44,-35,-46,23
102,37,473,2038371,0.018151749607898,0.232048042284746,Extraordinary Measures,4.8,-54,-20,-46,-58,-47,22,-57,-19,-46,-34,-46,24
103,36,486,2038371,0.017661161780657,0.238425684038872,Extraordinary Measures,4.8,-56,-20,-47,-58,-42,22,-58,-15,-48,-39,-42,25
104,22,478,2038371,0.010792932199291,0.234500981420948,Extraordinary Measures,4.8,-56,-18,-49,-53,-22,16,-59,-16,-53,-33,-22,16
105,12,472,2038371,0.005887053926886,0.231557454457505,Extraordinary Measures,4.8,-60,-24,-53,-55,-18,13,-64,-24,-58,-39,-17,13
106,52,479,2038371,0.025510567016505,0.234991569248189,Extraordinary Measures,4.8,-53,-19,-44,-56,-43,20,-56,-19,-44,-35,-43,22
107,38,481,2038371,0.018642337435138,0.23597274490267,Extraordinary Measures,4.8,-54,-22,-45,-58,-44,20,-56,-20,-44,-33,-43,22
108,36,485,2038371,0.017661161780657,0.237935096211632,Extraordinary Measures,4.8,-54,-22,-46,-59,-44,21,-56,-20,-46,-32,-42,22
109,31,479,2038371,0.015208222644455,0.234991569248189,Extraordinary Measures,4.8,-53,-19,-46,-58,-44,21,-55,-17,-46,-31,-42,22
110,37,469,2038371,0.018151749607898,0.230085690975784,Extraordinary Measures,4.8,-52,-14,-45,-56,-40,22,-55,-9,-45,-34,-39,23
111,27,473,2038371,0.013245871335493,0.232048042284746,Extraordinary Measures,4.8,-53,-12,-46,-50,-17,14,-55,-9,-49,-28,-15,15
112,21,471,2038371,0.01030234437205,0.231066866630265,Extraordinary Measures,4.8,-57,-19,-52,-52,-11,12,-60,-17,-56,-34,-9,12
113,39,466,2038371,0.019132925262379,0.228613927494063,Extraordinary Measures,4.8,-48,-13,-43,-52,-38,18,-52,-14,-42,-31,-37,19
114,50,458,2038371,0.024529391362024,0.224689224876139,Extraordinary Measures,4.8,-50,-17,-43,-54,-41,19,-53,-15,-41,-29,-39,20
115,47,464,2038371,0.023057627880303,0.227632751839582,Extraordinary Measures,4.8,-50,-17,-43,-54,-41,19,-53,-16,-41,-29,-39,20
116,46,471,2038371,0.022567040053062,0.231066866630265,Extraordinary Measures,4.8,-50,-17,-44,-55,-41,20,-54,-16,-42,-29,-39,21
117,36,472,2038371,0.017661161780657,0.231557454457505,Extraordinary Measures,4.8,-52,-16,-45,-55,-37,21,-54,-11,-44,-34,-37,22
118,30,478,2038371,0.014717634817214,0.234500981420948,Extraordinary Measures,4.8,-52,-14,-46,-49,-16,14,-56,-12,-49,-28,-15,14
119,28,490,2038371,0.013736459162733,0.240388035347834,Extraordinary Measures,4.8,-56,-21,-50,-51,-10,11,-60,-21,-56,-36,-9,12
120,53,493,2038371,0.026001154843745,0.241859798829556,Extraordinary Measures,4.8,-50,-18,-43,-53,-37,18,-53,-18,-42,-33,-36,19
121,43,496,2038371,0.021095276571341,0.243331562311277,Extraordinary Measures,4.8,-50,-20,-44,-55,-39,18,-53,-18,-42,-27,-37,20
122,39,500,2038371,0.019132925262379,0.245293913620239,Extraordinary Measures,4.8,-48,-16,-42,-54,-39,18,-51,-15,-40,-26,-37,19
123,33,496,2038371,0.016189398298936,0.243331562311277,Extraordinary Measures,4.8,-48,-16,-43,-54,-40,19,-52,-16,-43,-31,-38,20
124,42,504,2038371,0.0206046887441,0.247256264929201,Extraordinary Measures,4.8,-48,-13,-42,-53,-35,19,-51,-8,-42,-35,-35,21
125,34,508,2038371,0.016679986126176,0.249218616238163,Extraordinary Measures,4.8,-48,-10,-41,-47,-12,13,-52,-8,-45,-27,-11,13
126,22,514,2038371,0.010792932199291,0.252162143201606,Extraordinary Measures,4.8,-52,-17,-46,-49,-6,11,-56,-17,-50,-35,-4,10
127,59,532,2038371,0.028944681807188,0.260992724091934,Extraordinary Measures,4.8,-43,-9,-36,-49,-35,16,-47,-9,-36,-30,-33,17
128,46,531,2038371,0.022567040053062,0.260502136264694,Starting to Re-Open,5.3,-42,-11,-36,-50,-37,17,-46,-9,-34,-25,-35,18
129,44,530,2038371,0.021585864398581,0.260011548437453,Starting to Re-Open,5.3,-43,-11,-37,-51,-38,18,-42,-9,-31,-28,-34,17
130,40,527,2038371,0.019623513089619,0.258539784955732,Starting to Re-Open,5.3,-44,-13,-38,-51,-39,18,-42,-11,-33,-28,-35,18
131,29,519,2038371,0.014227046989974,0.254615082337808,Starting to Re-Open,5.3,-46,-11,-38,-50,-34,17,-42,-5,-35,-30,-32,17
132,32,523,2038371,0.015698810471695,0.25657743364677,Starting to Re-Open,5.3,-45,-7,-39,-44,-11,12,-41,-3,-36,-23,-7,10
133,16,515,2038371,0.007849405235848,0.252652731028846,Starting to Re-Open,5.3,-50,-14,-46,-47,4,8,-46,-13,-42,-31,9,6
134,51,514,2038371,0.025019979189264,0.252162143201606,Starting to Re-Open,5.3,-46,-17,-40,-51,-38,17,-43,-15,-33,-29,-35,17
135,40,512,2038371,0.019623513089619,0.251180967547125,Starting to Re-Open,5.3,-46,-18,-39,-52,-39,17,-44,-15,-35,-28,-35,18
136,42,520,2038371,0.0206046887441,0.255105670165048,Starting to Re-Open,5.3,-45,-15,-40,-51,-38,18,-41,-12,-31,-26,-34,17
137,39,526,2038371,0.019132925262379,0.258049197128491,Starting to Re-Open,5.3,-45,-15,-40,-52,-39,18,-43,-15,-38,-28,-35,18
138,44,529,2038371,0.021585864398581,0.259520960610213,Starting to Re-Open,5.3,-47,-13,-40,-51,-34,19,-43,-7,-36,-33,-32,19
139,24,516,2038371,0.011774107853772,0.253143318856087,Starting to Re-Open,5.3,-47,-11,-39,-44,-12,12,-40,-5,-33,-24,-8,10
140,21,518,2038371,0.01030234437205,0.254124494510567,Starting to Re-Open,5.3,-50,-17,-43,-46,-4,10,-43,-14,-38,-30,1,8
141,60,524,2038371,0.029435269634429,0.25706802147401,Starting to Re-Open,5.3,-42,-12,-37,-48,-35,16,-37,-9,-28,-28,-32,15
142,49,530,2038371,0.024038803534784,0.260011548437453,Starting to Re-Open,5.3,-37,-7,-35,-48,-37,15,-33,-4,-26,-24,-33,15
143,53,540,2038371,0.026001154843745,0.264917426709858,Starting to Re-Open,5.3,-38,-6,-36,-47,-37,16,-34,-6,-28,-25,-34,15
144,64,559,2038371,0.031397620943391,0.274238595427427,Starting to Re-Open,5.3,-39,-7,-36,-47,-38,16,-34,-7,-29,-24,-33,15
145,33,561,2038371,0.016189398298936,0.275219771081908,Starting to Re-Open,5.3,-42,-8,-37,-47,-34,17,-36,-3,-32,-29,-31,16
146,23,548,2038371,0.011283520026531,0.268842129327782,Starting to Re-Open,5.3,-45,-10,-39,-43,-12,12,-36,-4,-33,-23,-7,9
147,32,558,2038371,0.015698810471695,0.273748007600187,Starting to Re-Open,5.3,-49,-17,-44,-44,-6,9,-38,-14,-39,-31,0,7
148,55,563,2038371,0.026982330498226,0.276200946736389,Starting to Re-Open,5.3,-40,-11,-36,-46,-36,15,-35,-8,-28,-25,-32,14
149,76,597,2038371,0.037284674870276,0.292880932862565,Starting to Re-Open,5.3,-40,-13,-36,-48,-38,16,-39,-16,-37,-27,-35,16
150,64,612,2038371,0.031397620943391,0.300239750271172,Starting to Re-Open,5.3,-41,-13,-38,-48,-38,16,-38,-13,-39,-27,-34,15
151,66,641,2038371,0.032378796597872,0.314466797261146,Starting to Re-Open,5.3,-41,-14,-38,-48,-38,17,-37,-14,-38,-22,-34,16
152,59,659,2038371,0.028944681807188,0.323297378151475,Starting to Re-Open,5.3,-42,-11,-37,-47,-34,17,-36,-4,-32,-26,-31,16
153,48,682,2038371,0.023548215707543,0.334580898178006,Starting to Re-Open,5.3,-44,-11,-39,-41,-11,12,-36,-6,-33,-22,-6,9
154,32,689,2038371,0.015698810471695,0.338015012968689,Starting to Re-Open,5.3,-48,-18,-43,-43,-6,9,-38,-13,-34,-28,1,6
155,87,714,2038371,0.042681140969922,0.350279708649701,Starting to Re-Open,5.3,-40,-12,-35,-46,-36,15,-36,-11,-27,-25,-32,14
156,60,735,2038371,0.029435269634429,0.360582053021751,Starting to Re-Open,5.3,-37,-12,-35,-47,-38,15,-32,-8,-26,-20,-34,14
157,92,781,2038371,0.045134080106124,0.383149093074813,Starting to Re-Open,5.3,-34,-5,-34,-45,-37,15,-30,-5,-30,-22,-32,14
158,72,789,2038371,0.035322323561314,0.387073795692737,Starting to Re-Open,5.3,-34,-6,-34,-45,-37,15,-30,-5,-27,-21,-32,14
159,80,832,2038371,0.039247026179238,0.408169072264078,Starting to Re-Open,5.3,-39,-8,-36,-45,-33,16,-33,-4,-33,-26,-30,15
160,47,855,2038371,0.023057627880303,0.419452592290609,Starting to Re-Open,5.3,-41,-9,-38,-39,-11,11,-34,-7,-36,-22,-7,9
161,32,855,2038371,0.015698810471695,0.419452592290609,Starting to Re-Open,5.3,-44,-15,-41,-41,-5,9,-36,-14,-39,-27,0,6
162,84,882,2038371,0.0412093774882,0.432698463626101,Starting to Re-Open,5.3,-37,-11,-36,-45,-36,15,-33,-9,-29,-25,-32,14
163,75,889,2038371,0.036794087043036,0.436132578416785,Starting to Re-Open,5.3,-37,-13,-35,-46,-38,15,-35,-13,-31,-25,-34,15
164,74,896,2038371,0.036303499215795,0.439566693207468,Starting to Re-Open,5.3,-38,-12,-36,-46,-37,16,-34,-10,-30,-25,-32,14
165,69,899,2038371,0.033850560079593,0.44103845668919,Starting to Re-Open,5.3,-38,-12,-36,-46,-37,16,-35,-11,-29,-25,-32,15
166,56,894,2038371,0.027472918325467,0.438585517552987,Starting to Re-Open,5.3,-41,-12,-37,-46,-33,17,-36,-7,-32,-27,-30,16
167,49,891,2038371,0.024038803534784,0.437113754071266,Starting to Re-Open,5.3,-42,-11,-37,-40,-12,11,-36,-8,-32,-22,-7,8
168,37,894,2038371,0.018151749607898,0.438585517552987,Starting to Re-Open,5.3,-47,-20,-43,-43,-8,10,-37,-16,-36,-28,-1,6
169,85,899,2038371,0.041699965315441,0.44103845668919,Starting to Re-Open,5.3,-41,-15,-38,-47,-39,16,-38,-17,-40,-29,-33,15
170,84,920,2038371,0.0412093774882,0.45134080106124,Starting to Re-Open,5.3,-38,-15,-37,-46,-38,16,-36,-15,-37,-26,-34,16
171,86,920,2038371,0.042190553142681,0.45134080106124,Starting to Re-Open,5.3,-36,-12,-37,-46,-38,16,-31,-10,-33,-22,-33,15
172,77,925,2038371,0.037775262697517,0.453793740197442,Starting to Re-Open,5.3,-32,-9,-35,-45,-38,15,-28,-8,-30,-23,-33,14
173,79,919,2038371,0.038756438351998,0.450850213233999,Starting to Re-Open,5.3,-34,-7,-36,-43,-33,16,-29,-3,-32,-26,-30,15
174,48,915,2038371,0.023548215707543,0.448887861925037,Starting to Re-Open,5.3,-35,-5,-35,-36,-11,10,-31,-5,-37,-20,-8,8
175,30,910,2038371,0.014717634817214,0.446434922788835,Starting to Re-Open,5.3,-39,-12,-39,-38,-5,8,-30,-10,-34,-21,1,6
176,98,928,2038371,0.048077607069567,0.455265503679163,Starting to Re-Open,5.3,-32,-8,-34,-42,-35,14,-29,-8,-28,-24,-31,14
177,91,949,2038371,0.044643492278884,0.465567848051213,Starting to Re-Open,5.3,-32,-10,-33,-43,-37,14,-29,-10,-31,-22,-32,14
178,73,944,2038371,0.035812911388555,0.463114908915011,Starting to Re-Open,5.3,-31,-8,-32,-43,-36,15,-27,-7,-27,-23,-32,13
179,103,976,2038371,0.050530546205769,0.478813719386706,Starting to Re-Open,5.3,-32,-10,-33,-44,-37,15,-28,-11,-27,-23,-32,14
180,83,1005,2038371,0.04071878966096,0.49304076637668,Starting to Re-Open,5.3,-34,-10,-34,-43,-33,15,-29,-7,-31,-25,-30,14
181,43,997,2038371,0.021095276571341,0.489116063758756,Starting to Re-Open,5.3,-36,-10,-35,-38,-11,10,-29,-8,-32,-22,-6,8
182,34,991,2038371,0.016679986126176,0.486172536795314,Starting to Re-Open,5.3,-39,-15,-39,-39,-6,8,-32,-17,-39,-26,-1,6
183,119,1023,2038371,0.058379951441617,0.501871347267009,Starting to Re-Open,5.3,-32,-12,-34,-42,-34,14,-28,-11,-28,-24,-31,13
184,91,1030,2038371,0.044643492278884,0.505305462057692,Starting to Re-Open,5.3,-32,-13,-33,-43,-37,14,-28,-12,-27,-22,-32,14
185,97,1048,2038371,0.047587019242326,0.514136042948021,Starting to Re-Open,5.3,-32,-12,-33,-44,-36,15,-29,-12,-30,-21,-32,13
186,71,1044,2038371,0.034831735734074,0.512173691639059,Starting to Re-Open,5.3,-31,-10,-32,-43,-36,14,-29,-12,-29,-22,-31,14
187,102,1061,2038371,0.050039958378529,0.520513684702147,Starting to Re-Open,5.3,-31,-7,-33,-41,-32,14,-27,-4,-29,-24,-29,14
188,61,1070,2038371,0.029925857461669,0.524928975147311,Starting to Re-Open,5.3,-31,-3,-31,-33,-10,8,-26,-3,-29,-16,-6,6
189,53,1094,2038371,0.026001154843745,0.536703083001083,Starting to Re-Open,5.3,-33,-9,-34,-33,-4,6,-27,-10,-31,-19,2,4
190,103,1108,2038371,0.050530546205769,0.543571312582449,Starting to Re-Open,5.3,-30,-9,-34,-41,-34,13,-27,-8,-28,-20,-30,13
191,85,1104,2038371,0.041699965315441,0.541608961273487,Starting to Re-Open,5.3,-30,-11,-33,-42,-34,13,-28,-10,-29,-16,-30,13
192,120,1144,2038371,0.058870539268857,0.561232474363107,Starting to Re-Open,5.3,-31,-10,-34,-42,-35,14,-31,-13,-36,-23,-31,14
193,92,1134,2038371,0.045134080106124,0.556326596090702,Starting to Re-Open,5.3,-31,-11,-34,-42,-35,14,-29,-13,-30,-23,-31,13
194,90,1143,2038371,0.044152904451643,0.560741886535866,Starting to Re-Open,5.3,-33,-9,-33,-41,-30,14,-29,-7,-31,-22,-28,13
