"fecha";"r.estimado";"r.liminf";"r.lisup"
"2020-06-03";1.00098092191981;0.982737251267835;1.01922459257178
"2020-06-04";0.987769270761489;0.969987859342878;1.0055506821801
"2020-06-05";0.989045937248683;0.970012253393876;1.00807962110349
"2020-06-06";0.980993635711251;0.962121759712867;0.999865511709635
"2020-06-07";0.972002533609239;0.952033019333368;0.991972047885111
"2020-06-08";0.927493632958208;0.906078187175468;0.948909078740949
"2020-06-09";0.924516879875971;0.893601724724136;0.955432035027806
"2020-06-10";0.936410710910084;0.900311000737023;0.972510421083145
"2020-06-11";0.93237569913344;0.898006477307653;0.966744920959226
"2020-06-12";0.925518131767105;0.891352498901337;0.959683764632873
"2020-06-13";0.929586578406947;0.89412065207987;0.965052504734024
"2020-06-14";0.93440901635108;0.899772419729933;0.969045612972228
"2020-06-15";0.92895348554631;0.895802659050512;0.962104312042108
"2020-06-16";0.938768735304625;0.904901169931351;0.972636300677899
"2020-06-17";0.927839239214707;0.896804885458494;0.95887359297092
"2020-06-18";0.937949593464214;0.905469850812922;0.970429336115506
"2020-06-19";0.930513340628799;0.900342922815232;0.960683758442367
"2020-06-20";0.928852741000894;0.897809343212066;0.959896138789723
"2020-06-21";0.920504669227292;0.889150753461298;0.951858584993285
"2020-06-22";0.901737674634698;0.868926014579446;0.93454933468995
"2020-06-23";0.896510586647935;0.858849256123071;0.9341719171728
"2020-06-24";0.895590868022985;0.85452712905233;0.936654606993639
"2020-06-25";0.885200439206181;0.843112751810281;0.927288126602081
"2020-06-26";0.876471294662293;0.831937443100131;0.921005146224455
"2020-06-27";0.858382101226154;0.811823422012018;0.90494078044029
"2020-06-28";0.86307471489139;0.810872615506478;0.915276814276303
"2020-06-29";0.845580376245945;0.793372116789099;0.89778863570279
"2020-06-30";0.853883692664485;0.796971321405249;0.91079606392372
"2020-07-01";0.883873904628732;0.824913788575878;0.942834020681587
"2020-07-02";0.876285261298265;0.824387981423291;0.928182541173239
"2020-07-03";0.874067378248408;0.823697999628124;0.924436756868691
"2020-07-04";0.881506483316674;0.831248528022226;0.931764438611121
"2020-07-05";0.887705437775853;0.838975066322302;0.936435809229404
"2020-07-06";0.91145793402143;0.863590255108536;0.959325612934324
"2020-07-07";0.90395317920257;0.861856152020184;0.946050206384956
"2020-07-08";0.869435145106601;0.829629461678894;0.909240828534309
"2020-07-09";0.88125488924529;0.835251744667403;0.927258033823178
"2020-07-10";0.897316279833247;0.8502824377587;0.944350121907795
"2020-07-11";0.895998070757069;0.852097996994512;0.939898144519626
"2020-07-12";0.896522513482981;0.853243638771397;0.939801388194565
"2020-07-13";0.891472335615397;0.848622371411523;0.934322299819271
"2020-07-14";0.896354184280598;0.852261589681718;0.940446778879478
"2020-07-15";0.906439135659939;0.862504409561372;0.950373861758506
"2020-07-16";0.898269052097599;0.857397269724442;0.939140834470757
"2020-07-17";0.89838976353151;0.856730950698598;0.940048576364423
"2020-07-18";0.916133437298512;0.873999242310042;0.958267632286983
"2020-07-19";0.914073126722701;0.874698337938133;0.953447915507268
"2020-07-20";0.931591041356318;0.892130823267605;0.97105125944503
"2020-07-21";0.93190642443864;0.895066297789246;0.968746551088035
"2020-07-22";0.934337913596967;0.898269522703797;0.970406304490137
"2020-07-23";0.967196037394401;0.931647953866967;1.00274412092183
"2020-07-24";0.954438842093546;0.923113563486518;0.985764120700575
"2020-07-25";0.947552473089508;0.91696591695681;0.978139029222206
"2020-07-26";0.948373068395525;0.91805319246693;0.97869294432412
"2020-07-27";0.942294716814064;0.91196701392971;0.972622419698418
"2020-07-28";0.941424121686854;0.91022775036614;0.972620493007567
"2020-07-29";0.938520139183342;0.906744490510552;0.970295787856132
"2020-07-30";0.937234892591008;0.904014471701871;0.970455313480145
"2020-07-31";0.949147294749378;0.91522368972947;0.983070899769285
"2020-08-01";0.972268117451821;0.9394160660881;1.00512016881554
"2020-08-02";0.999193301631497;0.959844034127374;1.03854256913562
"2020-08-03";1.01182898702479;0.949032278958404;1.07462569509117
"2020-08-04";1.03345293682768;0.951370214029765;1.1155356596256
"2020-08-05";1.04386955915684;0.948852215444978;1.1388869028687
"2020-08-06";1.04687805329116;0.941862442057253;1.15189366452507
"2020-08-07";1.04484969015039;0.934556508658495;1.15514287164229
"2020-08-08";1.01645496342845;0.903885593651654;1.12902433320525
"2020-08-09";0.999253085964254;0.936143489863378;1.06236268206513
"2020-08-10";1.0108960968234;0.95494593628307;1.06684625736372
"2020-08-11";1.0153935322076;0.92469663478612;1.10609042962908
"2020-08-12";1.02185473559949;0.900749783035858;1.14295968816313
"2020-08-13";1.01189596917703;0.867276460000674;1.15651547835339
"2020-08-14";1.01534040304464;0.849031313706596;1.18164949238268
"2020-08-15";1.01602587580977;0.838539689865277;1.19351206175427
"2020-08-16";1.01812613626977;0.883660007846516;1.15259226469303
"2020-08-17";1.01573051968396;0.918469601351906;1.11299143801601
"2020-08-18";1.03213348707295;0.956326997451393;1.10793997669451
"2020-08-19";1.04222701318298;0.972313429707099;1.11214059665887
"2020-08-20";1.06112934312014;0.988595694937542;1.13366299130274
"2020-08-21";1.05030042860559;0.972017295272021;1.12858356193916
"2020-08-22";1.03408386882427;0.952992737500767;1.11517500014777
"2020-08-23";1.01688421288741;0.948085552418118;1.0856828733567
"2020-08-24";1.02653925941964;0.923017692439722;1.13006082639955
"2020-08-25";1.0377042832283;0.886279654584748;1.18912891187186
"2020-08-26";1.09050689609933;0.890333305099086;1.29068048709957
