"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2020-06-12";7;1.07099805658582;0.952470650353594;1.18952546281804
"2020-06-13";7;1.05476460009741;0.947955754852617;1.1615734453422
"2020-06-14";7;1.0459656742352;0.943912217261605;1.14801913120879
"2020-06-15";7;1.02809886668699;0.924646328931322;1.13155140444266
"2020-06-16";7;1.05461067766922;0.951403457569101;1.15781789776934
"2020-06-17";7;1.03730844699389;0.936339448842227;1.13827744514555
"2020-06-18";7;1.06440310330556;0.965769465543767;1.16303674106736
"2020-06-19";7;1.07228652432269;0.972857867278907;1.17171518136647
"2020-06-20";7;1.07520082046108;0.976016252551383;1.17438538837078
"2020-06-21";7;1.04789899267073;0.950704250397906;1.14509373494355
"2020-06-22";7;1.01517311019225;0.916652211484147;1.11369400890035
"2020-06-23";7;0.968655784207823;0.875390921124954;1.06192064729069
"2020-06-24";7;0.961257634296258;0.869758604064014;1.0527566645285
"2020-06-25";7;0.938568170141988;0.846505122120399;1.03063121816358
"2020-06-26";7;0.936433600247305;0.839254315163137;1.03361288533147
"2020-06-27";7;0.933703573338403;0.835016751464215;1.03239039521259
"2020-06-28";7;0.943859316804435;0.844509842638103;1.04320879097077
"2020-06-29";7;0.917212458574792;0.819677910497653;1.01474700665193
"2020-06-30";7;0.93722711519057;0.841273581064315;1.03318064931682
"2020-07-01";7;0.958077945514036;0.861633188301889;1.05452270272618
"2020-07-02";7;0.944887301779245;0.850723682053254;1.03905092150524
"2020-07-03";7;0.929203464089342;0.830116824886175;1.02829010329251
"2020-07-04";7;0.907958953818489;0.811604434394561;1.00431347324242
"2020-07-05";7;0.901147644315599;0.80180444365797;1.00049084497323
"2020-07-06";7;0.93132682449518;0.828008082534563;1.0346455664558
"2020-07-07";7;0.901344856047237;0.804283833959491;0.998405878134983
"2020-07-08";7;0.86593812304761;0.764272674093028;0.967603572002191
"2020-07-09";7;0.897642713317412;0.78946112569911;1.00582430093571
"2020-07-10";7;0.920066022351424;0.809989479216611;1.03014256548624
"2020-07-11";7;0.953270662310157;0.843314208778277;1.06322711584204
"2020-07-12";7;0.982301417803159;0.870233991630067;1.09436884397625
"2020-07-13";7;1.00490758273622;0.894109985559914;1.11570517991252
"2020-07-14";7;1.0157406283483;0.906747354934138;1.12473390176245
"2020-07-15";7;1.00725696550946;0.898133759269751;1.11638017174917
"2020-07-16";7;0.979381791824;0.873001321430397;1.0857622622176
"2020-07-17";7;0.968650970683024;0.862056430370754;1.07524551099529
"2020-07-18";7;0.96714630030083;0.860392586160318;1.07390001444134
"2020-07-19";7;0.960482053802143;0.852126177643659;1.06883792996063
"2020-07-20";7;0.949663953780493;0.841739634957777;1.05758827260321
"2020-07-21";7;0.961810132753249;0.853741283386693;1.0698789821198
"2020-07-22";7;1.01208764016634;0.900349971425338;1.12382530890733
"2020-07-23";7;1.01590738373906;0.907475105303554;1.12433966217457
"2020-07-24";7;0.987727172985303;0.876922428492141;1.09853191747846
"2020-07-25";7;0.963850658108869;0.856282874516017;1.07141844170172
"2020-07-26";7;0.92939797112136;0.825073702073108;1.03372224016961
"2020-07-27";7;0.905550250355648;0.801195598622374;1.00990490208892
"2020-07-28";7;0.882810558715113;0.776567252391582;0.989053865038644
"2020-07-29";7;0.82804887510868;0.719248745066152;0.936849005151207
"2020-07-30";7;0.846953785820297;0.728954064806063;0.964953506834531
"2020-07-31";7;0.878122296794396;0.755351793776485;1.00089279981231
"2020-08-01";7;0.903064227719771;0.776355596645577;1.02977285879397
"2020-08-02";7;0.966092323825571;0.840497373431695;1.09168727421945
"2020-08-03";7;1.02147732903365;0.893471849597614;1.14948280846968
"2020-08-04";7;1.05978037378945;0.926014066982616;1.19354668059629
"2020-08-05";7;1.0882467047533;0.95220786437772;1.22428554512889
"2020-08-06";7;1.10355726384038;0.969087512312644;1.23802701536811
"2020-08-07";7;1.10580076877866;0.964776651335801;1.24682488622153
