Fecha,Servicio salud,Codigo region,Region,Camas ocupadas intensivo,Camas totales intensivo,Camas ocupadas intermedio,Camas totales intermedio,Vmi covid19 confirmados,Vmi covid19 sospechosos,Vmi ocupados,Vmi totales
2020-04-15,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,70,76,75.0,87,18,4,57,75
2020-04-15,SS ÑUBLE,16,Ñuble,14,27,5.0,11,11,0,12,43
2020-04-15,SS OSORNO,10,Los Lagos,27,28,7.0,7,18,0,18,29
2020-04-15,SS TALCAHUANO,8,Bíobío,20,34,14.0,42,6,1,15,33
2020-04-15,SS VALDIVIA,14,Los Ríos,14,23,7.0,14,5,0,10,17
2020-04-15,SS VALPARAISO SAN ANTONIO,5,Valparaíso,28,33,30.0,34,4,2,22,34
2020-04-15,SS VIÑA DEL MAR QUILLOTA,5,Valparaíso,71,110,55.0,67,10,2,26,113
2020-04-16,SS ACONGAGUA,5,Valparaíso,6,16,8.0,17,0,0,5,11
2020-04-16,SS AISÉN,11,Aysén,2,8,1.0,6,0,0,1,17
2020-04-16,SS ANTOFAGASTA,2,Antofagasta,35,45,34.0,45,5,1,33,53
2020-04-16,SS ARAUCANÍA NORTE,9,Araucanía,5,7,9.0,12,3,0,4,14
2020-04-16,SS ARAUCANÍA SUR,9,Araucanía,72,91,25.0,23,39,0,56,77
2020-04-16,SS ARAUCO,8,Bíobío,0,0,4.0,4,0,0,0,0
2020-04-16,SS ARICA,15,Arica y Parinacota,13,18,6.0,12,6,2,9,15
2020-04-16,SS ATACAMA,3,Atacama,7,14,5.0,18,1,0,7,25
2020-04-16,SS BÍO BÍO,8,Bíobío,12,28,11.0,42,2,0,6,54
2020-04-16,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,5,8
2020-04-16,SS CONCEPCIÓN,8,Bíobío,31,56,22.0,37,15,0,27,60
2020-04-16,SS COQUIMBO,4,Coquimbo,20,29,22.0,42,0,0,20,41
2020-04-16,SS DEL MAULE,7,Maule,29,51,16.0,48,11,2,20,53
2020-04-16,SS DEL RELONCAVÍ,10,Los Lagos,22,29,49.0,53,5,0,20,31
2020-04-16,SS IQUIQUE,1,Tarapacá,4,14,11.0,12,0,0,3,11
2020-04-16,SS LIBERTADOR B. O'HIGGINS,6,O’Higgins,38,61,46.0,70,4,2,31,71
2020-04-16,SS MAGALLANES,12,Magallanes,31,39,6.0,6,16,1,20,32
2020-04-16,SS METROPOLITANO CENTRAL,13,Metropolitana,102,145,114.0,156,39,4,70,197
2020-04-16,SS METROPOLITANO NORTE,13,Metropolitana,74,154,129.0,183,20,0,56,162
2020-04-16,SS METROPOLITANO OCCIDENTE,13,Metropolitana,54,63,63.0,71,20,0,46,77
2020-04-16,SS METROPOLITANO ORIENTE,13,Metropolitana,104,217,194.0,339,30,4,57,260
2020-04-16,SS METROPOLITANO SUR,13,Metropolitana,52,61,89.0,109,23,4,49,66
2020-04-16,SS METROPOLITANO SUR ORIENTE,13,Metropolitana,73,79,75.0,87,25,3,61,78
2020-04-16,SS ÑUBLE,16,Ñuble,11,27,8.0,11,9,0,10,43
2020-04-16,SS OSORNO,10,Los Lagos,28,28,8.0,7,18,0,18,29
2020-04-16,SS TALCAHUANO,8,Bíobío,17,34,20.0,42,5,3,13,23
2020-04-16,SS VALDIVIA,14,Los Ríos,14,24,6.0,13,5,0,12,18
2020-04-16,SS VALPARAISO SAN ANTONIO,5,Valparaíso,28,33,23.0,34,4,1,19,34
2020-04-16,SS VIÑA DEL MAR QUILLOTA,5,Valparaíso,68,105,53.0,67,10,2,28,108
2020-04-18,SS ACONGAGUA,5,Valparaíso,7,16,4.0,17,0,0,4,16
2020-04-18,SS AISÉN,11,Aysén,1,8,1.0,6,0,0,0,17
2020-04-18,SS ANTOFAGASTA,2,Antofagasta,35,46,35.0,46,6,0,30,53
2020-04-18,SS ARAUCANÍA NORTE,9,Araucanía,5,9,5.0,4,3,1,5,14
2020-04-18,SS ARAUCANÍA SUR,9,Araucanía,52,79,19.0,20,40,2,48,69
2020-04-18,SS ARAUCO,8,Bíobío,0,0,4.0,4,0,0,0,0
2020-04-18,SS ARICA,15,Arica y Parinacota,12,18,0.0,12,5,2,8,15
2020-04-18,SS ATACAMA,3,Atacama,6,14,7.0,18,1,0,5,25
2020-04-18,SS BÍO BÍO,8,Bíobío,12,28,13.0,42,2,0,8,54
2020-04-18,SS CHILOÉ,10,Los Lagos,7,8,0.0,0,1,0,6,8
2020-04-18,SS CONCEPCIÓN,8,Bíobío,31,56,16.0,37,9,0,22,60
