Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
810.0,1.0,2020/07/24,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,123.45679012345678
810.0,15.0,2020/08/14,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,1851.851851851852
810.0,0.0,2020/04/06,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/07/10,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/01,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,1.0,2020/07/27,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,123.45679012345678
810.0,0.0,2020/07/13,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/07/20,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/04/15,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/07/05,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/19,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/04/27,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,59.0,2020/08/21,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,7283.950617283951
810.0,62.0,2020/08/24,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,7654.320987654321
810.0,0.0,2020/04/20,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,1.0,2020/07/31,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,123.45679012345678
810.0,0.0,2020/04/01,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/12,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/04/10,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,48.0,2020/08/17,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,5925.925925925926
810.0,2.0,2020/08/07,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,246.91358024691357
810.0,6.0,2020/08/10,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,740.7407407407408
810.0,0.0,2020/04/08,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/04/24,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/07/01,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/28,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,62.0,2020/08/28,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,7654.320987654321
810.0,0.0,2020/05/22,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/07/17,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/15,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/29,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/25,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/04/17,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/23,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/05,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/18,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/11,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/06/15,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
810.0,0.0,2020/05/04,15.0,Arica y Parinacota,152.0,Parinacota,15202.0,General Lagos,0.0
2515.0,0.0,2020/04/13,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,0.0,2020/03/30,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,0.0,2020/05/08,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,1.0,2020/06/08,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,39.761431411530815
2515.0,0.0,2020/04/03,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,40.0,2020/08/03,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1590.4572564612326
2515.0,0.0,2020/05/01,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,36.0,2020/07/24,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1431.4115308151092
2515.0,56.0,2020/08/14,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,2226.640159045726
2515.0,0.0,2020/04/06,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,26.0,2020/07/10,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1033.797216699801
2515.0,0.0,2020/06/01,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,37.0,2020/07/27,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1471.1729622266403
2515.0,28.0,2020/07/13,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1113.320079522863
2515.0,30.0,2020/07/20,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1192.8429423459245
2515.0,0.0,2020/04/15,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,11.0,2020/07/05,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,437.37574552683895
2515.0,9.0,2020/06/19,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,357.8528827037773
2515.0,0.0,2020/04/27,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,48.0,2020/08/21,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1908.5487077534792
2515.0,49.0,2020/08/24,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1948.31013916501
2515.0,0.0,2020/04/20,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,39.0,2020/07/31,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1550.6958250497019
2515.0,0.0,2020/04/01,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,2.0,2020/06/12,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,79.52286282306163
2515.0,0.0,2020/04/10,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,55.0,2020/08/17,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,2186.878727634195
2515.0,50.0,2020/08/07,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1988.0715705765408
2515.0,55.0,2020/08/10,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,2186.878727634195
2515.0,0.0,2020/04/08,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,0.0,2020/04/24,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,11.0,2020/07/01,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,437.37574552683895
2515.0,11.0,2020/06/28,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,437.37574552683895
2515.0,50.0,2020/08/28,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1988.0715705765408
2515.0,0.0,2020/05/22,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,28.0,2020/07/17,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,1113.320079522863
2515.0,0.0,2020/05/15,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,0.0,2020/05/29,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,0.0,2020/05/25,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,0.0,2020/04/17,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
2515.0,10.0,2020/06/23,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,397.61431411530816
2515.0,0.0,2020/06/05,15.0,Arica y Parinacota,152.0,Parinacota,15201.0,Putre,0.0
