Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Talca_La_Florida,Padre_Las_Casas_II,Coyhaique_II,Valdivia
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Maule,Araucanía,Aysén,Los Ríos
Codigo region,13,13,13,13,13,13,13,13,13,13,13,7,9,11,14
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Talca,Padre las Casas,Coyhaique,Valdivia
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,7101,9112,11101,14101
2016-12-11 15:00:00,2.91916990280151,1.2041699886322,4.2350001335144,3.45667004585266,6.02833986282349,3.01833009719849,4.94000005722046,,,,,1,1,1,1.00317001342773
2016-12-11 16:00:00,3.68499994277954,1.22833001613617,2.538330078125,2.84999990463257,7.12249994277954,2.30999994277954,5.32332992553711,,,,,1,1,,2.15275001525879
2016-12-11 17:00:00,7.54416990280151,2.74166989326477,2.37333011627197,3.43333005905151,7.96415996551514,2.85167002677917,5.32332992553711,1.05666995048523,,,,1,1,1,2.71624994277954
2016-12-11 18:00:00,5.39666986465454,3.62333011627197,3.90499997138977,4.56333017349243,8.46916007995605,3.30999994277954,8.02332973480225,1,,,,2.77586007118225,1.44683003425598,1,3.35817003250122
2016-12-11 19:00:00,8.71249008178711,7.53999996185303,7.45250988006592,8.48668003082275,15.0341997146606,7.14333009719849,13.8900003433228,3.99000000953674,,,,3.99383997917175,3.1014199256897,1.30641996860504,2.21357989311218
2016-12-11 20:00:00,18.1317005157471,20.7357997894287,9.38582992553711,12.2367000579834,21.8516998291016,9.60167026519775,13.3066997528076,9.25998973846436,,,,3.66482996940613,8.86874008178711,3.33266997337341,2.24341988563538
2016-12-11 21:00:00,20.0233001708984,21.1732997894287,12.5675001144409,14.9132995605469,20.5049991607666,10.2266998291016,12.4732999801636,12.8400001525879,,2.04917001724243,,4.61330986022949,3.12067008018494,1,1.87182998657227
2016-12-11 22:00:00,18.5932998657227,18.5067005157471,17.0224990844727,14.4899997711182,25.8075008392334,9.97667026519775,12.9732999801636,15.4200000762939,,2.05583000183105,,4.61604976654053,1.84458005428314,1,1.89832997322083
2016-12-11 23:00:00,14.8992004394531,18.0067005157471,15.0424995422363,13.7399997711182,18.3166999816895,9.60167026519775,15.3066997528076,10.8000001907349,,1.51499998569489,,4.52049016952515,1.50516998767853,1,1.81991994380951
2016-12-12 00:00:00,9.23418045043945,16.0067005157471,13.3924999237061,14.1567001342773,14.6975002288818,10.3933000564575,16.8899993896484,8.34500026702881,6.46332979202271,1.51499998569489,,4.03403997421265,1,1,1.54858005046844
2016-12-12 01:00:00,8.01583957672119,15.0066995620728,11.5775003433228,13.5733003616333,14.6133003234863,6.26833009719849,8.67333984375,6.8274998664856,4.19000005722046,1.67332994937897,,3.76172995567322,1,1,1.72874999046326
2016-12-12 02:00:00,10.4844999313354,14.0066995620728,9.89999008178711,11.8233003616333,12.3689002990723,5.28221988677979,7.05111980438232,5.90333986282349,2.52888989448547,1.75250005722046,,3.25201988220215,1,1,1.84774994850159
2016-12-12 03:00:00,8.92111015319824,13.0066995620728,10.1199998855591,9.71222972869873,10.9099998474121,7.3377799987793,8.22889995574951,6.28999996185303,2.47499990463257,3.53749990463257,,3.52967000007629,1.293830037117,1,1.29233002662659
2016-12-12 04:00:00,8.58500957489014,12.0900001525879,10.1750001907349,9.49001026153564,12.5932998657227,7.64333009719849,10.2232999801636,5.93249988555908,1.14999997615814,3.97667002677917,,4.54786014556885,1.13125002384186,1,2.19175004959106
2016-12-12 05:00:00,11.3649997711182,12.4232997894287,8.52499008178711,9.82332992553711,14.8657999038696,8.3100004196167,10.5566997528076,6.67500019073486,4.38332986831665,5.63917016983032,,5.40623998641968,2.50449991226196,1,1.66799998283386
2016-12-12 06:00:00,15.5516996383667,17.7567005157471,9.10249042510986,13.4899997711182,17.5592002868652,11.6434001922607,14.2232999801636,7.91250991821289,7.60749006271362,4.13500022888184,,3.62180995941162,4.007080078125,1.04233002662659,7.40724992752075
2016-12-12 07:00:00,16.0645008087158,15.3400001525879,11.4125003814697,21.4899997711182,18.1483001708984,17.6434001922607,19.8066997528076,9.64500045776367,,3.26416993141174,,1.56949996948242,3.80233001708984,3.96333003044128,5.85375022888184
2016-12-12 08:00:00,16.2817001342773,16.7567005157471,11,22.9066009521484,28.2483997344971,21.5599994659424,23.4734001159668,13.7700004577637,,3.58083009719849,,1,2.06092000007629,2.48692011833191,2.51924991607666
2016-12-12 09:00:00,17.2716999053955,21.8400001525879,8.1950101852417,23.323299407959,27.2383003234863,20.3099994659424,27.0566997528076,15.5024995803833,12.5100002288818,2.9449999332428,,1.53145003318787,1,1.55491995811462,2.13508009910583
2016-12-12 10:00:00,19.0417003631592,25.9232997894287,14.7124996185303,25.4899997711182,24.6291999816895,18.0599994659424,29.0566997528076,14.5950002670288,16.6366996765137,1.00999999046326,,1,1,1,1.24241995811462
2016-12-12 11:00:00,21.1483001708984,23.9232997894287,20.0750007629395,18.4899997711182,13.9399995803833,8.22667026519775,12.6400003433228,8.00500011444092,,1.00332999229431,,1,1,1,1.64316999912262
2016-12-12 12:00:00,14.2849998474121,7.71500015258789,22.0550003051758,7.23999977111816,8.1325101852417,5.39333009719849,9.64000034332275,1.3400000333786,,1,,1,1,1,1.612419962883
2016-12-12 13:00:00,11.5408000946045,5.53999996185303,10.4224996566772,6.15666007995605,7.45916986465454,4.30999994277954,8.30667018890381,1.05666995048523,,,,1,1,1,1.77250003814697
2016-12-12 14:00:00,11.1866998672485,3.45667004585266,5.30749988555908,4.82332992553711,7.20666980743408,3.89333009719849,8.39000034332275,1,,,,1,1,1,1.46458005905151
2016-12-12 15:00:00,9.24582958221436,2.65832996368408,6.2975001335144,4.32332992553711,6.02833986282349,2.76833009719849,7.60666990280151,1.24249994754791,,,,1,1,1,1.54575002193451
2016-12-12 16:00:00,12.3858003616333,4.27415990829468,7.61749982833862,4.07332992553711,7.29083013534546,2.93499994277954,8.72334003448486,1.24249994754791,,,,1,1,1,1.72342002391815
2016-12-12 17:00:00,15.1750001907349,8.99415969848633,9.59749984741211,4.76999998092651,8.1325101852417,4.01833009719849,10.3066997528076,1.11333000659943,,,,1.22481000423431,1.06517004966736,1.08949995040894,2.06925010681152
2016-12-12 18:00:00,15.7316999435425,11.0066995620728,9.59749984741211,5.76999998092651,10.9099998474121,5.39333009719849,10.2232999801636,1.11333000659943,,,,1.73186004161835,1.20217001438141,2.29841995239258,2.17492008209229
2016-12-12 19:00:00,18.1916999816895,14.3317003250122,11.8249998092651,9.0700101852417,13.0142002105713,7.55999994277954,11.6400003433228,4.63000011444092,5.87333011627197,1,,4.26343011856079,1.99458003044128,1.75117003917694,2.51557993888855
2016-12-12 20:00:00,19.2682991027832,17.6608009338379,15.5375003814697,10.8500003814697,20.0841999053955,10.8516998291016,12.3900003433228,8.52750015258789,9.47749042510986,1,,10.3206996917725,3.6399199962616,4.84867000579834,4.24741983413696
