Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Viña_del_mar,Rengo,San_Fernando,Talca_La_Florida,Valdivia,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Valparaíso,O’Higgins,O’Higgins,Maule,Los Ríos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,5,6,6,7,14,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Vina del mar,Rengo,San Fernando,Talca,Valdivia,Coyhaique
2015-10-11 18:00:00,27.7900009155273,29.0279998779297,37.5386009216309,33.9118003845215,34.1045989990234,,30.2495994567871,25.1924991607666,38.7406005859375,30.3043003082275,28.4981994628906,19.8367004394531,24.6350002288818,20.7266998291016,24.573299407959,20.8633003234863,15.8133001327515
2015-10-11 19:00:00,15.3149995803833,13.6639995574951,22.1439990997314,19.7735004425049,18.7021007537842,,16.9162998199463,15.477499961853,25.6886005401611,27.8043003082275,20.4230003356934,15.2200002670288,7.0391697883606,6.0861701965332,14.9724998474121,13.25,9.83582019805908
2015-10-11 20:00:00,9.99232006072998,1.65866005420685,8.25533008575439,20.8546009063721,11.8846998214722,,19.9995994567871,9.11246967315674,20.4176006317139,27.7210006713867,11.6816997528076,14.7117004394531,2.37007999420166,16.0207996368408,9.92074966430664,9.14575004577637,10.5741996765137
2015-10-11 21:00:00,11.3229999542236,1.32932996749878,4.1556601524353,22.0189990997314,11.8846998214722,,2.65957999229431,12.211199760437,6.94731998443604,24.8043003082275,7.76899003982544,10.0450000762939,10.6983003616333,14.7343997955322,7.02582979202271,7.26808023452759,8.20833015441895
2015-10-11 22:00:00,4.59949016571045,1,4.1556601524353,11.7062997817993,10.8746004104614,,1.18050003051758,7.69666004180908,5.52499008178711,6.5543098449707,14.8451995849609,6.09499979019165,7.45632982254028,1.75800001621246,6.30949020385742,6.82991981506348,4.17917013168335
2015-10-11 23:00:00,1,1,8.92465019226074,1,3.38858008384705,,1,1.31124997138977,12.0509996414185,4.47099018096924,4.14333009719849,8.2283296585083,11.2847995758057,4.3585000038147,2.24200010299683,6.04158020019531,2.41832995414734
2015-10-12 00:00:00,1.30666995048523,1,9.17566013336182,1,2.14983010292053,,1,2.50415992736816,11.2980003356934,7.97098016738892,2.64482998847961,10.3533000946045,7.03133010864258,6.87341022491455,5.41316986083984,5.12725019454956,2.62582993507385
2015-10-12 01:00:00,1,1,9.00831985473633,1,2.05140995979309,,1,1.85000002384186,12.3857002258301,6.97098016738892,1,9.45331954956055,3.37292003631592,5.61282014846802,1.40400004386902,4.50174999237061,3.07750010490417
2015-10-12 02:00:00,1,1,12.9406995773315,1,1.23825001716614,,1,1.15166997909546,9.37366008758545,4.97099018096924,1.06457996368408,10.1782999038696,1.95183002948761,1.099249958992,2.52049994468689,3.4781699180603,1.23749995231628
2015-10-12 03:00:00,,1.73283004760742,12.43869972229,1,1.07941997051239,,1,2.20082998275757,12.7202997207642,5.8043098449707,1.19375002384186,8.93667984008789,4.64024019241333,1,4.26492023468018,2.72941994667053,1
2015-10-12 04:00:00,,1,12.6897001266479,1,1.21177995204926,,2.1664400100708,1.37916994094849,17.4892997741699,6.77653980255127,1,8.3200101852417,4.82100009918213,3.82232999801636,1.55966997146606,3.09532999992371,2.61332988739014
2015-10-12 05:00:00,1,1,15.3669996261597,1,1.95932996273041,,1.06477999687195,1.78208005428314,8.3696403503418,2.99876999855042,1,7.211669921875,1,1.53632998466492,1.72916996479034,2.50382995605469,2.94583010673523
2015-10-12 06:00:00,1,1.081169962883,20.9727001190186,1,2.37383008003235,,1,1.53083002567291,8.45331954956055,2.72099995613098,1.12916994094849,2.5699999332428,1.018669962883,2.43242001533508,1.38724994659424,1.41875004768372,4.61417007446289
2015-10-12 07:00:00,3.21165990829468,1,15.0322999954224,1.56599998474121,3.04715991020203,,1.09716999530792,2.57999992370605,9.45732021331787,4.30431985855103,3.85625004768372,2.76167011260986,1.73682999610901,4.72242021560669,2.84717011451721,2.22891998291016,4.78583002090454
2015-10-12 08:00:00,6.24982023239136,4.8964900970459,24.319299697876,4.55398988723755,4.73049020767212,,2.7496600151062,4.50623989105225,11.9673004150391,5.5543098449707,5.68773984909058,5.43666982650757,8.13599014282227,11.0992002487183,5.20274019241333,4.96525001525879,2.23917007446289
2015-10-12 09:00:00,5.00232982635498,10.2405004501343,20.0522994995117,5.7183198928833,7.33965015411377,,4.16632986068726,7.18623018264771,18.5769996643066,10.0543003082275,7.18624019622803,9.66166973114014,12.8249998092651,13.5574998855591,6.35774993896484,7.82582998275757,5.73666000366211
2015-10-12 10:00:00,9.07748031616211,10.9084997177124,22.4785995483398,16.4468002319336,15.9246997833252,,19.5830001831055,13.9700002670288,25.0193004608154,23.6375999450684,12.0979995727539,11.8866996765137,17.7791996002197,20.9825000762939,11.7608003616333,10.3999996185303,12.3358001708984
2015-10-12 11:00:00,25.5445003509521,30.1135005950928,21.8929996490479,32.1652984619141,29.3071002960205,,32.6661987304688,24.1875,38.4896011352539,30.0543003082275,24.5021991729736,11.0699996948242,23.6408004760742,24.5533008575439,16.7900009155273,13.3392000198364,10.7974996566772
2015-10-12 12:00:00,36.6888008117676,35.2904014587402,34.4429016113281,39.6502990722656,38.4813003540039,,36.7495002746582,30.9712009429932,43.4259986877441,30.6375999450684,33.9094009399414,20.3866996765137,24.0317001342773,23.0983009338379,18.7117004394531,14.9399995803833,13.8607997894287
2015-10-12 13:00:00,35.5245018005371,33.9543991088867,41.4709014892578,39.8997993469238,37.5555000305176,,36.4161987304688,30.3012008666992,43.0075988769531,31.1375999450684,33.4099006652832,28.028299331665,23.4741992950439,22.9225006103516,19.8617000579834,15.9716997146606,17.3633003234863
2015-10-12 14:00:00,31.7819995880127,30.6145000457764,35.4469985961914,35.7414016723633,36.1245994567871,,32.8329010009766,28.0400009155273,39.5773010253906,31.0543003082275,29.7469997406006,24.9617004394531,21.6082992553711,20.7957992553711,21.2017002105713,14.6225004196167,19.9517002105713
2015-10-12 15:00:00,26.7087993621826,26.4395008087158,31.4309997558594,31.9990005493164,33.1787986755371,,29.5828990936279,26.0300006866455,35.8123016357422,30.1375999450684,26.8332004547119,23.0032997131348,19.6816997528076,18.9932994842529,20.4549999237061,16.3192005157471,19.6499996185303
2015-10-12 16:00:00,23.1326007843018,21.9305000305176,27.0802993774414,29.7534999847412,30.5695991516113,,27.3330001831055,22.5125007629395,32.5493011474609,26.6375999450684,24.3356990814209,15.6866998672485,18.153299331665,14.3858003616333,21.1366996765137,13.9757995605469,17.69580078125
2015-10-12 17:00:00,21.1366004943848,20.3439998626709,22.0603008270264,28.8386993408203,27.8763008117676,,26.8330001831055,21.9262008666992,29.2863006591797,23.8875999450684,21.6716995239258,16.0032997131348,14.6442003250122,14.0683002471924,19.7549991607666,12.9407997131348,16.3932991027832
2015-10-12 18:00:00,15.8140001296997,16.5030002593994,16.956600189209,20.2724990844727,23.4155006408691,,17.8330001831055,18.5762004852295,26.692699432373,23.0543003082275,20.0900001525879,11.1700000762939,12.4416999816895,14.5841999053955,15.75,12.6117000579834,16.2707996368408
2015-10-12 19:00:00,12.4872999191284,11.326000213623,10.3470001220703,8.3796501159668,13.652099609375,,10.0830001831055,9.78248977661133,20.5849990844727,12.9709997177124,15.0950002670288,8.4783296585083,10.9822998046875,19.38330078125,6.3582501411438,11.5367002487183,10.3432998657227
2015-10-12 20:00:00,7.16465997695923,4.57181978225708,6.07998991012573,2.70398998260498,9.86464977264404,,12.9996004104614,5.09249019622803,17.2383003234863,11.2209997177124,11.8481998443604,7.79500007629395,10.0094995498657,16.1424999237061,4.62073993682861,11.1724996566772,11.1667003631592
2015-10-12 21:00:00,4.7788200378418,11.4095001220703,7.92065000534058,11.826000213623,14.493800163269,,15.1525001525879,7.85623979568481,22.7602996826172,8.88764953613281,11.6816997528076,2.711669921875,25.2667007446289,21.7749996185303,2.41724991798401,10.2674999237061,14.5767002105713
2015-10-12 22:00:00,20.138599395752,21.9305000305176,8.17164993286133,25.4288005828857,20.8062992095947,,31.5828990936279,13.6350002288818,32.1309013366699,6.63765001296997,5.68773984909058,11.3782997131348,21.1658000946045,25.8225002288818,12.9884004592896,9.9591703414917,12.8092002868652
2015-10-12 23:00:00,11.1565999984741,25.0200004577637,24.0683002471924,26.0109996795654,13.9046001434326,,31.9162006378174,9.53122997283936,36.3143005371094,12.1375999450684,9.35074043273926,17.1867008209229,23.94580078125,25.9617004394531,18.8442001342773,9.95250034332275,12.7674999237061
2015-10-13 00:00:00,12.1546001434326,17.003999710083,29.7576007843018,13.3696002960205,11.1272001266479,,26.3330001831055,10.6199998855591,36.3978996276855,18.5543003082275,11.015700340271,17.1282997131348,26.2124996185303,22.6825008392334,19.0533008575439,10.1366996765137,15.6099996566772
2015-10-13 01:00:00,25.211799621582,18.2565002441406,29.5065994262695,18.2765007019043,16.766300201416,,12.4996004104614,12.0437002182007,31.5452995300293,22.7210006713867,12.0146999359131,11.8032999038696,27.1208000183105,22.4449996948242,14.5008001327515,9.67833042144775,15.5550003051758
