Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana
Codigo region,13,13,13,13,13,13,13,13,13,13,13
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125
UTM_Este,346488,352504,358305,345673,337311,340277,345313,338984,352049,318945,337356
UTM_Norte,6300681,6290304,6305906,6296019,6298809,6292747,6286825,6299360,6282013,6272298,6306788
2012-06-18 12:00:00,32.8653984069824,34.3520011901855,30.3892993927002,27.5832996368408,12.8748998641968,14.5341997146606,40.0250015258789,14.8003997802734,14.332799911499,5.70762014389038,16.0890998840332
2012-06-18 13:00:00,31.3264007568359,30.9139003753662,37.0665016174316,20.4167003631592,7.38972997665405,9.10027980804443,22.5729999542236,11.8071002960205,9.97681045532227,4.4502100944519,14.0580997467041
2012-06-18 14:00:00,22.4004993438721,15.8177995681763,42.0742988586426,10.3332996368408,3.72266006469727,6.95278978347778,13.6149997711182,8.81371974945068,7.69977998733521,4.86948013305664,11.0951995849609
2012-06-18 15:00:00,22.3297996520996,11.2381000518799,43.5051002502441,9.33333015441895,2.99458003044128,5.54755020141602,10.6824998855591,8.39797973632812,4.92107009887695,4.28356981277466,12.0981998443604
2012-06-18 16:00:00,25.2098007202148,10.5078001022339,,11.4167003631592,6.96470022201538,6.04608011245728,15.6142997741699,10.2271995544434,6.50550985336304,3.27909994125366,15.2995004653931
2012-06-18 17:00:00,32.2826995849609,20.5711994171143,26.7388000488281,20.3332996368408,21.5144004821777,13.9147996902466,27.7089996337891,19.7893009185791,15.6131000518799,3.28811001777649,29.7514991760254
2012-06-18 18:00:00,35.668098449707,23.9706001281738,24.1021995544434,25.75,26.8076000213623,20.9906997680664,27.9545993804932,25.7759990692139,18.827299118042,3.03587007522583,28.5925998687744
2012-06-18 19:00:00,41.0131988525391,21.8400001525879,29.1203002929688,22,24.8715991973877,19.1012992858887,23.638599395752,25.5265998840332,25.8570995330811,2.11098003387451,30.2721996307373
2012-06-18 20:00:00,31.7289009094238,21.1548004150391,29.9123992919922,17.75,24.8444004058838,18.4321002960205,21.6630001068115,24.3624992370605,22.074499130249,2.61546993255615,29.431999206543
2012-06-18 21:00:00,33.1052017211914,22.4514999389648,27.2138004302979,17.1667003631592,24.915599822998,17.8612995147705,19.8834991455078,23.4477996826172,23.3950996398926,2.44730997085571,30.0620994567871
2012-06-18 22:00:00,32.2596015930176,20.2469997406006,22.5862007141113,24.5832996368408,25.0429000854492,18.0179996490479,19.1529998779297,25.0275993347168,20.2422008514404,9.36128044128418,29.2938995361328
2012-06-18 23:00:00,27.3803005218506,15.3864002227783,21.0757007598877,23.3332996368408,24.1494998931885,17.0575008392334,15.4085998535156,24.2793006896973,16.0436000823975,14.4841995239258,29.1709995269775
2012-06-19 00:00:00,27.05299949646,13.3459997177124,16.6478004455566,20.7000007629395,21.9902992248535,16.6695995330811,18.8603000640869,22.1506996154785,14.7859001159668,12.4666996002197,28.752799987793
2012-06-19 01:00:00,24.7987995147705,13.3521003723145,13.032600402832,15.4167003631592,18.6711006164551,16.1459999084473,21.1891002655029,15.963399887085,12.6667003631592,11.5633001327515,21.5622997283936
2012-06-19 02:00:00,20.3523998260498,12.9567003250122,12.0289001464844,15.7777996063232,10.9047002792358,16.1042003631592,18.580099105835,10.8625001907349,6.66665983200073,10.6319999694824,18.3134994506836
2012-06-19 03:00:00,22.8878002166748,8.56844997406006,8.70806980133057,16.9496994018555,9.714280128479,14.9174995422363,14.6992998123169,13.7937002182007,2.22938990592957,10.3227996826172,18.0876998901367
2012-06-19 04:00:00,22.5182991027832,9.57769966125488,8.20608997344971,14.3983001708984,10.2033996582031,14.8875999450684,11.4434003829956,15.0593996047974,4.42871999740601,11.5312004089355,18.8048000335693
2012-06-19 05:00:00,22.7506999969482,8.82573986053467,10.8868999481201,12.917200088501,10.124400138855,13.5462999343872,15.3674001693726,15.7650995254517,5.34743022918701,10.331000328064,24.2243995666504
2012-06-19 06:00:00,22.484899520874,11.2878999710083,15.4221000671387,13.3987998962402,16.468599319458,15.6710996627808,17.8729991912842,16.7458992004395,15.5524997711182,9.32845973968506,19.6336994171143
2012-06-19 07:00:00,28.6688003540039,15.0003995895386,20.5795001983643,16.8026008605957,18.9123001098633,21.289400100708,22.6336002349854,20.1793994903564,22.5655994415283,9.09294033050537,19.551399230957
2012-06-19 08:00:00,25.0909996032715,20.3626003265381,24.7464008331299,25.5464992523193,26.3794994354248,22.4081001281738,20.0445995330811,25.7049999237061,30.9519996643066,11.8698997497559,12.4579000473022
2012-06-19 09:00:00,30.4069995880127,27.843599319458,26.5298004150391,33.4931983947754,34.3344993591309,23.288200378418,28.4801006317139,33.407299041748,56.7890014648438,10.0212001800537,20.4281997680664
2012-06-19 10:00:00,28.1007995605469,18.7392997741699,21.4016990661621,24.9393005371094,32.1427993774414,24.4218997955322,37.7504997253418,36.0391006469727,16.199499130249,9.26070976257324,22.7840995788574
2012-06-19 11:00:00,44.1671981811523,17.2821998596191,23.5769004821777,30.153600692749,28.3278999328613,17.8563995361328,28.8974990844727,27.5405006408691,15.3295001983643,9.18120956420898,27.7481002807617
2012-06-19 12:00:00,35.3358001708984,30.3297996520996,32.6407012939453,26.1026000976562,16.1525993347168,11.2817001342773,20.0445003509521,18.8076992034912,15.8312997817993,4.71567010879517,26.1296997070312
2012-06-19 13:00:00,30.3159999847412,25.720100402832,36.8993988037109,15.8852996826172,11.8420000076294,9.48023986816406,14.0311002731323,13.5670003890991,12.6290998458862,4.7162299156189,27.5412006378174
2012-06-19 14:00:00,29.5025005340576,19.2387008666992,38.9724998474121,15.3788003921509,8.98591995239258,9.32015991210938,11.4253997802734,12.2142000198364,13.1268997192383,3.87297010421753,25.7418994903564
2012-06-19 15:00:00,29.8798999786377,18.1546001434326,41.3097991943359,17.4655990600586,7.28137016296387,11.7115001678467,12.5279998779297,11.9559001922607,15.2145004272461,3.03143000602722,24.6499996185303
2012-06-19 16:00:00,31.4375,21.5841999053955,46.5998001098633,16.2938995361328,9.31706047058105,8.74050998687744,18.6247005462646,11.7850999832153,11.1260995864868,3.79097008705139,22.8008003234863
2012-06-19 17:00:00,28.6916007995605,,47.5377998352051,16.5459995269775,17.611400604248,11.2180995941162,23.2182998657227,16.921199798584,15.3874998092651,3.71684002876282,26.5657005310059
2012-06-19 18:00:00,28.7518005371094,21.408899307251,33.7546005249023,19.1448993682861,22.8083992004395,17.9587001800537,27.9787998199463,22.4183006286621,14.8723001480103,2.87639999389648,29.6812000274658
2012-06-19 19:00:00,29.2667999267578,21.3451995849609,26.8903999328613,18.4018993377686,23.0519008636475,19.1692008972168,23.5522994995117,23.2348003387451,19.4043006896973,2.03371000289917,29.0823001861572
2012-06-19 20:00:00,29.2080993652344,19.3656997680664,22.2800998687744,17.1664009094238,21.5097007751465,17.8073997497559,20.9631996154785,21.4792003631592,20.5610008239746,3.21347999572754,27.1016998291016
2012-06-19 21:00:00,27.3398990631104,18.6686992645264,24.7593002319336,16.9221992492676,21.5097007751465,18.132999420166,18.2905006408691,21.5170993804932,21.5762004852295,5.74154996871948,25.4762992858887
2012-06-19 22:00:00,28.0986995697021,17.7765998840332,26.7252998352051,15.7358999252319,19.6427993774414,17.1937007904053,14.8662004470825,20.5258007049561,17.8115997314453,13.7163000106812,22.2437992095947
2012-06-19 23:00:00,27.0590991973877,20.5345001220703,18.6627006530762,17.9496994018555,18.5063991546631,15.1162996292114,15.6180000305176,18.2341995239258,20.3750991821289,14.8914003372192,22.8491992950439
2012-06-20 00:00:00,25.9309005737305,20.6466007232666,17.9382991790771,18.391300201416,16.6557006835938,18.1191005706787,20.3449993133545,18.2222995758057,18.6201000213623,7.6763801574707,20.0284004211426
2012-06-20 01:00:00,26.0851001739502,21.5624008178711,20.2294006347656,18.9440994262695,20.6980991363525,19.7604999542236,19.6273002624512,21.9044990539551,21.2593002319336,10.0318002700806,18.388500213623
2012-06-20 02:00:00,25.5193004608154,21.2919998168945,13.766900062561,19.5666007995605,16.4501991271973,17.0056991577148,12.6970996856689,19.4370994567871,18.0771007537842,10.7856998443604,21.184700012207
2012-06-20 03:00:00,26.1916999816895,17.2429008483887,17.9503002166748,19.6081008911133,11.1443996429443,15.811900138855,12.8579998016357,17.6667003631592,17.1154003143311,10.5325002670288,21.8213996887207
2012-06-20 04:00:00,24.1445999145508,18.3948993682861,15.97350025177,19.6557006835938,11.308500289917,13.0009002685547,17.7915000915527,16.3332996368408,17.3626003265381,10.663800239563,22.5207004547119
