Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,San_Fernando,Talca_La_Florida,Los_Andes,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,Maule,Valparaíso,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,6,7,5,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,San Fernando,Talca,Los Andes,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6301,7101,5301,11101
2019-05-24 05:00:00,1,9.16222953796387,5.42000007629395,2.55999994277954,9.47999954223633,,1,1.07000005245209,2.67334008216858,1.07111001014709,,1.35002994537354,1,11.3521003723145,17.8563995361328
2019-05-24 06:00:00,1,9.135009765625,5.50333023071289,2.55999994277954,9.47999954223633,,1,1.07000005245209,2.55999994277954,1.08000004291534,,1,1,6.16613006591797,17.1693000793457
2019-05-24 07:00:00,1,9.29833984375,1,2.81750011444092,9.47999954223633,,1,1.15332996845245,2.55999994277954,1.08000004291534,,1.02864003181458,1,2.34213995933533,13.7694997787476
2019-05-24 08:00:00,1,9.38000011444092,1.17499995231628,2.81750011444092,9.47999954223633,,1.01917004585266,1.05250000953674,2.81500005722046,1.24000000953674,,1.46243000030518,1,6.40923023223877,11.3240003585815
2019-05-24 09:00:00,1,9.38000011444092,1.31500005722046,2.55999994277954,9.47999954223633,,1,1.05250000953674,3.57999992370605,1.51417005062103,,7.35887002944946,1,10.6012001037598,12.7405996322632
2019-05-24 10:00:00,1,9.38000011444092,1.17499995231628,3.16084003448486,9.5625,,1.03832995891571,1.07000005245209,5.70499992370605,1.64999997615814,,,,10.8172998428345,13.3292999267578
2019-05-24 11:00:00,1.1766699552536,10.3599996566772,3.00332999229431,3.41832995414734,9.97500991821289,,1.17250001430511,1.15332996845245,8.17000007629395,1.98000001907349,,9.10754013061523,,16.2796001434326,15.645899772644
2019-05-24 12:00:00,1.26499998569489,12.4833002090454,3.086669921875,3.84750008583069,10.4700002670288,,1.39666998386383,2.48667001724243,9.78499984741211,2.14499998092651,,15.2699003219604,2.80109000205994,17.1128005981445,14.8943004608154
2019-05-24 13:00:00,1.29917001724243,13.6267004013062,2.50332999229431,3.58999991416931,11.0474996566772,,,2.73667001724243,9.78499984741211,3.29999995231628,,12.5319004058838,11.635199546814,22.7299003601074,14.5389003753662
2019-05-24 14:00:00,1.13250005245209,11.7482995986938,1.66999995708466,4.96332979202271,13.9350004196167,,,5.15333986282349,6.13000011444092,11.7974996566772,,15.5078001022339,16.0548992156982,24.8374996185303,15.9647998809814
2019-05-24 15:00:00,1.22082996368408,11.8299999237061,1.57833003997803,4.53416013717651,10.8824996948242,,,2.15333008766174,6.21500015258789,6.59999990463257,,13.2195997238159,15.6273002624512,26.5032005310059,13.8035001754761
2019-05-24 16:00:00,1.0441700220108,9.54333019256592,1,2.98917007446289,9.72749042510986,,,1.07000005245209,4.17500019073486,3.63000011444092,,10.8064002990723,8.12335014343262,19.6261005401611,13.0111999511719
2019-05-24 17:00:00,1.13250005245209,9.38000011444092,1,2.55999994277954,9.47999954223633,,,1.15332996845245,2.81500005722046,3.65916991233826,,5.35835981369019,1.38320004940033,9.30852031707764,12.8331003189087
2019-05-24 18:00:00,1.44166994094849,9.38000011444092,1,3.16084003448486,9.5625,,,1.23667001724243,2.90000009536743,2.0625,,2.73705005645752,1.02709996700287,3.07535004615784,10.9210996627808
2019-05-24 19:00:00,1.08833003044128,9.788330078125,1,3.50416994094849,10.1400003433228,,,1.65332996845245,3.32500004768372,2.69583988189697,,3.57819008827209,1,1.43924999237061,10.6529998779297
2019-05-24 20:00:00,1.1766699552536,9.625,1,3.93333005905151,10.0574998855591,,,1.98667001724243,3.49499988555908,4.53749990463257,,2.35874009132385,1,1.34592998027802,10.9829998016357
2019-05-24 21:00:00,1.22082996368408,9.38000011444092,1,3.50416994094849,9.8100004196167,,,1.73667001724243,4.00500011444092,2.0625,,1.76977002620697,1.06143999099731,1.77083003520966,14.0902004241943
2019-05-24 22:00:00,1.22082996368408,9.29833984375,1,3.50416994094849,9.97500991821289,,,1.23667001724243,2.90000009536743,3.96000003814697,,7.34451007843018,1,1.89809000492096,15.5694999694824
2019-05-24 23:00:00,1.13250005245209,9.54333019256592,1.77166998386383,3.76167011260986,9.72749042510986,,,1.15332996845245,2.64499998092651,1.59667003154755,,2.82339000701904,1,1.07161998748779,16.6833000183105
2019-05-25 00:00:00,1.0441700220108,9.38000011444092,1,2.98917007446289,9.64500045776367,,,1.02917003631592,2.73000001907349,1,,3.36773991584778,1,2.13499999046326,14.5812997817993
