Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Rengo,San_Fernando,Talca_La_Florida,Valdivia,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,O’Higgins,O’Higgins,Maule,Los Ríos,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,6,6,7,14,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Rengo,San Fernando,Talca,Valdivia,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,6115,6301,7101,14101,11101
2017-06-18 19:00:00,1,1.19000005722046,1.45667004585266,1.36167001724243,1.04166996479034,,1,3.47000002861023,7.50583982467651,4.79333019256592,,,4.88255977630615,6.21509981155396,2.42539000511169,20.0261001586914
2017-06-18 20:00:00,1,1.19000005722046,1.70667004585266,1.62000000476837,1,,1,2.97000002861023,8.09500026702881,5.79333019256592,,,1,6.2442798614502,2.04342007637024,16.9524993896484
2017-06-18 21:00:00,1,1.0791699886322,3.95667004585266,1.56833004951477,1,,1,2.72000002861023,6.91666984558105,4.79333019256592,,,1,6.51773977279663,2.43270993232727,11.0954999923706
2017-06-18 22:00:00,1,1.0791699886322,1.95667004585266,1.62000000476837,1,,1,2.63667011260986,6.07499980926514,2.79666996002197,,,1,3.49164009094238,2.88714003562927,12.9036998748779
2017-06-18 23:00:00,1,1.03166997432709,1.28999996185303,1.62000000476837,1,,1,2.22000002861023,5.23332977294922,4.21000003814697,,,1,2.64405989646912,2.33223009109497,19.1240005493164
2017-06-19 00:00:00,1,1.01583003997803,8.20666980743408,1.5166699886322,1,,1,2.38667011260986,3.6341700553894,1.55999994277954,,,1,3.03292989730835,1.85379004478455,20.4288005828857
2017-06-19 01:00:00,1,1.01583003997803,13.8732995986938,1.5166699886322,1,,1,2.13667011260986,3.6341700553894,1,,,1,3.07902002334595,1,19.8066005706787
2017-06-19 02:00:00,1,1.01583003997803,15.4567003250122,1.36167001724243,1,,1,1.72000002861023,3.71832990646362,1.64999997615814,,,2.2980101108551,3.44613003730774,1.01810002326965,18.8407001495361
2017-06-19 03:00:00,1,1.01583003997803,11.8732995986938,1.4650000333786,1,,1,1.72000002861023,4.8125,1,,,2.93728995323181,6.183189868927,1,18.4001998901367
2017-06-19 04:00:00,1,1.06333005428314,9.48443984985352,1.34443998336792,1,,1,2.16443991661072,4.78444004058838,1,,,1.72396004199982,8.83014965057373,1,20.2269992828369
2017-06-19 05:00:00,1,1.02111005783081,14.7067003250122,1.20667004585266,1,,1,1.83111000061035,4.89666986465454,1,,,1,8.27565002441406,1.03374004364014,20.3698997497559
2017-06-19 06:00:00,1,1.01583003997803,9.53999042510986,1.30999994277954,1,,1,1.72000002861023,2.11916995048523,1,,,1,7.90094995498657,1.07568001747131,17.3022003173828
2017-06-19 07:00:00,1,1.06333005428314,2.03999996185303,1.5166699886322,1,,1,1.72000002861023,2.87666988372803,1,,,1,6.05170011520386,1,14.7498998641968
2017-06-19 08:00:00,1,1.12667000293732,2.45667004585266,1.62000000476837,1,,1,1.72000002861023,3.54999995231628,1,,,1,5.69513988494873,1,13.8074998855591
2017-06-19 09:00:00,1,1.14250004291534,3.70667004585266,1.93333005905151,1,,1,1.72000002861023,3.04500007629395,2.38333988189697,,,2.16572999954224,6.05087995529175,1.04683995246887,20.9197006225586
2017-06-19 10:00:00,1,1.6158299446106,3.53999996185303,1.62000000476837,1,,1,1.72000002861023,3.29749989509583,1.72667002677917,,,2.60226988792419,7.42641019821167,1.36216998100281,22.932300567627
2017-06-19 11:00:00,1,1.11082994937897,,2.03666996955872,1,,1,2.0533299446106,4.8125,1.97000002861023,,,3.75733995437622,8.45718002319336,2.22567009925842,24.888599395752
2017-06-19 12:00:00,1,1.19000005722046,,1.70333003997803,1,,1,1.88666999340057,5.14915990829468,2.37666988372803,,,2.5,9.91738986968994,2.10256004333496,24.8843994140625
2017-06-19 13:00:00,1,1.19000005722046,,1.70333003997803,1,,1,2.13667011260986,4.475830078125,3.04332995414734,,,2.44032001495361,10.8439998626709,2.21377992630005,23.6839008331299
2017-06-19 14:00:00,1,1.17417001724243,,1.95333003997803,1,,1,2.3033299446106,4.55999994277954,4.79333019256592,,,2.20849990844727,9.507080078125,2.5801100730896,23.3929996490479
2017-06-19 15:00:00,1,1.27917003631592,,1.95333003997803,1,,1,2.13667011260986,5.65417003631592,4.3899998664856,,,1,7.98215007781982,2.31700992584229,22.0471000671387
2017-06-19 16:00:00,1,1.12667000293732,2.12333011627197,1.62000000476837,1,,1,2.13667011260986,4.89666986465454,2.80666995048523,,,1.31866002082825,6.69532012939453,2.19605994224548,20.542200088501
2017-06-19 17:00:00,1,1.0791699886322,1.95667004585266,1.5166699886322,1,,1,1.8033299446106,4.39166021347046,2.38000011444092,,,2.21221995353699,3.66336011886597,1.48782002925873,17.3090000152588
2017-06-19 18:00:00,1.05833005905151,1.09500002861023,1.87332999706268,1.62000000476837,1,,1,2.41000008583069,5.23333978652954,3.13000011444092,,,1.51924002170563,2.5248498916626,1.07125997543335,12.2279996871948
2017-06-19 19:00:00,1.35000002384186,1.12667000293732,2.87333011627197,2.20333003997803,1,,1,2.38667011260986,5.65417003631592,3.13333010673523,,,3.2443699836731,3.12502002716064,2.4610800743103,9.48079013824463
2017-06-19 20:00:00,1.05833005905151,1.15832996368408,9.87333965301514,2.11999988555908,1,,1,2.72000002861023,4.8125,2.22000002861023,,,1,3.19666004180908,4.11958980560303,9.28139019012451
2017-06-19 21:00:00,1,1.0791699886322,6.28999996185303,1.78666996955872,1,,1,2.63667011260986,6.15916013717651,3.37666988372803,,,1,2.62830996513367,2.35701990127563,10.6972999572754
2017-06-19 22:00:00,1,1.01583003997803,1.87332999706268,1.62000000476837,1,,1,2.38667011260986,4.13917016983032,2.79666996002197,,,1,3.86262989044189,2.94404006004333,13.2643995285034
2017-06-19 23:00:00,1,1.01583003997803,2.78999996185303,1.5166699886322,1,,1,1.8033299446106,13.0607995986938,3.37666988372803,,,1,3.43606996536255,1.18476998806,14.3858995437622
2017-06-20 00:00:00,1,1.04750001430511,3.03999996185303,1.62000000476837,1,,1,1.8033299446106,3.54999995231628,3.46000003814697,,,1,2.61207008361816,1.02491998672485,16.2303009033203
2017-06-20 01:00:00,1,1.03166997432709,1.45667004585266,1.62000000476837,1,,1,1.88666999340057,2.07500004768372,2.79999995231628,,,1,2.81734991073608,1,16.1546993255615
2017-06-20 02:00:00,1,1.03166997432709,3.78999996185303,1.20667004585266,1,,1,1.97000002861023,2.15083003044128,1.3233300447464,,,1,2.64719009399414,1.00153994560242,16.43630027771
2017-06-20 03:00:00,1,1.0791699886322,6.62333011627197,1.20667004585266,1,,1,1.97000002861023,1.78250002861023,1,,,1,2.15583992004395,1.00537002086639,14.0311002731323
2017-06-20 04:00:00,1,1.02111005783081,10.4843997955322,1.34443998336792,1,,1,1.94221997261047,1.64222002029419,1,,,1,2.06646990776062,1.0277099609375,14.0942001342773
2017-06-20 05:00:00,1,1.02111005783081,4.81778001785278,1.62000000476837,1,,1,2.49778008460999,1.29445004463196,1,,,1,1.88510000705719,1,13.7763996124268
2017-06-20 06:00:00,1,1.01583003997803,2.78999996185303,1.62000000476837,1,,1,2.22000002861023,1.48582994937897,1,,,1,2.08435988426208,1,12.356499671936
2017-06-20 07:00:00,1,1.06333005428314,1.70667004585266,1.5166699886322,1,,1.05999994277954,2.47000002861023,2.53999996185303,1,,,1,2.21378993988037,1,7.21606016159058
2017-06-20 08:00:00,1,1.06333005428314,1.95667004585266,1.56833004951477,1,,1,2.63667011260986,3.21333003044128,1,,,1,2.13810992240906,1.01339995861053,7.17822980880737
2017-06-20 09:00:00,1,1.0791699886322,2.95667004585266,1.95333003997803,1,,1,1.8033299446106,2.37167000770569,1.32000005245209,,,1.05964994430542,2.32458996772766,1,7.79227018356323
2017-06-20 10:00:00,2.28250002861023,1.06333005428314,4.45666980743408,1.62000000476837,1,,1,2.0533299446106,2.79250001907349,1.24000000953674,,,1.30788004398346,2.10662007331848,1.0908499956131,11.1499996185303
2017-06-20 11:00:00,1,1.12667000293732,2.62333011627197,1.62000000476837,1,,1,1.72000002861023,3.54999995231628,2.46667003631592,,,1.13458001613617,2.57819008827209,1.09117996692657,13.3779001235962
2017-06-20 12:00:00,1,1.19500005245209,2.28999996185303,1.56833004951477,1,,1,2.47000002861023,3.38166999816895,1.98000001907349,,,1.72644996643066,2.75692009925842,1.6609799861908,15.2039003372192
2017-06-20 13:00:00,1,1.14250004291534,2.37333011627197,2.03666996955872,1,,1,2.0533299446106,3.6341700553894,2.46333003044128,,,1.72295999526978,2.2370400428772,1.42633998394012,17.8504009246826
2017-06-20 14:00:00,1,1.22667002677917,4.45666980743408,1.87000000476837,1,,1,2.22000002861023,3.80250000953674,1.6433299779892,,,2.01993989944458,2.17051005363464,1.02488005161285,21.5669994354248
2017-06-20 15:00:00,1.40166997909546,1.21582996845245,2.62333011627197,1.70333003997803,1,,1,2.0533299446106,4.30749988555908,1.73000001907349,,,2.3396201133728,2.56630992889404,1.05852997303009,19.4922008514404
2017-06-20 16:00:00,1.46667003631592,1.04750001430511,2.12333011627197,1.70333003997803,1.375,,1,2.63667011260986,3.88667011260986,1,,,1,2.87142992019653,2.11570000648499,18.8465995788574
2017-06-20 17:00:00,1.05833005905151,1.0791699886322,1.95667004585266,1.65166997909546,1,,1,2.47000002861023,3.80250000953674,1.1599999666214,,,1.5494099855423,2.35815000534058,2.26135993003845,11.7857999801636
2017-06-20 18:00:00,1.05833005905151,1.19000005722046,1.53999996185303,1.5166699886322,1,,1,1.97000002861023,7.50583982467651,1.08000004291534,,,1.20668005943298,2.9950098991394,1.50154995918274,8.13383007049561
2017-06-20 19:00:00,1,1.11082994937897,2.87333011627197,1.0516699552536,1,,1,2.0533299446106,4.64416980743408,1,,,2.57733011245728,4.84698009490967,1.92727994918823,9.33981037139893
2017-06-20 20:00:00,1,1.11082994937897,3.03999996185303,1.10333001613617,1.08333003520966,,1,2.5533299446106,6.07499980926514,5.54333019256592,,,1.30996000766754,3.28743004798889,3.85181999206543,9.12022018432617
2017-06-20 21:00:00,1,1.15832996368408,2.37333011627197,1.15499997138977,1,,1,3.13667011260986,6.07499980926514,5.62666988372803,,,3.28298997879028,3.74581003189087,3.60917997360229,8.3546895980835
2017-06-20 22:00:00,1,1.14250004291534,2.12333011627197,1.56833004951477,1,,1,2.72000002861023,7.75833988189697,4.87665987014771,,,4.08008003234863,4.72990989685059,4.51927995681763,8.52425003051758
2017-06-20 23:00:00,1,1.11082994937897,1.87332999706268,1.56833004951477,1,,1,2.0533299446106,6.41167020797729,3.71000003814697,,,2.63800001144409,3.87508010864258,5.49077987670898,8.63547992706299
2017-06-21 00:00:00,1,1.04750001430511,2.03999996185303,1.56833004951477,1,,1,2.22000002861023,5.23332977294922,2.05999994277954,,,2.41851997375488,3.29929995536804,7.54981994628906,9.11693954467773
2017-06-21 01:00:00,1,1.01583003997803,2.03999996185303,1.62000000476837,1,,1,2.72000002861023,4.39166021347046,2.13333988189697,,,1,2.93722009658813,7.44616985321045,8.93822002410889
2017-06-21 02:00:00,1,1.03166997432709,1.37332999706268,1.41332995891571,1,,1,2.22000002861023,2.79250001907349,1,,,1,3.0013599395752,9.79751968383789,10.1618995666504
2017-06-21 03:00:00,1,1.01583003997803,1.20667004585266,1.41332995891571,1,,1,1.97000002861023,2.79250001907349,1,,,1,2.63697004318237,10.1752004623413,9.2374095916748
2017-06-21 04:00:00,1,1.02111005783081,1.37332999706268,1.34443998336792,1,,1,1.72000002861023,2.76445007324219,1,,,1,1.96350002288818,10.4896001815796,7.23488998413086
2017-06-21 05:00:00,1,1.02111005783081,1.26222002506256,1.73110997676849,1,,1,1.83111000061035,2.53999996185303,1,,,1,2.41792011260986,11.3762998580933,5.71306991577148
2017-06-21 06:00:00,1,1.03166997432709,1.03999996185303,1.56833004951477,1,,1,1.97000002861023,2.62417006492615,1,,,1,1.77289998531342,7.28861999511719,5.75098991394043
2017-06-21 07:00:00,1,1.09500002861023,1.12332999706268,1.30999994277954,1,,1,1.88666999340057,3.54999995231628,1,,,1,1.80017995834351,3.0963499546051,5.50710010528564
2017-06-21 08:00:00,1,1.15832996368408,1.95667004585266,1.49667000770569,1,,1,1.72000002861023,3.88667011260986,1,,,1,2.49186992645264,2.2699499130249,6.12492990493774
2017-06-21 09:00:00,1,1.0791699886322,2.03999996185303,1.62000000476837,1,,1,2.0533299446106,3.6341700553894,1.40332996845245,,,1,4.79545021057129,3.48773002624512,5.12139987945557
2017-06-21 10:00:00,1,1.12667000293732,2.12333011627197,1.62000000476837,1,,1,1.8033299446106,4.13917016983032,1.1599999666214,,,2.24422001838684,9.51144027709961,5.1023998260498,4.94746017456055
2017-06-21 11:00:00,1,1.0791699886322,2.20667004585266,1.5166699886322,1,,1,2.13667011260986,3.54999995231628,1.24000000953674,,,1.45027995109558,9.52447986602783,7.31798982620239,5.00151014328003
2017-06-21 12:00:00,1,1.12667000293732,2.45667004585266,1.20667004585266,1,,1,2.3033299446106,4.22334003448486,1.40332996845245,,,3.42322993278503,7.1598801612854,8.62714004516602,6.3797402381897
2017-06-21 13:00:00,1,1.15832996368408,3.03999996185303,1.4650000333786,1.08333003520966,,1,2.88667011260986,4.64416980743408,3.71000003814697,,,2.79696989059448,11.7779998779297,6.35780000686646,8.09482955932617
2017-06-21 14:00:00,1,1.19000005722046,3.28999996185303,1.62000000476837,2.16667008399963,,1,3.47000002861023,5.40165996551514,8.21000957489014,,,2.75635004043579,16.1079006195068,10.0586996078491,9.92619037628174
2017-06-21 15:00:00,1,1.15832996368408,2.95667004585266,1.5166699886322,2.41667008399963,,1,3.8033299446106,4.89666986465454,10.2932996749878,,,3.40184998512268,2.5,11.5601997375488,7.22042989730835
2017-06-21 16:00:00,1,1,2.20667004585266,1.0516699552536,1.04166996479034,,1,2.3033299446106,3.38166999816895,8.54333019256592,,,4.36370992660522,17.6819000244141,11.9370002746582,5.96175003051758
2017-06-21 17:00:00,1,1.15832996368408,2.03999996185303,1.15499997138977,1,,1,1.88666999340057,4.55999994277954,3.71000003814697,,,1.36573994159698,16.0007991790771,8.45160961151123,5.14913988113403
2017-06-21 18:00:00,1,1.27417004108429,2.03999996185303,1.36167001724243,1,,1,2.63667011260986,6.74834012985229,1.08000004291534,,,1.60460996627808,15.5663003921509,8.62430000305176,5.21463012695312
2017-06-21 19:00:00,1,1.15832996368408,2.37333011627197,1.36167001724243,1,,1,2.0533299446106,7.42166996002197,11.0432996749878,,,1.84935998916626,15.7204999923706,8.90495014190674,5.12626981735229
