Nombre de estacion,Independencia,La_Florida,Las_Condes,Santiago,Pudahuel,Cerrillos,El_Bosque,Cerro_Navia,Puente_Alto,Talagante,Quilicura,Antofagasta,Copiapó,Andacollo,Cuncumén,Viña_del_Mar,Rancagua_I,Rancagua_II,Rengo,San_Fernando,Curicó,Talca_La_Florida,UC_Maule,U_Talca,M_Ferroviario,Nielol,Las_Encinas,Padre_las_Casas,Valdivia,Osorno,Coyhaique_I,Coyhaique_II
Region,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Metropolitana,Antofagasta,Atacama,Coquimbo,Coquimbo,Valparaíso,O’Higgins,O’Higgins,O’Higgins,O’Higgins,Maule,Maule,Maule,Maule,Araucanía,Araucanía,Araucanía,Araucanía,Los Ríos,Los Lagos,Aysén,Aysén
Codigo region,13,13,13,13,13,13,13,13,13,13,13,2,3,4,4,5,6,6,6,6,7,7,7,7,9,9,9,9,14,10,11,11
Comuna,Independencia,La Florida,Las Condes,Santiago,Pudahuel,Cerrillos,El Bosque,Cerro Navia,Puente Alto,Talagante,Quilicura,Antofagasta,Copiapo,Andacollo,Salamanca,Vina del mar,Rancagua,Rancagua,Rengo,San Fernando,Curico,Talca,Talca,Talca,Temuco,Temuco,Temuco,Padre las Casas,Valdivia,Osorno,Coyhaique,Coyhaique
Codigo comuna,13108,13110,13114,13101,13124,13102,13105,13103,13201,13601,13125,2101,3101,4103,4204,5109,6101,6101,6115,6301,7301,7101,7101,7101,9101,9101,9101,9112,14101,10301,11101,11101
2017-09-17 07:00:00,150,43,10,159,143,89,84,,62,88,53,36,29.0508003234863,44.5475006103516,50,49.5499992370605,51.2900009155273,52.0416984558105,44,79.1057968139648,45.4583015441895,38.4799995422363,45.560001373291,29.1200008392334,,43.2299995422363,38.560001373291,42.1699981689453,54.9799995422363,66.0600967407227,34.2700004577637,41.189998626709
2017-09-17 08:00:00,78,43,19,87,102,97,59,,38,65,75,47,32.4225006103516,45.4700012207031,42,47.5400009155273,96.5999984741211,23.9724998474121,51,77.9899978637695,28.1341991424561,45.6500015258789,31.5300006866455,24,,53.0699996948242,45.3699989318848,81.5999984741211,52.6199989318848,21.5599994659424,20.7000007629395,23.6599998474121
2017-09-17 09:00:00,78,43,18,65,65,88,73,,52,73,50,54,37.3899993896484,42.6157989501953,27,46.2099990844727,44.8600006103516,43.0050010681152,51,68.4925994873047,34.4317016601562,43.9500007629395,38.0200004577637,34.5400009155273,,58.5299987792969,65.8000030517578,63.9000015258789,27.1399993896484,16.5100002288818,23.4200000762939,22.1499996185303
2017-09-17 10:00:00,60,38,19,57,40,85,63,,64,68,63,41,56.2616996765137,26.2108001708984,23,29.9899997711182,54.25,58.0483016967773,54,48.9841995239258,34.7566986083984,30.5599994659424,68.3300018310547,46,,54.6800003051758,66.8000030517578,64.5800018310547,41.8499984741211,19.2700004577637,17.9899997711182,26.2399997711182
2017-09-17 11:00:00,89,54,27,76,61,82,61,,71,50,76,39,91.0308990478516,17.6466999053955,16,31.0400009155273,63.7900009155273,49.7407989501953,61,41.4775009155273,41.1450004577637,23.4899997711182,47,30.6399993896484,,25.6000003814697,71.2399978637695,52.2799987792969,30.4400005340576,38.4900016784668,27.4699993133545,16.7700004577637
2017-09-17 12:00:00,101,73,48,88,75,78,83,,61,48,88,46,74.7307968139648,24.2975006103516,6,38.6599998474121,82.6999969482422,69.1143035888672,46,33.7332992553711,36.2249984741211,25.0100002288818,34.310001373291,31.8500003814697,,60.0800018310547,69.879997253418,53.0900001525879,13.6099996566772,22.0200004577637,30.1900005340576,14.0200004577637
2017-09-17 13:00:00,95,72,54,71,84,72,54,,71,51,88,31,64.4608001708984,27.1082992553711,8,36.3199996948242,105.400001525879,85.6175994873047,47,35.7742004394531,30.1233005523682,24.3400001525879,36.4000015258789,23.7199993133545,,52.3600006103516,42.6399993896484,49.4799995422363,22.8600006103516,24.7700004577637,44.0699996948242,15.3800001144409
2017-09-17 14:00:00,72,56,73,58,70,60,53,,57,51,70,30,51.8532981872559,24.9342002868652,13,35.9599990844727,58.560001373291,64.111701965332,36,35.3950004577637,39.1417007446289,22.3600006103516,35.4900016784668,23.7199993133545,,37.8199996948242,32.9700012207031,36.0299987792969,10.5900001525879,38.5299987792969,24.0699996948242,16.6700000762939
2017-09-17 15:00:00,49,51,103,44,51,49,44,,42,45,56,33,48.0250015258789,27.7600002288818,16,30.5599994659424,49.310001373291,52.5074996948242,42,32.0099983215332,29.1067008972168,18.2999992370605,29.6100006103516,29.1299991607666,,32.4000015258789,27.6599998474121,31.25,10.1700000762939,44.0400009155273,18.3099994659424,16.6700000762939
2017-09-17 16:00:00,82,60,96,77,68,51,42,,59,44,58,32,47.9033012390137,30.323299407959,17,33.6399993896484,54.7099990844727,45.8367004394531,42,36.9166984558105,35.3516998291016,22.7600002288818,25.1399993896484,21,,25.5599994659424,27.6599998474121,27.1900005340576,24.5799999237061,63.2999992370605,12.8800001144409,18.0900001525879
2017-09-17 17:00:00,70,61,77,64,66,51,45,,54,46,60,33,42.1549987792969,28.3349990844727,18,36.4000015258789,63.7400016784668,54.4432983398438,51,38.6650009155273,41.0217018127441,20.4099998474121,33.1599998474121,23.7099990844727,,27.0400009155273,38.560001373291,38.0699996948242,20.6499996185303,38.5299987792969,30.8299999237061,18.4699993133545
2017-09-17 18:00:00,72,56,69,61,62,54,46,,60,42,76,40,50.502498626709,32.2000007629395,24,42.7700004577637,65.620002746582,68.0651016235352,45.0900001525879,40.6232986450195,37.6582984924316,25.25,32.1599998474121,18.2999992370605,,36.4700012207031,41.0999984741211,58.0800018310547,23.0900001525879,76.3300018310547,35.9099998474121,35.75
2017-09-17 19:00:00,70,78,57,54,69,50,71,,69,44,77,36,26.7758007049561,41.7599983215332,26,35.9599990844727,65.0999984741211,70.5858001708984,60,50.5175018310547,46.814998626709,30.5499992370605,49.0499992370605,30,,33.9700012207031,38.560001373291,62.5400009155273,32.5900001525879,237.600006103516,39.310001373291,62.3800010681152
