Data,Total Cases,Recovered Population,Accumulative Deaths,Measured Current Infected,True Current Infected,Susceptible Population,True Infection Rate,Measured Infection Rate,Closure Policy,,GDP
18-Jun,42762,16798,2339,23625,36469.08,267657238,10023.79,713,No Closures,,3687700
19-Jun,43803,17349,2373,24081,31068.38,267656197,-5400.7,456,No Closures,,3687700
20-Jun,45029,17883,2429,24717,32975.34,267654971,1906.96,636,No Closures,,3687700
21-Jun,45891,18404,2465,25022,40391.4,267654109,7416.06,305,No Closures,,3687700
22-Jun,46845,18735,2500,25610,29063.04,267653155,-11328.36,588,No Closures,,3687700
23-Jun,47896,19241,2535,26120,33198.38,267652104,4135.34,510,No Closures,,3687700
24-Jun,49009,19658,2573,26778,37991.85,267650991,4793.46,658,No Closures,,3687700
25-Jun,50187,20449,2620,27118,28719.19,267649813,-9272.66,340,No Closures,,3687700
26-Jun,51427,21333,2683,27411,33367.79,267648573,4648.6,293,No Closures,,3687700
27-Jun,52812,21909,2720,28183,36286.36,267647188,2918.57,772,No Closures,,3687700
28-Jun,54010,22936,2754,28320,37868.5,267645990,1582.14,137,No Closures,,3687700
29-Jun,55092,23800,2805,28487,34656.26,267644908,-3212.23,167,No Closures,,3687700
30-Jun,56385,24806,2876,28703,33083.7,267643615,-1572.57,216,No Closures,,3687700
1-Jul,57770,25595,2934,29241,35224.98,267642230,2141.29,538,No Closures,,3687700
2-Jul,59394,26667,2987,29740,35597.19,267640606,372.21,499,No Closures,,3687700
3-Jul,60695,27568,3036,30091,35107.4,267639305,-489.79,351,No Closures,,3687700
4-Jul,62142,28219,3089,30834,40828.62,267637858,5721.22,743,No Closures,,3687700
5-Jul,63749,29105,3171,31473,47127.22,267636251,6298.6,639,No Closures,,3687700
6-Jul,64958,29919,3241,31798,44179.31,267635042,-2947.91,325,No Closures,,3687700
7-Jul,66226,30785,3309,32132,42596.4,267633774,-1582.91,334,No Closures,,3687700
8-Jul,68079,31585,3359,33135,42086.2,267631921,-510.2,1003,No Closures,,3687700
9-Jul,70736,32651,3417,34668,38794.03,267629264,-3292.17,1533,No Closures,,3687700
10-Jul,72347,33529,3469,35349,47630.7,267627653,8836.67,681,No Closures,,3687700
11-Jul,74018,34719,3535,35764,42721.57,267625982,-4909.13,415,No Closures,,3687700
12-Jul,75699,35638,3606,36455,38876.2,267624301,-3845.37,691,No Closures,,3687700
13-Jul,76981,36689,3656,36636,52968.38,267623019,14092.18,181,No Closures,,3687700
14-Jul,78572,37636,3710,37226,41274.69,267621428,-11693.69,590,No Closures,,3687700
15-Jul,80094,39050,3797,37247,43103.45,267619906,1828.75,21,No Closures,,3687700
16-Jul,81668,40345,3873,37450,45604.51,267618332,2501.07,203,No Closures,,3687700
17-Jul,83130,41834,3957,37339,43908.7,267616870,-1695.82,-111,No Closures,,3687700
18-Jul,84882,43268,4016,37598,55795.95,267615118,11887.26,259,No Closures,,3687700
19-Jul,86521,45401,4143,36977,40924.8,267613479,-14871.15,-621,No Closures,,3687700
20-Jul,88214,46977,4239,36998,49406.78,267611786,8481.98,21,No Closures,,3687700
21-Jul,89869,48466,4320,37083,43536.26,267610131,-5870.52,85,No Closures,,3687700
22-Jul,91751,50255,4459,37037,58188.6,267608249,14652.34,-46,No Closures,,3687700
23-Jul,93657,52164,4576,36917,38358.31,267606343,-19830.29,-120,No Closures,,3687700
24-Jul,95418,53945,4665,36808,40395.35,267604582,2037.04,-109,No Closures,,3687700
25-Jul,97286,55354,4714,37218,42906.22,267602714,2510.87,410,No Closures,,3687700
26-Jul,98778,56655,4781,37342,37410.53,267601222,-5495.68,124,No Closures,,3687700
27-Jul,100303,58173,4838,37292,37466.03,267599697,55.5,-50,No Closures,,3687700
28-Jul,102051,60539,4901,36611,45254.36,267597949,7788.33,-681,No Closures,,3687700
29-Jul,104432,62138,4975,37319,38153.17,267595568,-7101.19,708,No Closures,,3687700
30-Jul,106336,64292,5058,36986,39621.75,267593664,1468.59,-333,No Closures,,3687700
31-Jul,108376,65907,5131,37338,41779.19,267591624,2157.44,352,No Closures,,3687700
1-Aug,109936,67919,5193,36824,46512.72,267590064,4733.53,-514,No Closures,,3687700
