date,New case,Kasus Impor,Kasus Lokal,Total cases,Active case,% of active cases,"Recovered
(new)",total_recup,Recovery rate (all cases),Recovery Rate (closed cases),"Death
(new)",total_obito,Death Rate (all cases),Death Rate (closed cases),PDP,ODP,Suspect,Number of samples examined (from April 1),Number of people examined,Negative,"Positive
(=C)",In process,Specimens,The person being tested,Number of tests / million population,Test / Positive,Number of people tested / positive,Daily Test / Positive Amount,Positive / Number of Tests,Daily positive rate,Case Growth Rate,,Closure Policy,Susceptible Population,True UnHos Infected,Hospitalizados,Unhospitalized Infected,Current Infected,True Infection Rate,Measured Infection Rate,Hospitalization Rate,Ventilators,GDP
25-Jun,1178.00,,,50187.00,27118.00,54.03%,791,"20,449",40.75%,88.64%,47,"2,620",5.22%,11.36%,13323.00,37294.00,"50,617",708962.00,427158.00,376971.00,50187.00,0,19510.00,13239.00,"1,582",14.13,8.51,11.24,11.75%,8.90%,2.40%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
26-Jun,1240.00,,,51427.00,27411.00,53.30%,884,"21,333",41.48%,88.83%,63,"2,683",5.22%,11.17%,13506.00,38381.00,"51,887",731781.00,439907.00,388480.00,51427.00,0,22819.00,12749.00,"1,629",14.23,8.55,10.28,11.69%,9.73%,2.47%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
27-Jun,1385.00,,,52812.00,28183.00,53.36%,576,"21,909",41.48%,88.96%,37,"2,720",5.15%,11.04%,13522.00,40541.00,"54,063",753370.00,449569.00,396757.00,52812.00,0,21589.00,9662.00,"1,665",14.27,8.51,6.98,11.75%,14.33%,2.69%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
28-Jun,1198.00,,,54010.00,28320.00,52.43%,"1,027","22,936",42.47%,89.28%,34,"2,754",5.10%,10.72%,14712.00,47658.00,"62,370",770600.00,456636.00,402626.00,54010.00,0,17230.00,7067.00,"1,691",14.27,8.45,5.9,11.83%,16.95%,2.27%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
29-Jun,1082.00,,,55092.00,28487.00,51.71%,864,"23,800",43.20%,89.46%,51,"2,805",5.09%,10.54%,13335.00,41605.00,"54,940",782383.00,465683.00,410591.00,55092.00,0,11783.00,9047.00,"1,725",14.2,8.45,8.36,11.83%,11.96%,2.00%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
30-Jun,1293.00,,,56385.00,28703.00,50.91%,"1,006","24,806",43.99%,89.61%,71,"2,876",5.10%,10.39%,13182.00,43797.00,"56,979",803898.00,477318.00,420933.00,56385.00,0,21515.00,11635.00,"1,768",14.26,8.47,9,11.81%,11.11%,2.35%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
1-Jul,1385.00,,,57770.00,29241.00,50.62%,789,"25,595",44.31%,89.72%,58,"2,934",5.08%,10.28%,13296.00,45192.00,"58,488",825636.00,492318.00,434548.00,57770.00,0,21738.00,15000.00,"1,823",14.29,8.52,10.83,11.73%,9.23%,2.46%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
2-Jul,1624.00,,,59394.00,29740.00,50.07%,"1,072","26,667",44.90%,89.93%,53,"2,987",5.03%,10.07%,13359.00,40778.00,"54,137",849155.00,503132.00,443738.00,59394.00,0,23519.00,10814.00,"1,863",14.3,8.47,6.66,11.80%,15.02%,2.81%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
3-Jul,1301.00,,,60695.00,30091.00,49.58%,901,"27,568",45.42%,90.08%,49,"3,036",5.00%,9.92%,13609.00,38767.00,"52,376",871436.00,519970.00,459275.00,60695.00,0,22281.00,16838.00,"1,926",14.36,8.57,12.94,11.67%,7.73%,2.19%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
4-Jul,1447.00,,,62142.00,30834.00,49.62%,651,"28,219",45.41%,90.13%,53,"3,089",4.97%,9.87%,14205.00,38890.00,"53,095",894428.00,529669.00,467527.00,62142.00,0,22992.00,9699.00,"1,962",14.39,8.52,6.7,11.73%,14.92%,2.38%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
5-Jul,1607.00,,,63749.00,31473.00,49.37%,886,"29,105",45.66%,90.18%,82,"3,171",4.97%,9.82%,13767.00,39928.00,"53,695",915482.00,540175.00,476426.00,63749.00,0,21054.00,10506.00,"2,001",14.36,8.47,6.54,11.80%,15.30%,2.59%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
6-Jul,1209.00,,,64958.00,31798.00,48.95%,814,"29,919",46.06%,90.23%,70,"3,241",4.99%,9.77%,13360.00,38748.00,"52,108",928238.00,552084.00,487126.00,64958.00,0,12756.00,11909.00,"2,045",14.29,8.5,9.85,11.77%,10.15%,1.90%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
7-Jul,1268.00,,,66226.00,32132.00,48.52%,866,"30,785",46.48%,90.29%,68,"3,309",5.00%,9.71%,13471.00,38702.00,"52,173",946054.00,562759.00,496533.00,66226.00,0,17816.00,10675.00,"2,084",14.29,8.5,8.42,11.77%,11.88%,1.95%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
8-Jul,1853.00,,,68079.00,33135.00,48.67%,800,"31,585",46.39%,90.39%,50,"3,359",4.93%,9.61%,13636.00,38498.00,"52,134",968237.00,575536.00,507457.00,68079.00,0,22183.00,12777.00,"2,132",14.22,8.45,6.9,11.83%,14.50%,2.80%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
9-Jul,2657.00,,,70736.00,34668.00,49.01%,"1,066","32,651",46.16%,90.53%,58,"3,417",4.83%,9.47%,13732.00,38498.00,"52,230",992069.00,588080.00,517344.00,70736.00,0,23832.00,12544.00,"2,178",14.02,8.31,4.72,12.03%,21.18%,3.90%,,No Closures,100000,100,20,10,30,5,15,5,0,30000000
