Fecha,Defunciones_2020-06-07,Defunciones_2020-06-08,Defunciones_2020-06-09,Defunciones_2020-06-10,Defunciones_2020-06-11,Defunciones_2020-06-12,Defunciones_2020-06-13,Defunciones_2020-06-14,Defunciones_2020-06-15,Defunciones_2020-06-16,Defunciones_2020-06-17,Defunciones_2020-06-18,Defunciones_2020-06-19,Defunciones_2020-06-20,Defunciones_2020-06-21,Defunciones_2020-06-22,Defunciones_2020-06-23,Defunciones_2020-06-24,Defunciones_2020-06-25,Defunciones_2020-06-26,Defunciones_2020-06-27,Defunciones_2020-06-28,Defunciones_2020-06-29,Defunciones_2020-06-30,Defunciones_2020-07-01,Defunciones_2020-07-02,Defunciones_2020-07-03,Defunciones_2020-07-04,Defunciones_2020-07-05,Defunciones_2020-07-06,Defunciones_2020-07-07,Defunciones_2020-07-08,Defunciones_2020-07-09,Defunciones_2020-07-10,Defunciones_2020-07-11,Defunciones_2020-07-12,Defunciones_2020-07-13,Defunciones_2020-07-14,Defunciones_2020-07-15,Defunciones_2020-07-16
2020-04-27,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2020-04-28,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2020-04-29,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2020-04-30,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2020-05-01,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2020-05-02,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2020-05-03,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2020-05-04,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2020-05-05,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
2020-05-06,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2020-05-07,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2020-05-08,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2020-05-09,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2020-05-10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2020-05-11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2020-05-12,24,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2020-05-13,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
2020-05-14,36,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
2020-05-15,29,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
2020-05-16,46,47,47,47,47,47,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50
2020-05-17,43,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
2020-05-18,60,60,60,60,60,60,60,60,60,61,61,61,61,61,62,63,63,63,63,63,63,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63
2020-05-19,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65
2020-05-20,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66
2020-05-21,60,60,60,60,60,60,60,60,60,60,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
2020-05-22,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,70,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
2020-05-23,83,83,83,84,84,84,85,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
2020-05-24,89,91,92,92,93,93,94,95,95,95,95,95,95,95,95,95,95,95,95,95,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
2020-05-25,79,82,83,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,87
2020-05-26,101,101,101,101,101,102,102,103,103,103,104,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
2020-05-27,104,105,105,105,111,111,113,115,115,115,116,116,118,118,118,118,118,118,119,120,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
2020-05-28,102,106,106,107,109,109,110,111,111,111,111,111,112,113,113,113,113,113,113,113,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
2020-05-29,94,97,101,107,117,118,119,120,120,121,121,121,121,121,121,121,121,122,122,122,124,124,124,124,124,124,124,124,124,124,124,124,124,124,125,125,125,125,125,125
2020-05-30,101,105,106,107,119,119,121,121,121,121,122,122,126,126,126,126,126,126,126,127,134,134,134,134,134,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
2020-05-31,88,94,96,98,105,105,108,108,108,108,110,111,113,113,113,113,113,113,115,115,114,114,114,114,114,114,114,115,115,115,115,115,116,117,117,117,117,117,117,117
2020-06-01,116,120,122,124,128,131,133,136,136,137,138,139,140,141,142,142,142,142,142,142,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
2020-06-02,105,116,116,118,121,124,129,129,129,129,132,133,133,133,133,133,133,133,133,133,137,137,137,137,137,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138
2020-06-03,109,113,113,114,124,128,135,140,141,141,142,146,147,149,149,149,149,149,149,149,150,150,150,150,150,150,150,150,151,151,151,151,151,151,151,151,151,151,151,151
2020-06-04,86,96,98,108,112,116,132,134,138,138,141,142,143,144,144,144,144,144,145,146,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
2020-06-05,20,24,25,45,46,74,99,120,129,129,137,139,144,146,148,148,148,148,148,150,155,155,155,155,155,155,155,155,155,155,155,155,155,156,156,156,156,156,156,156
2020-06-06,,2,7,56,67,91,118,136,140,143,146,148,154,154,154,155,155,155,155,156,158,158,158,158,158,158,158,159,159,159,159,160,160,160,160,160,160,160,160,160
2020-06-07,,,0,76,98,115,121,131,132,132,139,139,143,144,144,144,144,144,145,145,147,147,147,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
2020-06-08,,,,19,79,101,114,125,125,125,126,129,132,134,135,135,135,135,135,135,137,138,138,138,138,138,139,139,139,139,139,139,139,139,139,139,139,139,139,139
2020-06-09,,,,,20,112,127,140,141,143,150,158,160,166,167,168,168,168,169,169,171,171,171,171,171,171,171,171,171,171,171,171,171,172,172,172,172,172,172,172
2020-06-10,,,,,,23,97,123,125,125,131,144,150,152,153,153,153,154,154,154,156,156,156,157,157,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
2020-06-11,,,,,,,29,110,113,113,118,136,144,150,158,158,158,159,159,159,159,159,159,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
2020-06-12,,,,,,,,24,37,39,64,87,117,138,149,152,152,156,157,158,160,160,160,160,160,162,162,162,162,162,162,162,162,162,162,163,163,163,163,165
2020-06-13,,,,,,,,,1,9,66,97,112,129,147,153,153,164,163,164,169,169,169,169,169,171,172,173,173,173,173,173,173,173,173,173,173,173,173,173
2020-06-14,,,,,,,,,,2,80,106,119,130,146,147,147,150,150,150,150,150,150,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151
2020-06-15,,,,,,,,,,,18,87,108,123,134,134,134,143,143,142,144,146,146,146,146,147,147,147,147,147,147,147,147,147,148,148,148,148,148,148
2020-06-16,,,,,,,,,,,,22,116,144,152,153,153,159,161,161,165,166,166,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167
2020-06-17,,,,,,,,,,,,,30,103,128,128,128,143,152,162,165,165,165,165,165,165,165,167,167,167,167,169,169,169,169,169,169,169,169,169
2020-06-18,,,,,,,,,,,,,,13,75,80,80,82,98,108,113,120,120,121,121,122,122,124,126,126,126,126,126,126,126,126,126,126,127,127
2020-06-19,,,,,,,,,,,,,,,18,20,20,40,62,73,121,135,135,138,138,140,140,140,140,140,140,141,141,142,142,142,142,142,142,142
2020-06-20,,,,,,,,,,,,,,,,1,3,62,90,97,120,130,130,130,130,133,134,134,134,134,134,134,134,135,135,135,135,135,135,135
2020-06-21,,,,,,,,,,,,,,,,,1,78,90,105,121,124,124,124,124,124,124,124,125,125,125,125,126,126,126,126,126,126,126,126
2020-06-22,,,,,,,,,,,,,,,,,,17,79,100,112,121,121,121,121,121,121,122,122,122,122,123,123,123,123,123,123,123,123,123
2020-06-23,,,,,,,,,,,,,,,,,,,15,84,103,113,113,113,113,117,119,119,120,120,120,120,120,120,120,120,120,120,120,120
2020-06-24,,,,,,,,,,,,,,,,,,,,15,84,104,105,105,105,109,118,121,121,121,121,121,121,121,122,122,122,122,122,122
2020-06-25,,,,,,,,,,,,,,,,,,,,,18,84,97,102,102,104,110,118,119,119,119,121,122,122,123,123,123,123,123,124
2020-06-26,,,,,,,,,,,,,,,,,,,,,,20,65,91,91,103,106,111,113,113,113,115,115,116,117,119,119,119,120,120
2020-06-27,,,,,,,,,,,,,,,,,,,,,,,7,66,79,98,102,106,107,107,107,108,108,108,109,109,109,109,109,109
2020-06-28,,,,,,,,,,,,,,,,,,,,,,,,13,58,97,109,116,120,120,120,120,120,120,120,120,120,120,120,120
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,7,66,91,100,103,106,106,107,109,109,110,110,110,110,110,111
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,15,73,93,100,100,100,105,105,105,105,105,105,105,105,106
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,8,68,80,80,80,87,91,97,97,97,97,97,97,97
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,84,96,98,102,112,115,115,115,115,115,117,117
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,65,74,100,101,103,105,105,105,105,106,106
2020-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,42,70,77,80,81,83,83,83,84,85
2020-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,52,64,73,78,81,81,81,84,84
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,65,79,86,93,93,93,93,95
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,58,69,80,80,80,84,87
2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,61,75,75,75,78,81
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,66,80,81,86,95
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,51,67,67
2020-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35,66,70
2020-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43,59
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
