Serie,Publicacion,Fecha,Numero defunciones
confirmados,2020-08-04,2020-03-16,0
confirmados,2020-08-05,2020-03-16,0
confirmados,2020-08-06,2020-03-16,0
confirmados,2020-08-07,2020-03-16,0
sospechosos,2020-08-07,2020-03-16,1
confirmados,2020-08-08,2020-03-16,0
sospechosos,2020-08-08,2020-03-16,1
confirmados,2020-08-09,2020-03-16,0
confirmados,2020-08-10,2020-03-16,0
confirmados,2020-08-11,2020-03-16,0
confirmados,2020-08-12,2020-03-16,0
confirmados,2020-08-13,2020-03-16,0
sospechosos,2020-08-14,2020-03-16,1
confirmados,2020-08-14,2020-03-16,0
confirmados,2020-08-15,2020-03-16,0
confirmados,2020-08-16,2020-03-16,0
confirmados,2020-08-17,2020-03-16,0
confirmados,2020-08-18,2020-03-16,0
confirmados,2020-08-19,2020-03-16,0
confirmados,2020-08-20,2020-03-16,0
confirmados,2020-08-21,2020-03-16,0
sospechosos,2020-08-21,2020-03-16,1
confirmados,2020-08-22,2020-03-16,0
confirmados,2020-08-23,2020-03-16,0
confirmados,2020-08-24,2020-03-16,0
confirmados,2020-08-25,2020-03-16,0
confirmados,2020-08-26,2020-03-16,0
confirmados,2020-08-27,2020-03-16,0
confirmados,2020-08-28,2020-03-16,0
confirmados,2020-08-29,2020-03-16,0
confirmados,2020-06-18,2020-03-18,0
sospechosos,2020-06-18,2020-03-18,0
confirmados,2020-06-28,2020-03-18,0
sospechosos,2020-06-28,2020-03-18,0
confirmados,2020-07-03,2020-03-18,0
sospechosos,2020-07-03,2020-03-18,0
confirmados,2020-07-09,2020-03-18,0
sospechosos,2020-07-09,2020-03-18,0
confirmados,2020-07-17,2020-03-18,0
confirmados,2020-07-18,2020-03-18,0
sospechosos,2020-07-18,2020-03-18,1
confirmados,2020-07-19,2020-03-18,0
confirmados,2020-07-20,2020-03-18,0
confirmados,2020-07-21,2020-03-18,0
confirmados,2020-07-22,2020-03-18,0
confirmados,2020-07-23,2020-03-18,0
sospechosos,2020-07-24,2020-03-18,1
confirmados,2020-07-24,2020-03-18,0
confirmados,2020-07-25,2020-03-18,0
confirmados,2020-07-26,2020-03-18,0
confirmados,2020-07-27,2020-03-18,0
confirmados,2020-07-28,2020-03-18,0
confirmados,2020-07-29,2020-03-18,0
confirmados,2020-07-30,2020-03-18,0
confirmados,2020-07-31,2020-03-18,0
sospechosos,2020-08-01,2020-03-18,1
confirmados,2020-08-01,2020-03-18,0
confirmados,2020-08-02,2020-03-18,0
confirmados,2020-08-03,2020-03-18,0
confirmados,2020-08-04,2020-03-18,0
confirmados,2020-08-05,2020-03-18,0
confirmados,2020-08-06,2020-03-18,0
confirmados,2020-08-07,2020-03-18,0
sospechosos,2020-08-07,2020-03-18,1
confirmados,2020-08-08,2020-03-18,0
sospechosos,2020-08-08,2020-03-18,1
confirmados,2020-08-09,2020-03-18,0
confirmados,2020-08-10,2020-03-18,0
confirmados,2020-08-11,2020-03-18,0
confirmados,2020-08-12,2020-03-18,0
confirmados,2020-08-13,2020-03-18,0
sospechosos,2020-08-14,2020-03-18,1
confirmados,2020-08-14,2020-03-18,0
confirmados,2020-08-15,2020-03-18,0
confirmados,2020-08-16,2020-03-18,0
confirmados,2020-08-17,2020-03-18,0
confirmados,2020-08-18,2020-03-18,0
confirmados,2020-08-19,2020-03-18,0
confirmados,2020-08-20,2020-03-18,0
confirmados,2020-08-21,2020-03-18,0
sospechosos,2020-08-21,2020-03-18,1
confirmados,2020-08-22,2020-03-18,0
confirmados,2020-08-23,2020-03-18,0
confirmados,2020-08-24,2020-03-18,0
confirmados,2020-08-25,2020-03-18,0
confirmados,2020-08-26,2020-03-18,0
confirmados,2020-08-27,2020-03-18,0
confirmados,2020-08-28,2020-03-18,0
confirmados,2020-08-29,2020-03-18,0
confirmados,2020-06-18,2020-03-19,1
sospechosos,2020-06-18,2020-03-19,0
confirmados,2020-06-28,2020-03-19,1
sospechosos,2020-06-28,2020-03-19,0
confirmados,2020-07-03,2020-03-19,1
sospechosos,2020-07-03,2020-03-19,0
confirmados,2020-07-09,2020-03-19,1
sospechosos,2020-07-09,2020-03-19,0
confirmados,2020-07-17,2020-03-19,1
confirmados,2020-07-18,2020-03-19,1
sospechosos,2020-07-18,2020-03-19,0
confirmados,2020-07-19,2020-03-19,1
confirmados,2020-07-20,2020-03-19,1
confirmados,2020-07-21,2020-03-19,1
confirmados,2020-07-22,2020-03-19,1
confirmados,2020-07-23,2020-03-19,1
sospechosos,2020-07-24,2020-03-19,0
confirmados,2020-07-24,2020-03-19,1
confirmados,2020-07-25,2020-03-19,1
confirmados,2020-07-26,2020-03-19,1
confirmados,2020-07-27,2020-03-19,1
confirmados,2020-07-28,2020-03-19,1
confirmados,2020-07-29,2020-03-19,1
confirmados,2020-07-30,2020-03-19,1
confirmados,2020-07-31,2020-03-19,1
sospechosos,2020-08-01,2020-03-19,0
confirmados,2020-08-01,2020-03-19,1
confirmados,2020-08-02,2020-03-19,1
confirmados,2020-08-03,2020-03-19,1
confirmados,2020-08-04,2020-03-19,1
confirmados,2020-08-05,2020-03-19,1
confirmados,2020-08-06,2020-03-19,1
confirmados,2020-08-07,2020-03-19,1
sospechosos,2020-08-07,2020-03-19,0
confirmados,2020-08-08,2020-03-19,1
sospechosos,2020-08-08,2020-03-19,0
confirmados,2020-08-09,2020-03-19,1
confirmados,2020-08-10,2020-03-19,1
confirmados,2020-08-11,2020-03-19,1
confirmados,2020-08-12,2020-03-19,1
confirmados,2020-08-13,2020-03-19,1
sospechosos,2020-08-14,2020-03-19,0
confirmados,2020-08-14,2020-03-19,1
confirmados,2020-08-15,2020-03-19,1
confirmados,2020-08-16,2020-03-19,1
confirmados,2020-08-17,2020-03-19,1
confirmados,2020-08-18,2020-03-19,1
confirmados,2020-08-19,2020-03-19,1
confirmados,2020-08-20,2020-03-19,1
confirmados,2020-08-21,2020-03-19,1
sospechosos,2020-08-21,2020-03-19,0
confirmados,2020-08-22,2020-03-19,1
confirmados,2020-08-23,2020-03-19,1
confirmados,2020-08-24,2020-03-19,1
confirmados,2020-08-25,2020-03-19,1
confirmados,2020-08-26,2020-03-19,1
confirmados,2020-08-27,2020-03-19,1
confirmados,2020-08-28,2020-03-19,1
confirmados,2020-08-29,2020-03-19,1
confirmados,2020-06-18,2020-03-20,1
sospechosos,2020-06-18,2020-03-20,2
confirmados,2020-06-28,2020-03-20,1
sospechosos,2020-06-28,2020-03-20,1
confirmados,2020-07-03,2020-03-20,1
sospechosos,2020-07-03,2020-03-20,1
confirmados,2020-07-09,2020-03-20,1
sospechosos,2020-07-09,2020-03-20,1
confirmados,2020-07-17,2020-03-20,1
confirmados,2020-07-18,2020-03-20,1
sospechosos,2020-07-18,2020-03-20,1
confirmados,2020-07-19,2020-03-20,1
confirmados,2020-07-20,2020-03-20,1
confirmados,2020-07-21,2020-03-20,1
confirmados,2020-07-22,2020-03-20,1
confirmados,2020-07-23,2020-03-20,1
sospechosos,2020-07-24,2020-03-20,1
confirmados,2020-07-24,2020-03-20,1
confirmados,2020-07-25,2020-03-20,1
confirmados,2020-07-26,2020-03-20,1
confirmados,2020-07-27,2020-03-20,1
confirmados,2020-07-28,2020-03-20,1
confirmados,2020-07-29,2020-03-20,1
confirmados,2020-07-30,2020-03-20,1
confirmados,2020-07-31,2020-03-20,1
sospechosos,2020-08-01,2020-03-20,1
confirmados,2020-08-01,2020-03-20,1
confirmados,2020-08-02,2020-03-20,1
confirmados,2020-08-03,2020-03-20,1
confirmados,2020-08-04,2020-03-20,1
confirmados,2020-08-05,2020-03-20,1
confirmados,2020-08-06,2020-03-20,1
confirmados,2020-08-07,2020-03-20,1
sospechosos,2020-08-07,2020-03-20,1
confirmados,2020-08-08,2020-03-20,1
sospechosos,2020-08-08,2020-03-20,1
confirmados,2020-08-09,2020-03-20,1
confirmados,2020-08-10,2020-03-20,1
confirmados,2020-08-11,2020-03-20,1
confirmados,2020-08-12,2020-03-20,1
confirmados,2020-08-13,2020-03-20,1
sospechosos,2020-08-14,2020-03-20,1
confirmados,2020-08-14,2020-03-20,1
confirmados,2020-08-15,2020-03-20,1
confirmados,2020-08-16,2020-03-20,1
confirmados,2020-08-17,2020-03-20,1
confirmados,2020-08-18,2020-03-20,1
confirmados,2020-08-19,2020-03-20,1
confirmados,2020-08-20,2020-03-20,1
confirmados,2020-08-21,2020-03-20,1
sospechosos,2020-08-21,2020-03-20,1
confirmados,2020-08-22,2020-03-20,1
confirmados,2020-08-23,2020-03-20,1
confirmados,2020-08-24,2020-03-20,1
confirmados,2020-08-25,2020-03-20,1
confirmados,2020-08-26,2020-03-20,1
confirmados,2020-08-27,2020-03-20,1
confirmados,2020-08-28,2020-03-20,1
confirmados,2020-08-29,2020-03-20,1
confirmados,2020-06-18,2020-03-21,1
sospechosos,2020-06-18,2020-03-21,2
confirmados,2020-06-28,2020-03-21,1
sospechosos,2020-06-28,2020-03-21,1
confirmados,2020-07-03,2020-03-21,1
sospechosos,2020-07-03,2020-03-21,1
confirmados,2020-07-09,2020-03-21,1
sospechosos,2020-07-09,2020-03-21,1
confirmados,2020-07-17,2020-03-21,1
confirmados,2020-07-18,2020-03-21,1
sospechosos,2020-07-18,2020-03-21,1
confirmados,2020-07-19,2020-03-21,1
confirmados,2020-07-20,2020-03-21,1
confirmados,2020-07-21,2020-03-21,1
confirmados,2020-07-22,2020-03-21,1
confirmados,2020-07-23,2020-03-21,1
sospechosos,2020-07-24,2020-03-21,1
confirmados,2020-07-24,2020-03-21,1
confirmados,2020-07-25,2020-03-21,1
confirmados,2020-07-26,2020-03-21,1
confirmados,2020-07-27,2020-03-21,1
confirmados,2020-07-28,2020-03-21,1
confirmados,2020-07-29,2020-03-21,1
confirmados,2020-07-30,2020-03-21,1
confirmados,2020-07-31,2020-03-21,1
sospechosos,2020-08-01,2020-03-21,1
confirmados,2020-08-01,2020-03-21,1
confirmados,2020-08-02,2020-03-21,1
confirmados,2020-08-03,2020-03-21,1
confirmados,2020-08-04,2020-03-21,1
confirmados,2020-08-05,2020-03-21,1
confirmados,2020-08-06,2020-03-21,1
confirmados,2020-08-07,2020-03-21,1
sospechosos,2020-08-07,2020-03-21,1
confirmados,2020-08-08,2020-03-21,1
sospechosos,2020-08-08,2020-03-21,1
confirmados,2020-08-09,2020-03-21,1
confirmados,2020-08-10,2020-03-21,1
confirmados,2020-08-11,2020-03-21,1
confirmados,2020-08-12,2020-03-21,1
confirmados,2020-08-13,2020-03-21,1
sospechosos,2020-08-14,2020-03-21,1
confirmados,2020-08-14,2020-03-21,1
confirmados,2020-08-15,2020-03-21,1
confirmados,2020-08-16,2020-03-21,1
confirmados,2020-08-17,2020-03-21,1
confirmados,2020-08-18,2020-03-21,1
confirmados,2020-08-19,2020-03-21,1
confirmados,2020-08-20,2020-03-21,1
confirmados,2020-08-21,2020-03-21,1
sospechosos,2020-08-21,2020-03-21,1
confirmados,2020-08-22,2020-03-21,1
confirmados,2020-08-23,2020-03-21,1
confirmados,2020-08-24,2020-03-21,1
confirmados,2020-08-25,2020-03-21,1
confirmados,2020-08-26,2020-03-21,1
confirmados,2020-08-27,2020-03-21,1
confirmados,2020-08-28,2020-03-21,1
confirmados,2020-08-29,2020-03-21,1
confirmados,2020-06-18,2020-03-22,0
sospechosos,2020-06-18,2020-03-22,2
confirmados,2020-06-28,2020-03-22,0
sospechosos,2020-06-28,2020-03-22,1
confirmados,2020-07-03,2020-03-22,0
sospechosos,2020-07-03,2020-03-22,1
confirmados,2020-07-09,2020-03-22,0
sospechosos,2020-07-09,2020-03-22,1
confirmados,2020-07-17,2020-03-22,0
confirmados,2020-07-18,2020-03-22,0
sospechosos,2020-07-18,2020-03-22,1
confirmados,2020-07-19,2020-03-22,0
confirmados,2020-07-20,2020-03-22,0
confirmados,2020-07-21,2020-03-22,0
confirmados,2020-07-22,2020-03-22,0
confirmados,2020-07-23,2020-03-22,0
sospechosos,2020-07-24,2020-03-22,1
confirmados,2020-07-24,2020-03-22,0
confirmados,2020-07-25,2020-03-22,0
confirmados,2020-07-26,2020-03-22,0
confirmados,2020-07-27,2020-03-22,0
confirmados,2020-07-28,2020-03-22,0
confirmados,2020-07-29,2020-03-22,0
confirmados,2020-07-30,2020-03-22,0
confirmados,2020-07-31,2020-03-22,0
sospechosos,2020-08-01,2020-03-22,1
confirmados,2020-08-01,2020-03-22,0
confirmados,2020-08-02,2020-03-22,0
confirmados,2020-08-03,2020-03-22,0
confirmados,2020-08-04,2020-03-22,0
confirmados,2020-08-05,2020-03-22,0
confirmados,2020-08-06,2020-03-22,0
confirmados,2020-08-07,2020-03-22,0
sospechosos,2020-08-07,2020-03-22,1
confirmados,2020-08-08,2020-03-22,0
sospechosos,2020-08-08,2020-03-22,1
confirmados,2020-08-09,2020-03-22,0
confirmados,2020-08-10,2020-03-22,0
confirmados,2020-08-11,2020-03-22,0
confirmados,2020-08-12,2020-03-22,0
confirmados,2020-08-13,2020-03-22,0
sospechosos,2020-08-14,2020-03-22,1
confirmados,2020-08-14,2020-03-22,0
confirmados,2020-08-15,2020-03-22,0
confirmados,2020-08-16,2020-03-22,0
confirmados,2020-08-17,2020-03-22,0
confirmados,2020-08-18,2020-03-22,0
confirmados,2020-08-19,2020-03-22,0
confirmados,2020-08-20,2020-03-22,0
confirmados,2020-08-21,2020-03-22,0
sospechosos,2020-08-21,2020-03-22,1
confirmados,2020-08-22,2020-03-22,0
confirmados,2020-08-23,2020-03-22,0
confirmados,2020-08-24,2020-03-22,0
confirmados,2020-08-25,2020-03-22,0
confirmados,2020-08-26,2020-03-22,0
confirmados,2020-08-27,2020-03-22,0
confirmados,2020-08-28,2020-03-22,0
confirmados,2020-08-29,2020-03-22,0
confirmados,2020-06-18,2020-03-23,1
sospechosos,2020-06-18,2020-03-23,0
confirmados,2020-06-28,2020-03-23,1
sospechosos,2020-06-28,2020-03-23,0
confirmados,2020-07-03,2020-03-23,1
sospechosos,2020-07-03,2020-03-23,0
confirmados,2020-07-09,2020-03-23,1
sospechosos,2020-07-09,2020-03-23,0
confirmados,2020-07-17,2020-03-23,1
confirmados,2020-07-18,2020-03-23,1
sospechosos,2020-07-18,2020-03-23,0
confirmados,2020-07-19,2020-03-23,1
confirmados,2020-07-20,2020-03-23,1
confirmados,2020-07-21,2020-03-23,1
confirmados,2020-07-22,2020-03-23,1
confirmados,2020-07-23,2020-03-23,1
sospechosos,2020-07-24,2020-03-23,0
confirmados,2020-07-24,2020-03-23,1
confirmados,2020-07-25,2020-03-23,1
confirmados,2020-07-26,2020-03-23,1
confirmados,2020-07-27,2020-03-23,1
confirmados,2020-07-28,2020-03-23,1
confirmados,2020-07-29,2020-03-23,1
confirmados,2020-07-30,2020-03-23,1
confirmados,2020-07-31,2020-03-23,1
sospechosos,2020-08-01,2020-03-23,0
confirmados,2020-08-01,2020-03-23,1
confirmados,2020-08-02,2020-03-23,1
confirmados,2020-08-03,2020-03-23,1
confirmados,2020-08-04,2020-03-23,1
confirmados,2020-08-05,2020-03-23,1
confirmados,2020-08-06,2020-03-23,1
confirmados,2020-08-07,2020-03-23,1
sospechosos,2020-08-07,2020-03-23,0
confirmados,2020-08-08,2020-03-23,1
sospechosos,2020-08-08,2020-03-23,0
confirmados,2020-08-09,2020-03-23,1
confirmados,2020-08-10,2020-03-23,1
confirmados,2020-08-11,2020-03-23,1
confirmados,2020-08-12,2020-03-23,1
confirmados,2020-08-13,2020-03-23,1
sospechosos,2020-08-14,2020-03-23,0
confirmados,2020-08-14,2020-03-23,1
confirmados,2020-08-15,2020-03-23,1
confirmados,2020-08-16,2020-03-23,1
confirmados,2020-08-17,2020-03-23,1
confirmados,2020-08-18,2020-03-23,1
confirmados,2020-08-19,2020-03-23,1
confirmados,2020-08-20,2020-03-23,1
confirmados,2020-08-21,2020-03-23,1
sospechosos,2020-08-21,2020-03-23,0
confirmados,2020-08-22,2020-03-23,1
confirmados,2020-08-23,2020-03-23,1
confirmados,2020-08-24,2020-03-23,1
confirmados,2020-08-25,2020-03-23,1
confirmados,2020-08-26,2020-03-23,1
confirmados,2020-08-27,2020-03-23,1
confirmados,2020-08-28,2020-03-23,1
confirmados,2020-08-29,2020-03-23,1
confirmados,2020-06-18,2020-03-24,0
sospechosos,2020-06-18,2020-03-24,4
confirmados,2020-06-28,2020-03-24,0
sospechosos,2020-06-28,2020-03-24,3
confirmados,2020-07-03,2020-03-24,0
sospechosos,2020-07-03,2020-03-24,3
confirmados,2020-07-09,2020-03-24,0
sospechosos,2020-07-09,2020-03-24,3
confirmados,2020-07-17,2020-03-24,0
confirmados,2020-07-18,2020-03-24,0
sospechosos,2020-07-18,2020-03-24,3
confirmados,2020-07-19,2020-03-24,0
confirmados,2020-07-20,2020-03-24,0
confirmados,2020-07-21,2020-03-24,0
confirmados,2020-07-22,2020-03-24,0
confirmados,2020-07-23,2020-03-24,0
sospechosos,2020-07-24,2020-03-24,3
confirmados,2020-07-24,2020-03-24,0
confirmados,2020-07-25,2020-03-24,0
confirmados,2020-07-26,2020-03-24,0
confirmados,2020-07-27,2020-03-24,0
confirmados,2020-07-28,2020-03-24,0
confirmados,2020-07-29,2020-03-24,0
confirmados,2020-07-30,2020-03-24,0
confirmados,2020-07-31,2020-03-24,0
sospechosos,2020-08-01,2020-03-24,3
confirmados,2020-08-01,2020-03-24,0
confirmados,2020-08-02,2020-03-24,0
confirmados,2020-08-03,2020-03-24,0
confirmados,2020-08-04,2020-03-24,0
confirmados,2020-08-05,2020-03-24,0
confirmados,2020-08-06,2020-03-24,0
confirmados,2020-08-07,2020-03-24,0
sospechosos,2020-08-07,2020-03-24,3
confirmados,2020-08-08,2020-03-24,0
sospechosos,2020-08-08,2020-03-24,3
confirmados,2020-08-09,2020-03-24,0
confirmados,2020-08-10,2020-03-24,0
confirmados,2020-08-11,2020-03-24,0
confirmados,2020-08-12,2020-03-24,0
confirmados,2020-08-13,2020-03-24,0
sospechosos,2020-08-14,2020-03-24,3
confirmados,2020-08-14,2020-03-24,0
confirmados,2020-08-15,2020-03-24,0
confirmados,2020-08-16,2020-03-24,0
confirmados,2020-08-17,2020-03-24,0
confirmados,2020-08-18,2020-03-24,0
confirmados,2020-08-19,2020-03-24,0
confirmados,2020-08-20,2020-03-24,0
confirmados,2020-08-21,2020-03-24,0
sospechosos,2020-08-21,2020-03-24,3
confirmados,2020-08-22,2020-03-24,0
confirmados,2020-08-23,2020-03-24,0
confirmados,2020-08-24,2020-03-24,0
confirmados,2020-08-25,2020-03-24,0
confirmados,2020-08-26,2020-03-24,0
confirmados,2020-08-27,2020-03-24,0
confirmados,2020-08-28,2020-03-24,0
confirmados,2020-08-29,2020-03-24,0
confirmados,2020-06-18,2020-03-25,1
sospechosos,2020-06-18,2020-03-25,2
confirmados,2020-06-28,2020-03-25,1
sospechosos,2020-06-28,2020-03-25,1
confirmados,2020-07-03,2020-03-25,1
sospechosos,2020-07-03,2020-03-25,1
confirmados,2020-07-09,2020-03-25,1
sospechosos,2020-07-09,2020-03-25,1
confirmados,2020-07-17,2020-03-25,1
confirmados,2020-07-18,2020-03-25,1
sospechosos,2020-07-18,2020-03-25,1
confirmados,2020-07-19,2020-03-25,1
confirmados,2020-07-20,2020-03-25,1
confirmados,2020-07-21,2020-03-25,1
confirmados,2020-07-22,2020-03-25,1
confirmados,2020-07-23,2020-03-25,1
sospechosos,2020-07-24,2020-03-25,1
confirmados,2020-07-24,2020-03-25,1
confirmados,2020-07-25,2020-03-25,1
confirmados,2020-07-26,2020-03-25,1
confirmados,2020-07-27,2020-03-25,1
confirmados,2020-07-28,2020-03-25,1
confirmados,2020-07-29,2020-03-25,1
confirmados,2020-07-30,2020-03-25,1
confirmados,2020-07-31,2020-03-25,1
sospechosos,2020-08-01,2020-03-25,1
confirmados,2020-08-01,2020-03-25,1
confirmados,2020-08-02,2020-03-25,1
confirmados,2020-08-03,2020-03-25,1
confirmados,2020-08-04,2020-03-25,1
confirmados,2020-08-05,2020-03-25,1
confirmados,2020-08-06,2020-03-25,1
confirmados,2020-08-07,2020-03-25,1
sospechosos,2020-08-07,2020-03-25,1
confirmados,2020-08-08,2020-03-25,1
sospechosos,2020-08-08,2020-03-25,1
confirmados,2020-08-09,2020-03-25,1
confirmados,2020-08-10,2020-03-25,1
confirmados,2020-08-11,2020-03-25,1
confirmados,2020-08-12,2020-03-25,1
confirmados,2020-08-13,2020-03-25,1
sospechosos,2020-08-14,2020-03-25,1
confirmados,2020-08-14,2020-03-25,1
confirmados,2020-08-15,2020-03-25,1
confirmados,2020-08-16,2020-03-25,1
confirmados,2020-08-17,2020-03-25,1
confirmados,2020-08-18,2020-03-25,1
confirmados,2020-08-19,2020-03-25,1
confirmados,2020-08-20,2020-03-25,1
confirmados,2020-08-21,2020-03-25,1
sospechosos,2020-08-21,2020-03-25,1
confirmados,2020-08-22,2020-03-25,1
confirmados,2020-08-23,2020-03-25,1
confirmados,2020-08-24,2020-03-25,1
confirmados,2020-08-25,2020-03-25,1
confirmados,2020-08-26,2020-03-25,1
confirmados,2020-08-27,2020-03-25,1
confirmados,2020-08-28,2020-03-25,1
confirmados,2020-08-29,2020-03-25,1
confirmados,2020-06-18,2020-03-26,1
sospechosos,2020-06-18,2020-03-26,1
confirmados,2020-06-28,2020-03-26,1
sospechosos,2020-06-28,2020-03-26,1
confirmados,2020-07-03,2020-03-26,1
sospechosos,2020-07-03,2020-03-26,1
confirmados,2020-07-09,2020-03-26,1
sospechosos,2020-07-09,2020-03-26,1
confirmados,2020-07-17,2020-03-26,1
confirmados,2020-07-18,2020-03-26,1
sospechosos,2020-07-18,2020-03-26,1
confirmados,2020-07-19,2020-03-26,1
confirmados,2020-07-20,2020-03-26,1
confirmados,2020-07-21,2020-03-26,1
confirmados,2020-07-22,2020-03-26,1
confirmados,2020-07-23,2020-03-26,1
sospechosos,2020-07-24,2020-03-26,1
confirmados,2020-07-24,2020-03-26,1
confirmados,2020-07-25,2020-03-26,1
confirmados,2020-07-26,2020-03-26,1
confirmados,2020-07-27,2020-03-26,1
confirmados,2020-07-28,2020-03-26,1
confirmados,2020-07-29,2020-03-26,1
confirmados,2020-07-30,2020-03-26,1
confirmados,2020-07-31,2020-03-26,1
sospechosos,2020-08-01,2020-03-26,1
confirmados,2020-08-01,2020-03-26,1
confirmados,2020-08-02,2020-03-26,1
confirmados,2020-08-03,2020-03-26,1
confirmados,2020-08-04,2020-03-26,1
confirmados,2020-08-05,2020-03-26,1
confirmados,2020-08-06,2020-03-26,1
confirmados,2020-08-07,2020-03-26,1
sospechosos,2020-08-07,2020-03-26,1
confirmados,2020-08-08,2020-03-26,1
sospechosos,2020-08-08,2020-03-26,1
confirmados,2020-08-09,2020-03-26,1
confirmados,2020-08-10,2020-03-26,1
confirmados,2020-08-11,2020-03-26,1
confirmados,2020-08-12,2020-03-26,1
confirmados,2020-08-13,2020-03-26,1
sospechosos,2020-08-14,2020-03-26,1
confirmados,2020-08-14,2020-03-26,1
confirmados,2020-08-15,2020-03-26,1
confirmados,2020-08-16,2020-03-26,1
confirmados,2020-08-17,2020-03-26,1
confirmados,2020-08-18,2020-03-26,1
confirmados,2020-08-19,2020-03-26,1
confirmados,2020-08-20,2020-03-26,1
confirmados,2020-08-21,2020-03-26,1
sospechosos,2020-08-21,2020-03-26,1
confirmados,2020-08-22,2020-03-26,1
confirmados,2020-08-23,2020-03-26,1
confirmados,2020-08-24,2020-03-26,1
confirmados,2020-08-25,2020-03-26,1
confirmados,2020-08-26,2020-03-26,1
confirmados,2020-08-27,2020-03-26,1
confirmados,2020-08-28,2020-03-26,1
confirmados,2020-08-29,2020-03-26,1
confirmados,2020-06-18,2020-03-27,1
sospechosos,2020-06-18,2020-03-27,6
confirmados,2020-06-28,2020-03-27,1
sospechosos,2020-06-28,2020-03-27,5
confirmados,2020-07-03,2020-03-27,1
sospechosos,2020-07-03,2020-03-27,5
confirmados,2020-07-09,2020-03-27,1
sospechosos,2020-07-09,2020-03-27,4
confirmados,2020-07-17,2020-03-27,1
