Region,Codigo region,Poblacion,fecha,numero
Metropolitana,13,8125072,2020-04-17,202
O’Higgins,6,991063,2020-04-17,4
Maule,7,1131939,2020-04-17,12
Ñuble,16,511551,2020-04-17,12
Biobío,8,1663696,2020-04-17,27
Araucanía,9,1014343,2020-04-17,47
Los Ríos,14,405835,2020-04-17,6
Los Lagos,10,891440,2020-04-17,26
Aysén,11,107297,2020-04-17,0
Magallanes,12,178362,2020-04-17,18
Arica y Parinacota,15,252110,2020-04-18,5
Tarapacá,1,382773,2020-04-18,0
Antofagasta,2,691854,2020-04-18,5
Atacama,3,314709,2020-04-18,1
Coquimbo,4,836096,2020-04-18,0
Valparaíso,5,1960170,2020-04-18,19
Metropolitana,13,8125072,2020-04-18,181
O’Higgins,6,991063,2020-04-18,4
Maule,7,1131939,2020-04-18,12
Ñuble,16,511551,2020-04-18,13
Biobío,8,1663696,2020-04-18,25
Araucanía,9,1014343,2020-04-18,46
Los Ríos,14,405835,2020-04-18,6
Los Lagos,10,891440,2020-04-18,26
Aysén,11,107297,2020-04-18,0
Magallanes,12,178362,2020-04-18,17
Arica y Parinacota,15,252110,2020-04-19,5
Tarapacá,1,382773,2020-04-19,1
Antofagasta,2,691854,2020-04-19,5
Atacama,3,314709,2020-04-19,1
Coquimbo,4,836096,2020-04-19,0
Valparaíso,5,1960170,2020-04-19,22
Metropolitana,13,8125072,2020-04-19,186
O’Higgins,6,991063,2020-04-19,4
Maule,7,1131939,2020-04-19,15
Ñuble,16,511551,2020-04-19,14
Biobío,8,1663696,2020-04-19,26
Araucanía,9,1014343,2020-04-19,44
Los Ríos,14,405835,2020-04-19,7
Los Lagos,10,891440,2020-04-19,25
Aysén,11,107297,2020-04-19,0
Magallanes,12,178362,2020-04-19,18
Arica y Parinacota,15,252110,2020-04-20,5
Tarapacá,1,382773,2020-04-20,1
Antofagasta,2,691854,2020-04-20,5
Atacama,3,314709,2020-04-20,1
Coquimbo,4,836096,2020-04-20,0
Valparaíso,5,1960170,2020-04-20,22
Metropolitana,13,8125072,2020-04-20,194
O’Higgins,6,991063,2020-04-20,4
Maule,7,1131939,2020-04-20,9
Ñuble,16,511551,2020-04-20,15
Biobío,8,1663696,2020-04-20,26
Araucanía,9,1014343,2020-04-20,45
Los Ríos,14,405835,2020-04-20,5
Los Lagos,10,891440,2020-04-20,24
Aysén,11,107297,2020-04-20,0
Magallanes,12,178362,2020-04-20,21
Arica y Parinacota,15,252110,2020-04-21,5
Tarapacá,1,382773,2020-04-21,1
Antofagasta,2,691854,2020-04-21,7
Atacama,3,314709,2020-04-21,1
Coquimbo,4,836096,2020-04-21,0
Valparaíso,5,1960170,2020-04-21,22
Metropolitana,13,8125072,2020-04-21,204
O’Higgins,6,991063,2020-04-21,3
Maule,7,1131939,2020-04-21,14
Ñuble,16,511551,2020-04-21,15
Biobío,8,1663696,2020-04-21,25
Araucanía,9,1014343,2020-04-21,45
Los Ríos,14,405835,2020-04-21,6
Los Lagos,10,891440,2020-04-21,25
Aysén,11,107297,2020-04-21,0
Magallanes,12,178362,2020-04-21,19
Arica y Parinacota,15,252110,2020-04-22,4
Tarapacá,1,382773,2020-04-22,2
Antofagasta,2,691854,2020-04-22,10
Atacama,3,314709,2020-04-22,1
Coquimbo,4,836096,2020-04-22,0
Valparaíso,5,1960170,2020-04-22,24
Metropolitana,13,8125072,2020-04-22,213
O’Higgins,6,991063,2020-04-22,4
Maule,7,1131939,2020-04-22,10
Ñuble,16,511551,2020-04-22,15
Biobío,8,1663696,2020-04-22,25
Araucanía,9,1014343,2020-04-22,43
Los Ríos,14,405835,2020-04-22,7
Los Lagos,10,891440,2020-04-22,23
Aysén,11,107297,2020-04-22,0
Magallanes,12,178362,2020-04-22,18
Arica y Parinacota,15,252110,2020-04-23,4
Tarapacá,1,382773,2020-04-23,2
Antofagasta,2,691854,2020-04-23,14
Atacama,3,314709,2020-04-23,1
Coquimbo,4,836096,2020-04-23,0
Valparaíso,5,1960170,2020-04-23,20
Metropolitana,13,8125072,2020-04-23,234
O’Higgins,6,991063,2020-04-23,4
Maule,7,1131939,2020-04-23,9
Ñuble,16,511551,2020-04-23,15
Biobío,8,1663696,2020-04-23,25
Araucanía,9,1014343,2020-04-23,37
Los Ríos,14,405835,2020-04-23,7
Los Lagos,10,891440,2020-04-23,22
Aysén,11,107297,2020-04-23,0
Magallanes,12,178362,2020-04-23,17
Arica y Parinacota,15,252110,2020-04-24,7
Tarapacá,1,382773,2020-04-24,2
Antofagasta,2,691854,2020-04-24,16
Atacama,3,314709,2020-04-24,1
Coquimbo,4,836096,2020-04-24,0
Valparaíso,5,1960170,2020-04-24,17
Metropolitana,13,8125072,2020-04-24,242
O’Higgins,6,991063,2020-04-24,4
Maule,7,1131939,2020-04-24,9
Ñuble,16,511551,2020-04-24,13
Biobío,8,1663696,2020-04-24,22
Araucanía,9,1014343,2020-04-24,38
Los Ríos,14,405835,2020-04-24,7
Los Lagos,10,891440,2020-04-24,21
Aysén,11,107297,2020-04-24,0
Magallanes,12,178362,2020-04-24,16
Arica y Parinacota,15,252110,2020-04-25,8
Tarapacá,1,382773,2020-04-25,3
Antofagasta,2,691854,2020-04-25,16
Atacama,3,314709,2020-04-25,1
Coquimbo,4,836096,2020-04-25,0
Valparaíso,5,1960170,2020-04-25,16
Metropolitana,13,8125072,2020-04-25,246
O’Higgins,6,991063,2020-04-25,4
Maule,7,1131939,2020-04-25,8
Ñuble,16,511551,2020-04-25,10
Biobío,8,1663696,2020-04-25,22
Araucanía,9,1014343,2020-04-25,39
Los Ríos,14,405835,2020-04-25,7
Los Lagos,10,891440,2020-04-25,21
Aysén,11,107297,2020-04-25,0
Magallanes,12,178362,2020-04-25,17
Arica y Parinacota,15,252110,2020-04-26,9
Tarapacá,1,382773,2020-04-26,2
Antofagasta,2,691854,2020-04-26,15
Atacama,3,314709,2020-04-26,1
Coquimbo,4,836096,2020-04-26,0
Valparaíso,5,1960170,2020-04-26,14
Metropolitana,13,8125072,2020-04-26,248
O’Higgins,6,991063,2020-04-26,4
Maule,7,1131939,2020-04-26,10
Ñuble,16,511551,2020-04-26,10
Biobío,8,1663696,2020-04-26,23
Araucanía,9,1014343,2020-04-26,38
Los Ríos,14,405835,2020-04-26,7
Los Lagos,10,891440,2020-04-26,17
Aysén,11,107297,2020-04-26,0
Magallanes,12,178362,2020-04-26,17
Arica y Parinacota,15,252110,2020-04-27,10
Tarapacá,1,382773,2020-04-27,2
Antofagasta,2,691854,2020-04-27,17
Atacama,3,314709,2020-04-27,1
