Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2020-04-22,4,2,10,1,0,24,213,4,10,15,25,43,7,23,0,18
2020-04-23,4,2,14,1,0,20,234,4,9,15,25,37,7,22,0,17
2020-04-24,7,2,16,1,0,17,242,4,9,13,22,38,7,21,0,16
2020-04-25,8,3,16,1,0,16,246,4,8,10,22,39,7,21,0,17
2020-04-26,9,2,15,1,0,14,248,4,10,10,23,38,7,17,0,17
2020-04-27,10,2,17,1,0,15,252,4,10,10,24,37,6,17,0,21
2020-04-28,10,2,19,1,0,15,258,5,8,9,21,35,5,18,0,22
2020-04-29,9,3,20,1,0,14,256,4,7,7,22,35,5,18,0,17
2020-04-30,8,2,21,1,0,18,257,5,6,7,22,30,5,19,0,18
2020-05-01,9,2,23,1,0,19,262,6,5,8,23,29,5,18,0,18
2020-05-02,7,2,22,1,0,18,269,5,5,8,21,28,4,17,0,18
2020-05-03,7,4,24,1,0,17,289,5,8,9,20,27,3,17,0,18
2020-05-04,7,4,25,1,0,18,303,5,8,9,18,26,3,18,0,19
2020-05-05,6,5,24,1,0,17,314,7,7,7,18,25,4,16,0,19
2020-05-06,7,5,28,1,0,16,340,5,4,7,15,24,4,11,0,19
2020-05-07,8,5,28,1,0,15,348,6,4,7,14,24,4,10,0,19
2020-05-08,7,4,29,1,0,18,366,6,4,7,16,21,4,10,0,15
2020-05-09,7,6,30,2,0,19,394,5,4,8,18,22,3,11,0,15
2020-05-10,7,6,31,2,0,18,415,5,4,8,19,23,2,10,0,15
2020-05-11,7,7,32,2,0,19,421,5,5,8,18,22,2,10,0,16
2020-05-12,7,9,32,2,0,21,450,6,6,7,17,20,1,10,0,16
2020-05-13,7,8,38,2,0,24,490,7,6,5,14,18,0,11,0,12
2020-05-14,7,9,39,2,0,25,509,8,6,5,11,17,0,13,0,12
2020-05-15,7,13,41,3,2,25,551,7,6,5,12,16,0,11,0,12
2020-05-16,8,13,45,3,1,26,581,10,8,5,14,16,0,10,0,11
2020-05-17,8,12,49,3,1,27,595,10,8,5,14,17,0,9,0,11
2020-05-18,8,16,47,3,1,32,620,9,8,5,17,18,0,11,0,12
2020-05-19,8,18,50,3,1,34,682,9,8,7,18,18,0,10,0,10
2020-05-20,7,18,50,3,0,38,705,14,8,7,19,18,0,8,0,9
2020-05-21,7,21,50,3,1,38,730,18,10,8,23,17,0,8,0,9
2020-05-22,8,18,44,3,3,37,771,22,16,9,21,18,0,9,0,7
2020-05-23,9,17,44,3,3,46,832,24,15,10,23,19,0,10,0,7
2020-05-24,8,17,46,3,4,50,851,26,18,9,22,19,0,10,0,7
2020-05-25,8,15,47,2,6,54,884,26,22,12,23,18,1,10,0,7
2020-05-26,8,16,49,2,6,66,927,28,25,12,26,19,1,10,0,7
2020-05-27,9,16,48,2,9,74,959,30,29,12,26,18,1,10,0,8
2020-05-28,9,23,48,2,9,73,977,33,33,12,29,17,2,14,0,8
2020-05-29,11,23,54,2,12,79,1014,33,36,12,31,20,2,14,0,7
2020-05-30,12,23,52,2,10,88,1022,39,39,10,32,19,2,14,0,7
2020-05-31,12,25,48,2,11,95,1033,40,38,10,30,19,2,14,0,4
2020-06-01,11,26,51,2,11,96,1088,40,39,11,33,18,2,14,0,4
2020-06-02,11,29,53,2,10,94,1090,36,39,12,37,17,1,15,0,5
2020-06-03,11,32,54,2,9,92,1112,31,43,13,39,17,1,14,0,5
2020-06-04,11,32,54,2,10,90,1128,31,48,12,43,17,1,12,0,5
2020-06-05,12,34,46,2,11,92,1147,35,41,13,47,20,2,13,0,6
2020-06-06,12,39,49,2,11,86,1144,35,42,13,50,18,2,17,0,4
2020-06-07,11,41,51,2,10,91,1174,36,42,13,47,16,2,17,1,4
2020-06-08,10,44,53,2,11,91,1182,36,49,16,46,16,2,18,1,4
2020-06-09,12,45,55,2,13,95,1172,34,44,16,46,16,2,20,1,4
2020-06-10,13,42,58,1,17,98,1179,37,44,13,45,16,2,20,1,4
2020-06-11,12,47,62,2,18,105,1185,36,44,12,52,17,2,20,1,3
2020-06-12,13,45,63,2,15,107,1207,38,52,11,55,13,2,20,1,3
2020-06-13,13,45,62,4,16,104,1207,38,50,10,66,15,2,20,1,3
2020-06-14,14,45,62,5,17,104,1257,38,50,11,68,17,2,21,1,3
2020-06-15,14,36,63,6,16,106,1270,42,48,10,72,17,2,18,1,2
2020-06-16,14,35,67,7,16,102,1271,42,52,10,66,18,2,20,1,4
2020-06-17,14,38,72,7,14,102,1329,42,54,14,63,18,2,20,1,4
2020-06-18,15,40,75,7,16,106,1372,43,55,14,61,15,2,19,1,4
2020-06-19,15,42,75,7,18,116,1411,52,56,15,63,15,1,19,1,5
2020-06-20,15,38,68,7,21,122,1437,57,59,14,66,15,1,26,1,4
2020-06-21,14,36,78,7,19,129,1459,59,61,18,68,15,6,23,1,3
2020-06-22,14,35,78,7,22,123,1469,59,66,20,66,16,6,29,1,3
2020-06-23,13,34,79,7,23,119,1467,58,67,17,68,18,6,30,1,2
2020-06-24,14,36,79,10,26,121,1482,68,70,15,64,19,10,30,0,2
2020-06-25,13,37,82,9,27,127,1495,87,59,13,68,18,9,30,1,3
2020-06-26,13,32,87,11,30,133,1479,89,64,18,69,18,8,31,1,3
2020-06-27,14,31,83,11,29,133,1498,91,56,17,72,17,8,26,1,3
2020-06-28,15,32,84,11,30,137,1533,94,55,13,69,17,8,27,1,3
2020-06-29,15,32,85,11,33,134,1496,93,58,14,65,17,8,25,1,3
2020-06-30,14,31,92,11,34,135,1499,95,58,15,71,17,7,23,1,3
2020-07-01,14,30,93,12,35,132,1474,97,52,15,70,16,7,24,1,3
2020-07-02,13,29,97,12,35,131,1493,105,51,15,71,15,7,20,1,4
2020-07-03,13,29,94,12,41,136,1498,96,58,15,70,15,6,19,1,4
2020-07-04,11,25,88,12,40,136,1480,98,61,11,69,16,6,19,1,4
2020-07-05,11,24,91,10,42,140,1485,101,59,11,66,14,6,15,1,2
2020-07-06,11,26,81,10,44,145,1474,100,59,12,66,14,9,15,1,2
2020-07-07,14,26,86,10,43,148,1453,101,62,11,65,13,11,14,1,2
2020-07-08,14,27,89,10,39,153,1449,98,59,10,67,10,9,16,1,2
2020-07-09,14,27,86,10,35,137,1424,96,57,10,67,10,8,16,1,1
2020-07-10,16,27,82,9,34,135,1422,95,51,10,70,10,9,17,1,2
2020-07-11,17,26,77,9,34,139,1424,95,55,10,73,9,7,21,1,2
2020-07-12,17,27,74,9,31,139,1429,89,56,11,74,9,6,21,1,2
2020-07-13,20,27,70,7,33,134,1378,88,54,10,74,6,6,21,1,2
2020-07-14,20,27,72,6,34,131,1376,84,46,11,71,7,6,21,1,2
2020-07-15,21,27,78,6,36,131,1336,82,48,8,68,7,6,20,1,3
2020-07-16,21,28,84,7,31,133,1274,80,51,8,67,8,5,19,1,4
2020-07-17,21,30,83,7,30,131,1260,72,49,9,69,7,4,19,1,4
2020-07-18,23,30,84,8,33,131,1240,73,51,9,75,8,4,19,1,3
2020-07-19,23,31,87,8,35,125,1223,71,50,10,70,6,3,18,1,3
2020-07-20,22,33,86,7,36,120,1210,75,51,11,72,7,2,19,1,1
2020-07-21,23,32,82,8,34,120,1185,75,54,12,72,9,2,19,1,0
2020-07-22,23,32,80,7,38,117,1159,63,53,11,73,9,2,20,1,0
2020-07-23,24,29,80,6,34,122,1134,66,52,11,75,11,2,21,1,2
2020-07-24,23,29,84,6,36,115,1109,64,50,8,74,13,2,20,1,2
2020-07-25,21,26,88,5,35,115,1096,60,47,9,74,12,2,19,1,2
2020-07-26,18,26,82,7,34,119,1069,64,52,12,73,11,2,20,1,2
2020-07-27,23,26,81,7,34,115,1040,66,52,8,69,11,1,19,1,2
2020-07-28,23,26,80,7,34,112,1026,59,49,9,70,10,1,20,1,2
2020-07-29,24,28,72,7,38,110,1001,56,44,8,63,10,1,20,1,2
2020-07-30,26,29,82,6,38,110,979,48,38,7,64,10,1,21,1,3
2020-07-31,25,26,81,8,40,112,953,50,36,8,68,11,2,21,1,3
2020-08-01,25,26,81,8,40,112,953,50,36,8,68,11,2,21,1,3
2020-08-02,26,25,79,8,45,110,950,51,34,8,66,10,2,19,1,3
2020-08-03,25,24,78,9,39,106,945,51,32,8,67,11,3,17,1,3
2020-08-04,25,23,79,8,38,103,939,53,30,7,66,11,3,16,1,3
2020-08-05,26,22,77,7,38,102,937,48,32,8,71,8,3,16,1,4
2020-08-06,23,16,76,6,40,102,899,42,32,10,77,9,3,17,1,5
2020-08-07,25,20,75,6,45,103,876,44,29,9,80,9,3,17,1,6
2020-08-08,25,22,71,6,42,96,842,45,30,9,80,9,3,18,1,6
2020-08-09,26,23,69,6,40,95,821,45,30,9,78,8,2,17,1,6
2020-08-10,28,24,70,8,40,98,826,46,26,8,73,7,2,18,1,5
2020-08-11,26,26,70,8,42,95,811,47,27,10,72,7,2,18,1,6
2020-08-12,26,27,73,8,40,93,801,42,31,9,74,6,2,18,1,4
2020-08-13,27,25,68,10,44,91,802,49,33,10,70,6,2,17,1,4
2020-08-14,28,23,67,10,44,95,792,47,30,13,72,6,2,18,1,4
2020-08-15,29,23,72,11,46,94,741,46,28,13,71,6,2,18,1,6
2020-08-16,28,24,70,11,43,96,723,48,25,13,78,7,2,16,1,5
2020-08-17,25,24,73,12,43,96,708,48,24,16,76,7,2,18,1,4
2020-08-18,24,24,77,9,40,97,693,47,25,15,76,7,2,18,1,2
2020-08-19,24,23,74,9,42,94,669,39,24,15,76,8,2,18,1,2
2020-08-20,21,23,67,8,39,97,649,36,23,15,70,7,2,17,1,2
2020-08-21,20,23,70,7,42,97,631,42,21,13,79,7,2,15,1,2
2020-08-22,20,23,71,8,36,94,610,42,26,14,83,8,2,16,0,5
2020-08-23,18,21,68,8,39,95,582,45,27,14,80,8,2,15,0,5
2020-08-24,18,19,70,7,38,93,572,46,27,12,81,7,2,16,0,6
2020-08-25,19,20,70,6,38,94,561,46,30,11,83,6,2,17,1,7
2020-08-26,19,18,69,6,39,93,563,43,28,12,82,6,1,16,1,8
2020-08-27,20,18,65,7,39,92,569,45,27,12,82,6,1,16,1,12
2020-08-28,18,18,63,8,41,93,539,47,34,13,85,6,0,17,1,12
2020-08-29,16,17,59,8,39,95,519,43,33,10,83,6,0,17,1,13
