region_residencia,comuna_residencia,Fecha defunciones,confirmados,sospechosos,totales
De Arica y Parinacota,Arica,2020-08-10,1.0,,1.0
De Arica y Parinacota,Arica,2020-08-11,1.0,2.0,3.0
De Arica y Parinacota,Arica,2020-08-12,2.0,2.0,4.0
De Arica y Parinacota,Arica,2020-08-13,2.0,,2.0
De Arica y Parinacota,Arica,2020-08-14,3.0,5.0,8.0
De Arica y Parinacota,Arica,2020-08-15,2.0,1.0,3.0
De Arica y Parinacota,Arica,2020-08-16,2.0,,2.0
De Arica y Parinacota,Arica,2020-08-17,2.0,,2.0
De Arica y Parinacota,Arica,2020-08-18,2.0,1.0,3.0
De Arica y Parinacota,Arica,2020-08-19,,1.0,1.0
De Atacama,Alto del Carmen,2020-05-30,,1.0,1.0
De Atacama,Chañaral,2020-07-31,,1.0,1.0
De Atacama,Chañaral,2020-08-02,,1.0,1.0
De Atacama,Copiapó,2020-03-24,,1.0,1.0
De Atacama,Copiapó,2020-06-08,1.0,,1.0
De Atacama,Copiapó,2020-06-14,,1.0,1.0
De Atacama,Copiapó,2020-06-20,,1.0,1.0
De Atacama,Copiapó,2020-06-21,1.0,,1.0
De Atacama,Copiapó,2020-06-26,,1.0,1.0
De Atacama,Copiapó,2020-06-29,1.0,1.0,2.0
De Atacama,Copiapó,2020-06-30,1.0,,1.0
De Atacama,Copiapó,2020-07-03,2.0,1.0,3.0
De Atacama,Copiapó,2020-07-04,,1.0,1.0
De Atacama,Copiapó,2020-07-06,1.0,,1.0
De Atacama,Copiapó,2020-07-10,1.0,,1.0
De Atacama,Copiapó,2020-07-15,,1.0,1.0
De Atacama,Copiapó,2020-07-16,,2.0,2.0
De Atacama,Copiapó,2020-07-18,1.0,,1.0
De Atacama,Copiapó,2020-07-21,,1.0,1.0
De Atacama,Copiapó,2020-07-22,,1.0,1.0
De Atacama,Copiapó,2020-07-24,,1.0,1.0
De Atacama,Copiapó,2020-07-26,,2.0,2.0
De Atacama,Copiapó,2020-07-29,1.0,,1.0
De Atacama,Copiapó,2020-07-30,1.0,,1.0
De Atacama,Copiapó,2020-08-01,2.0,1.0,3.0
De Atacama,Copiapó,2020-08-02,2.0,2.0,4.0
De Atacama,Copiapó,2020-08-03,1.0,,1.0
De Atacama,Copiapó,2020-08-05,1.0,,1.0
De Atacama,Copiapó,2020-08-06,2.0,,2.0
De Atacama,Copiapó,2020-08-07,2.0,,2.0
De Atacama,Copiapó,2020-08-10,3.0,1.0,4.0
De Atacama,Copiapó,2020-08-12,1.0,,1.0
De Atacama,Copiapó,2020-08-14,3.0,2.0,5.0
De Atacama,Copiapó,2020-08-15,1.0,,1.0
De Atacama,Copiapó,2020-08-16,,1.0,1.0
De Atacama,Copiapó,2020-08-17,2.0,1.0,3.0
De Atacama,Copiapó,2020-08-18,2.0,1.0,3.0
De Atacama,Diego de Almagro,2020-07-04,1.0,,1.0
De Atacama,Diego de Almagro,2020-07-07,1.0,,1.0
De Atacama,Diego de Almagro,2020-08-16,,1.0,1.0
De Atacama,Freirina,2020-06-25,,1.0,1.0
De Atacama,Freirina,2020-08-06,,1.0,1.0
De Atacama,Freirina,2020-08-15,1.0,,1.0
De Atacama,Freirina,2020-08-16,1.0,,1.0
De Atacama,Huasco,2020-07-14,,1.0,1.0
De Atacama,Huasco,2020-08-14,,1.0,1.0
De Atacama,Tierra Amarilla,2020-07-23,,1.0,1.0
De Atacama,Tierra Amarilla,2020-08-18,,1.0,1.0
De Atacama,Vallenar,2020-05-14,,1.0,1.0
De Atacama,Vallenar,2020-05-18,,1.0,1.0
De Atacama,Vallenar,2020-06-06,,1.0,1.0
De Atacama,Vallenar,2020-06-20,,1.0,1.0
De Atacama,Vallenar,2020-06-25,,1.0,1.0
De Atacama,Vallenar,2020-06-29,1.0,,1.0
De Atacama,Vallenar,2020-07-02,,1.0,1.0
De Atacama,Vallenar,2020-07-23,,1.0,1.0
De Atacama,Vallenar,2020-08-05,,1.0,1.0
De Atacama,Vallenar,2020-08-07,,1.0,1.0
De Atacama,Vallenar,2020-08-12,1.0,,1.0
De Atacama,Vallenar,2020-08-17,,1.0,1.0
De Atacama,Vallenar,2020-08-18,,2.0,2.0
De Coquimbo,Andacollo,2020-06-27,,1.0,1.0
De Coquimbo,Andacollo,2020-06-29,,1.0,1.0
De Coquimbo,Andacollo,2020-07-23,,1.0,1.0
De Coquimbo,Canela,2020-05-23,1.0,,1.0
De Coquimbo,Canela,2020-06-30,,1.0,1.0
De Coquimbo,Canela,2020-08-06,1.0,,1.0
De Coquimbo,Combarbalá,2020-07-28,1.0,,1.0
De Coquimbo,Combarbalá,2020-08-06,,1.0,1.0
De Coquimbo,Coquimbo,2020-04-21,,1.0,1.0
De Coquimbo,Coquimbo,2020-05-02,,1.0,1.0
De Coquimbo,Coquimbo,2020-05-11,,1.0,1.0
De Coquimbo,Coquimbo,2020-05-13,,1.0,1.0
De Coquimbo,Coquimbo,2020-05-15,,1.0,1.0
De Coquimbo,Coquimbo,2020-05-16,1.0,,1.0
De Coquimbo,Coquimbo,2020-05-22,,1.0,1.0
De Coquimbo,Coquimbo,2020-05-24,1.0,,1.0
De Coquimbo,Coquimbo,2020-05-31,,1.0,1.0
De Coquimbo,Coquimbo,2020-06-03,,2.0,2.0
De Coquimbo,Coquimbo,2020-06-04,,1.0,1.0
De Coquimbo,Coquimbo,2020-06-05,1.0,,1.0
De Coquimbo,Coquimbo,2020-06-09,,1.0,1.0
De Coquimbo,Coquimbo,2020-06-12,1.0,1.0,2.0
De Coquimbo,Coquimbo,2020-06-13,,1.0,1.0
De Coquimbo,Coquimbo,2020-06-16,1.0,,1.0
De Coquimbo,Coquimbo,2020-06-20,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-01,,1.0,1.0
De Coquimbo,Coquimbo,2020-07-07,1.0,,1.0
De Coquimbo,Coquimbo,2020-07-10,1.0,1.0,2.0
De Coquimbo,Coquimbo,2020-07-12,1.0,2.0,3.0
