Date,Closure Policy Name,Policy,New_Cases,Active_cases,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob,population,New_Cases_pc,Active_cases_pc
22,2,10,236,1482,-47,-17,-48,-61,-45,20,-33,10576400,2.23E-05,0.000140123
23,0,2.7,47,1517,-68,-46,-61,-79,-73,34,-48.83333333,10576400,4.44E-06,0.000143433
24,0,2.7,195,1707,-63,-34,-61,-69,-43,22,-41.33333333,10576400,1.84E-05,0.000161397
25,0,2.7,96,1707,-67,-39,-71,-70,-33,20,-43.33333333,10576400,9.08E-06,0.000161397
26,0,2.7,142,1840,-55,-31,-53,-69,-50,25,-38.83333333,10576400,1.34E-05,0.000173972
27,0,2.7,149,1931,-55,-28,-53,-68,-51,24,-38.5,10576400,1.41E-05,0.000182576
28,0,2.7,139,2068,-56,-30,-55,-68,-51,25,-39.16666667,10576400,1.31E-05,0.00019553
29,0,2.7,196,2224,-55,-29,-51,-69,-51,24,-38.5,10576400,1.85E-05,0.000210279
30,0,2.7,145,2365,-55,-28,-47,-70,-50,26,-37.33333333,10576400,1.37E-05,0.000223611
31,0,2.7,109,2466,-62,-34,-59,-66,-37,20,-39.66666667,10576400,1.03E-05,0.000233161
32,0,2.7,108,2511,-64,-36,-67,-67,-29,18,-40.83333333,10576400,1.02E-05,0.000237415
33,0,2.7,65,2580,-56,-32,-53,-69,-49,24,-39.16666667,10576400,6.15E-06,0.000243939
34,0,2.7,163,2676,-58,-33,-56,-69,-51,24,-40.5,10576400,1.54E-05,0.000253016
35,0,2.7,123,2760,-56,-31,-54,-67,-50,23,-39.16666667,10576400,1.16E-05,0.000260958
36,0,2.7,134,2890,-54,-24,-52,-65,-50,22,-37.16666667,10576400,1.27E-05,0.00027325
37,0,2.7,82,2946,-64,-37,-59,-73,-55,29,-43.16666667,10576400,7.75E-06,0.000278545
38,0,2.7,85,3004,-65,-35,-63,-69,-41,22,-41.83333333,10576400,8.04E-06,0.000284029
39,0,2.7,114,3110,-68,-43,-73,-72,-33,21,-44.66666667,10576400,1.08E-05,0.000294051
40,0,2.7,71,3165,-60,-38,-58,-71,-50,26,-41.83333333,10576400,6.71E-06,0.000299251
41,0,2.7,133,3269,-60,-34,-58,-70,-51,25,-41.33333333,10576400,1.26E-05,0.000309084
42,0,2.7,90,3282,-59,-35,-58,-70,-50,24,-41.33333333,10576400,8.51E-06,0.000310314
43,0,2.7,83,3318,-57,-28,-54,-68,-49,24,-38.66666667,10576400,7.85E-06,0.000313717
44,0,2.7,142,3454,-61,-28,-54,-76,-70,32,-42.83333333,10576400,1.34E-05,0.000326576
45,0,2.7,80,3492,-62,-29,-59,-67,-39,21,-39.16666667,10576400,7.56E-06,0.000330169
46,0,2.7,66,3433,-64,-34,-68,-68,-29,19,-40.66666667,10576400,6.24E-06,0.000324591
47,0,2.7,76,3499,-56,-31,-54,-68,-48,24,-38.83333333,10576400,7.19E-06,0.000330831
48,0,2.7,148,3574,-57,-29,-54,-68,-50,24,-39,10576400,1.4E-05,0.000337922
49,0,2.7,83,3615,-57,-31,-56,-68,-49,24,-39.5,10576400,7.85E-06,0.000341799
50,0,2.7,85,3687,-61,-29,-94,-73,-70,30,-49.5,10576400,8.04E-06,0.000348606
51,0,2.7,100,3786,-56,-24,-94,-65,-48,26,-43.5,10576400,9.46E-06,0.000357967
52,0,2.7,101,3877,-60,-25,-95,-62,-36,20,-43,10576400,9.55E-06,0.000366571
53,0,2.7,134,3953,-63,-31,-96,-64,-28,19,-43.83333333,10576400,1.27E-05,0.000373757
54,0,2.7,86,4023,-52,-21,-94,-63,-46,24,-42,10576400,8.13E-06,0.000380375
55,0,2.7,99,4008,-55,-24,-94,-64,-49,24,-43.66666667,10576400,9.36E-06,0.000378957
56,0,2.7,179,4079,-54,-22,-94,-63,-48,24,-42.83333333,10576400,1.69E-05,0.00038567
57,0,2.7,134,4074,-53,-20,-92,-64,-48,23,-42.33333333,10576400,1.27E-05,0.000385197
58,0,2.7,86,4038,-50,-14,-91,-65,-46,23,-40.5,10576400,8.13E-06,0.000381793
59,0,2.7,107,4126,-54,-14,-93,-60,-33,18,-39.33333333,10576400,1.01E-05,0.000390114
60,0,2.7,129,4241,-56,-18,-94,-62,-24,17,-39.5,10576400,1.22E-05,0.000400987
61,0,2.7,49,4289,-51,-22,-92,-64,-46,23,-42,10576400,4.63E-06,0.000405526
62,0,2.7,96,4356,-47,-8,-92,-61,-47,22,-38.83333333,10576400,9.08E-06,0.00041186
63,0,2.7,81,4435,-48,-14,-91,-61,-47,22,-39.83333333,10576400,7.66E-06,0.00041933
64,0,2.7,65,4362,-46,-1,-90,-65,-69,26,-40.83333333,10576400,6.15E-06,0.000412428
65,0,2.7,99,4390,-46,-4,-90,-63,-60,27,-39.33333333,10576400,9.36E-06,0.000415075
66,0,2.7,115,4450,-54,-6,-92,-57,-48,19,-39.66666667,10576400,1.09E-05,0.000420748
67,0,2.7,119,4547,-65,-34,-93,-61,-37,13,-46.16666667,10576400,1.13E-05,0.000429919
68,0,2.7,75,4553,-59,-28,-91,-73,-78,26,-50.5,10576400,7.09E-06,0.000430487
69,0,2.7,89,4629,-54,-21,-91,-66,-58,23,-44.5,10576400,8.41E-06,0.000437673
70,0,2.7,97,4704,-52,-21,-91,-65,-52,23,-43,10576400,9.17E-06,0.000444764
71,0,2.7,106,4790,-50,-17,-91,-64,-49,22,-41.5,10576400,1E-05,0.000452895
72,0,2.7,127,4880,-49,-16,-90,-64,-47,24,-40.33333333,10576400,1.2E-05,0.000461405
73,0,2.7,101,4708,-54,-18,-91,-60,-33,17,-39.83333333,10576400,9.55E-06,0.000445142
74,0,2.7,119,4749,-56,-23,-93,-60,-22,15,-39.83333333,10576400,1.13E-05,0.000449019
75,0,2.7,137,4695,-51,-18,-90,-69,-68,27,-44.83333333,10576400,1.3E-05,0.000443913
76,0,2.7,56,4624,-46,-14,-91,-58,-41,19,-38.5,10576400,5.29E-06,0.0004372
77,0,2.7,82,4514,-47,-16,-91,-59,-42,20,-39.16666667,10576400,7.75E-06,0.000426799
78,0,2.7,67,4560,-46,-14,-90,-59,-41,20,-38.33333333,10576400,6.33E-06,0.000431149
79,1,5.7,76,4491,-44,-13,-88,-58,-38,21,-36.66666667,10576400,7.19E-06,0.000424625
80,1,5.7,104,4510,-48,-13,-90,-55,-27,15,-36.33333333,10576400,9.83E-06,0.000426421
81,1,5.7,163,4374,-52,-18,-91,-56,-20,14,-37.16666667,10576400,1.54E-05,0.000413562
82,1,5.7,88,4386,-41,-14,-88,-53,-35,18,-35.5,10576400,8.32E-06,0.000414697
83,1,5.7,234,4451,-44,-16,-89,-54,-37,18,-37,10576400,2.21E-05,0.000420843
84,1,5.7,148,4451,-42,-15,-89,-53,-36,18,-36.16666667,10576400,1.4E-05,0.000420843
85,1,5.7,147,4452,-41,-16,-87,-54,-37,18,-36.16666667,10576400,1.39E-05,0.000420937
86,1,5.7,90,4419,-38,-13,-85,-54,-35,19,-34.33333333,10576400,8.51E-06,0.000417817
87,1,5.7,121,4473,-44,-14,-86,-51,-23,14,-34,10576400,1.14E-05,0.000422923
88,1,5.7,117,4334,-47,-18,-87,-51,-17,13,-34.5,10576400,1.11E-05,0.00040978
89,1,5.7,142,4368,-33,-12,-85,-49,-33,16,-32.66666667,10576400,1.34E-05,0.000412995
90,1,5.7,102,4336,-35,-13,-86,-49,-35,16,-33.66666667,10576400,9.64E-06,0.000409969
91,1,5.7,127,4341,-35,-13,-86,-49,-34,16,-33.5,10576400,1.2E-05,0.000410442
92,1,5.7,167,4365,-34,-14,-85,-50,-35,16,-33.66666667,10576400,1.58E-05,0.000412711
93,1,5.7,139,4378,-33,-13,-83,-49,-33,17,-32.33333333,10576400,1.31E-05,0.00041394
94,1,5.7,174,4423,-37,-12,-83,-45,-21,11,-31.16666667,10576400,1.65E-05,0.000418195
95,1,5.7,142,4331,-40,-16,-85,-45,-16,12,-31.66666667,10576400,1.34E-05,0.000409497
96,1,5.7,127,4384,-31,-13,-84,-48,-34,16,-32.33333333,10576400,1.2E-05,0.000414508
97,1,5.7,160,4436,-33,-13,-85,-48,-35,16,-33,10576400,1.51E-05,0.000419424
98,1,5.7,146,4480,-33,-15,-85,-47,-34,16,-33,10576400,1.38E-05,0.000423585
99,1,5.7,196,4558,-31,-9,-84,-47,-34,15,-31.66666667,10576400,1.85E-05,0.000430959
100,1,5.7,196,4638,-28,-6,-83,-46,-32,16,-29.83333333,10576400,1.85E-05,0.000438524
101,1,5.7,198,4760,-32,-6,-82,-40,-21,10,-28.5,10576400,1.87E-05,0.000450059
102,1,5.7,120,4624,-38,-12,-83,-43,-15,10,-30.16666667,10576400,1.13E-05,0.0004372
103,1,5.7,123,4494,-28,-7,-83,-45,-32,14,-30.16666667,10576400,1.16E-05,0.000424908
104,1,5.7,187,4280,-27,-3,-77,-45,-33,14,-28.5,10576400,1.77E-05,0.000404675
105,1,5.7,213,4325,-27,-4,-77,-44,-33,14,-28.5,10576400,2.01E-05,0.000408929
106,1,5.7,186,4314,-30,-8,-77,-45,-34,15,-29.83333333,10576400,1.76E-05,0.000407889
107,1,5.7,138,4209,-24,-3,-72,-43,-32,15,-26.5,10576400,1.3E-05,0.000397961
108,1,5.7,222,4163,-29,-4,-73,-38,-21,10,-25.83333333,10576400,2.1E-05,0.000393612
109,1,5.7,252,4123,-33,-9,-75,-39,-17,9,-27.33333333,10576400,2.38E-05,0.00038983
110,1,5.7,232,3982,-25,-6,-75,-43,-32,14,-27.83333333,10576400,2.19E-05,0.000376499
111,1,5.7,190,3919,-26,-6,-76,-42,-33,14,-28.16666667,10576400,1.8E-05,0.000370542
112,1,5.7,354,4122,-27,-9,-76,-43,-32,14,-28.83333333,10576400,3.35E-05,0.000389736
113,1,5.7,277,4172,-27,-8,-75,-43,-32,14,-28.5,10576400,2.62E-05,0.000394463
114,1,5.7,251,4243,-24,-6,-71,-43,-30,15,-26.5,10576400,2.37E-05,0.000401176
115,1,5.7,374,4392,-29,-6,-72,-38,-19,10,-25.66666667,10576400,3.54E-05,0.000415264
116,1,5.7,404,4626,-33,-10,-75,-39,-15,9,-27.16666667,10576400,3.82E-05,0.000437389
117,1,5.7,280,4692,-26,-8,-74,-44,-31,14,-28.16666667,10576400,2.65E-05,0.000443629
118,1,5.7,267,4835,-29,-11,-76,-44,-33,15,-29.66666667,10576400,2.52E-05,0.00045715
119,1,5.7,260,4897,-28,-12,-75,-44,-32,15,-29.33333333,10576400,2.46E-05,0.000463012
120,1,5.7,312,5068,-28,-10,-73,-43,-31,15,-28.33333333,10576400,2.95E-05,0.00047918
121,1,5.7,253,5176,-25,-8,-69,-43,-30,15,-26.66666667,10576400,2.39E-05,0.000489391
122,1,5.7,347,5391,-29,-7,-69,-38,-19,10,-25.33333333,10576400,3.28E-05,0.00050972
123,1,5.7,302,5358,-33,-11,-72,-39,-14,10,-26.5,10576400,2.86E-05,0.0005066
124,1,5.7,361,5556,-27,-9,-72,-43,-31,15,-27.83333333,10576400,3.41E-05,0.000525321
125,1,5.7,380,5712,-30,-12,-73,-43,-33,15,-29.33333333,10576400,3.59E-05,0.00054007
126,1,5.7,342,5731,-29,-13,-73,-44,-31,15,-29.16666667,10576400,3.23E-05,0.000541867
127,1,5.7,447,6034,-29,-12,-72,-45,-31,15,-29,10576400,4.23E-05,0.000570515
128,1,5.7,297,6058,-24,-6,-67,-42,-29,15,-25.5,10576400,2.81E-05,0.000572785
129,1,5.7,376,6261,-26,-3,-68,-35,-19,10,-23.5,10576400,3.56E-05,0.000591978
130,1,5.7,384,6480,-32,-9,-72,-37,-14,9,-25.83333333,10576400,3.63E-05,0.000612685
131,1,5.7,467,6826,-26,-8,-71,-42,-31,14,-27.33333333,10576400,4.42E-05,0.000645399
132,1,5.7,403,6844,-27,-6,-73,-41,-32,14,-27.5,10576400,3.81E-05,0.000647101
133,1,5.7,577,7160,-26,-6,-73,-39,-33,14,-27.16666667,10576400,5.46E-05,0.000676979
134,1,5.7,397,7349,-23,4,-64,-35,-34,11,-23.5,10576400,3.75E-05,0.000694849
135,1,5.7,430,7360,-41,-21,-64,-60,-71,23,-39,10576400,4.07E-05,0.000695889
136,1,5.7,368,7037,-37,-14,-69,-45,-31,10,-31,10576400,3.48E-05,0.000665349
137,1,5.7,377,7273,-37,-14,-71,-40,-19,7,-29,10576400,3.56E-05,0.000687663
138,1,5.7,472,7591,-27,-7,-69,-42,-33,13,-27.5,10576400,4.46E-05,0.00071773
139,1,5.7,410,7771,-28,-8,-70,-42,-34,14,-28,10576400,3.88E-05,0.000734749
140,1,5.7,354,7732,-27,-9,-68,-42,-33,14,-27.5,10576400,3.35E-05,0.000731062
141,1,5.7,556,8029,-27,-8,-66,-42,-33,14,-27,10576400,5.26E-05,0.000759143
142,1,5.7,665,8487,-23,-6,-61,-41,-31,14,-24.66666667,10576400,6.29E-05,0.000802447
143,1,5.7,686,8653,-27,-6,-62,-33,-20,9,-23.16666667,10576400,6.49E-05,0.000818142
144,1,5.7,440,8529,-32,-11,-66,-35,-15,8,-25.16666667,10576400,4.16E-05,0.000806418
145,1,5.7,435,8784,-25,-7,-65,-41,-32,14,-26,10576400,4.11E-05,0.000830528
146,1,5.7,462,9050,-28,-10,-68,-41,-33,14,-27.66666667,10576400,4.37E-05,0.000855679
147,1,5.7,529,8745,-26,-10,-63,-41,-32,14,-26.33333333,10576400,5E-05,0.000826841
148,1,5.7,608,8955,-32,-16,-65,-43,-33,15,-29,10576400,5.75E-05,0.000846696
149,1,5.7,538,8797,-23,-5,-56,-38,-31,14,-23.16666667,10576400,5.09E-05,0.000831757
150,1,5.7,583,8848,-28,-6,-58,-32,-20,8,-22.66666667,10576400,5.51E-05,0.00083658
151,1,5.7,518,8711,-33,-14,-62,-36,-15,8,-25.33333333,10576400,4.9E-05,0.000823626
152,1,5.7,552,9040,-32,-19,-49,-57,-70,21,-34.33333333,10576400,5.22E-05,0.000854733
153,1,5.7,513,8946,-31,-14,-64,-42,-32,13,-28.33333333,10576400,4.85E-05,0.000845845
154,1,5.7,551,8913,-26,-8,-63,-39,-32,12,-26,10576400,5.21E-05,0.000842725
155,1,5.7,594,8767,-32,-16,-55,-55,-65,20,-33.83333333,10576400,5.62E-05,0.000828921
156,1,5.7,657,8976,-29,-14,-56,-52,-47,18,-30,10576400,6.21E-05,0.000848682
157,1,5.7,588,8898,-32,-15,-57,-40,-20,9,-25.83333333,10576400,5.56E-05,0.000841307
158,1,5.7,615,8806,-35,-18,-63,-38,-13,9,-26.33333333,10576400,5.81E-05,0.000832608
159,1,5.7,633,7527,-27,-12,-61,-41,-30,14,-26.16666667,10576400,5.99E-05,0.000711679
160,1,5.7,637,7624,-26,-7,-62,-40,-31,14,-25.33333333,10576400,6.02E-05,0.00072085
161,1,5.7,713,7568,-26,-9,-62,-41,-30,14,-25.66666667,10576400,6.74E-05,0.000715555
162,1,5.7,760,6779,-25,-8,-60,-41,-30,13,-25.16666667,10576400,7.19E-05,0.000640955
163,1,5.7,869,6757,-21,-3,-56,-40,-29,14,-22.5,10576400,8.22E-05,0.000638875
164,1,5.7,861,7001,-25,-2,-56,-33,-17,8,-20.83333333,10576400,8.14E-05,0.000661945
165,1,5.7,1094,7720,-28,-7,-60,-33,-12,8,-22,10576400,0.000103438,0.000729927
166,1,5.7,1049,8351,-23,-3,-61,-40,-30,13,-24,10576400,9.92E-05,0.000789588
167,1,5.7,901,8506,-24,-2,-61,-39,-31,13,-24,10576400,8.52E-05,0.000804243
168,1,5.7,1054,9069,-25,-6,-62,-40,-31,13,-25.16666667,10576400,9.97E-05,0.000857475
169,1,5.7,1359,9713,-25,-6,-58,-42,-31,13,-24.83333333,10576400,0.000128494,0.000918365
170,1,5.7,880,9768,-22,-5,-51,-41,-30,14,-22.5,10576400,8.32E-05,0.000923566
171,1,5.7,877,9901,-25,-4,-53,-34,-19,8,-21.16666667,10576400,8.29E-05,0.000936141
172,1,5.7,1176,10267,-30,-10,-58,-34,-15,8,-23.16666667,10576400,0.000111191,0.000970746
173,1,5.7,1046,10629,-25,-8,-58,-41,-32,14,-25,10576400,9.89E-05,0.001004973
174,1,5.7,1014,10693,-26,-9,-59,-40,-33,14,-25.5,10576400,9.59E-05,0.001011025
175,1,5.7,1004,10839,-26,-10,-60,-41,-32,13,-26,10576400,9.49E-05,0.001024829
176,1,5.7,1274,11092,-26,-10,-59,-42,-32,13,-26,10576400,0.000120457,0.00104875
177,1,5.7,964,11139,-22,-8,-52,-41,-30,14,-23.16666667,10576400,9.11E-05,0.001053194
178,1,5.7,1205,11661,-27,-8,-53,-35,-18,9,-22,10576400,0.000113933,0.001102549
179,1,5.7,1380,12078,-32,-14,-61,-36,-13,9,-24.5,10576400,0.000130479,0.001141976
180,1,5.7,879,11436,-41,-24,-67,-54,-37,19,-34,10576400,8.31E-05,0.001081275
181,0,2.7,1076,11499,-42,-25,-69,-54,-38,19,-34.83333333,10576400,0.000101736,0.001087232
182,0,2.7,1294,11817,-38,-17,-65,-52,-37,18,-31.83333333,10576400,0.000122348,0.001117299
183,0,2.7,,,-39,-18,-63,-53,-37,18,-32,,,
184,0,2.7,,,-38,-17,-59,-52,-36,19,-30.5,,,
185,0,2.7,,,-41,-16,-65,-47,-21,13,-29.5,,,
186,0,2.7,,,-53,-30,-76,-55,-21,15,-36.66666667,,,
187,0,2.7,,,-40,-22,-66,-52,-37,18,-33.16666667,,,
188,0,2.7,,,-43,-21,-68,-53,-39,19,-34.16666667,,,
189,0,2.7,,,-43,-19,-65,-51,-37,19,-32.66666667,,,
190,0,2.7,,,-44,-19,-64,-52,-37,18,-33,,,
191,0,2.7,,,-40,-11,-59,-50,-36,19,-29.5,,,
192,0,2.7,,,-43,-11,-65,-44,-21,13,-28.5,,,
193,0,2.7,,,-49,-19,-71,-47,-18,13,-31.83333333,,,
194,0,2.7,,,-40,-13,-64,-50,-36,18,-30.83333333,,,
195,0,2.7,,,-42,-14,-63,-49,-37,18,-31.16666667,,,
196,0,2.7,,,-39,-8,-61,-47,-36,16,-29.16666667,,,
197,0,2.7,,,-40,-6,-58,-47,-36,15,-28.66666667,,,
198,0,2.7,,,-38,-7,-53,-46,-35,16,-27.16666667,,,
199,0,2.7,,,-41,-7,-60,-40,-23,11,-26.66666667,,,
200,0,2.7,,,-45,-14,-66,-41,-19,10,-29.16666667,,,
201,0,2.7,,,-38,-8,-58,-46,-36,14,-28.66666667,,,
202,0,2.7,,,-40,-13,-61,-47,-37,15,-30.5,,,
203,0,2.7,,,-40,-14,-61,-48,-36,15,-30.66666667,,,
204,0,2.7,,,-41,-16,-40,-41,-37,17,-26.33333333,,,
205,0,2.7,,,-40,-15,-57,-50,-36,19,-29.83333333,,,
206,0,2.7,,,-44,-17,-63,-43,-21,12,-29.33333333,,,
207,0,2.7,,,-45,-16,-66,-43,-15,11,-29,,,
208,1,2.7,,,-36,-14,-56,-46,-33,16,-28.16666667,,,
209,1,2.7,,,-41,-18,-55,-48,-37,18,-30.16666667,,,
210,1,2.7,,,-36,-16,-58,-46,-33,16,-28.83333333,,,
211,1,2.7,,,-35,-13,-56,-44,-33,16,-27.5,,,
212,1,2.7,,,-38,-19,-55,-45,-33,18,-28.66666667,,,
213,1,2.7,,,-34,-7,-54,-35,-18,10,-23,,,
214,1,2.7,,,-38,-15,-58,-35,-15,10,-25.16666667,,,
215,1,2.7,,,-36,-16,-60,-42,-33,16,-28.5,,,
216,1,2.7,,,-37,-17,-54,-42,-34,16,-28,,,
217,1,2.7,,,-38,-21,-61,-44,-33,16,-30.16666667,,,
218,1,2.7,,,-33,-10,-49,-41,-33,14,-25.33333333,,,
219,1,2.7,,,-29,-6,-46,-40,-31,14,-23,,,
220,1,2.7,,,-32,-6,-49,-31,-17,9,-21,,,
221,1,2.7,,,-36,-12,-55,-33,-14,8,-23.66666667,,,
222,1,2.7,,,-36,-16,-58,-41,-32,14,-28.16666667,,,
223,1,2.7,,,-32,-8,-57,-36,-33,13,-25.5,,,
224,1,2.7,,,-28,-4,-45,-40,-45,13,-24.83333333,,,
225,1,2.7,,,-32,-13,-38,-50,-65,17,-30.16666667,,,
226,1,2.7,,,-33,-13,-44,-50,-49,17,-28.66666667,,,
227,1,2.7,,,-40,-20,-54,-39,-23,9,-27.83333333,,,
228,1,2.7,,,-38,-15,-55,-31,-16,6,-24.83333333,,,
229,1,2.7,,,-30,-7,-52,-37,-31,12,-24.16666667,,,
230,1,2.7,,,-31,-9,-56,-39,-32,13,-25.66666667,,,
231,1,2.7,,,-31,-12,-56,-40,-32,13,-26.33333333,,,
232,1,2.7,,,-33,-14,-57,-42,-33,14,-27.5,,,
233,1,2.7,,,-28,-9,-49,-40,-31,14,-23.83333333,,,
234,1,2.7,,,-29,-8,-47,-31,-18,8,-20.83333333,,,
235,1,2.7,,,-33,-13,-51,-32,-14,7,-22.66666667,,,
236,1,2.7,,,-30,-11,-54,-40,-31,13,-25.5,,,
237,1,2.7,,,-32,-12,-53,-39,-33,13,-26,,,
238,1,2.7,,,-29,-11,-53,-40,-31,13,-25.16666667,,,
239,1,2.7,,,-30,-12,-52,-40,-32,13,-25.5,,,
240,1,2.7,,,-26,-9,-44,-38,-30,13,-22.33333333,,,
241,1,2.7,,,-28,-8,-45,-30,-17,7,-20.16666667,,,
242,1,2.7,,,-31,-12,-46,-30,-13,7,-20.83333333,,,
243,1,2.7,,,-31,-12,-53,-40,-31,13,-25.66666667,,,
244,1,2.7,,,-32,-13,-54,-40,-32,13,-26.33333333,,,
245,1,2.7,,,-32,-14,-54,-41,-31,13,-26.5,,,
246,1,2.7,,,-30,-12,-51,-41,-31,13,-25.33333333,,,
247,1,2.7,,,-27,-9,-44,-40,-30,14,-22.66666667,,,
248,1,2.7,,,-29,-9,-48,-32,-17,8,-21.16666667,,,
249,1,2.7,,,-33,-14,-51,-32,-14,8,-22.66666667,,,
250,1,2.7,,,-32,-15,-55,-42,-31,13,-27,,,
251,1,2.7,,,-35,-18,-57,-41,-32,14,-28.16666667,,,
252,1,2.7,,,-28,-9,-52,-39,-31,12,-24.5,,,
253,1,2.7,,,-25,-5,-46,-37,-31,11,-22.16666667,,,
254,1,2.7,,,-25,-8,-43,-38,-30,13,-21.83333333,,,
255,1,2.7,,,-23,1,-41,-27,-17,6,-16.83333333,,,
256,1,2.7,,,-29,-9,-49,-29,-13,6,-20.5,,,
257,1,2.7,,,-24,0,-48,-37,-30,11,-21.33333333,,,
258,1,2.7,,,-24,1,-47,-36,-31,11,-21,,,
259,1,2.7,,,-24,-3,-47,-38,-30,12,-21.66666667,,,
260,1,2.7,,,-26,-6,-48,-40,-32,12,-23.33333333,,,
261,1,2.7,,,-23,-2,-43,-37,-30,12,-20.5,,,
262,1,2.7,,,-25,-2,-44,-27,-18,6,-18.33333333,,,
263,1,2.7,,,-33,-13,-59,-33,-16,8,-24.33333333,,,
264,1,2.7,,,-28,-9,-54,-40,-33,12,-25.33333333,,,
265,1,2.7,,,-26,-6,-51,-37,-31,11,-23.33333333,,,
266,1,2.7,,,-26,-9,-44,-49,-59,19,-28,,,
267,1,2.7,,,-27,-7,-49,-36,-29,12,-22.66666667,,,
268,1,2.7,,,-24,-4,-43,-37,-29,13,-20.66666667,,,
269,1,2.7,,,-26,-3,-46,-28,-15,8,-18.33333333,,,
270,1,2.7,,,-30,-9,-50,-27,-10,8,-19.66666667,,,
271,1,2.7,,,-27,-7,-50,-37,-30,13,-23,,,
272,1,2.7,,,-27,-6,-49,-36,-31,13,-22.66666667,,,
273,1,2.7,,,-26,-6,-48,-36,-30,12,-22.33333333,,,
274,1,2.7,,,-26,-6,-46,-35,-30,12,-21.83333333,,,
275,1,2.7,,,-23,-3,-37,-34,-29,13,-18.83333333,,,
276,1,2.7,,,-27,-4,-45,-27,-14,8,-18.16666667,,,
277,1,2.7,,,-31,-11,-54,-27,-11,8,-21,,,
278,1,2.7,,,-25,-5,-46,-35,-31,12,-21.66666667,,,
279,1,2.7,,,-25,-5,-46,-35,-32,12,-21.83333333,,,
280,1,2.7,,,-23,-2,-46,-33,-32,11,-20.83333333,,,
281,1,2.7,,,-27,-7,-43,-42,-51,15,-25.83333333,,,
282,1,2.7,,,-34,-17,-42,-53,-66,22,-31.66666667,,,
283,1,2.7,,,-36,-15,-49,-38,-26,10,-25.66666667,,,
284,1,2.7,,,-36,-17,-53,-33,-11,8,-23.66666667,,,
285,1,2.7,,,-28,-6,-48,-40,-36,13,-24.16666667,,,
286,1,2.7,,,-29,-8,-49,-40,-38,14,-25,,,
287,1,2.7,,,-28,-4,-50,-38,-38,13,-24.16666667,,,
288,1,2.7,,,-32,-2,-47,-44,-55,15,-27.5,,,
289,1,2.7,,,-46,-27,-51,-61,-73,22,-39.33333333,,,
290,1,2.7,,,-39,-15,-50,-41,-33,11,-27.83333333,,,
291,1,2.7,,,-40,-19,-58,-34,-15,9,-26.16666667,,,
292,1,2.7,,,-29,-5,-50,-39,-32,13,-23.66666667,,,
293,1,2.7,,,-32,-9,-53,-39,-33,14,-25.33333333,,,
294,1,2.7,,,-30,-11,-52,-40,-32,14,-25.16666667,,,
295,1,2.7,,,-31,-10,-51,-41,-33,15,-25.16666667,,,
296,1,2.7,,,-28,-9,-44,-41,-31,15,-23,,,
297,1,2.7,,,-38,-18,-58,-39,-20,11,-27,,,
298,1,2.7,,,-32,-9,-55,-34,-12,9,-22.16666667,,,
