Fecha,Serie,Total
2020-04-12,positividad,0.0485
2020-04-13,positividad,0.1129
2020-04-14,positividad,0.1421
2020-04-15,positividad,0.0873
2020-04-16,positividad,0.0815
2020-04-17,positividad,0.0817
2020-04-18,positividad,0.0953
2020-04-19,positividad,0.0752
2020-04-20,positividad,0.0809
2020-04-21,positividad,0.0921
2020-04-22,positividad,0.0729
2020-04-23,positividad,0.0803
2020-04-24,positividad,0.0694
2020-04-25,positividad,0.0795
2020-04-26,positividad,0.0699
2020-04-27,positividad,0.0916
2020-04-28,positividad,0.112
2020-04-29,positividad,0.1193
2020-04-30,positividad,0.1124
2020-05-01,positividad,0.1105
2020-05-02,positividad,0.1432
2020-05-03,positividad,0.1801
2020-05-04,positividad,0.1238
2020-05-05,positividad,0.1724
2020-05-06,positividad,0.1031
2020-05-07,positividad,0.1265
2020-05-08,positividad,0.1185
2020-05-09,positividad,0.1044
2020-05-10,positividad,0.1289
2020-05-11,positividad,0.0895
2020-05-12,positividad,0.1786
2020-05-13,positividad,0.2555
2020-05-14,positividad,0.2312
2020-05-15,positividad,0.1555
2020-05-16,positividad,0.214
2020-05-17,positividad,0.1787
2020-05-18,positividad,0.1301
2020-05-19,positividad,0.2174
2020-05-20,positividad,0.3238
2020-05-21,positividad,0.2427
2020-05-22,positividad,0.2658
2020-05-23,positividad,0.232
2020-05-24,positividad,0.2571
2020-05-25,positividad,0.3006
2020-05-26,positividad,0.303
2020-05-27,positividad,0.323
2020-05-28,positividad,0.2974
2020-05-29,positividad,0.2262
2020-05-30,positividad,0.251
2020-05-31,positividad,0.2526
2020-06-01,positividad,0.3239
2020-06-02,positividad,0.2624
2020-06-03,positividad,0.3179
2020-06-04,positividad,0.2571
2020-06-05,positividad,0.1932
2020-06-06,positividad,0.2768
2020-06-07,positividad,0.3012
2020-06-08,positividad,0.2343
2020-06-09,positividad,0.2201
2020-06-10,positividad,0.3963
2020-06-11,positividad,0.2801
2020-06-12,positividad,0.3605
2020-06-13,positividad,0.3219
2020-06-14,positividad,0.3443
2020-06-15,positividad,0.2734
2020-06-16,positividad,0.3439
2020-06-17,positividad,0.3765
2020-06-18,positividad,0.2633
2020-06-19,positividad,0.3091
2020-06-20,positividad,0.2667
2020-06-21,positividad,0.2787
2020-06-22,positividad,0.2471
2020-06-23,positividad,0.2994
2020-06-24,positividad,0.2902
2020-06-25,positividad,0.2664
2020-06-26,positividad,0.2354
2020-06-27,positividad,0.2455
2020-06-28,positividad,0.2295
2020-06-29,positividad,0.2391
2020-06-30,positividad,0.2543
2020-07-01,positividad,0.2552
2020-07-02,positividad,0.2306
2020-07-03,positividad,0.2277
2020-07-04,positividad,0.2174
2020-07-05,positividad,0.2047
2020-07-06,positividad,0.1847
2020-07-07,positividad,0.2041
2020-07-08,positividad,0.1972
2020-07-09,positividad,0.186
2020-07-10,positividad,0.1725
2020-07-11,positividad,0.1508
2020-07-12,positividad,0.1571
2020-07-13,positividad,0.1498
2020-07-14,positividad,0.15
2020-07-15,positividad,0.1402
2020-07-16,positividad,0.144
2020-07-17,positividad,0.1519
2020-07-18,positividad,0.1233
2020-07-19,positividad,0.1324
2020-07-20,positividad,0.1284
2020-07-21,positividad,0.1315
2020-07-22,positividad,0.1361
2020-07-23,positividad,0.1257
2020-07-24,positividad,0.1208
2020-07-25,positividad,0.1195
2020-07-26,positividad,0.1115
2020-07-27,positividad,0.099
2020-07-28,positividad,0.1066
2020-07-29,positividad,0.1035
2020-07-30,positividad,0.096
2020-07-31,positividad,0.0928
2020-08-01,positividad,0.0811
2020-08-02,positividad,0.0836
2020-08-03,positividad,0.0726
2020-08-04,positividad,0.0775
2020-08-05,positividad,0.0832
2020-08-06,positividad,0.0854
2020-08-07,positividad,0.0851
2020-08-08,positividad,0.0814
2020-08-09,positividad,0.0715
2020-08-10,positividad,0.0764
2020-08-11,positividad,0.0704
2020-08-12,positividad,0.0796
2020-08-13,positividad,0.0784
2020-08-14,positividad,0.0752
2020-08-15,positividad,0.0624
2020-08-16,positividad,0.0675
2020-08-17,positividad,0.0615
2020-08-18,positividad,0.0576
2020-08-19,positividad,0.064
2020-08-20,positividad,0.069
