Fecha,pcr,casos,positividad,mediamovil_positividad
2020-07-16,17192,2475.0,0.144,0.1521
2020-07-17,18699,2840.0,0.1519,0.1491
2020-07-18,17716,2185.0,0.1233,0.1452
2020-07-19,15728,2082.0,0.1324,0.1417
2020-07-20,16343,2099.0,0.1284,0.1386
2020-07-21,12590,1656.0,0.1315,0.136
2020-07-22,12793,1741.0,0.1361,0.1354
2020-07-23,18867,2371.0,0.1257,0.1328
2020-07-24,21071,2545.0,0.1208,0.1283
2020-07-25,19133,2287.0,0.1195,0.1278
2020-07-26,19709,2198.0,0.1115,0.1248
2020-07-27,21544,2133.0,0.099,0.1206
2020-07-28,17596,1876.0,0.1066,0.117
2020-07-29,17130,1773.0,0.1035,0.1124
2020-07-30,20295,1948.0,0.096,0.1081
2020-07-31,22874,2123.0,0.0928,0.1041
2020-08-01,24398,1979.0,0.0811,0.0986
2020-08-02,24899,2081.0,0.0836,0.0947
2020-08-03,24269,1762.0,0.0726,0.0909
2020-08-04,18857,1462.0,0.0775,0.0867
2020-08-05,21398,1781.0,0.0832,0.0838
2020-08-06,22802,1947.0,0.0854,0.0823
2020-08-07,25243,2149.0,0.0851,0.0812
2020-08-08,27037,2201.0,0.0814,0.0813
2020-08-09,28460,2036.0,0.0715,0.0795
2020-08-10,26012,1988.0,0.0764,0.0801
2020-08-11,22249,1566.0,0.0704,0.0791
2020-08-12,19348,1540.0,0.0796,0.0785
2020-08-13,23628,1852.0,0.0784,0.0775
2020-08-14,27618,2077.0,0.0752,0.0761
2020-08-15,28499,1777.0,0.0624,0.0734
2020-08-16,30882,2086.0,0.0675,0.0728
2020-08-17,25289,1556.0,0.0615,0.0707
2020-08-18,23199,1336.0,0.0576,0.0689
2020-08-19,19275,1233.0,0.064,0.0667
2020-08-20,26278,1813.0,0.069,0.0653
2020-08-21,28669,1920.0,0.067,0.0641
2020-08-22,29727,1926.0,0.0648,0.0645
2020-08-23,31981,1942.0,0.0607,0.0635
2020-08-24,27454,1903.0,0.0693,0.0646
2020-08-25,24503,1406.0,0.0574,0.0646
2020-08-26,20257,1371.0,0.0677,0.0651
2020-08-27,27019,1739.0,0.0644,0.0645
2020-08-28,30274,1868.0,0.0617,0.0637
2020-08-29,32237,2033,0.0631,0.0635
