Date,Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
129,"May 10, 2019",0.114,0.098,0.296,0.161,-0.012,-0.134,0.139,-0.063,0.386,0.056,0.132
130,"May 11, 2019",-0.07,-0.126,0.166,-0.336,-0.216,0.002,0.224,0.069,0.029,-0.086,-0.133
131,"May 12, 2019",,,,-0.507,-0.037,,0.313,,,,-0.086
132,"May 13, 2019",,,,,,0.085,,,,,
133,"May 14, 2019",-0.236,0.013,0.307,0.053,0.005,0.013,-0.457,0.107,-0.162,-0.184,-0.012
134,"May 15, 2019",,,,-0.128,-0.519,,,,,,-0.011
135,"May 16, 2019",,,,,,,,,,,
136,"May 17, 2019",,,,,,,,,,,
137,"May 18, 2019",,,,,,,,,,,
138,"May 19, 2019",0.069,-0.259,-0.009,-0.211,-0.117,0.199,0.105,0.002,-0.273,-0.072,-0.242
139,"May 20, 2019",0.279,-0.033,0.102,-0.016,-0.478,-0.045,-0.128,0.046,0.271,0.041,0.117
140,"May 21, 2019",0.208,0.085,-0.321,-0.076,0.154,-0.346,-0.099,-0.277,0.129,-0.009,0.071
141,"May 22, 2019",-0.016,-0.101,-0.009,-0.353,0.118,-0.16,-0.145,0.017,-0.118,-0.101,-0.136
142,"May 23, 2019",-0.129,-0.29,-0.009,-0.415,0.022,0.295,0.203,0.228,0.259,-0.074,-0.212
143,"May 24, 2019",,,,,,,,,,,
144,"May 25, 2019",,,,,,,,,,-0.066,-0.011
145,"May 26, 2019",0.312,0.054,-0.313,0.212,-0.101,-0.295,-0.164,-0.38,-0.555,0.021,0.145
146,"May 27, 2019",0.127,-0.157,-0.214,-0.277,0.147,0.03,0.1,-0.102,0.19,-0.008,-0.039
147,"May 28, 2019",-0.081,-0.246,0.319,-0.338,0.027,-0.015,-0.046,0.114,-0.096,0.041,-0.072
148,"May 29, 2019",0.011,,,-0.429,-0.01,,,,,0.04,-0.144
149,"May 30, 2019",-0.16,0.137,,0.047,0.016,0.102,0.024,-0.553,0.632,0.038,0.196
150,"May 31, 2019",,,,,,,,,,,
151,"Jun 1, 2019",,0.2,,0.105,0.12,,,,,0.008,0.039
152,"Jun 2, 2019",-0.053,-0.389,-0.555,-0.485,-0.252,-0.688,-0.636,-0.553,-0.619,-0.435,-0.263
153,"Jun 3, 2019",-0.266,-0.309,-0.191,-0.556,-0.19,-0.15,-0.01,0,-0.089,-0.135,-0.321
154,"Jun 4, 2019",,,,-0.089,,,,,,0.185,-0.011
155,"Jun 5, 2019",,0.892,,-0.017,-0.287,-0.009,-0.102,0.068,0.053,-0.163,-0.068
156,"Jun 6, 2019",,0.021,,0.02,-0.015,-0.731,,0.271,,0.421,-0.013
157,"Jun 7, 2019",0.059,-0.232,-0.126,-0.524,-0.067,0.142,0.082,0.047,0.24,-0.036,-0.215
158,"Jun 8, 2019",-0.03,-0.444,-0.269,-0.568,0.004,0.258,0.282,0.195,0.141,-0.012,-0.241
159,"Jun 9, 2019",-0.018,-0.304,-0.154,-0.32,0.097,-0.012,0.204,0.103,-0.007,-0.042,-0.043
160,"Jun 10, 2019",0.144,0.204,0.049,0.104,,0.066,-0.008,-0.067,-0.237,-0.037,-0.023
161,"Jun 11, 2019",0.358,0.031,-0.61,-0.11,0.217,-0.403,-0.123,0.083,-0.44,0.008,0.179
162,"Jun 12, 2019",0.006,-0.186,0.25,-0.33,0.151,-0.061,0.102,-0.018,-0.035,-0.082,-0.118
163,"Jun 13, 2019",-0.027,-0.278,-0.019,-0.482,,0.106,-0.101,0.078,-0.026,-0.01,-0.204
164,"Jun 14, 2019",-0.003,-0.26,0.144,-0.001,,,,0.113,0.231,,-0.056
165,"Jun 15, 2019",0.213,-0.108,0.544,-0.235,0.315,0.105,0.092,0.264,0.113,0.021,-0.037
166,"Jun 16, 2019",0.394,0.036,-0.05,0.077,0.278,0.321,0.277,0.079,0.217,0.03,0.266
167,"Jun 17, 2019",-0.026,-0.094,-0.387,0.089,0.227,-0.185,0.089,-0.102,-0.299,-0.068,0.055
168,"Jun 18, 2019",0.004,-0.195,-0.064,-0.051,-0.301,0.193,-0.079,0.145,0.127,-0.056,-0.116
169,"Jun 19, 2019",0.009,-0.288,-0.178,-0.328,0.165,0.282,-0.138,0.22,0.061,0.057,-0.116
170,"Jun 20, 2019",0.5,-0.1,-0.635,-0.048,0.182,-0.025,0.033,0.101,0.231,-0.021,-0.011
171,"Jun 21, 2019",-0.445,-0.098,0.001,0.086,-0.233,-0.039,0.099,-0.318,0.233,0.116,0.01
172,"Jun 22, 2019",0.258,0.01,0.382,-0.047,0.433,0.029,0.297,0.089,0.092,0.01,0.087
173,"Jun 23, 2019",0.172,-0.241,0.055,-0.337,0.057,-0.044,0.079,0.054,0.104,-0.009,-0.09
174,"Jun 24, 2019",0.031,-0.317,-0.225,-0.409,0.132,0.403,0.332,0.145,0.14,-0.036,-0.196
175,"Jun 25, 2019",-0.075,-0.349,0.037,-0.361,0.064,0.255,-0.101,0.144,0.028,-0.09,-0.133
176,"Jun 26, 2019",0.195,-0.087,0.195,-0.161,0.408,0.06,-0.116,0.086,-0.061,-0.019,0.055
177,"Jun 27, 2019",0.095,0.126,0.123,0.013,-0.566,-0.229,-0.048,0.028,-0.029,0.006,0.086
178,"Jun 28, 2019",-0.137,-0.063,-0.262,0.038,-0.197,-0.463,-0.536,-0.462,-0.495,-0.104,0.008
179,"Jun 29, 2019",0.145,-0.378,-0.622,-0.57,-0.035,0.288,0.311,0.104,0.032,-0.072,-0.21
180,"Jun 30, 2019",0.024,-0.351,-0.375,-0.54,0.267,0.26,-0.069,0.132,0.339,-0.022,-0.079
181,"Jul 1, 2019",0.029,-0.221,0.067,-0.36,0.303,0.057,-0.169,0.152,-0.086,-0.104,-0.028
182,"Jul 2, 2019",0.115,0.435,,0.874,0.393,0.041,0.091,,-0.021,-0.146,0.021
183,"Jul 3, 2019",,,,,,,,,,,
184,"Jul 4, 2019",-0.108,-0.173,,-0.455,-0.193,0.045,0.221,0.09,0.116,-0.072,-0.05
185,"Jul 5, 2019",,,,,,,,,,,
186,"Jul 6, 2019",,0.056,,0.054,,,-0.386,0.137,0.715,,0.03
187,"Jul 7, 2019",,0.365,0.1,0.234,,0.031,0.228,0.119,0.222,0.025,0.027
188,"Jul 8, 2019",-0.013,0.056,,0.038,-0.144,-0.621,-0.37,,,-0.012,0.126
189,"Jul 9, 2019",0.172,-0.161,-0.535,-0.506,0.268,0.027,0.256,0.013,0.229,-0.025,-0.12
190,"Jul 10, 2019",0.058,-0.385,0.102,-0.539,-0.04,0.322,-0.154,0.329,-0.046,0.021,-0.163
191,"Jul 11, 2019",0.164,-0.186,0.189,-0.444,0.282,0.344,-0.074,0.333,0.128,-0.024,-0.101
192,"Jul 12, 2019",0.33,-0.006,0.603,-0.133,0.628,0.059,0.259,0.168,0.219,0.085,0.068
193,"Jul 13, 2019",0.317,0.165,0.124,-0.013,0.638,-0.165,-0.132,-0.032,0.307,0.089,0.178
194,"Jul 14, 2019",0.167,-0.022,0.107,-0.149,0.015,-0.016,0.108,0.109,0.006,0.034,0.089
195,"Jul 15, 2019",-0.083,-0.098,0.247,-0.37,0.215,0.137,0.217,0.241,-0.067,0.02,-0.105
196,"Jul 16, 2019",-0.027,-0.054,,-0.131,-0.096,0.042,0.012,0.099,0.007,-0.003,0.016
197,"Jul 17, 2019",0.228,-0.193,0.376,-0.274,0.372,0.131,0.359,0.12,0.03,0.036,0.057
198,"Jul 18, 2019",0.209,-0.173,,0.016,-0.228,0.107,0.114,0.12,0.209,0.074,0.069
199,"Jul 19, 2019",0.282,-0.087,0.269,-0.258,0.539,0.109,-0.001,0.121,0.255,0.068,0.066
200,"Jul 20, 2019",0.085,-0.385,0.269,-0.324,0.107,0.088,0.255,0.23,0,0.047,-0.052
201,"Jul 21, 2019",0.144,-0.323,0.698,-0.452,0.274,0.374,0.13,0.471,0.266,0.046,-0.069
202,"Jul 22, 2019",0.034,-0.168,0.025,-0.082,0.154,0.221,-0.029,0.192,-0.129,-0.017,-0.024
203,"Jul 23, 2019",0.338,-0.07,0.092,-0.08,0.547,0.161,0.011,0.074,0.033,0.023,0.179
204,"Jul 24, 2019",0.31,-0.041,-0.118,-0.285,0.309,-0.137,0.198,0.035,0.025,-0.021,0.038
205,"Jul 25, 2019",0.086,-0.224,-0.552,-0.396,-0.154,0.003,0.125,-0.022,-0.074,0.007,-0.07
206,"Jul 26, 2019",,-0.247,-0.231,-0.333,0.317,0.105,0.145,0.145,0.069,,-0.067
207,"Jul 27, 2019",0.053,-0.225,0.155,-0.141,0.022,0.229,0.088,0.294,-0.086,0.007,-0.006
208,"Jul 28, 2019",0.213,-0.012,-0.085,-0.272,,0.107,0.109,-0.019,0.184,-0.615,0.013
209,"Jul 29, 2019",-0.694,0.122,0.025,0.009,0.043,-0.331,-0.102,-0.115,-0.135,0.023,0.117
210,"Jul 30, 2019",0.182,-0.009,-0.38,-0.257,0.228,-0.103,0.198,-0.051,-0.024,-0.022,-0.023
211,"Jul 31, 2019",,,,,,,,,,,-0.066
212,"Aug 1, 2019",0.067,-0.197,0.03,-0.274,0.062,0.11,-0.049,0.1,-0.041,0.053,-0.147
213,"Aug 2, 2019",0.132,-0.114,0.284,-0.149,0.333,0.237,0.293,0.157,0.099,0.03,0.071
214,"Aug 3, 2019",,0.1,,,,,,,,,
215,"Aug 4, 2019",,,,,,,,,,,
216,"Aug 5, 2019",,,,,,,,,,,
217,"Aug 6, 2019",,,,,,,,,,,
218,"Aug 7, 2019",0.182,-0.3,-0.256,-0.321,0.162,0.27,0.318,0.093,0.216,-0.057,-0.04
219,"Aug 8, 2019",0.241,-0.051,-0.384,-0.168,0.332,0.161,0.182,-0.018,0.002,-0.023,0.132
220,"Aug 9, 2019",0.213,0.109,-0.055,-0.195,0.335,-0.194,0.285,-0.028,0.223,-0.008,0.022
221,"Aug 10, 2019",0.249,-0.178,-0.143,-0.384,0.313,0.018,-0.228,0.173,0.105,-0.025,-0.092
222,"Aug 11, 2019",-0.157,-0.295,-0.281,-0.414,0.038,0.324,0.26,0.067,0.097,0.007,-0.164
223,"Aug 12, 2019",,-0.081,-0.459,-0.101,-0.031,-0.345,-0.423,-0.271,-0.329,-0.29,0.035
224,"Aug 13, 2019",0.221,-0.017,-0.384,-0.151,0.365,0.205,-0.098,0.112,-0.026,0.041,0.085
225,"Aug 14, 2019",,0.134,0.127,0.023,0.115,0.078,0.092,0.111,0.085,0.106,
226,"Aug 15, 2019",0.054,0.047,-0.581,-0.086,-0.092,0.125,,-0.524,-0.248,-0.036,-0.064
227,"Aug 16, 2019",-0.083,-0.029,0.664,-0.41,0.117,0.044,0.331,0.253,0.112,0.148,-0.132
228,"Aug 17, 2019",0.035,-0.103,0.064,-0.365,0.14,0.418,-0.015,0.349,0.29,0.109,-0.071
229,"Aug 18, 2019",,,,,,,,,,,
230,"Aug 19, 2019",,,,,,0.247,-0.449,,,,
231,"Aug 20, 2019",,,,,,,,,,,
232,"Aug 21, 2019",,-0.2,-0.384,-0.037,-0.525,0.043,0.077,-0.605,-0.641,-0.004,0.009
233,"Aug 22, 2019",,,,-0.023,-0.441,-0.192,-0.408,,,-0.24,0.006
234,"Aug 23, 2019",0.027,0.085,0.676,0.005,0.152,,-0.459,0.161,,-0.245,-0.085
235,"Aug 24, 2019",0.089,0.181,-0.191,0.046,-0.019,0.148,0.102,0.034,-0.02,-0.241,0.105
236,"Aug 25, 2019",,,,0.04,,,,,,,0.026
237,"Aug 26, 2019",,-0.349,-0.388,-0.509,-0.64,0.061,0.087,-0.531,0.08,0.058,
238,"Aug 27, 2019",-0.066,,,-0.439,0.109,0.331,0.44,,,0.015,0.038
239,"Aug 28, 2019",,,,,,,,,,,
240,"Aug 29, 2019",0.168,0.009,0.389,,,0.233,0.248,0.137,-0.128,0.147,0.133
241,"Aug 30, 2019",,,,0.197,,,,,,,
242,"Aug 31, 2019",0.188,-0.039,0.1,-0.333,0.152,-0.021,0.042,0.041,-0.028,-0.026,-0.039
243,"Sep 1, 2019",-0.066,-0.267,,-0.26,,0.195,0.112,,,0.255,0.144
244,"Sep 2, 2019",,,,,,,,,,,
245,"Sep 3, 2019",-0.826,-0.464,-0.927,-0.572,,-0.897,-0.85,-0.836,-0.816,-0.776,-0.762
246,"Sep 4, 2019",,0.138,0.002,0.366,,,-0.509,-0.438,0.076,0.1,0.037
247,"Sep 5, 2019",,0.238,,0.344,,,-0.63,,,,0.134
248,"Sep 6, 2019",,-0.653,-0.844,,,-0.923,-0.937,-0.875,-0.879,-0.678,0.019
249,"Sep 7, 2019",0.03,,,-0.071,0.3,,,,,0.013,0.012
250,"Sep 8, 2019",0.041,,-0.286,0.099,-0.047,0.207,0.269,-0.026,-0.162,-0.04,0.038
251,"Sep 9, 2019",0.081,0.237,-0.168,0.242,0.001,0.028,-0.075,-0.113,-0.187,0.01,0.21
252,"Sep 10, 2019",0.127,0.19,0.041,-0.022,0.287,-0.143,-0.118,-0.015,0.073,0.048,0.117
253,"Sep 11, 2019",-0.121,-0.019,,-0.084,-0.019,-0.008,0.004,0.032,-0.061,-0.075,-0.089
254,"Sep 12, 2019",-0.157,-0.175,0.08,-0.071,0.121,0.066,0.011,0.297,-0.063,0.038,-0.15
255,"Sep 13, 2019",,-0.147,0.509,0.068,-0.415,-0.083,-0.024,0.138,0.113,-0.434,0.273
256,"Sep 14, 2019",,-0.043,0.424,0.117,-0.513,-0.446,-0.651,0.101,-0.699,-0.367,
257,"Sep 15, 2019",,-0.088,-0.448,0.149,0.062,-0.545,-0.579,-0.613,-0.677,-0.307,0.178
258,"Sep 16, 2019",-0.081,-0.043,0.013,-0.015,0.038,-0.173,-0.284,-0.2,-0.339,-0.007,-0.042
259,"Sep 17, 2019",0.011,-0.177,-0.28,-0.399,-0.233,0.167,-0.216,0.323,0.043,0.042,-0.205
260,"Sep 18, 2019",,-0.141,-0.264,0.102,-0.396,-0.042,-0.241,0.018,-0.097,-0.364,-0.121
261,"Sep 19, 2019",-0.268,0.123,-0.113,0.113,-0.41,-0.25,-0.192,-0.297,-0.261,-0.245,-0.049
262,"Sep 20, 2019",-0.428,-0.083,-0.253,0.108,,0.046,0.093,-0.502,-0.441,-0.411,-0.148
263,"Sep 21, 2019",-0.31,0.038,-0.29,0.039,0.095,-0.433,-0.304,-0.352,-0.411,-0.284,-0.118
264,"Sep 22, 2019",,0.071,0.224,-0.084,0.087,0.122,0.093,0.11,0.08,0.071,
265,"Sep 23, 2019",0.054,0.238,0.224,0.15,,0.124,0.093,0.096,0.08,0.091,0.066
266,"Sep 24, 2019",,-0.188,0.424,0.118,0.095,0.142,0.099,0.108,0.08,0.136,
267,"Sep 25, 2019",,,,0.319,,,,,,,
268,"Sep 26, 2019",,,,,,,,,,,
269,"Sep 27, 2019",,,,,,,,,,,
270,"Sep 28, 2019",0.054,-0.137,-0.749,-0.007,-0.362,-0.119,-0.622,0.08,-0.025,-0.358,-0.098
271,"Sep 29, 2019",,-0.117,0.424,-0.03,0.087,0.074,0.093,-0.715,-0.718,-0.023,
272,"Sep 30, 2019",,-0.254,-0.888,-0.196,-0.493,-0.911,-0.854,-0.783,-0.738,-0.644,0.065
273,"Oct 1, 2019",,-0.009,-0.282,-0.6,0.308,-0.458,-0.537,-0.475,-0.449,-0.15,0.159
274,"Oct 2, 2019",-0.027,-0.158,0.089,-0.357,0.109,0.068,-0.048,0.078,0.004,0.012,-0.07
