Date_Name,Cidade de Deus,Galeao Airport,Santos Dumont Airport,Industrial Area,Pedra de Guaratiba,Copacabana,Ipanema,Centro,Cidade Nova,Barra da Tijuca,Campo Grande
"May 9, 2019",899,591,,,,,9,,,524.376,124.5
"May 10, 2019",1046,250.95,1374,102.444,332,523,685,1168,1470,491.588,356
"May 11, 2019",863,204,1237,44,283,544,603,1202,1352,484.177,290
"May 12, 2019",,,,25.438,291,,8,,,,388.075
"May 13, 2019",,,,,,704,,,,,
"May 14, 2019",663,371.525,1387,69.426,301,718,373,1226,1072,413.045,266.974
"May 15, 2019",,,,129,182,,,,,,269
"May 16, 2019",,,,,,,,,,,
"May 17, 2019",,,,,,,,,,,
"May 18, 2019",,,,,,,,,,,
"May 19, 2019",982,209.898,711,46.712,311,765,828,901,948,504.894,260.5
"May 20, 2019",1231,334,330,70.524,177,476,622,1144,1871,521.202,282.618
"May 21, 2019",1122,283.925,505,70.424,377,415,501,873,1483,531.784,387.836
"May 22, 2019",904,286.327,1120,40.135,355,468,595,1082,1147,532.369,273.799
"May 23, 2019",842,217.902,442,54.647,344,859,857,1410,1770,528.355,248
"May 24, 2019",,,,,,,,,,,
"May 25, 2019",,,,,,,,,,315,201
"May 26, 2019",1274,231.339,728,89.818,337,445,507,728,584,428.246,394.417
"May 27, 2019",1045,254.431,834,54.482,423,784,785,1029,1654,526.5,308.75
"May 28, 2019",902,248,1120,51.099,340,683,469,1120,1188,586.516,304.93
"May 29, 2019",1062,,,34.485,374,,,,,576.21,294.5
"May 30, 2019",772,268.667,,83.545,430,513,5,409,2141,521,311.464
"May 31, 2019",,,,,,,,,,,
"Jun 1, 2019",,662,,70.093,370,,,,,404.906,356.235
"Jun 2, 2019",781,142,361,27.363,242,198,213,512,552,282,246
"Jun 3, 2019",680,179.676,681,26.662,332,453,493,1115,1197,551.429,242.333
"Jun 4, 2019",,,,124,,,,,,701,138.5
"Jun 5, 2019",,173,,114.851,253,623,641,1181,1568,451,335
"Jun 6, 2019",,326,,34,298,238,,828,,160,556
"Jun 7, 2019",1024,213,838,26.308,272,650,813,1220,1643,482.8,284.18
"Jun 8, 2019",938,148.547,787,33.636,330,777,847,1218,1796,551.184,213.596
"Jun 9, 2019",918,183,898,59.198,351,654,861,1350,1361,564,298.5
"Jun 10, 2019",1095,334,1067,61.47,,693,655,1067,871,546.034,352.8
"Jun 11, 2019",1267,251.322,382,59.34,427,342,626,1025,728,487,353.883
"Jun 12, 2019",953,217,924,59.552,334,660,732,1226,1254,549.904,273.695
"Jun 13, 2019",928,212.135,670,61.666,,827,520,1152,1279,597,276.047
"Jun 14, 2019",900,192.254,1082,80,,,,1208,1600,,281.667
"Jun 15, 2019",1127,291.759,2103,57.769,464,583,801,1411,1923,586.166,299.859
"Jun 16, 2019",1349,281.308,651,59.219,459,799,804,1101,1689,568.329,426.5
"Jun 17, 2019",895,235.036,549,69.333,415,547,840,1009,903,556.246,331.534
"Jun 18, 2019",991,176,967,66.957,239,694,651,1375,1447,508.143,241.5
"Jun 19, 2019",994,224.625,555,49.561,359,959,593,1407,1449,566,252.357
"Jun 20, 2019",1110,91,459,53.289,308,506,638,1183,1600,519,348
"Jun 21, 2019",540,268.123,967,148,248,506,884,686,1620,494,249.065
"Jun 22, 2019",1166,286,994,65.333,389,592,887,1191,1313,588,363.333
"Jun 23, 2019",1085,213.238,1120,57.5,323,607,664,1120,1476,535.022,322.403
"Jun 24, 2019",1046,202.203,557,54,405,768,925,1101,1519,592.25,269.75
"Jun 25, 2019",853,216.587,552,51.225,381,692.5,658,1279,1583,563.453,290
"Jun 26, 2019",1148,268.264,360,47.751,439,552,574,1144,1615,485.518,326.26
"Jun 27, 2019",1132,86,997,72.312,139,499,631,969,1153,439.722,317
"Jun 28, 2019",755,236,646,66.605,309,341,257,588,664,456.525,216
"Jun 29, 2019",1060,138.999,153,37.096,310,847,988,1375,1786,507,243.857
"Jun 30, 2019",949,187,462,29.999,400,628,521,1202,1757,530.106,321
"Jul 1, 2019",994,172.039,731,41.145,417,620,593,1285,1188,502.6,321.391
"Jul 2, 2019",1059,148,,179.778,548,772,604,,1037,442.734,488.809
"Jul 3, 2019",,,,,,,,,,,
"Jul 4, 2019",828,190.719,,39.775,307,546,877,1119,1465,519.382,407
"Jul 5, 2019",,,,,,,,,,,
"Jul 6, 2019",,436,,30,,,5,1421,2968,,80
"Jul 7, 2019",,336,952,89.779,,535,706,1473,1603,508.571,452.281
"Jul 8, 2019",906,307,,99.273,441,320,192,,,500.395,152
"Jul 9, 2019",1008,234,344,34.664,431,543,781,1137,1615,567.75,250
"Jul 10, 2019",955,190,1291,33.062,335,832,679,1542,1171,547,264.179
"Jul 11, 2019",1134,176.602,1616,37.818,375,883,605,1447,1543,649.645,300.205
"Jul 12, 2019",1268,215,1186,51.514,535,547,896,1191,1628,678.442,324.667
"Jul 13, 2019",1274,247,1347,53.221,524,452,697,1051,1717,603.5,330.5
"Jul 14, 2019",1129,524,1347,48.839,426,723,822,1340,1504,696,337.045
"Jul 15, 2019",851,238,1319,45.342,352,763,848,1384,973,555.2,289.629
"Jul 16, 2019",1022,240.817,,87,272,611,763,1144,1323,641.5,104.38
"Jul 17, 2019",1174,365.882,1460,42.37,463,637,895,1460,1339,617.326,339.744
"Jul 18, 2019",1091,269,,67.411,187,504,906,1274,1572,523,313.5
"Jul 19, 2019",1210,254.253,1347,45.186,611,632,739,1162,1901,631.496,330.464
"Jul 20, 2019",991,189.939,1347,37.552,399,581,823,1347,1314,582.125,307.5
"Jul 21, 2019",1106,206,1802,46.455,378,919,807,1802,1696,618.6,325.143
"Jul 22, 2019",1010,206.973,672,34,394,553,638,1253,1144,613,338.714
"Jul 23, 2019",1322,292,671,55.701,460,606,741,1334,1065,616.961,362.841
"Jul 24, 2019",1304,230.473,1178,43.387,466,551,911,1151,1515,617.333,337.868
"Jul 25, 2019",1100,186.482,476,42.195,320,679,801,1097,1217,562,299.696
"Jul 26, 2019",,213,568,31,473,649,355,1336,1403,,337.75
"Jul 27, 2019",970,243.234,1572,78,349,757,722,1571,1028,619.75,322.4
"Jul 28, 2019",1248,256,973,91,,708,809,1081,1539,220.25,387
"Jul 29, 2019",296,273.134,849,80.81,425,419,628,944,1225,393.801,356.957
"Jul 30, 2019",1084,180.542,203,49.898,392,552,820,1088,1269,516.475,307.352
"Jul 31, 2019",,,,,,,,,,,649
"Aug 1, 2019",1086,189,828,49.446,340,671,581,1335,1258,603,260.196
"Aug 2, 2019",1040,194,1590,49.325,374,646,862,1447,1445,570.333,361.5
"Aug 3, 2019",,101,,,,,,,,,
"Aug 4, 2019",,,,,,,,,,,
"Aug 5, 2019",,,,,,,,,,,
"Aug 6, 2019",,,,,,,,,,,
"Aug 7, 2019",1142,214,255,43.493,309,673,960,1137,1561,598.792,363.75
"Aug 8, 2019",1227,310.333,422,46.143,404,716,890,1149,1265,510,412.6
"Aug 9, 2019",1173,229.422,1120,54.921,423,552,912,1120,1694,580.032,364.944
"Aug 10, 2019",1172,216.67,588,43.713,359,570,535,1249,1743,592.487,282.956
"Aug 11, 2019",761,257.924,744,51.957,303,862,863,1147,1441,591.509,266.622
"Aug 12, 2019",,219.398,574,103.7,319,438,406,841,842,407.667,481
"Aug 13, 2019",1195,240.973,374,50.674,412,606,648,1380,1463,570.5,371.667
"Aug 14, 2019",,311.527,1410,53.591,358,459,841,1264,1459,663.457,
"Aug 15, 2019",1014,295.333,445,68.979,313,865,,540,1076,455.569,305.875
"Aug 16, 2019",847,195.53,1634,48.22,412,708,1016,1241,1461,712.642,242.333
"Aug 17, 2019",975,194.925,1379,51.423,366,901,769,1431,1719,615.667,266.647
"Aug 18, 2019",,,,,,,,,,,
"Aug 19, 2019",,,,,,1105,3,,,,
"Aug 20, 2019",,,,,,,,,,,
"Aug 21, 2019",,219.98,355,54.755,123,756,769,401,443,280,605
"Aug 22, 2019",,,,114.652,148,376,379,,,413.024,248
"Aug 23, 2019",1014,196.361,1779,55.161,204,,3,1472,,327.976,299
"Aug 24, 2019",1072,304,859,69.506,328,639,703,1302,1556,295.493,278.5
"Aug 25, 2019",,,,65.974,,,,,,,388.569
"Aug 26, 2019",,167,485,32,108,521,789,518,1463,518.75,
"Aug 27, 2019",858,,,19,355,774,1052,,,650.151,152
"Aug 28, 2019",,,,,,,,,,,
"Aug 29, 2019",1105,254.969,1549,,,672,691,1254,1134,695.525,379.223
"Aug 30, 2019",,,,135,,,,,,,
"Aug 31, 2019",1149,245.736,1032,41.708,339,550,594,1239,1279,552.725,289.625
"Sep 1, 2019",941,296,,108,,1084,9,,,528,198
"Sep 2, 2019",,,,,,,,,,,
"Sep 3, 2019",163,121,77,31,,66,100,152,238,131.604,100.923
"Sep 4, 2019",,273,770,85.574,,,4,647,1413,464,341.714
"Sep 5, 2019",,230.806,,209,,,2,,,,362
"Sep 6, 2019",,95,115,,,53,42,134,159,116.444,637.073
"Sep 7, 2019",1017,,,159,211,,,,,627.301,495
"Sep 8, 2019",923,,518,43.512,312,763,963,978,1090,564.652,323.136
"Sep 9, 2019",1031,316.446,883,69.806,319,658,439,948,1075,519,352.5
"Sep 10, 2019",1018,282.024,1404,60.406,436,525,575,1098,1421,597.594,346.996
"Sep 11, 2019",840,187,,58.867,240,679,745,1240,1232,474.853,283.481
"Sep 12, 2019",832,258.41,1146,70.126,326,701,739,1439,1218,554.5,281.901
"Sep 13, 2019",,181,1140,133.223,260,590,698,1290,1457,275.964,65
"Sep 14, 2019",,264.886,1140,53.632,218,259,234,1210,396,277.937,
"Sep 15, 2019",,267.241,378,84.5,405,261,288,424,444,375.141,74
"Sep 16, 2019",853,194.609,975,59.851,325,501,511,926,883,504.249,209.333
"Sep 17, 2019",914,241.251,532,58.905,247,795,560,1509,1368,501.548,265
"Sep 18, 2019",,196.942,647,70.711,250,588,445,1044,1189,377.611,273.416
"Sep 19, 2019",682,208.145,937,88.369,162,413,556,745,971,410.282,306.111
"Sep 20, 2019",568,283.684,789,99.081,,679,803,592,736,313.306,269.5
"Sep 21, 2019",642,270.327,588,88.289,392,392,506,682,753,389,289.766
"Sep 22, 2019",,190.173,1140,38.091,318,679,780,1256,1421,626.54,
"Sep 23, 2019",1017,244.209,1140,76.211,,679,793,1140,1421,650.626,239
"Sep 24, 2019",,174,1140,53.629,324,526,788,1256,1421,783,
"Sep 25, 2019",,,,80.513,,,,,,,
"Sep 26, 2019",,,,,,,,,,,
"Sep 27, 2019",,,,,,,,,,,
"Sep 28, 2019",1017,190,228,68.847,260,523,236,1133,1360,227.559,260.407
"Sep 29, 2019",,108,1376,54.292,318,914,793,287,371,319,
"Sep 30, 2019",,202,83,54.4,147,70,59,240,339,173,54
"Oct 1, 2019",,334,520,25,393,334,313,616,716,372.894,152
"Oct 2, 2019",902,282,805,44.622,295,575,677,1099,1318,554.8,291.446
"Oct 3, 2019",811,154.239,891,48.2,305,855,910,1392,1231,566,272
"Oct 4, 2019",837,202,266,55.672,365,415,427,1097,1067,498.857,301.26
"Oct 5, 2019",1081,200.344,696,46.284,362,813,1076,1161,1311,590,324.921
"Oct 6, 2019",1227,333.226,1210,86.291,232,804,659,1030,1761,628.286,385
"Oct 7, 2019",,163,393,33,56,135,107,393,367,154,
"Oct 8, 2019",,,,,,,,,,,
"Oct 9, 2019",,,,,,,,,,,
"Oct 10, 2019",,,,,,,,,,,
"Oct 11, 2019",,,,,,,,,,,
"Oct 12, 2019",970,197.345,1381,53.448,266,597,1123,1037,1179,616.842,336.575
"Oct 13, 2019",979,196.661,527,49.768,300,489,569,1192,1558,586.36,291.705
"Oct 14, 2019",898,201.841,978,40.543,252,1002,600,1440,1318,485.872,287.752
"Oct 15, 2019",,242.41,1210,58,215,744,642,1259,1227,351,546
"Oct 16, 2019",536,179.201,916,73.25,216,385,418,752,915,492.12,321
"Oct 17, 2019",865,315,812,77.143,266,192,151,839,962,295.235,208
"Oct 18, 2019",,116,,37,387,,,,,,390.5
"Oct 19, 2019",915,218.333,1080,74.382,226,857,598,1082,1156,488.657,258.264
"Oct 20, 2019",,303,,,,,,,,,
"Oct 21, 2019",,210.533,916,,,437,8,723,,182.688,
"Oct 22, 2019",,,,,,,,,,,
"Oct 23, 2019",,144,285,,,437,394,274,219,,
"Oct 24, 2019",993,218.454,686,93.26,266,,8,979,1045,386.617,287
"Oct 25, 2019",864,304,1287,42,300,606,428,1289,1079,443,280
"Oct 26, 2019",702,229.88,,66,69,606,585,1346,1058,522.045,497.41
"Oct 27, 2019",803,275.451,1001,75,264,683,784,860,1086,484.5,435.2
"Oct 28, 2019",,,,28,,,,,,,
"Oct 29, 2019",,,,,,,,,,,
"Oct 30, 2019",,,,,,,,,,,
"Oct 31, 2019",,,,,,,5,,,515,54
"Nov 1, 2019",852,233.991,1021,101.309,265,268,113,831,1045,444.1,324.192
"Nov 2, 2019",615,267,417,77.486,150,84,135,493,737,259.528,317
"Nov 3, 2019",988,414,,48.416,393,674,832,1185,1240,516,341.2
"Nov 4, 2019",639,164.665,155,,416,744,670,1232,1010,466,101
"Nov 5, 2019",960,209,,48.967,217,382,1116,946,1281,506.85,307.454
"Nov 6, 2019",,,,,,,,,,,
"Nov 7, 2019",,,,107.85,351,,,,,318,308
"Nov 8, 2019",,407,,81,,453,,939,1281,320,277
"Nov 9, 2019",,,,,,,,,,,108.5
"Nov 10, 2019",,,,115.647,,,,,,,91
"Nov 11, 2019",,,,,,,,,,,
"Nov 12, 2019",,,,,,,,,,,
"Nov 13, 2019",,121,,108.5,346,,,1191,,540.285,161
"Nov 14, 2019",,,,,,,,,,,
"Nov 15, 2019",,,,,,,,,,,
"Nov 16, 2019",,,,,,,,,,,
"Nov 17, 2019",,205.454,540,60.75,121,522,854,1114,1275,279.357,
"Nov 18, 2019",,146.467,208,49.545,313,522,891,1121,1275,214.947,369.5
"Nov 19, 2019",,,,,,,,,,,
"Nov 20, 2019",,,,,,,,,,,
"Nov 21, 2019",,,547,116.043,197,677,602,1121,1343,230,258.644
"Nov 22, 2019",1001,186.253,1180,131.4,378,627,656,1295,1149,600.34,324.386
"Nov 23, 2019",,,,,,,,,,,
"Nov 24, 2019",,,,,,,,,,,
"Nov 25, 2019",991,160,796,62.228,315,470,462,792,1277,442.218,246.887
"Nov 26, 2019",,188.529,177,41,134,204,180,548,669,158.4,
"Nov 27, 2019",,,,,,1136,9,,,,
"Nov 28, 2019",,,,,,,,,,,
"Nov 29, 2019",,,,,,,,,,,
"Nov 30, 2019",671,248,579,96,174,334,260,647,688,434.75,290
"Dec 1, 2019",,,,,,,,,,,
"Dec 2, 2019",,,,82,,,4,,,115,57
"Dec 3, 2019",,73.783,797,46.667,59,327,585,1118,1277,429.5,
"Dec 4, 2019",,,,,,,,,,,
"Dec 5, 2019",,515,,100.048,,597,708,895,1322,487,144.411
"Dec 6, 2019",,,,,,,,,,,
"Dec 7, 2019",,,,,,,,,,,
"Dec 8, 2019",1102,273,774,67.295,470,770,1083,1351,1576,664.606,325.613
"Dec 9, 2019",1214,250.622,475,87.803,529,588,470,1201,1397,595,380.125
"Dec 10, 2019",,,,,,,,,,,
"Dec 11, 2019",,,,,,,,,,,
"Dec 12, 2019",,,,,,,,,,,
"Dec 13, 2019",,,,,,,,,,,
"Dec 14, 2019",,,,,,,,,,,
"Dec 15, 2019",1008,172.411,430,93.366,,197,244,451,480,262,161.2
"Dec 16, 2019",932,196.62,804,84.255,305,604,1075,1156,1379,564,275.2
"Dec 17, 2019",787,157.355,947,75.094,256,912,894,1366,1685,622,234.864
"Dec 18, 2019",,,,99.908,164,,,858,,522.25,242.915
"Dec 19, 2019",,,,,,,,,,,
"Dec 20, 2019",,,,,,,,,,,
"Dec 21, 2019",,,,59.233,327,455,769,,,542,264
"Dec 22, 2019",,,,,,,,,,,
"Dec 23, 2019",,,,,,,,,,,
"Dec 24, 2019",,,,,,,,,,,
"Dec 25, 2019",,,1335,90.517,590,336,751,1335,,337.705,404.333
"Dec 26, 2019",1050,195.633,1337,68.574,331,705,820,1120,1342,551.513,325.4
"Dec 27, 2019",893,154,494,41.5,257,428,373,814,861,412,291.778
"Dec 28, 2019",689,242.044,989,46.306,325,557,539,1114,987,563,56
"Dec 29, 2019",850,158.118,234,66.875,331,662,865,1208,1598,582.647,289.5
"Dec 30, 2019",1212,251.404,2170,107.567,425,662,730,1243,1238,610.504,396.751
"Dec 31, 2019",947,244.784,1139,75.181,350,440,672,1108,1437,614.333,306.5
"Jan 1, 2020",986,213.283,717,38.132,347,783,1118,1202,1475,696.825,298.8
"Jan 2, 2020",,,,,,579,10,,,,
"Jan 3, 2020",971,,258,37.247,137,650,901,258,1314,490.961,449
"Jan 4, 2020",483,,,,,,,,,,561
"Jan 5, 2020",,,,,,,,,,,
"Jan 6, 2020",,,,,,,,,,,
"Jan 7, 2020",843,205,1615,46.947,,800,842,1331,1644,578.211,244.267
"Jan 8, 2020",,,258,,,309,932,1339,,,
"Jan 9, 2020",,,,,,,,,,,
"Jan 10, 2020",1043,246,1208,86.657,377,475,578,993,1267,530.674,341.265
"Jan 11, 2020",971,252,542,75.235,413,627,491,739,,407.708,244.159
"Jan 12, 2020",,,,,,,,,,,
"Jan 13, 2020",,,,,285,749,852,,,501,521
"Jan 14, 2020",,,,,,,,,,,
"Jan 15, 2020",,158,542,77.25,507,523,839,1112,358,474.444,124.667
"Jan 16, 2020",1027,212.458,493,72.363,349,474,507,1083,1652,505,304.667
"Jan 17, 2020",,,542,68.052,,,5,542,,,498
"Jan 18, 2020",,,,137,360,,,,,596.5,512
"Jan 19, 2020",442,199,135,105.276,362,683,789,270,424,315.429,432.008
"Jan 20, 2020",905,88,1223,83.986,327,750,15,893,1280,472,325.5
"Jan 21, 2020",941,151,374,40.562,285,241,431,119,125,258.532,290
"Jan 22, 2020",,,,59.178,262,,,,,335,
"Jan 23, 2020",,,,,,,,,,,
"Jan 24, 2020",,,,,,,,,,,
"Jan 25, 2020",690,219,69,77.297,279,557,302,137,620,301,240.875
"Jan 26, 2020",1399,273.037,1258,106.661,439,751,903,1063,1766,596.5,401.408
"Jan 27, 2020",1054,415,484,56.986,368,548,838,1088,1301,485.946,302
"Jan 28, 2020",778,114,863,38.568,263,663,744,1209,1548,519.571,245
"Jan 29, 2020",,106,,,,812,,178,,,268
"Jan 30, 2020",868,219,231,,,841,891,1169,1177,275.571,
"Jan 31, 2020",,,,,,,,,,,
"Feb 1, 2020",966,250.175,864,78.533,288,499,922,1090,1534,533.952,310.592
"Feb 2, 2020",,,,,,,,,,,
"Feb 3, 2020",,,,115,,,,,,,
