Date,PM10,Policy,New Cases,New Deaths,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob,avg_mob
2020-08-17,,5,137,4,-31,3,-43,-34,-25,11,-19.8333333333333
2020-08-18,,5,1289,101,-34,-2,-39,-36,-26,13,-20.6666666666667
2020-08-19,,5,1547,117,-33,2,-38,-35,-25,12,-19.5
2020-08-20,,5,753,79,-38,-1,-54,-38,-26,14,-23.8333333333333
2020-08-21,,5,1000,48,-39,-1,-54,-38,-27,14,-24.1666666666667
2020-08-22,,5,931,31,-43,-3,-73,-42,-15,13,-27.1666666666667
2020-08-23,,5,348,25,-42,-2,-57,-39,-8,10,-23
2020-08-24,,5,397,85,-33,2,-46,-35,-23,11,-20.6666666666667
2020-08-25,,5,584,88,-34,0,-43,-36,-26,13,-21
2020-08-26,,5,951,64,-33,3,-44,-36,-24,12,-20.3333333333333
2020-08-27,,5,735,98,-34,3,-35,-34,-23,12,-18.5
2020-08-28,,5,696,32,-25,10,-17,-29,-20,10,-11.8333333333333
2020-08-29,,5,133,30,-27,7,-23,-23,-4,6,-10.6666666666667
2020-08-30,,5,82,6,-34,2,-11,-27,-4,5,-11.5
2020-08-31,,5,121,29,-31,6,-40,-33,-22,10,-18.3333333333333
2020-09-01,,6,1222,74,-32,5,-41,-34,-25,12,-19.1666666666667
2020-09-02,,6,200,41,-30,10,-39,-33,-24,11,-17.5
2020-09-03,,6,478,35,-30,9,-27,-31,-22,11,-15
2020-09-04,,6,646,40,-22,16,-8,-23,-21,9,-8.16666666666667
2020-09-05,,6,226,27,-24,14,-25,-18,-6,5,-9
2020-09-06,,6,242,22,-30,9,-2,-23,-5,4,-7.83333333333333
2020-09-07,,6,172,22,-47,-20,24,-57,-64,13,-25.1666666666667
2020-09-08,,6,247,33,-31,6,-34,-28,-25,9,-17.1666666666667
2020-09-09,,6,313,70,-29,10,-36,-32,-23,10,-16.6666666666667
2020-09-10,,6,684,47,-29,9,-25,-30,-22,11,-14.3333333333333
2020-09-11,,6,112,-21,-23,13,-11,-25,-20,10,-9.33333333333333
2020-09-12,,6,182,60,-24,9,-17,-19,-4,6,-8.16666666666667
2020-09-13,,6,147,3,-33,3,-9,-24,-4,5,-10.3333333333333
2020-09-14,,6,107,3,-29,5,-18,-29,-20,9,-13.6666666666667
2020-09-15,,6,607,114,-34,1,-45,-33,-24,13,-20.3333333333333
2020-09-16,,6,767,97,-30,5,-31,-32,-22,11,-16.5
2020-09-17,,6,581,61,-31,3,-23,-32,-21,12,-15.3333333333333
2020-09-18,,6,213,58,-25,9,-10,-28,-19,10,-10.5
2020-09-19,,6,212,21,-27,7,-29,-23,-4,7,-11.5
2020-09-20,,6,338,25,-45,-7,-65,-39,-10,9,-26.1666666666667
2020-09-21,,6,383,10,-34,1,-47,-34,-23,11,-21
2020-09-22,,6,286,71,-55,-25,-69,-47,-33,18,-35.1666666666667
2020-09-23,,6,1028,84,-36,9,-51,-36,-23,13,-20.6666666666667
2020-09-24,,6,309,70,-34,6,-37,-32,-20,12,-17.5
2020-09-25,,6,163,63,-27,14,-17,-27,-18,10,-10.8333333333333
2020-09-26,,6,87,41,-30,8,-29,-22,-2,7,-11.3333333333333
2020-09-27,,6,2114,15,-37,2,-16,-23,-2,5,-11.8333333333333
2020-09-28,,6,80,7,-36,4,-28,-32,-20,10,-17
2020-09-29,,6,183,70,-37,3,-42,-33,-22,12,-19.8333333333333
2020-09-30,,6,207,43,-32,12,-31,-31,-21,10,-15.5
2020-10-01,,6.5,185,55,-33,12,-25,-30,-18,10,-14
2020-10-02,,6.5,3177,53,-25,15,4,-20,-17,8,-5.83333333333333
2020-10-03,,6.5,60,24,-27,14,-31,-14,-2,6,-9
2020-10-04,,6.5,32,6,-40,6,-60,-24,-6,8,-19.3333333333333
2020-10-05,,6.5,1473,11,-29,13,-33,-23,-18,9,-13.5
2020-10-06,,6.5,1061,79,-31,9,-29,-24,-21,10,-14.3333333333333
2020-10-07,,6.5,843,43,-28,16,-37,-24,-19,9,-13.8333333333333
2020-10-08,,6.5,655,73,-31,12,-43,-25,-19,11,-15.8333333333333
2020-10-09,,6.5,804,65,-25,16,-33,-21,-17,9,-11.8333333333333
2020-10-10,,6.5,212,23,-23,18,-45,-11,0,6,-9.16666666666667
2020-10-11,,6.5,37,5,-26,16,-29,-16,3,6,-7.66666666666667
2020-10-12,,6.5,0,0,-34,-11,17,-51,-60,12,-21.1666666666667
2020-10-13,,6.5,27,20,-32,6,-35,-22,-20,9,-15.6666666666667
2020-10-14,,6.5,96,61,-31,10,-38,-25,-19,10,-15.5
2020-10-15,,6.5,91,50,-31,11,-39,-25,-19,11,-15.3333333333333
2020-10-16,,6.5,2043,45,-28,14,-34,-20,-17,11,-12.3333333333333
2020-10-17,,6.5,96,28,-24,16,-35,-11,1,7,-7.66666666666667
2020-10-18,,6.5,91,23,-31,14,-28,-15,1,6,-8.83333333333333
2020-10-19,,6.5,398,4,-51,-42,-18,-39,-38,14,-29
2020-10-20,,6.5,177,35,-28,20,-30,-21,-19,9,-11.5
2020-10-21,,6.5,487,62,-29,15,-33,-23,-17,10,-12.8333333333333
2020-10-22,,6.5,452,43,-30,12,-30,-23,-16,11,-12.6666666666667
2020-10-23,,6.5,422,57,-23,17,-5,-18,-14,9,-5.66666666666667
2020-10-24,,6.5,564,36,-27,11,-36,-13,0,7,-9.66666666666667
2020-10-25,,6.5,220,23,-33,9,-35,-19,0,7,-11.8333333333333
2020-10-26,,6.5,172,6,-30,11,-32,-23,-16,9,-13.5
2020-10-27,,6.5,788,53,-32,6,-24,-22,-18,10,-13.3333333333333
2020-10-28,,6.5,577,57,-30,9,-25,-24,-17,9,-13
2020-10-29,,6.5,477,55,-32,7,-27,-23,-15,10,-13.3333333333333
2020-10-30,,6.5,202,55,-34,7,-47,-24,-20,12,-17.6666666666667
2020-10-31,,6.5,566,6,-31,15,-59,-19,-2,8,-14.6666666666667
2020-11-01,,6.5,300,4,-36,10,-57,-26,-3,9,-17.1666666666667
2020-11-02,,6.5,92,11,-47,-16,-12,-57,-61,16,-29.5
2020-11-03,,7,233,8,-33,6,-40,-21,-18,9,-16.1666666666667
2020-11-04,,7,606,71,-29,16,-40,-24,-16,10,-13.8333333333333
2020-11-05,,7,370,49,-32,11,-43,-25,-16,11,-15.6666666666667
2020-11-06,,7,896,0,-20,24,-21,-18,-12,9,-6.33333333333333
2020-11-07,,7,459,44,-18,18,-30,-8,3,5,-5
2020-11-08,,7,138,0,-29,10,-37,-15,2,6,-10.5
2020-11-09,,7,232,0,-26,15,-36,-21,-14,8,-12.3333333333333
2020-11-10,,7,754,0,-29,11,-39,-23,-18,10,-14.6666666666667
2020-11-11,,7,593,10,-28,13,-39,-24,-16,10,-14
2020-11-12,,7,1038,97,-30,8,-37,-24,-15,11,-14.5
2020-11-13,,7,551,0,-20,19,-19,-19,-13,9,-7.16666666666667
2020-11-14,,7,960,87,-19,15,-29,-9,3,5,-5.66666666666667
2020-11-15,,7,268,4,-16,39,-17,16,12,2,6
2020-11-16,,7,133,2,-29,8,-24,-23,-16,9,-12.5
2020-11-17,,7,1097,141,-32,4,-39,-24,-18,11,-16.3333333333333
2020-11-18,,7,913,140,-33,6,-53,-28,-18,11,-19.1666666666667
2020-11-19,,7,797,51,-30,10,-47,-23,-16,10,-16
2020-11-20,,7,1004,79,-45,-6,-46,-53,-55,20,-30.8333333333333
2020-11-21,,7,313,12,-24,12,-35,-16,-2,7,-9.66666666666667
2020-11-22,,7,293,0,-34,4,-42,-20,-2,7,-14.5
2020-11-23,,7,192,44,-28,11,-37,-22,-15,9,-13.6666666666667
2020-11-24,,7,916,85,-29,7,-33,-24,-17,10,-14.3333333333333
2020-11-25,,7,1487,51,-27,13,-32,-24,-16,9,-12.8333333333333
2020-11-26,,7,838,77,-27,11,-23,-23,-14,10,-11
2020-11-27,,7,419,34,-15,24,-5,-16,-13,8,-2.83333333333333
2020-11-28,,7,2100,35,-19,17,-19,-8,3,5,-3.5
2020-11-29,,7,450,6,-13,49,-3,16,9,2,10
2020-11-30,,7,217,28,-23,17,-17,-20,-15,8,-8.33333333333333
2020-12-01,,7,1637,63,-26,13,-32,-23,-18,10,-12.6666666666667
2020-12-02,,7,1367,47,-23,20,-36,-22,-15,9,-11.1666666666667
2020-12-03,,7,1367,60,-24,16,-25,-21,-14,10,-9.66666666666667
2020-12-04,,7,961,67,-17,23,-9,-17,-12,8,-4
2020-12-05,,7,1007,38,-19,18,-42,-9,3,6,-7.16666666666667
2020-12-06,,7,294,11,-30,13,-60,-21,-1,7,-15.3333333333333
2020-12-07,,7,148,13,-27,11,-52,-26,-18,10,-17
2020-12-08,,7,1122,82,-23,16,-38,-22,-16,10,-12.1666666666667
2020-12-09,,7,1454,96,-25,14,-40,-24,-16,10,-13.5
2020-12-10,,7,1467,72,-27,13,-39,-23,-15,11,-13.3333333333333
2020-12-11,,7,1388,38,-20,18,-20,-17,-13,9,-7.16666666666667
2020-12-12,,7,1138,36,-19,16,-32,-8,4,6,-5.5
2020-12-13,,7,131,4,-29,10,-42,-18,1,7,-11.8333333333333
2020-12-14,,7,190,1,-22,15,-25,-20,-14,8,-9.66666666666667
2020-12-15,,7,362,92,-23,13,-23,-20,-17,9,-10.1666666666667
2020-12-16,,7,1134,136,-21,17,-26,-21,-15,8,-9.66666666666667
2020-12-17,,7,1156,26,-21,18,-26,-20,-14,9,-9
2020-12-18,,7,1251,60,-13,24,-8,-13,-12,7,-2.5
2020-12-19,,7,955,56,-14,22,-22,-1,7,4,-0.666666666666667
2020-12-20,,7,194,0,-19,25,-15,-4,11,5,0.5
2020-12-21,,7,235,3,-10,30,-16,-15,-14,6,-3.16666666666667
2020-12-22,,7,875,84,-20,22,-43,-20,-20,9,-12
2020-12-23,,7,788,17,-10,54,-39,-16,-18,6,-3.83333333333333
2020-12-24,,7,1384,84,-43,26,-54,-43,-44,14,-24
2020-12-25,,7,504,42,-84,-77,-63,-74,-74,19,-58.8333333333333
2020-12-26,,7,171,3,-36,-3,-36,-28,-11,10,-17.3333333333333
2020-12-27,,7,463,6,-45,-9,-66,-33,-6,11,-24.6666666666667
2020-12-28,,7,188,16,-23,18,-32,-27,-20,10,-12.3333333333333
2020-12-29,,7,1581,85,-25,17,-28,-28,-24,11,-12.8333333333333
2020-12-30,,7,2010,110,-19,43,-20,-26,-22,8,-6
2020-12-31,,7,297,117,-49,25,-21,-46,-46,13,-20.6666666666667
2021-01-01,,7,79,45,-79,-74,-25,-73,-74,18,-51.1666666666667
2021-01-02,,7,5,1,-56,-22,-63,-44,-27,14,-33
2021-01-03,,7,26,7,-43,-3,-47,-28,-5,9,-19.5
2021-01-04,,7,2669,2,-31,13,-23,-27,-19,9,-13
2021-01-05,,7,1514,162,-32,9,-18,-27,-21,11,-13
2021-01-06,,7,1264,103,-31,10,-22,-28,-19,10,-13.3333333333333
2021-01-07,,7,1207,132,-31,9,-11,-27,-18,11,-11.1666666666667
2021-01-08,,7,1156,111,-24,16,1,-23,-16,9,-6.16666666666667
2021-01-09,,7,292,104,-27,11,-23,-18,1,7,-8.16666666666667
2021-01-10,,7,863,5,-34,6,-20,-21,1,6,-10.3333333333333
2021-01-11,,7,193,1,-27,12,-20,-26,-16,8,-11.5
2021-01-12,,7,1105,131,-32,2,-14,-28,-20,10,-13.6666666666667
2021-01-13,,7,969,130,-32,4,-20,-31,-21,8,-15.3333333333333
2021-01-14,,7,1148,156,-35,-2,-16,-33,-21,8,-16.5
2021-01-15,,7,895,67,-30,1,1,-30,-21,7,-12
2021-01-16,,7,1014,84,-33,-3,-11,-24,-7,4,-12.3333333333333
2021-01-17,,7,310,18,-36,-4,0,-22,-6,3,-10.8333333333333
2021-01-18,,7,167,8,-34,-2,-11,-31,-21,6,-15.5
2021-01-19,,7,1029,193,-32,0,-10,-30,-22,7,-14.5
