Region,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total,Fecha,Fallecidostotales,Nuevos Casos,Casos Confirmados,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Biobío,1778.0,101.0,91.0,10.0,11,1.96%,2020/05/29,,,,,,,8,1663696,
Araucanía,1989.0,35.0,24.0,11.0,47,2.19%,2020/05/29,,,,,,,9,1014343,
Los Ríos,330.0,12.0,6.0,6.0,6,0.36%,2020/05/29,,,,,,,14,405835,
Los Lagos,822.0,8.0,6.0,2.0,13,0.91%,2020/05/29,,,,,,,10,891440,
Aysén,16.0,2.0,2.0,0.0,0,0.02%,2020/05/29,,,,,,,11,107297,
Magallanes,1047.0,7.0,6.0,1.0,19,1.16%,2020/05/29,,,,,,,12,178362,
Arica y Parinacota,850.0,31.0,31.0,0.0,0,0.63%,2020/06/07,10.0,,,,,,15,252110,
Tarapacá,3250.0,156.0,119.0,37.0,0,2.42%,2020/06/07,32.0,,,,,,1,382773,
Antofagasta,3154.0,121.0,106.0,15.0,0,2.35%,2020/06/07,47.0,,,,,,2,691854,
Atacama,306.0,25.0,12.0,13.0,0,0.23%,2020/06/07,0.0,,,,,,3,314709,
Coquimbo,990.0,92.0,84.0,8.0,0,0.74%,2020/06/07,5.0,,,,,,4,836096,
Valparaíso,4862.0,282.0,255.0,27.0,0,3.62%,2020/06/07,93.0,,,,,,5,1960170,
Metropolitana,108462.0,5268.0,4797.0,471.0,0,80.85%,2020/06/07,1273.0,,,,,,13,8125072,
O’Higgins,1183.0,72.0,56.0,16.0,0,0.88%,2020/06/07,25.0,,,,,,6,991063,
Maule,2109.0,140.0,116.0,24.0,0,1.57%,2020/06/07,24.0,,,,,,7,1131939,
Ñuble,1490.0,20.0,19.0,1.0,0,1.11%,2020/06/07,25.0,,,,,,16,511551,
Biobío,2595.0,105.0,87.0,18.0,0,1.93%,2020/06/07,13.0,,,,,,8,1663696,
Araucanía,2377.0,56.0,47.0,9.0,0,1.77%,2020/06/07,50.0,,,,,,9,1014343,
Los Ríos,417.0,17.0,15.0,2.0,0,0.31%,2020/06/07,8.0,,,,,,14,405835,
Los Lagos,1003.0,18.0,14.0,4.0,0,0.75%,2020/06/07,13.0,,,,,,10,891440,
Aysén,20.0,1.0,1.0,0.0,0,0.01%,2020/06/07,0.0,,,,,,11,107297,
Magallanes,1082.0,1.0,1.0,0.0,0,0.81%,2020/06/07,19.0,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/04/06,,13.0,41.0,,,,15,252110,16.262742453690848
Tarapacá,,,,,0,,2020/04/06,,1.0,21.0,,,,1,382773,5.486280380277606
Antofagasta,,,,,0,,2020/04/06,,8.0,68.0,,,,2,691854,9.828663272887054
Atacama,,,,,0,,2020/04/06,,0.0,5.0,,,,3,314709,1.5887693075190097
Coquimbo,,,,,0,,2020/04/06,,1.0,51.0,,,,4,836096,6.099778015921617
Valparaíso,,,,,1,,2020/04/06,,7.0,198.0,,,,5,1960170,10.101164694898912
Metropolitana,,,,,10,,2020/04/06,,142.0,2244.0,,,,13,8125072,27.618216798571137
O’Higgins,,,,,0,,2020/04/06,,1.0,42.0,,,,6,991063,4.23787387885533
Maule,,,,,1,,2020/04/06,,5.0,108.0,,,,7,1131939,9.54115018565488
Ñuble,,,,,4,,2020/04/06,,49.0,474.0,,,,16,511551,92.6593829354258
Biobío,,,,,2,,2020/04/06,,18.0,383.0,,,,8,1663696,23.021032688664278
Araucanía,,,,,14,,2020/04/06,,53.0,562.0,,,,9,1014343,55.40532147409702
Los Ríos,,,,,1,,2020/04/06,,5.0,104.0,,,,14,405835,25.626178126578534
Los Lagos,,,,,2,,2020/04/06,,10.0,286.0,,,,10,891440,32.08292201382034
Aysén,,,,,0,,2020/04/06,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,2,,2020/04/06,,31.0,221.0,,,,12,178362,123.90531615478633
Arica y Parinacota,,,,,0,,2020/04/08,,10.0,63.0,,,,15,252110,24.98909206298838
Tarapacá,,,,,0,,2020/04/08,,3.0,26.0,,,,1,382773,6.792537613677036
Antofagasta,,,,,1,,2020/04/08,,8.0,77.0,,,,2,691854,11.129515764886811
Atacama,,,,,0,,2020/04/08,,2.0,8.0,,,,3,314709,2.5420308920304153
Coquimbo,,,,,0,,2020/04/08,,4.0,56.0,,,,4,836096,6.697795468462952
Valparaíso,,,,,2,,2020/04/08,,11.0,225.0,,,,5,1960170,11.478596244203308
Metropolitana,,,,,14,,2020/04/08,,198.0,2548.0,,,,13,8125072,31.359722104616427
O’Higgins,,,,,0,,2020/04/08,,1.0,43.0,,,,6,991063,4.338775637875695
Maule,,,,,2,,2020/04/08,,11.0,119.0,,,,7,1131939,10.51293400086047
Ñuble,,,,,5,,2020/04/08,,39.0,561.0,,,,16,511551,109.66648486661155
Biobío,,,,,2,,2020/04/08,,29.0,439.0,,,,8,1663696,26.38703224627576
Araucanía,,,,,15,,2020/04/08,,57.0,669.0,,,,9,1014343,65.954021470055
Los Ríos,,,,,2,,2020/04/08,,5.0,114.0,,,,14,405835,28.090233715672625
Los Lagos,,,,,2,,2020/04/08,,26.0,325.0,,,,10,891440,36.45786592479584
Aysén,,,,,0,,2020/04/08,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,3,,2020/04/08,,26.0,266.0,,,,12,178362,149.13490541707313
Arica y Parinacota,,,,,1,,2020/04/16,,5.0,129.0,,,,15,252110,51.16814089088096
Tarapacá,,,,,0,,2020/04/16,,4.0,66.0,,,,1,382773,17.242595480872478
Antofagasta,,,,,1,,2020/04/16,,16.0,192.0,,,,2,691854,27.751519829328153
Atacama,,,,,0,,2020/04/16,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/16,,2.0,68.0,,,,4,836096,8.133037354562155
Valparaíso,,,,,4,,2020/04/16,,31.0,330.0,,,,5,1960170,16.835274491498186
Metropolitana,,,,,48,,2020/04/16,,348.0,4682.0,,,,13,8125072,57.624104746394856
O’Higgins,,,,,0,,2020/04/16,,0.0,54.0,,,,6,991063,5.44869498709971
Maule,,,,,4,,2020/04/16,,15.0,167.0,,,,7,1131939,14.753445194484863
Ñuble,,,,,10,,2020/04/16,,5.0,639.0,,,,16,511551,124.91423142560566
Biobío,,,,,2,,2020/04/16,,17.0,559.0,,,,8,1663696,33.59988844115752
Araucanía,,,,,21,,2020/04/16,,56.0,882.0,,,,9,1014343,86.95283548070032
Los Ríos,,,,,3,,2020/04/16,,3.0,153.0,,,,14,405835,37.70005051313957
Los Lagos,,,,,5,,2020/04/16,,9.0,399.0,,,,10,891440,44.759041550749345
Aysén,,,,,0,,2020/04/16,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/16,,23.0,467.0,,,,12,178362,261.8270707886209
Arica y Parinacota,351.0,0.0,0.0,0.0,7,1.11%,2020/05/12,,,,,,,15,252110,
Tarapacá,578.0,31.0,23.0,8.0,1,1.82%,2020/05/12,,,,,,,1,382773,
Antofagasta,1109.0,95.0,89.0,6.0,10,3.50%,2020/05/12,,,,,,,2,691854,
Atacama,134.0,1.0,1.0,0.0,0,0.42%,2020/05/12,,,,,,,3,314709,
Coquimbo,148.0,8.0,4.0,4.0,1,0.47%,2020/05/12,,,,,,,4,836096,
Valparaíso,1029.0,59.0,54.0,5.0,23,3.24%,2020/05/12,,,,,,,5,1960170,
Metropolitana,22709.0,1392.0,1260.0,132.0,178,71.59%,2020/05/12,,,,,,,13,8125072,
O’Higgins,224.0,8.0,7.0,1.0,4,0.71%,2020/05/12,,,,,,,6,991063,
Maule,466.0,12.0,8.0,4.0,14,1.47%,2020/05/12,,,,,,,7,1131939,
Ñuble,826.0,12.0,12.0,0.0,19,2.60%,2020/05/12,,,,,,,16,511551,
Biobío,942.0,10.0,0.0,10.0,9,2.97%,2020/05/12,,,,,,,8,1663696,
Araucanía,1482.0,16.0,14.0,2.0,39,4.67%,2020/05/12,,,,,,,9,1014343,
Los Ríos,211.0,3.0,3.0,0.0,5,0.67%,2020/05/12,,,,,,,14,405835,
Los Lagos,594.0,2.0,2.0,0.0,11,1.87%,2020/05/12,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.03%,2020/05/12,,,,,,,11,107297,
Magallanes,910.0,9.0,2.0,7.0,14,2.87%,2020/05/12,,,,,,,12,178362,
Arica y Parinacota,398.0,20.0,18.0,2.0,7,0.86%,2020/05/18,,,,,,,15,252110,
Tarapacá,1056.0,81.0,73.0,8.0,4,2.29%,2020/05/18,,,,,,,1,382773,
Antofagasta,1589.0,84.0,70.0,14.0,14,3.45%,2020/05/18,,,,,,,2,691854,
Atacama,157.0,8.0,5.0,3.0,0,0.34%,2020/05/18,,,,,,,3,314709,
Coquimbo,212.0,18.0,13.0,5.0,2,0.46%,2020/05/18,,,,,,,4,836096,
Valparaíso,1553.0,79.0,70.0,9.0,30,3.37%,2020/05/18,,,,,,,5,1960170,
Metropolitana,34451.0,1767.0,1596.0,171.0,294,74.80%,2020/05/18,,,,,,,13,8125072,
O’Higgins,418.0,52.0,33.0,19.0,6,0.91%,2020/05/18,,,,,,,6,991063,
Maule,602.0,29.0,23.0,6.0,14,1.31%,2020/05/18,,,,,,,7,1131939,
Ñuble,985.0,43.0,37.0,6.0,21,2.14%,2020/05/18,,,,,,,16,511551,
Biobío,1144.0,45.0,40.0,5.0,9,2.48%,2020/05/18,,,,,,,8,1663696,
Araucanía,1639.0,33.0,28.0,5.0,44,3.56%,2020/05/18,,,,,,,9,1014343,
Los Ríos,224.0,4.0,3.0,1.0,6,0.49%,2020/05/18,,,,,,,14,405835,
Los Lagos,652.0,5.0,1.0,4.0,11,1.42%,2020/05/18,,,,,,,10,891440,
Aysén,8.0,0.0,0.0,0.0,0,0.02%,2020/05/18,,,,,,,11,107297,
Magallanes,971.0,10.0,8.0,2.0,16,2.11%,2020/05/18,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/03/11,,0.0,0.0,,,,15,252110,0.0
Tarapacá,,,,,0,,2020/03/11,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/11,,0.0,0.0,,,,2,691854,0.0
Atacama,,,,,0,,2020/03/11,,0.0,0.0,,,,3,314709,0.0
Coquimbo,,,,,0,,2020/03/11,,0.0,0.0,,,,4,836096,0.0
Valparaíso,,,,,0,,2020/03/11,,0.0,0.0,,,,5,1960170,0.0
Metropolitana,,,,,0,,2020/03/11,,4.0,14.0,,,,13,8125072,0.17230616540998037
O’Higgins,,,,,0,,2020/03/11,,0.0,0.0,,,,6,991063,0.0
Maule,,,,,0,,2020/03/11,,2.0,7.0,,,,7,1131939,0.6184078824035572
Ñuble,,,,,0,,2020/03/11,,0.0,0.0,,,,16,511551,0.0
Biobío,,,,,0,,2020/03/11,,0.0,1.0,,,,8,1663696,0.06010713495734797
Araucanía,,,,,0,,2020/03/11,,0.0,0.0,,,,9,1014343,0.0
Los Ríos,,,,,0,,2020/03/11,,0.0,0.0,,,,14,405835,0.0
Los Lagos,,,,,0,,2020/03/11,,0.0,1.0,,,,10,891440,0.1121780489993718
Aysén,,,,,0,,2020/03/11,,0.0,0.0,,,,11,107297,0.0
Magallanes,,,,,0,,2020/03/11,,0.0,0.0,,,,12,178362,0.0
Arica y Parinacota,,,,,0,,2020/03/27,,0.0,3.0,,,,15,252110,1.1899567649042084
Tarapacá,,,,,0,,2020/03/27,,0.0,5.0,,,,1,382773,1.30625723339943
Antofagasta,,,,,0,,2020/03/27,,1.0,21.0,,,,2,691854,3.035322481332767
Atacama,,,,,0,,2020/03/27,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/27,,1.0,14.0,,,,4,836096,1.674448867115738
Valparaíso,,,,,0,,2020/03/27,,5.0,49.0,,,,5,1960170,2.4997831820709426
Metropolitana,,,,,3,,2020/03/27,,192.0,938.0,,,,13,8125072,11.544513082468685
O’Higgins,,,,,0,,2020/03/27,,2.0,16.0,,,,6,991063,1.6144281443258401
Maule,,,,,0,,2020/03/27,,1.0,32.0,,,,7,1131939,2.827007462416261
Ñuble,,,,,0,,2020/03/27,,30.0,144.0,,,,16,511551,28.14968595506606
Biobío,,,,,2,,2020/03/27,,26.0,135.0,,,,8,1663696,8.114463219241978
Araucanía,,,,,0,,2020/03/27,,32.0,143.0,,,,9,1014343,14.097795321700845
Los Ríos,,,,,0,,2020/03/27,,8.0,22.0,,,,14,405835,5.420922296006998
Los Lagos,,,,,0,,2020/03/27,,3.0,63.0,,,,10,891440,7.067217086960423
Aysén,,,,,0,,2020/03/27,,0.0,2.0,,,,11,107297,1.863985013560491
Magallanes,,,,,0,,2020/03/27,,3.0,22.0,,,,12,178362,12.334465861562443
Arica y Parinacota,,,,,2,,2020/04/17,,5.0,134.0,,,,15,252110,53.15140216572131
Tarapacá,,,,,0,,2020/04/17,,7.0,73.0,,,,1,382773,19.071355607631677
Antofagasta,,,,,1,,2020/04/17,,19.0,211.0,,,,2,691854,30.497763979105418
Atacama,,,,,0,,2020/04/17,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/17,,0.0,68.0,,,,4,836096,8.133037354562155
Valparaíso,,,,,4,,2020/04/17,,15.0,345.0,,,,5,1960170,17.60051424111174
Metropolitana,,,,,51,,2020/04/17,,233.0,4915.0,,,,13,8125072,60.49177164214668
O’Higgins,,,,,0,,2020/04/17,,1.0,55.0,,,,6,991063,5.549596746120075
Maule,,,,,7,,2020/04/17,,56.0,223.0,,,,7,1131939,19.70070825371332
Ñuble,,,,,11,,2020/04/17,,17.0,656.0,,,,16,511551,128.2374582397454
Biobío,,,,,3,,2020/04/17,,19.0,578.0,,,,8,1663696,34.74192400534713
Araucanía,,,,,22,,2020/04/17,,25.0,907.0,,,,9,1014343,89.41748501246619
Los Ríos,,,,,3,,2020/04/17,,1.0,154.0,,,,14,405835,37.94645607204899
Los Lagos,,,,,6,,2020/04/17,,13.0,412.0,,,,10,891440,46.21735618774118
Aysén,,,,,0,,2020/04/17,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,6,,2020/04/17,,34.0,501.0,,,,12,178362,280.88942712012647
Arica y Parinacota,,,,,0,,2020/04/04,,0.0,12.0,,,,15,252110,4.759827059616834
Tarapacá,,,,,0,,2020/04/04,,4.0,17.0,,,,1,382773,4.441274593558062
Antofagasta,,,,,0,,2020/04/04,,1.0,55.0,,,,2,691854,7.949654117776293
Atacama,,,,,0,,2020/04/04,,0.0,5.0,,,,3,314709,1.5887693075190097
Coquimbo,,,,,0,,2020/04/04,,9.0,44.0,,,,4,836096,5.262553582363748
Valparaíso,,,,,1,,2020/04/04,,9.0,185.0,,,,5,1960170,9.437956911900498
Metropolitana,,,,,9,,2020/04/04,,215.0,1957.0,,,,13,8125072,24.08594040766654
O’Higgins,,,,,0,,2020/04/04,,5.0,38.0,,,,6,991063,3.83426684277387
Maule,,,,,1,,2020/04/04,,8.0,97.0,,,,7,1131939,8.569366370449291
Ñuble,,,,,2,,2020/04/04,,31.0,401.0,,,,16,511551,78.38905602764925
Biobío,,,,,2,,2020/04/04,,45.0,347.0,,,,8,1663696,20.857175830199747
Araucanía,,,,,9,,2020/04/04,,45.0,477.0,,,,9,1014343,47.025513066093026
Los Ríos,,,,,1,,2020/04/04,,11.0,89.0,,,,14,405835,21.930094742937403
Los Lagos,,,,,0,,2020/04/04,,25.0,259.0,,,,10,891440,29.054114690837295
Aysén,,,,,0,,2020/04/04,,0.0,6.0,,,,11,107297,5.591955040681473
Magallanes,,,,,2,,2020/04/04,,16.0,172.0,,,,12,178362,96.4330967358518
Arica y Parinacota,,,,,0,,2020/03/20,,0.0,1.0,,,,15,252110,0.3966522549680695
Tarapacá,,,,,0,,2020/03/20,,0.0,0.0,,,,1,382773,0.0
Antofagasta,,,,,0,,2020/03/20,,4.0,6.0,,,,2,691854,0.8672349946665048
Atacama,,,,,0,,2020/03/20,,0.0,1.0,,,,3,314709,0.3177538615038019
Coquimbo,,,,,0,,2020/03/20,,1.0,3.0,,,,4,836096,0.358810471524801
Valparaíso,,,,,0,,2020/03/20,,1.0,5.0,,,,5,1960170,0.25507991653785134
Metropolitana,,,,,0,,2020/03/20,,57.0,304.0,,,,13,8125072,3.7415053060452883
O’Higgins,,,,,0,,2020/03/20,,4.0,6.0,,,,6,991063,0.60541055412219
Maule,,,,,0,,2020/03/20,,0.0,14.0,,,,7,1131939,1.2368157648071143
Ñuble,,,,,0,,2020/03/20,,16.0,44.0,,,,16,511551,8.601292930714632
Biobío,,,,,0,,2020/03/20,,5.0,19.0,,,,8,1663696,1.1420355641896116
Araucanía,,,,,0,,2020/03/20,,2.0,9.0,,,,9,1014343,0.8872738314357176
Los Ríos,,,,,0,,2020/03/20,,0.0,1.0,,,,14,405835,0.24640555890940902
Los Lagos,,,,,0,,2020/03/20,,2.0,18.0,,,,10,891440,2.0192048819886925
Aysén,,,,,0,,2020/03/20,,0.0,1.0,,,,11,107297,0.9319925067802455
Magallanes,,,,,0,,2020/03/20,,0.0,2.0,,,,12,178362,1.1213150783238583
Arica y Parinacota,,,,,1,,2020/04/12,,8.0,115.0,,,,15,252110,45.615009321327996
Tarapacá,,,,,0,,2020/04/12,,8.0,46.0,,,,1,382773,12.017566547274756
Antofagasta,,,,,1,,2020/04/12,,21.0,138.0,,,,2,691854,19.946404877329613
Atacama,,,,,0,,2020/04/12,,0.0,13.0,,,,3,314709,4.130800199549425
Coquimbo,,,,,0,,2020/04/12,,2.0,66.0,,,,4,836096,7.8938303735456214
Valparaíso,,,,,2,,2020/04/12,,6.0,254.0,,,,5,1960170,12.958059760122847
Metropolitana,,,,,35,,2020/04/12,,151.0,3599.0,,,,13,8125072,44.29499209360853
O’Higgins,,,,,0,,2020/04/12,,1.0,46.0,,,,6,991063,4.64148091493679
Maule,,,,,3,,2020/04/12,,4.0,138.0,,,,7,1131939,12.191469681670124
Ñuble,,,,,7,,2020/04/12,,7.0,613.0,,,,16,511551,119.8316492392743
Biobío,,,,,2,,2020/04/12,,10.0,500.0,,,,8,1663696,30.053567478673987
Araucanía,,,,,17,,2020/04/12,,36.0,775.0,,,,9,1014343,76.40413548474234
Los Ríos,,,,,3,,2020/04/12,,5.0,135.0,,,,14,405835,33.264750452770215
Los Lagos,,,,,5,,2020/04/12,,8.0,372.0,,,,10,891440,41.73023422776631
Aysén,,,,,0,,2020/04/12,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,4,,2020/04/12,,19.0,396.0,,,,12,178362,222.02038550812392
Arica y Parinacota,308.0,0.0,0.0,0.0,4,1.49%,2020/05/04,,,,,,,15,252110,
Tarapacá,295.0,23.0,16.0,7.0,1,1.43%,2020/05/04,,,,,,,1,382773,
Antofagasta,760.0,20.0,14.0,6.0,7,3.68%,2020/05/04,,,,,,,2,691854,
Atacama,70.0,3.0,2.0,1.0,0,0.34%,2020/05/04,,,,,,,3,314709,
Coquimbo,91.0,3.0,1.0,2.0,0,0.44%,2020/05/04,,,,,,,4,836096,
Valparaíso,656.0,18.0,18.0,0.0,13,3.18%,2020/05/04,,,,,,,5,1960170,
Metropolitana,13528.0,872.0,790.0,82.0,143,65.53%,2020/05/04,,,,,,,13,8125072,
O’Higgins,131.0,6.0,6.0,0.0,3,0.63%,2020/05/04,,,,,,,6,991063,
Maule,399.0,2.0,2.0,0.0,13,1.93%,2020/05/04,,,,,,,7,1131939,
Ñuble,787.0,1.0,0.0,1.0,17,3.81%,2020/05/04,,,,,,,16,511551,
Biobío,762.0,3.0,3.0,0.0,8,3.69%,2020/05/04,,,,,,,8,1663696,
Araucanía,1331.0,3.0,1.0,2.0,36,6.45%,2020/05/04,,,,,,,9,1014343,
Los Ríos,199.0,1.0,1.0,0.0,4,0.96%,2020/05/04,,,,,,,14,405835,
Los Lagos,524.0,7.0,5.0,2.0,10,2.54%,2020/05/04,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.03%,2020/05/04,,,,,,,11,107297,
Magallanes,795.0,18.0,17.0,1.0,11,3.85%,2020/05/04,,,,,,,12,178362,
Arica y Parinacota,,,,,0,,2020/04/01,,0.0,6.0,,,,15,252110,2.379913529808417
Tarapacá,,,,,0,,2020/04/01,,0.0,10.0,,,,1,382773,2.61251446679886
Antofagasta,,,,,0,,2020/04/01,,4.0,39.0,,,,2,691854,5.637027465332281
Atacama,,,,,0,,2020/04/01,,1.0,3.0,,,,3,314709,0.9532615845114057
Coquimbo,,,,,0,,2020/04/01,,2.0,30.0,,,,4,836096,3.58810471524801
Valparaíso,,,,,1,,2020/04/01,,21.0,136.0,,,,5,1960170,6.938173729829556
Metropolitana,,,,,5,,2020/04/01,,101.0,1521.0,,,,13,8125072,18.71983411347001
O’Higgins,,,,,0,,2020/04/01,,3.0,26.0,,,,6,991063,2.6234457345294904
Maule,,,,,1,,2020/04/01,,9.0,71.0,,,,7,1131939,6.2724228072360795
Ñuble,,,,,0,,2020/04/01,,14.0,259.0,,,,16,511551,50.63033793307021
Biobío,,,,,2,,2020/04/01,,24.0,240.0,,,,8,1663696,14.425712389763513
Araucanía,,,,,6,,2020/04/01,,41.0,343.0,,,,9,1014343,33.8149915758279
Los Ríos,,,,,1,,2020/04/01,,6.0,64.0,,,,14,405835,15.769955770202177
Los Lagos,,,,,0,,2020/04/01,,30.0,181.0,,,,10,891440,20.304226868886296
Aysén,,,,,0,,2020/04/01,,1.0,3.0,,,,11,107297,2.7959775203407364
Magallanes,,,,,0,,2020/04/01,,36.0,99.0,,,,12,178362,55.50509637703098
Arica y Parinacota,315.0,7.0,7.0,0.0,4,1.43%,2020/05/05,,,,,,,15,252110,
Tarapacá,322.0,27.0,14.0,13.0,1,1.46%,2020/05/05,,,,,,,1,382773,
Antofagasta,811.0,51.0,41.0,10.0,7,3.68%,2020/05/05,,,,,,,2,691854,
Atacama,78.0,8.0,4.0,4.0,0,0.35%,2020/05/05,,,,,,,3,314709,
Coquimbo,97.0,6.0,5.0,1.0,0,0.44%,2020/05/05,,,,,,,4,836096,
Valparaíso,687.0,31.0,31.0,0.0,15,3.12%,2020/05/05,,,,,,,5,1960170,
Metropolitana,14707.0,1179.0,1157.0,22.0,146,66.80%,2020/05/05,,,,,,,13,8125072,
O’Higgins,136.0,5.0,5.0,0.0,3,0.62%,2020/05/05,,,,,,,6,991063,
Maule,408.0,9.0,7.0,2.0,13,1.85%,2020/05/05,,,,,,,7,1131939,
Ñuble,789.0,2.0,2.0,0.0,17,3.58%,2020/05/05,,,,,,,16,511551,
Biobío,774.0,12.0,11.0,1.0,8,3.52%,2020/05/05,,,,,,,8,1663696,
Araucanía,1352.0,21.0,19.0,2.0,36,6.14%,2020/05/05,,,,,,,9,1014343,
Los Ríos,199.0,0.0,0.0,0.0,4,0.90%,2020/05/05,,,,,,,14,405835,
Los Lagos,525.0,1.0,1.0,0.0,10,2.38%,2020/05/05,,,,,,,10,891440,
Aysén,7.0,0.0,0.0,0.0,0,0.03%,2020/05/05,,,,,,,11,107297,
Magallanes,809.0,14.0,13.0,1.0,11,3.67%,2020/05/05,,,,,,,12,178362,
Arica y Parinacota,,,,,2,,2020/04/23,,30.0,210.0,,,,15,252110,83.29697354329458
Tarapacá,,,,,0,,2020/04/23,,14.0,128.0,,,,1,382773,33.440185175025405
Antofagasta,,,,,2,,2020/04/23,,14.0,340.0,,,,2,691854,49.14331636443527
Atacama,,,,,0,,2020/04/23,,5.0,18.0,,,,3,314709,5.719569507068435
Coquimbo,,,,,0,,2020/04/23,,0.0,70.0,,,,4,836096,8.372244335578689
Valparaíso,,,,,7,,2020/04/23,,8.0,429.0,,,,5,1960170,21.885856838947642
Metropolitana,,,,,85,,2020/04/23,,351.0,6434.0,,,,13,8125072,79.18699058912955
O’Higgins,,,,,1,,2020/04/23,,17.0,76.0,,,,6,991063,7.66853368554774
Maule,,,,,10,,2020/04/23,,5.0,333.0,,,,7,1131939,29.418546405769217
Ñuble,,,,,13,,2020/04/23,,5.0,708.0,,,,16,511551,138.40262261240815
Biobío,,,,,5,,2020/04/23,,17.0,675.0,,,,8,1663696,40.57231609620988
Araucanía,,,,,26,,2020/04/23,,29.0,1142.0,,,,9,1014343,112.58519061106549
Los Ríos,,,,,3,,2020/04/23,,2.0,173.0,,,,14,405835,42.628161691327755
Los Lagos,,,,,7,,2020/04/23,,9.0,454.0,,,,10,891440,50.9288342457148
Aysén,,,,,0,,2020/04/23,,0.0,7.0,,,,11,107297,6.523947547461719
Magallanes,,,,,7,,2020/04/23,,10.0,615.0,,,,12,178362,344.80438658458644
Arica y Parinacota,,,,,0,,2020/04/05,,16.0,28.0,,,,15,252110,11.106263139105947
Tarapacá,,,,,0,,2020/04/05,,3.0,20.0,,,,1,382773,5.22502893359772
