Egresos semanales,S03-04_03-08,S03-09_03-15,S03-16_03-22,S03-23_03-29,S03-30_04-05,S04-06_04-12,S04-13_04-19,S04-20_04-26,S04-27_05-03,S05-04_05-10,S05-11_05-17,S05-18_05-24,S05-25_05-31,S06-01_06-07,S06-08_06-14,S06-15_06-21,S06-22_06-28,S06-29_07-05,S07-06_07-12,S07-13_07-20,S07-21_07-27,S07-28_08-02,S08-03_08-09,S08-10_08-16,S08-17_08-23
2020-07-12,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,,,,,,,
2020-07-13,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-14,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-15,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-16,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-17,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-18,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-19,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-20,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,,,,,,
2020-07-21,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,,,,,
2020-07-22,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,,,,,
2020-07-23,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,,,,,
2020-07-24,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,,,,,
2020-07-25,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,,,,,
2020-07-26,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,,,,,
2020-07-27,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-07-28,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-07-29,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-07-30,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-07-31,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-08-01,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-08-02,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,,,,
2020-08-03,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-04,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-05,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-06,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-07,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-08,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-09,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,,,
2020-08-10,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,,
2020-08-11,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,,
2020-08-12,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,,
2020-08-13,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,,
2020-08-14,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,,
2020-08-15,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,,
2020-08-16,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-17,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-18,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-19,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-20,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-21,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-22,4.0,13.0,17.0,82.0,234.0,306.0,383.0,408.0,459.0,673.0,1007.0,1662.0,2209.0,2324.0,2365.0,2449.0,2255.0,2001.0,1637.0,1628.0,1471.0,1262.0,976.0,910.0,
2020-08-23,4,13,17,82,234,306,383,408,459,673,1007,1662,2209,2324,2365,2449,2255,2001,1637,1628,1471,1262,976,910,939
2020-08-24,4,13,17,82,234,306,383,408,459,673,1007,1662,2209,2324,2365,2449,2255,2001,1637,1628,1471,1262,976,910,939
2020-08-25,4,13,17,82,234,306,383,408,459,673,1007,1662,2209,2324,2365,2449,2255,2001,1637,1628,1471,1262,976,910,939
2020-08-26,4,13,17,82,234,306,383,408,459,673,1007,1662,2209,2324,2365,2449,2255,2001,1637,1628,1471,1262,976,910,939
2020-08-27,4,13,17,82,234,306,383,408,459,673,1007,1662,2209,2324,2365,2449,2255,2001,1637,1628,1471,1262,976,910,939
2020-08-28,4,13,17,82,234,306,383,408,459,673,1007,1662,2209,2324,2365,2449,2255,2001,1637,1628,1471,1262,976,910,939
