Egresos semanales,Fecha,Egresos
S03-23_03-29,2020-07-03,82.0
S03-30_04-05,2020-07-03,234.0
S04-06_04-12,2020-07-03,306.0
S04-13_04-19,2020-07-03,383.0
S04-20_04-26,2020-07-03,408.0
S04-27_05-03,2020-07-03,459.0
S05-04_05-10,2020-07-03,673.0
S05-11_05-17,2020-07-03,1007.0
S05-18_05-24,2020-07-03,1662.0
S05-25_05-31,2020-07-03,2209.0
S06-01_06-07,2020-07-03,2324.0
S06-08_06-14,2020-07-03,2365.0
S06-15_06-21,2020-07-03,2449.0
S06-22_06-28,2020-07-03,2255.0
S06-29_07-05,2020-07-03,
S07-06_07-12,2020-07-03,
S07-13_07-20,2020-07-03,
S07-21_07-27,2020-07-03,
S07-28_08-02,2020-07-03,
S08-03_08-09,2020-07-03,
S08-10_08-16,2020-07-03,
S08-17_08-23,2020-07-03,
S03-04_03-08,2020-07-04,4.0
S03-09_03-15,2020-07-04,13.0
S03-16_03-22,2020-07-04,17.0
S03-23_03-29,2020-07-04,82.0
S03-30_04-05,2020-07-04,234.0
S04-06_04-12,2020-07-04,306.0
S04-13_04-19,2020-07-04,383.0
S04-20_04-26,2020-07-04,408.0
S04-27_05-03,2020-07-04,459.0
S05-04_05-10,2020-07-04,673.0
S05-11_05-17,2020-07-04,1007.0
S05-18_05-24,2020-07-04,1662.0
S05-25_05-31,2020-07-04,2209.0
S06-01_06-07,2020-07-04,2324.0
S06-08_06-14,2020-07-04,2365.0
S06-15_06-21,2020-07-04,2449.0
S06-22_06-28,2020-07-04,2255.0
S06-29_07-05,2020-07-04,
S07-06_07-12,2020-07-04,
S07-13_07-20,2020-07-04,
S07-21_07-27,2020-07-04,
S07-28_08-02,2020-07-04,
S08-03_08-09,2020-07-04,
S08-10_08-16,2020-07-04,
S08-17_08-23,2020-07-04,
S03-04_03-08,2020-07-05,4.0
S03-09_03-15,2020-07-05,13.0
S03-16_03-22,2020-07-05,17.0
S03-23_03-29,2020-07-05,82.0
S03-30_04-05,2020-07-05,234.0
S04-06_04-12,2020-07-05,306.0
S04-13_04-19,2020-07-05,383.0
S04-20_04-26,2020-07-05,408.0
S04-27_05-03,2020-07-05,459.0
S05-04_05-10,2020-07-05,673.0
S05-11_05-17,2020-07-05,1007.0
S05-18_05-24,2020-07-05,1662.0
S05-25_05-31,2020-07-05,2209.0
S06-01_06-07,2020-07-05,2324.0
S06-08_06-14,2020-07-05,2365.0
S06-15_06-21,2020-07-05,2449.0
S06-22_06-28,2020-07-05,2255.0
S06-29_07-05,2020-07-05,
S07-06_07-12,2020-07-05,
S07-13_07-20,2020-07-05,
S07-21_07-27,2020-07-05,
S07-28_08-02,2020-07-05,
S08-03_08-09,2020-07-05,
S08-10_08-16,2020-07-05,
S08-17_08-23,2020-07-05,
S03-04_03-08,2020-07-06,4.0
S03-09_03-15,2020-07-06,13.0
S03-16_03-22,2020-07-06,17.0
S03-23_03-29,2020-07-06,82.0
S03-30_04-05,2020-07-06,234.0
S04-06_04-12,2020-07-06,306.0
S04-13_04-19,2020-07-06,383.0
S04-20_04-26,2020-07-06,408.0
S04-27_05-03,2020-07-06,459.0
S05-04_05-10,2020-07-06,673.0
S05-11_05-17,2020-07-06,1007.0
S05-18_05-24,2020-07-06,1662.0
S05-25_05-31,2020-07-06,2209.0
S06-01_06-07,2020-07-06,2324.0
S06-08_06-14,2020-07-06,2365.0
S06-15_06-21,2020-07-06,2449.0
S06-22_06-28,2020-07-06,2255.0
S06-29_07-05,2020-07-06,
S07-06_07-12,2020-07-06,
S07-13_07-20,2020-07-06,
S07-21_07-27,2020-07-06,
S07-28_08-02,2020-07-06,
S08-03_08-09,2020-07-06,
S08-10_08-16,2020-07-06,
S08-17_08-23,2020-07-06,
S03-04_03-08,2020-07-07,4.0
S03-09_03-15,2020-07-07,13.0
S03-16_03-22,2020-07-07,17.0
S03-23_03-29,2020-07-07,82.0
S03-30_04-05,2020-07-07,234.0
S04-06_04-12,2020-07-07,306.0
S04-13_04-19,2020-07-07,383.0
S04-20_04-26,2020-07-07,408.0
S04-27_05-03,2020-07-07,459.0
S05-04_05-10,2020-07-07,673.0
S05-11_05-17,2020-07-07,1007.0
S05-18_05-24,2020-07-07,1662.0
S05-25_05-31,2020-07-07,2209.0
S06-01_06-07,2020-07-07,2324.0
S06-08_06-14,2020-07-07,2365.0
S06-15_06-21,2020-07-07,2449.0
S06-22_06-28,2020-07-07,2255.0
S06-29_07-05,2020-07-07,
S07-06_07-12,2020-07-07,
S07-13_07-20,2020-07-07,
S07-21_07-27,2020-07-07,
S07-28_08-02,2020-07-07,
S08-03_08-09,2020-07-07,
S08-10_08-16,2020-07-07,
S08-17_08-23,2020-07-07,
S03-04_03-08,2020-07-08,4.0
S03-09_03-15,2020-07-08,13.0
S03-16_03-22,2020-07-08,17.0
S03-23_03-29,2020-07-08,82.0
S03-30_04-05,2020-07-08,234.0
S04-06_04-12,2020-07-08,306.0
S04-13_04-19,2020-07-08,383.0
S04-20_04-26,2020-07-08,408.0
S04-27_05-03,2020-07-08,459.0
S05-04_05-10,2020-07-08,673.0
S05-11_05-17,2020-07-08,1007.0
S05-18_05-24,2020-07-08,1662.0
S05-25_05-31,2020-07-08,2209.0
S06-01_06-07,2020-07-08,2324.0
S06-08_06-14,2020-07-08,2365.0
S06-15_06-21,2020-07-08,2449.0
S06-22_06-28,2020-07-08,2255.0
S06-29_07-05,2020-07-08,2001.0
S07-06_07-12,2020-07-08,
S07-13_07-20,2020-07-08,
S07-21_07-27,2020-07-08,
S07-28_08-02,2020-07-08,
S08-03_08-09,2020-07-08,
S08-10_08-16,2020-07-08,
S08-17_08-23,2020-07-08,
S03-04_03-08,2020-07-09,4.0
S03-09_03-15,2020-07-09,13.0
S03-16_03-22,2020-07-09,17.0
S03-23_03-29,2020-07-09,82.0
S03-30_04-05,2020-07-09,234.0
S04-06_04-12,2020-07-09,306.0
S04-13_04-19,2020-07-09,383.0
S04-20_04-26,2020-07-09,408.0
S04-27_05-03,2020-07-09,459.0
S05-04_05-10,2020-07-09,673.0
S05-11_05-17,2020-07-09,1007.0
S05-18_05-24,2020-07-09,1662.0
S05-25_05-31,2020-07-09,2209.0
S06-01_06-07,2020-07-09,2324.0
S06-08_06-14,2020-07-09,2365.0
S06-15_06-21,2020-07-09,2449.0
S06-22_06-28,2020-07-09,2255.0
S06-29_07-05,2020-07-09,2001.0
S07-06_07-12,2020-07-09,
S07-13_07-20,2020-07-09,
S07-21_07-27,2020-07-09,
S07-28_08-02,2020-07-09,
S08-03_08-09,2020-07-09,
S08-10_08-16,2020-07-09,
S08-17_08-23,2020-07-09,
S03-04_03-08,2020-07-10,4.0
S03-09_03-15,2020-07-10,13.0
S03-16_03-22,2020-07-10,17.0
S03-23_03-29,2020-07-10,82.0
S03-30_04-05,2020-07-10,234.0
S04-06_04-12,2020-07-10,306.0
S04-13_04-19,2020-07-10,383.0
S04-20_04-26,2020-07-10,408.0
S04-27_05-03,2020-07-10,459.0
S05-04_05-10,2020-07-10,673.0
S05-11_05-17,2020-07-10,1007.0
S05-18_05-24,2020-07-10,1662.0
S05-25_05-31,2020-07-10,2209.0
S06-01_06-07,2020-07-10,2324.0
S06-08_06-14,2020-07-10,2365.0
S06-15_06-21,2020-07-10,2449.0
S06-22_06-28,2020-07-10,2255.0
S06-29_07-05,2020-07-10,2001.0
S07-06_07-12,2020-07-10,
S07-13_07-20,2020-07-10,
S07-21_07-27,2020-07-10,
S07-28_08-02,2020-07-10,
S08-03_08-09,2020-07-10,
S08-10_08-16,2020-07-10,
S08-17_08-23,2020-07-10,
S03-04_03-08,2020-07-11,4.0
S03-09_03-15,2020-07-11,13.0
S03-16_03-22,2020-07-11,17.0
S03-23_03-29,2020-07-11,82.0
S03-30_04-05,2020-07-11,234.0
S04-06_04-12,2020-07-11,306.0
S04-13_04-19,2020-07-11,383.0
S04-20_04-26,2020-07-11,408.0
S04-27_05-03,2020-07-11,459.0
S05-04_05-10,2020-07-11,673.0
S05-11_05-17,2020-07-11,1007.0
S05-18_05-24,2020-07-11,1662.0
S05-25_05-31,2020-07-11,2209.0
S06-01_06-07,2020-07-11,2324.0
S06-08_06-14,2020-07-11,2365.0
S06-15_06-21,2020-07-11,2449.0
S06-22_06-28,2020-07-11,2255.0
S06-29_07-05,2020-07-11,2001.0
S07-06_07-12,2020-07-11,
S07-13_07-20,2020-07-11,
S07-21_07-27,2020-07-11,
S07-28_08-02,2020-07-11,
S08-03_08-09,2020-07-11,
S08-10_08-16,2020-07-11,
S08-17_08-23,2020-07-11,
S03-04_03-08,2020-07-12,4.0
S03-09_03-15,2020-07-12,13.0
S03-16_03-22,2020-07-12,17.0
S03-23_03-29,2020-07-12,82.0
S03-30_04-05,2020-07-12,234.0
S04-06_04-12,2020-07-12,306.0
S04-13_04-19,2020-07-12,383.0
S04-20_04-26,2020-07-12,408.0
S04-27_05-03,2020-07-12,459.0
S05-04_05-10,2020-07-12,673.0
S05-11_05-17,2020-07-12,1007.0
S05-18_05-24,2020-07-12,1662.0
S05-25_05-31,2020-07-12,2209.0
S06-01_06-07,2020-07-12,2324.0
S06-08_06-14,2020-07-12,2365.0
S06-15_06-21,2020-07-12,2449.0
S06-22_06-28,2020-07-12,2255.0
S06-29_07-05,2020-07-12,2001.0
S07-06_07-12,2020-07-12,
S07-13_07-20,2020-07-12,
S07-21_07-27,2020-07-12,
S07-28_08-02,2020-07-12,
S08-03_08-09,2020-07-12,
S08-10_08-16,2020-07-12,
S08-17_08-23,2020-07-12,
S03-04_03-08,2020-07-13,4.0
S03-09_03-15,2020-07-13,13.0
S03-16_03-22,2020-07-13,17.0
S03-23_03-29,2020-07-13,82.0
S03-30_04-05,2020-07-13,234.0
S04-06_04-12,2020-07-13,306.0
S04-13_04-19,2020-07-13,383.0
S04-20_04-26,2020-07-13,408.0
S04-27_05-03,2020-07-13,459.0
S05-04_05-10,2020-07-13,673.0
S05-11_05-17,2020-07-13,1007.0
S05-18_05-24,2020-07-13,1662.0
S05-25_05-31,2020-07-13,2209.0
S06-01_06-07,2020-07-13,2324.0
S06-08_06-14,2020-07-13,2365.0
S06-15_06-21,2020-07-13,2449.0
S06-22_06-28,2020-07-13,2255.0
S06-29_07-05,2020-07-13,2001.0
S07-06_07-12,2020-07-13,1637.0
S07-13_07-20,2020-07-13,
S07-21_07-27,2020-07-13,
S07-28_08-02,2020-07-13,
S08-03_08-09,2020-07-13,
S08-10_08-16,2020-07-13,
S08-17_08-23,2020-07-13,
S03-04_03-08,2020-07-14,4.0
S03-09_03-15,2020-07-14,13.0
S03-16_03-22,2020-07-14,17.0
S03-23_03-29,2020-07-14,82.0
S03-30_04-05,2020-07-14,234.0
S04-06_04-12,2020-07-14,306.0
S04-13_04-19,2020-07-14,383.0
S04-20_04-26,2020-07-14,408.0
S04-27_05-03,2020-07-14,459.0
S05-04_05-10,2020-07-14,673.0
S05-11_05-17,2020-07-14,1007.0
S05-18_05-24,2020-07-14,1662.0
S05-25_05-31,2020-07-14,2209.0
S06-01_06-07,2020-07-14,2324.0
S06-08_06-14,2020-07-14,2365.0
S06-15_06-21,2020-07-14,2449.0
S06-22_06-28,2020-07-14,2255.0
S06-29_07-05,2020-07-14,2001.0
S07-06_07-12,2020-07-14,1637.0
S07-13_07-20,2020-07-14,
S07-21_07-27,2020-07-14,
S07-28_08-02,2020-07-14,
S08-03_08-09,2020-07-14,
S08-10_08-16,2020-07-14,
S08-17_08-23,2020-07-14,
S03-04_03-08,2020-07-15,4.0
S03-09_03-15,2020-07-15,13.0
S03-16_03-22,2020-07-15,17.0
S03-23_03-29,2020-07-15,82.0
S03-30_04-05,2020-07-15,234.0
S04-06_04-12,2020-07-15,306.0
S04-13_04-19,2020-07-15,383.0
S04-20_04-26,2020-07-15,408.0
S04-27_05-03,2020-07-15,459.0
S05-04_05-10,2020-07-15,673.0
S05-11_05-17,2020-07-15,1007.0
S05-18_05-24,2020-07-15,1662.0
S05-25_05-31,2020-07-15,2209.0
S06-01_06-07,2020-07-15,2324.0
S06-08_06-14,2020-07-15,2365.0
S06-15_06-21,2020-07-15,2449.0
S06-22_06-28,2020-07-15,2255.0
S06-29_07-05,2020-07-15,2001.0
S07-06_07-12,2020-07-15,1637.0
S07-13_07-20,2020-07-15,
S07-21_07-27,2020-07-15,
S07-28_08-02,2020-07-15,
S08-03_08-09,2020-07-15,
S08-10_08-16,2020-07-15,
S08-17_08-23,2020-07-15,
S03-04_03-08,2020-07-16,4.0
S03-09_03-15,2020-07-16,13.0
S03-16_03-22,2020-07-16,17.0
S03-23_03-29,2020-07-16,82.0
S03-30_04-05,2020-07-16,234.0
S04-06_04-12,2020-07-16,306.0
S04-13_04-19,2020-07-16,383.0
S04-20_04-26,2020-07-16,408.0
S04-27_05-03,2020-07-16,459.0
S05-04_05-10,2020-07-16,673.0
S05-11_05-17,2020-07-16,1007.0
S05-18_05-24,2020-07-16,1662.0
S05-25_05-31,2020-07-16,2209.0
S06-01_06-07,2020-07-16,2324.0
S06-08_06-14,2020-07-16,2365.0
S06-15_06-21,2020-07-16,2449.0
S06-22_06-28,2020-07-16,2255.0
S06-29_07-05,2020-07-16,2001.0
S07-06_07-12,2020-07-16,1637.0
S07-13_07-20,2020-07-16,
S07-21_07-27,2020-07-16,
S07-28_08-02,2020-07-16,
S08-03_08-09,2020-07-16,
S08-10_08-16,2020-07-16,
S08-17_08-23,2020-07-16,
S03-04_03-08,2020-07-17,4.0
S03-09_03-15,2020-07-17,13.0
S03-16_03-22,2020-07-17,17.0
S03-23_03-29,2020-07-17,82.0
S03-30_04-05,2020-07-17,234.0
S04-06_04-12,2020-07-17,306.0
S04-13_04-19,2020-07-17,383.0
S04-20_04-26,2020-07-17,408.0
S04-27_05-03,2020-07-17,459.0
S05-04_05-10,2020-07-17,673.0
S05-11_05-17,2020-07-17,1007.0
S05-18_05-24,2020-07-17,1662.0
S05-25_05-31,2020-07-17,2209.0
S06-01_06-07,2020-07-17,2324.0
S06-08_06-14,2020-07-17,2365.0
S06-15_06-21,2020-07-17,2449.0
S06-22_06-28,2020-07-17,2255.0
S06-29_07-05,2020-07-17,2001.0
S07-06_07-12,2020-07-17,1637.0
S07-13_07-20,2020-07-17,
S07-21_07-27,2020-07-17,
S07-28_08-02,2020-07-17,
S08-03_08-09,2020-07-17,
S08-10_08-16,2020-07-17,
S08-17_08-23,2020-07-17,
S03-04_03-08,2020-07-18,4.0
S03-09_03-15,2020-07-18,13.0
S03-16_03-22,2020-07-18,17.0
S03-23_03-29,2020-07-18,82.0
S03-30_04-05,2020-07-18,234.0
S04-06_04-12,2020-07-18,306.0
S04-13_04-19,2020-07-18,383.0
S04-20_04-26,2020-07-18,408.0
S04-27_05-03,2020-07-18,459.0
S05-04_05-10,2020-07-18,673.0
S05-11_05-17,2020-07-18,1007.0
S05-18_05-24,2020-07-18,1662.0
S05-25_05-31,2020-07-18,2209.0
S06-01_06-07,2020-07-18,2324.0
S06-08_06-14,2020-07-18,2365.0
S06-15_06-21,2020-07-18,2449.0
S06-22_06-28,2020-07-18,2255.0
S06-29_07-05,2020-07-18,2001.0
S07-06_07-12,2020-07-18,1637.0
S07-13_07-20,2020-07-18,
S07-21_07-27,2020-07-18,
S07-28_08-02,2020-07-18,
S08-03_08-09,2020-07-18,
S08-10_08-16,2020-07-18,
S08-17_08-23,2020-07-18,
S03-04_03-08,2020-07-19,4.0
S03-09_03-15,2020-07-19,13.0
S03-16_03-22,2020-07-19,17.0
S03-23_03-29,2020-07-19,82.0
S03-30_04-05,2020-07-19,234.0
S04-06_04-12,2020-07-19,306.0
S04-13_04-19,2020-07-19,383.0
S04-20_04-26,2020-07-19,408.0
S04-27_05-03,2020-07-19,459.0
S05-04_05-10,2020-07-19,673.0
S05-11_05-17,2020-07-19,1007.0
S05-18_05-24,2020-07-19,1662.0
S05-25_05-31,2020-07-19,2209.0
S06-01_06-07,2020-07-19,2324.0
S06-08_06-14,2020-07-19,2365.0
S06-15_06-21,2020-07-19,2449.0
S06-22_06-28,2020-07-19,2255.0
S06-29_07-05,2020-07-19,2001.0
S07-06_07-12,2020-07-19,1637.0
S07-13_07-20,2020-07-19,
S07-21_07-27,2020-07-19,
S07-28_08-02,2020-07-19,
S08-03_08-09,2020-07-19,
S08-10_08-16,2020-07-19,
S08-17_08-23,2020-07-19,
S03-04_03-08,2020-07-20,4.0
S03-09_03-15,2020-07-20,13.0
S03-16_03-22,2020-07-20,17.0
S03-23_03-29,2020-07-20,82.0
S03-30_04-05,2020-07-20,234.0
S04-06_04-12,2020-07-20,306.0
S04-13_04-19,2020-07-20,383.0
S04-20_04-26,2020-07-20,408.0
S04-27_05-03,2020-07-20,459.0
S05-04_05-10,2020-07-20,673.0
S05-11_05-17,2020-07-20,1007.0
S05-18_05-24,2020-07-20,1662.0
S05-25_05-31,2020-07-20,2209.0
S06-01_06-07,2020-07-20,2324.0
S06-08_06-14,2020-07-20,2365.0
S06-15_06-21,2020-07-20,2449.0
S06-22_06-28,2020-07-20,2255.0
S06-29_07-05,2020-07-20,2001.0
S07-06_07-12,2020-07-20,1637.0
S07-13_07-20,2020-07-20,
S07-21_07-27,2020-07-20,
S07-28_08-02,2020-07-20,
S08-03_08-09,2020-07-20,
S08-10_08-16,2020-07-20,
S08-17_08-23,2020-07-20,
S03-04_03-08,2020-07-21,4.0
S03-09_03-15,2020-07-21,13.0
S03-16_03-22,2020-07-21,17.0
S03-23_03-29,2020-07-21,82.0
S03-30_04-05,2020-07-21,234.0
S04-06_04-12,2020-07-21,306.0
S04-13_04-19,2020-07-21,383.0
S04-20_04-26,2020-07-21,408.0
S04-27_05-03,2020-07-21,459.0
S05-04_05-10,2020-07-21,673.0
S05-11_05-17,2020-07-21,1007.0
S05-18_05-24,2020-07-21,1662.0
S05-25_05-31,2020-07-21,2209.0
S06-01_06-07,2020-07-21,2324.0
S06-08_06-14,2020-07-21,2365.0
S06-15_06-21,2020-07-21,2449.0
S06-22_06-28,2020-07-21,2255.0
S06-29_07-05,2020-07-21,2001.0
S07-06_07-12,2020-07-21,1637.0
S07-13_07-20,2020-07-21,1628.0
S07-21_07-27,2020-07-21,
S07-28_08-02,2020-07-21,
S08-03_08-09,2020-07-21,
S08-10_08-16,2020-07-21,
S08-17_08-23,2020-07-21,
S03-04_03-08,2020-07-22,4.0
S03-09_03-15,2020-07-22,13.0
S03-16_03-22,2020-07-22,17.0
S03-23_03-29,2020-07-22,82.0
S03-30_04-05,2020-07-22,234.0
S04-06_04-12,2020-07-22,306.0
S04-13_04-19,2020-07-22,383.0
S04-20_04-26,2020-07-22,408.0
S04-27_05-03,2020-07-22,459.0
S05-04_05-10,2020-07-22,673.0
S05-11_05-17,2020-07-22,1007.0
S05-18_05-24,2020-07-22,1662.0
S05-25_05-31,2020-07-22,2209.0
S06-01_06-07,2020-07-22,2324.0
S06-08_06-14,2020-07-22,2365.0
S06-15_06-21,2020-07-22,2449.0
S06-22_06-28,2020-07-22,2255.0
S06-29_07-05,2020-07-22,2001.0
S07-06_07-12,2020-07-22,1637.0
S07-13_07-20,2020-07-22,1628.0
S07-21_07-27,2020-07-22,
S07-28_08-02,2020-07-22,
S08-03_08-09,2020-07-22,
S08-10_08-16,2020-07-22,
S08-17_08-23,2020-07-22,
S03-04_03-08,2020-07-23,4.0
S03-09_03-15,2020-07-23,13.0
S03-16_03-22,2020-07-23,17.0
S03-23_03-29,2020-07-23,82.0
S03-30_04-05,2020-07-23,234.0
S04-06_04-12,2020-07-23,306.0
S04-13_04-19,2020-07-23,383.0
S04-20_04-26,2020-07-23,408.0
S04-27_05-03,2020-07-23,459.0
S05-04_05-10,2020-07-23,673.0
S05-11_05-17,2020-07-23,1007.0
S05-18_05-24,2020-07-23,1662.0
S05-25_05-31,2020-07-23,2209.0
S06-01_06-07,2020-07-23,2324.0
S06-08_06-14,2020-07-23,2365.0
S06-15_06-21,2020-07-23,2449.0
S06-22_06-28,2020-07-23,2255.0
S06-29_07-05,2020-07-23,2001.0
S07-06_07-12,2020-07-23,1637.0
S07-13_07-20,2020-07-23,1628.0
S07-21_07-27,2020-07-23,
S07-28_08-02,2020-07-23,
S08-03_08-09,2020-07-23,
S08-10_08-16,2020-07-23,
S08-17_08-23,2020-07-23,
S03-04_03-08,2020-07-24,4.0
S03-09_03-15,2020-07-24,13.0
S03-16_03-22,2020-07-24,17.0
S03-23_03-29,2020-07-24,82.0
S03-30_04-05,2020-07-24,234.0
S04-06_04-12,2020-07-24,306.0
S04-13_04-19,2020-07-24,383.0
S04-20_04-26,2020-07-24,408.0
S04-27_05-03,2020-07-24,459.0
S05-04_05-10,2020-07-24,673.0
S05-11_05-17,2020-07-24,1007.0
S05-18_05-24,2020-07-24,1662.0
S05-25_05-31,2020-07-24,2209.0
S06-01_06-07,2020-07-24,2324.0
S06-08_06-14,2020-07-24,2365.0
S06-15_06-21,2020-07-24,2449.0
