Fecha,Casos nuevos con sintomas,Casos totales,Casos recuperados,Fallecidos,Casos activos,Casos nuevos sin sintomas,Casos nuevos totales,Casos activos por FD,Casos activos por FIS,Casos recuperados por FIS,Casos recuperados por FD,Casos confirmados recuperados,Casos activos confirmados,Casos probables acumulados,Casos activos probables,Casos nuevos sin notificar
2020-05-04,876,20643,10415,270,9958,104,980,9958,,,10415,,,,,
2020-05-05,1317,22016,10710,275,11031,56,1373,11031,,,10710,,,,,
2020-05-06,893,23048,11189,281,11578,139,1032,11578,,,11189,,,,,
2020-05-07,1343,24581,11664,285,12632,190,1533,12632,,,11664,,,,,
2020-05-08,1183,25972,12160,294,13518,208,1391,13518,,,12160,,,,,
2020-05-09,1004,27219,12667,304,14248,243,1247,14248,,,12667,,,,,
2020-05-10,1406,28866,13112,312,15442,241,1647,15442,,,13112,,,,,
2020-05-11,975,30063,13605,323,16135,222,1197,16135,,,13605,,,,,
2020-05-12,1479,31721,14125,335,17261,179,1658,17261,,,14125,,,,,
2020-05-13,2152,34381,14865,346,19170,508,2660,19170,,,14865,,,,,
2020-05-14,2301,37040,15655,368,21017,358,2659,21017,,,15655,,,,,
2020-05-15,2112,39542,16614,394,22534,390,2502,22534,,,16614,,,,,
2020-05-16,1573,41428,18014,421,22993,313,1886,22993,,,18014,,,,,
2020-05-17,2024,43781,19213,450,24118,329,2353,24118,,,19213,,,,,
2020-05-18,2018,46059,20165,478,25416,260,2278,25416,,,20165,,,,,
2020-05-19,3099,49579,21507,509,27563,421,3520,27563,,,21507,,,,,
2020-05-20,3647,53617,22504,544,30569,391,4038,30569,,,22504,,,,,
2020-05-21,3538,57581,23992,589,33000,426,3964,33000,,,23992,,,,,
2020-05-22,3863,61857,25342,630,35885,413,4276,35885,,,25342,,,,,
2020-05-23,3237,65393,26546,673,38174,299,3536,38174,,,26546,,,,,
2020-05-24,3343,69102,28148,718,40236,366,3709,40236,,,28148,,,,,
2020-05-25,4428,73997,29302,761,43934,467,4895,43934,,,29302,,,,,
2020-05-26,3618,77961,30915,806,46240,346,3964,46240,,,30915,,,,,
2020-05-27,3956,82289,33540,841,47908,372,4328,47908,,,33540,,,,,
2020-05-28,4128,86943,36115,890,49938,526,4654,49938,,,36115,,,,,
2020-05-29,3355,90638,38598,944,51096,340,3695,51096,,,38598,,,,,
2020-05-30,3736,94858,40431,997,53430,484,4220,53430,,,40431,,,,,
2020-05-31,4437,99688,42727,1054,55907,393,4830,55907,,,42727,,,,,
2020-06-01,5082,105159,44946,1113,59100,389,5471,59100,,,44946,,,,,
2020-06-02,3206,108686,,1188,21325,321,3527,59107,21325,86173,48391,,,,,
2020-06-03,4537,113628,,1275,21605,405,4942,60011,21605,90748,52342,,,,,
2020-06-04,4172,118292,,1356,21305,492,4664,60711,21305,95631,56225,,,,,
2020-06-05,3790,122499,,1448,21693,417,4207,60642,21693,99358,60409,,,,,
2020-06-06,4888,127745,,1541,22387,358,5246,62352,22387,103817,63852,,,,,
2020-06-07,5760,134150,,2190,24363,645,6405,65048,24363,107597,66912,,,,,
2020-06-08,4237,138846,,2264,24334,459,4696,64849,24334,112248,71733,,,,,
2020-06-09,3587,142759,,2283,23115,326,3913,64798,23115,117361,75678,,,,,
2020-06-10,5226,148496,,2475,24201,511,5737,66207,24201,121820,79814,,,,,
2020-06-11,5089,154092,,2648,25000,507,5596,67149,25000,126444,84295,,,,,
2020-06-12,6217,160846,,2870,26618,537,6754,70208,26618,131358,87768,,,,,
2020-06-13,5969,167355,,3101,26958,540,6509,72497,26958,137296,91757,,,,,
2020-06-14,6368,174293,,3323,27266,570,6938,74605,27266,143704,96365,,,,,
2020-06-15,4660,179436,,3362,27282,483,5143,74277,27282,148792,101797,,,,,
2020-06-16,4498,184449,,3383,24834,515,5013,75763,24834,156232,105303,,,,,
2020-06-17,4320,220628,,3615,35082,437,4757,75346,35082,181931,141667,,,,,
2020-06-18,4060,225103,,3841,34821,383,4475,106811,34821,186441,114451,,,,,
2020-06-19,5016,231393,,4093,35809,599,6290,108894,35809,191491,118406,,,,,
2020-06-20,4564,236748,,4295,35844,418,5355,109003,35844,196609,123450,,,,,
2020-06-21,4181,242355,,4479,37307,594,5607,108205,37307,200569,129671,200569,37307,21897,10482,
2020-06-22,3710,246963,,4502,37064,399,4608,108117,37064,205397,134344,205397,37064,22307,10029,
2020-06-23,3078,250767,,4505,35692,336,3804,108008,35692,210570,138254,210570,35692,24881,9403,
2020-06-24,3020,254416,,4731,34592,264,3649,105920,34592,215093,143765,215093,34592,26184,9674,
2020-06-25,3778,259064,,4903,34834,423,4648,104972,34834,219327,149189,219327,34834,27193,9646,
2020-06-26,3422,263360,,5068,34861,413,4296,102514,34861,223431,155778,223431,34861,28133,9720,
2020-06-27,3481,267766,,5347,34364,426,4406,100411,34364,228055,162008,228055,34364,29019,9659,
2020-06-28,3396,271982,,5509,34263,402,4216,97689,34263,232210,168784,232210,34263,29733,9595,
2020-06-29,3092,275999,,5575,34270,432,4017,96563,34270,236154,173861,236016,34270,30362,9320,
2020-06-30,2690,279393,,5688,32476,338,3394,94944,32476,241229,178761,241229,32476,30582,8385,
2020-07-01,2134,282043,,5753,30847,300,2650,61415,30847,245443,214875,245443,30847,30980,7806,
2020-07-02,2042,284541,,5920,29374,230,2498,59438,29374,249247,219183,249247,29374,32013,7921,
2020-07-03,2703,288089,,6051,28695,322,3548,56696,28695,253343,225342,253343,28695,32578,7543,
2020-07-04,2951,291847,,6192,28210,371,3758,55099,28210,257445,230556,257445,28210,33933,7986,
2020-07-05,2852,295532,,6308,28194,438,3685,53177,28194,261030,236047,261032,28194,34651,7785,
2020-07-06,2354,298557,,6384,27804,404,3025,51594,27804,264369,240579,264371,27804,34901,7263,
2020-07-07,1946,301019,,6434,26340,266,2462,50252,26340,268245,244333,268245,26340,35134,6536,
2020-07-08,1638,303083,,6573,24807,265,2064,48667,24807,271703,247843,271703,24807,35905,6513,
2020-07-09,2395,306216,,6682,24612,432,3133,47152,24612,274922,252382,274922,24612,36640,6518,
2020-07-10,2392,309274,,6781,24440,460,3058,45914,24440,278053,256579,278053,24440,37400,6633,
2020-07-11,2219,312029,,6881,24008,405,2755,44263,24008,281140,260885,280161,24008,38090,6609,
2020-07-12,2371,315041,,6979,24166,389,3012,43059,24166,283896,265003,283902,24166,38724,6637,
2020-07-13,1985,317657,,7024,24077,451,2616,41658,24077,286556,268975,286556,24077,39038,6321,
2020-07-14,1444,319493,,7069,23205,244,1836,40100,23205,289219,272324,289220,23205,39219,5800,
2020-07-15,1400,321205,,7186,21934,186,1712,39162,21934,292085,274857,292085,21934,39270,5601,
2020-07-16,1949,323698,,7290,21107,367,2475,39157,21107,295301,277251,295301,21107,38833,5390,
2020-07-17,2125,326539,,8347,21378,545,2840,38450,21378,296814,279742,296814,21378,40056,4922,
2020-07-18,1624,328846,,8445,20952,373,2185,36999,20952,299449,283402,299449,,39477,4227,188
2020-07-19,1615,330930,,8503,20633,359,2082,35398,20633,301794,287029,301794,,38695,3487,108
2020-07-20,1599,333029,,8633,20404,340,2099,34472,20404,303992,289924,303992,,38294,2743,160
2020-07-21,1342,334683,,8677,19190,230,1656,33664,19190,306816,292342,306816,,39828,2414,84
2020-07-22,1391,336402,,8722,18439,238,1741,33319,18439,309241,294361,309241,,39568,1853,112
2020-07-23,1841,338759,,8838,18490,379,2371,32543,18490,311431,297378,311431,,39282,1511,151
2020-07-24,2005,341304,,8914,18694,373,2545,32030,18694,313696,300360,313696,,39930,1305,167
2020-07-25,1752,343592,,9020,18403,399,2287,31563,18403,316169,303009,316169,,39757,1076,136
2020-07-26,1620,345790,,9112,18583,449,2198,30749,18583,318095,305929,318095,,39686,887,129
2020-07-27,1475,347923,,9187,18782,487,2133,30266,18782,319954,308470,319954,,39662,730,171
2020-07-28,1236,349800,,9240,18228,462,1876,30307,18228,322332,310253,322332,,39625,640,178
2020-07-29,1294,351575,,9278,17740,346,1773,30370,17740,324557,311927,324557,,39554,629,133
