Fecha,Transacciones
2019-11-19,3934047
2019-11-20,3980225
2019-11-21,3757375
2019-11-22,3876225
2019-11-23,2075702
2019-11-24,1122589
2019-11-25,4028815
2019-11-26,3678035
2019-11-27,3766475
2019-11-28,3862371
2019-11-29,3946769
2019-11-30,2176034
2019-12-01,1216560
2019-12-02,4197232
2019-12-03,4196496
2019-12-04,4254346
2019-12-05,4239233
2019-12-06,4231784
2019-12-07,2336442
2019-12-08,1313448
2019-12-09,4365436
2019-12-10,4342565
2019-12-11,4295906
2019-12-12,4321293
2019-12-13,4377691
2019-12-14,2448954
2019-12-15,1426090
2019-12-16,4440313
2019-12-17,4429479
2019-12-18,4407729
2019-12-19,4501122
2019-12-20,4560349
2019-12-21,2636189
2019-12-22,1628868
2019-12-23,4630028
2019-12-24,3455852
2019-12-25,746354
2019-12-26,4106774
2019-12-27,4248388
2019-12-28,2251999
2019-12-29,1316557
2019-12-30,4283916
2019-12-31,3006003
2020-01-01,670471
2020-01-02,3795466
2020-01-03,4053887
2020-01-04,2134394
2020-01-05,1305758
2020-01-06,4274279
2020-01-07,4197007
2020-01-08,4219695
2020-01-09,4198853
2020-01-10,4208234
2020-01-11,2150621
2020-01-12,1229097
2020-01-13,4112932
2020-01-14,4083547
2020-01-15,4139495
2020-01-16,4119096
2020-01-17,4155644
2020-01-18,2108304
2020-01-19,1238280
2020-01-20,4065459
2020-01-21,4011201
2020-01-22,4011599
2020-01-23,4008607
2020-01-24,4029229
2020-01-25,2038587
2020-01-26,1230690
2020-01-27,3881783
2020-01-28,3859033
2020-01-29,3842457
2020-01-30,3848319
2020-01-31,3952679
2020-02-01,2086946
2020-02-02,1248536
2020-02-03,3740588
2020-02-04,3704605
2020-02-05,3700707
2020-02-06,3649791
2020-02-07,3643973
2020-02-08,1931773
2020-02-09,1148764
2020-02-10,3510977
2020-02-11,3474056
2020-02-12,3464160
2020-02-13,3472497
2020-02-14,3553836
2020-02-15,1855723
2020-02-16,1158535
2020-02-17,3468126
2020-02-18,3441972
2020-02-19,3461743
2020-02-20,3468492
2020-02-21,3499818
2020-02-22,1879499
2020-02-23,1138586
2020-02-24,3654233
2020-02-25,3694464
2020-02-26,3715404
2020-02-27,3769258
2020-02-28,3961382
2020-02-29,2160064
2020-03-01,1324077
2020-03-02,4190990
2020-03-03,4246231
2020-03-04,4250748
2020-03-05,4263602
2020-03-06,4117261
2020-03-07,2229150
2020-03-08,1321608
2020-03-09,4268926
2020-03-10,4528132
2020-03-11,4058875
2020-03-12,4335239
2020-03-13,4321494
2020-03-14,2193311
2020-03-15,1151222
2020-03-16,3261173
2020-03-17,2555905
2020-03-18,2186117
2020-03-19,1782238
2020-03-20,1697494
2020-03-21,722150
2020-03-22,312595
2020-03-23,1223251
2020-03-24,1148935
2020-03-25,1111979
2020-03-26,1169351
2020-03-27,720757
2020-03-28,393764
2020-03-29,212110
2020-03-30,757789
2020-03-31,782711
2020-04-01,784131
2020-04-02,764572
2020-04-03,822125
2020-04-04,456910
2020-04-05,251857
2020-04-06,827928
2020-04-07,797482
2020-04-08,800911
2020-04-09,809957
2020-04-10,273083
2020-04-11,281633
2020-04-12,190207
2020-04-13,897300
2020-04-14,862646
2020-04-15,882289
2020-04-16,863801
2020-04-17,937659
2020-04-18,508802
2020-04-19,257058
2020-04-20,993521
2020-04-21,948542
2020-04-22,963786
2020-04-23,953048
2020-04-24,949309
2020-04-25,514972
2020-04-26,265005
2020-04-27,998307
2020-04-28,977018
2020-04-29,1022919
2020-04-30,1088958
2020-05-01,279098
2020-05-02,510095
2020-05-03,291615
2020-05-04,1100474
2020-05-05,1054509
2020-05-06,970392
2020-05-07,994632
2020-05-08,1005592
2020-05-09,419688
2020-05-10,223917
2020-05-11,816363
2020-05-12,791922
2020-05-13,792389
2020-05-14,815803
2020-05-15,837035
