Fecha,Measured Current Infected,True Current Infected,New Deaths,Recovered Population,Accumulative Deaths,Susceptible Population,True Infection Rate,Measured Infection Rate,Total Cases,Closure Policy,Mobility
2020-05-19,1059,3346.43,3,1873,29,500186,-625.445,-57,2961,Initial Closures,3.57917088677063
2020-05-20,1059,3813.325,4,1869,33,500186,466.895,-57,2961,Initial Closures,3.76617316514225
2020-05-21,1059,2980.45,5,1864,38,500186,-832.875,-57,2961,Initial Closures,2.73893704424033
2020-05-22,1210,3733.67,4,2683,42,499212,753.22,151,3935,Initial Closures,3.71684523670703
2020-05-23,1210,3254,1,2682,43,499212,-479.67,151,3935,Initial Closures,3.09260075141356
2020-05-24,1210,2926.695,2,2680,45,499212,-327.305,151,3935,Initial Closures,2.64864359637121
2020-05-25,1194,3945.555,0,3379,45,498529,1018.86,-16,4618,Initial Closures,3.7994938830976
2020-05-26,1194,2984.63,8,3371,53,498529,-960.925,-16,4618,Initial Closures,3.79847629397735
2020-05-27,1194,3010.5,3,3368,56,498529,25.8699999999999,-16,4618,Initial Closures,3.83263029894412
2020-05-28,1194,3133.83,2,3366,58,498529,123.33,-16,4618,Initial Closures,3.72037430104182
2020-05-29,1230,3278.84,5,4324,63,497530,145.01,36,5617,Initial Closures,3.88573349316051
2020-05-30,1230,3001.025,5,4319,68,497530,-277.815,36,5617,Initial Closures,3.22666701927414
2020-05-31,1230,2778.745,7,4312,75,497530,-222.28,36,5617,Initial Closures,2.76374789323803
2020-06-01,1148,4246.88,7,5048,82,496869,1468.135,-82,6278,Initial Closures,3.85849682963693
2020-06-02,1148,2680.84,2,5046,84,496869,-1566.04,-82,6278,Initial Closures,3.85675994619084
2020-06-03,1148,2545.825,5,5041,89,496869,-135.015,-82,6278,Initial Closures,3.80255534567702
2020-06-04,1148,2446.825,8,5033,97,496869,-99,-82,6278,Initial Closures,3.81707087531224
2020-06-05,988,2877.86,6,5998,103,496058,431.035,-160,7089,Initial Closures,3.94511352927033
2020-06-06,988,2450.84,4,5994,107,496058,-427.02,-160,7089,Initial Closures,3.24881408039906
2020-06-07,988,2160.665,1,5993,108,496058,-290.175,-160,7089,Initial Closures,2.68764671598633
2020-06-08,1006,2767.405,2,6670,110,495361,606.74,18,7786,Initial Closures,3.69345395574663
2020-06-09,1006,2144.455,6,6664,116,495361,-622.95,18,7786,Initial Closures,3.77155964675368
2020-06-10,1006,2259.085,2,6662,118,495361,114.63,18,7786,Initial Closures,3.83212837334661
2020-06-11,1006,1991.35,2,6660,120,495361,-267.735,18,7786,Initial Closures,3.89603412933246
2020-06-12,1084,2173.26,4,7610,124,494329,181.91,78,8818,Initial Closures,4.00972650858676
2020-06-13,1084,1969.565,3,7607,127,494329,-203.695,78,8818,Initial Closures,3.36863809393253
2020-06-14,1084,1776.845,3,7604,130,494329,-192.72,78,8818,Initial Closures,2.85087194795864
2020-06-15,990,2224.215,3,8289,133,493735,447.37,-94,9412,Initial Closures,3.80173427323544
2020-06-16,990,1805.42,6,8283,139,493735,-418.795,-94,9412,Initial Closures,3.84229713156341
2020-06-17,990,1662.69,7,8276,146,493735,-142.73,-94,9412,Initial Closures,3.78560189895965
2020-06-18,990,1783.48,3,8273,149,493735,120.79,-94,9412,Initial Closures,3.87438285063474
2020-06-19,1409,1707.955,5,9560,154,492024,-75.5250000000001,419,11123,Initial Closures,3.97132407321024
2020-06-20,1409,1608.575,5,9555,159,492024,-99.3799999999999,419,11123,Initial Closures,3.29666643878644
2020-06-21,1409,1311.305,3,9552,162,492024,-297.27,419,11123,Initial Closures,2.85421345429657
2020-06-22,1409,1525.815,5,9547,167,492024,214.51,419,11123,Initial Closures,3.77987035528121
2020-06-23,1249,1365.805,5,10410,172,491316,-160.01,-160,11831,Initial Closures,3.84337436372706
2020-06-24,1249,1255.34,4,10406,176,491316,-110.465,-160,11831,Initial Closures,3.91271390990676
2020-06-25,1249,1176.565,4,10402,180,491316,-78.7749999999999,-160,11831,Initial Closures,3.96304912424133
2020-06-26,1249,1284.16,5,10397,185,491316,107.595,-160,11831,Initial Closures,4.2159764646364
2020-06-27,1249,1021.845,2,10395,187,491316,-262.315,-160,11831,Initial Closures,3.41687161211035
2020-06-28,1103,1008.42,2,11189,189,490666,-13.4250000000001,-146,12481,Initial Closures,2.84055403470292
2020-06-29,1103,1083.775,2,11187,191,490666,75.3550000000001,-146,12481,Initial Closures,2.96468920076144
2020-06-30,1103,1074.94,4,11183,195,490666,-8.83500000000004,-146,12481,Initial Closures,4.17752159551085
2020-07-01,855,1218.88,1,11677,196,490419,143.94,-248,12728,Initial Closures,4.13924441718902
2020-07-02,855,831.46,2,11675,198,490419,-387.42,-248,12728,Initial Closures,4.27856037566884
2020-07-03,855,885.34,3,11672,201,490419,53.88,-248,12728,Initial Closures,4.4523622025664
2020-07-04,855,820.82,2,11670,203,490419,-64.52,-248,12728,Initial Closures,3.33307816961945
2020-07-05,758,818.405,2,12183,205,490001,-2.41500000000008,-97,13146,Initial Closures,3.10165301126276
2020-07-06,758,920.955,1,12182,206,490001,102.55,-97,13146,Initial Closures,4.40352399350851
2020-07-07,758,850.305,1,12181,207,490001,-70.6500000000001,-97,13146,Initial Closures,4.37380588478565
2020-07-08,758,719.675,3,12178,210,490001,-130.63,-97,13146,Initial Closures,4.41648845976602
2020-07-09,758,759.39,1,12177,211,490001,39.715,-97,13146,Initial Closures,4.3504093522628
2020-07-10,678,834.99,0,12703,211,489555,75.6,-80,13592,Initial Closures,4.47282765794452
2020-07-11,678,617.755,3,12700,214,489555,-217.235,-80,13592,Initial Closures,3.61649251791061
2020-07-12,678,574.165,3,12697,217,489555,-43.59,-80,13592,Initial Closures,3.00140704349049
2020-07-13,687,748.765,0,12948,217,489295,174.6,9,13852,Initial Closures,4.37549166646022
2020-07-14,687,677.01,1,12947,218,489295,-71.755,9,13852,Initial Closures,4.47133304633585
2020-07-15,687,606.845,0,12947,218,489295,-70.165,9,13852,Initial Closures,4.53007235141239
2020-07-16,687,476.75,0,12947,218,489295,-130.095,9,13852,Initial Closures,3.3146843945293
2020-07-17,543,634.17,0,13280,218,489106,157.42,-144,14041,Initial Closures,4.30910479581039
2020-07-18,543,523.93,0,13280,218,489106,-110.24,-144,14041,Initial Closures,3.55517656052698
2020-07-19,543,447.61,0,13280,218,489106,-76.3199999999999,-144,14041,Initial Closures,3.03611170972793
2020-07-20,437,646.765,0,13487,218,489005,199.155,-106,14142,Initial Closures,4.39633278503415
2020-07-21,437,524.875,0,13487,218,489005,-121.89,-106,14142,Initial Closures,4.1919831679161
2020-07-22,437,489.29,0,13487,218,489005,-35.585,-106,14142,Initial Closures,4.43292124363179
2020-07-23,437,531.235,0,13487,218,489005,41.945,-106,14142,Initial Closures,4.37155675035956
2020-07-24,296,548.115,0,13815,218,488818,16.88,-141,14329,Initial Closures,4.54186174495669
2020-07-25,296,484.315,0,13815,218,488818,-63.8,-141,14329,Initial Closures,3.67401843771163
2020-07-26,296,397.615,0,13815,218,488818,-86.7,-141,14329,Initial Closures,2.99481450707722
2020-07-27,299,518.18,0,13946,218,488684,120.565,3,14463,Stage 1,4.37021094252174
2020-07-28,299,459.135,0,13946,218,488684,-59.045,3,14463,Stage 1,4.44056126204218
2020-07-29,299,441.79,0,13946,218,488684,-17.345,3,14463,Stage 1,4.57774779991046
2020-07-30,299,461.36,0,13946,218,488684,19.57,3,14463,Stage 1,4.62230425130401
2020-07-31,236,485.075,0,14087,218,488606,23.715,-63,14541,Stage 1,4.82158039777533
2020-08-01,236,464.955,0,14087,218,488606,-20.12,-63,14541,Stage 1,3.90107670650564
2020-08-02,236,363.185,0,14087,218,488606,-101.77,-63,14541,Stage 1,3.26306483689289
2020-08-03,238,487.085,0,14192,218,488499,123.9,2,14648,Stage 1,4.64632760327404
2020-08-04,238,478.695,0,14192,218,488499,-8.38999999999999,2,14648,Stage 1,4.66581830051584
2020-08-05,238,447.825,0,14192,218,488499,-30.87,2,14648,Stage 1,4.66380489192843
2020-08-06,238,439.405,0,14192,218,488499,-8.42000000000002,2,14648,Stage 1,4.68942152814513
2020-08-07,214,402.365,0,14309,218,488406,-37.04,-24,14741,Stage 1,4.94971224381114
2020-08-08,214,343.875,0,14309,218,488406,-58.49,-24,14741,Stage 1,4.05348081394102
2020-08-09,214,301.87,0,14309,218,488406,-42.005,-24,14741,Stage 1,3.33317936916325
2020-08-10,211,444.545,0,14432,218,488286,142.675,-3,14861,Stage 1,4.82823148519618
2020-08-11,211,431.26,0,14432,218,488286,-13.285,-3,14861,Stage 1,4.72004179763321
2020-08-12,211,406.41,0,14432,218,488286,-24.85,-3,14861,Stage 1,4.83620177682225
2020-08-13,211,321.36,0,14432,218,488286,-85.05,-3,14861,Stage 1,4.9814575333927
2020-08-14,223,359.705,0,14545,218,488161,38.345,12,14986,Stage 1,5.24309252317466
2020-08-15,223,323.865,0,14545,218,488161,-35.84,12,14986,Stage 1,4.17318051987861
2020-08-16,223,299.195,0,14545,218,488161,-24.67,12,14986,Stage 2,3.64084760530887
2020-08-17,224,419.205,0,14610,218,488095,120.01,1,15052,Stage 2,5.04922365430334
2020-08-18,224,435.12,0,14610,218,488095,15.915,1,15052,Stage 2,4.88958398347205
2020-08-19,224,469.125,0,14610,218,488095,34.005,1,15052,Stage 2,5.01979581900446
2020-08-20,224,465.37,0,14610,218,488095,-3.755,1,15052,Stage 2,5.15221989298732
2020-08-21,180,389.755,0,14727,218,488022,-75.615,-44,15125,Stage 2,5.44545027636753
2020-08-22,180,280.16,0,14727,218,488022,-109.595,-44,15125,Stage 2,4.33960012078607
2020-08-23,180,290.155,0,14797,218,487952,9.99499999999995,-44,15195,Stage 2,3.50397225361507
2020-08-24,176,379.265,0,14801,218,487952,89.11,-4,15195,Stage 2,5.2595368951952
2020-08-25,176,411.415,0,14801,218,487952,32.15,-4,15195,Stage 2,5.21271882030237
2020-08-26,176,652.79,0,14801,218,487952,241.375,-4,15195,Stage 2,5.37955915204844
2020-08-27,176,652.79,0,14801,218,487952,0,-4,15195,Stage 2,5.36641123487556
2020-08-28,208,652.79,0,14885,218,487836,0,32,15311,Stage 2,5.55336874885207
