Fecha,Current Infected,True  Infected,New Deaths,total_recup,total_obito,Susceptible Population,True Infection Rate,Measured Infection Rate,Total Cases,Closure Policy
2020-06-08,1006,2767.405,2,6670,110,495361,606.74,18,7786,Paso 3
2020-06-09,1006,2144.455,6,6664,116,495361,-622.95,0,7786,Paso 3
2020-06-10,1006,2259.085,2,6662,118,495361,114.63,0,7786,Paso 3
2020-06-11,1006,1991.35,2,6660,120,495361,-267.735,0,7786,Paso 3
2020-06-12,1084,2173.26,4,7610,124,494329,181.91,78,8818,Paso 3
2020-06-13,1084,1969.565,3,7607,127,494329,-203.695,0,8818,Paso 3
2020-06-14,1084,1776.845,3,7604,130,494329,-192.72,0,8818,Paso 3
2020-06-15,990,2224.215,3,8289,133,493735,447.37,-94,9412,Paso 3
2020-06-16,990,1805.42,6,8283,139,493735,-418.795,0,9412,Paso 3
2020-06-17,990,1662.69,7,8276,146,493735,-142.73,0,9412,Paso 3
2020-06-18,990,1783.48,3,8273,149,493735,120.79,0,9412,Paso 3
2020-06-19,1409,1707.955,5,9560,154,492024,-75.5250000000001,419,11123,Paso 3
2020-06-20,1409,1608.575,5,9555,159,492024,-99.3799999999999,0,11123,Paso 3
2020-06-21,1409,1311.305,3,9552,162,492024,-297.27,0,11123,Paso 3
2020-06-22,1409,1525.815,5,9547,167,492024,214.51,0,11123,Paso 3
2020-06-23,1249,1365.805,5,10410,172,491316,-160.01,-160,11831,Paso 3
2020-06-24,1249,1255.34,4,10406,176,491316,-110.465,0,11831,Paso 3
2020-06-25,1249,1176.565,4,10402,180,491316,-78.7749999999999,0,11831,Paso 3
2020-06-26,1249,1284.16,5,10397,185,491316,107.595,0,11831,Paso 3
2020-06-27,1249,1021.845,2,10395,187,491316,-262.315,0,11831,Paso 3
2020-06-28,1103,1008.42,2,11189,189,490666,-13.4250000000001,-146,12481,Paso 3
2020-06-29,1103,1083.775,2,11187,191,490666,75.3550000000001,0,12481,Paso 3
2020-06-30,1103,1074.94,4,11183,195,490666,-8.83500000000004,0,12481,Paso 3
2020-07-01,855,1218.88,1,11677,196,490419,143.94,-248,12728,Paso 3
2020-07-02,855,831.46,2,11675,198,490419,-387.42,0,12728,Paso 3
2020-07-03,855,885.34,3,11672,201,490419,53.88,0,12728,Paso 3
2020-07-04,855,820.82,2,11670,203,490419,-64.52,0,12728,Paso 3
2020-07-05,758,818.405,2,12183,205,490001,-2.41500000000008,-97,13146,Paso 3
2020-07-06,758,920.955,1,12182,206,490001,102.55,0,13146,Paso 3
2020-07-07,758,850.305,1,12181,207,490001,-70.6500000000001,0,13146,Paso 3
2020-07-08,758,719.675,3,12178,210,490001,-130.63,0,13146,Paso 3
2020-07-09,758,759.39,1,12177,211,490001,39.715,0,13146,Paso 3
2020-07-10,678,834.99,0,12703,211,489555,75.6,-80,13592,Paso 3
2020-07-11,678,617.755,3,12700,214,489555,-217.235,0,13592,Paso 3
2020-07-12,678,574.165,3,12697,217,489555,-43.59,0,13592,Paso 3
2020-07-13,687,748.765,0,12948,217,489295,174.6,9,13852,Paso 3
2020-07-14,687,677.01,1,12947,218,489295,-71.755,0,13852,Paso 3
2020-07-15,687,606.845,0,12947,218,489295,-70.165,0,13852,Paso 3
2020-07-16,687,476.75,0,12947,218,489295,-130.095,0,13852,Paso 3
2020-07-17,543,634.17,0,13280,218,489106,157.42,-144,14041,Paso 3
2020-07-18,543,523.93,0,13280,218,489106,-110.24,0,14041,Paso 3
2020-07-19,543,447.61,0,13280,218,489106,-76.3199999999999,0,14041,Paso 3
2020-07-20,437,646.765,0,13487,218,489005,199.155,-106,14142,Paso 3
2020-07-21,437,524.875,0,13487,218,489005,-121.89,0,14142,Paso 3
2020-07-22,437,489.29,0,13487,218,489005,-35.585,0,14142,Paso 3
2020-07-23,437,531.235,0,13487,218,489005,41.945,0,14142,Paso 3
2020-07-24,296,548.115,0,13815,218,488818,16.88,-141,14329,Paso 3
2020-07-25,296,484.315,0,13815,218,488818,-63.8,0,14329,Paso 3
2020-07-26,296,397.615,0,13815,218,488818,-86.7,0,14329,Paso 3
2020-07-27,299,518.18,0,13946,218,488684,120.565,3,14463,Paso 3
2020-07-28,299,459.135,0,13946,218,488684,-59.045,0,14463,Paso 3
2020-07-29,299,441.79,0,13946,218,488684,-17.345,0,14463,Paso 3
2020-07-30,299,461.36,0,13946,218,488684,19.57,0,14463,Paso 3
2020-07-31,236,485.075,0,14087,218,488606,23.715,-63,14541,Paso 3
2020-08-01,236,464.955,0,14087,218,488606,-20.12,0,14541,Paso 3
2020-08-02,236,363.185,0,14087,218,488606,-101.77,0,14541,Paso 3
2020-08-03,238,487.085,0,14192,218,488499,123.9,2,14648,Paso 3
2020-08-04,238,478.695,0,14192,218,488499,-8.38999999999999,0,14648,Paso 3
2020-08-05,238,447.825,0,14192,218,488499,-30.87,0,14648,Paso 3
2020-08-06,238,439.405,0,14192,218,488499,-8.42000000000002,0,14648,Paso 3
2020-08-07,214,402.365,0,14309,218,488406,-37.04,-24,14741,Paso 3
2020-08-08,214,343.875,0,14309,218,488406,-58.49,0,14741,Paso 3
2020-08-09,214,301.87,0,14309,218,488406,-42.005,0,14741,Paso 3
2020-08-10,211,444.545,0,14432,218,488286,142.675,-3,14861,Paso 3
2020-08-11,211,431.26,0,14432,218,488286,-13.285,0,14861,Paso 3
2020-08-12,211,406.41,0,14432,218,488286,-24.85,0,14861,Paso 3
2020-08-13,211,321.36,0,14432,218,488286,-85.05,0,14861,Paso 3
2020-08-14,223,359.705,0,14545,218,488161,38.345,12,14986,Paso 3
2020-08-15,223,323.865,0,14545,218,488161,-35.84,0,14986,Paso 3
2020-08-16,223,299.195,0,14545,218,488161,-24.67,0,14986,Paso 3
2020-08-17,224,419.205,0,14610,218,488095,120.01,1,15052,Paso 3
2020-08-18,224,435.12,0,14610,218,488095,15.915,0,15052,Paso 3
2020-08-19,224,469.125,0,14610,218,488095,34.005,0,15052,Paso 3
2020-08-20,224,465.37,0,14610,218,488095,-3.755,0,15052,Paso 3
2020-08-21,180,389.755,0,14727,218,488022,-75.615,-44,15125,Paso 3
2020-08-22,180,280.16,0,14727,218,488022,-109.595,0,15125,Paso 3
2020-08-23,180,290.155,0,14797,218,487952,9.99499999999995,0,15195,Paso 3
2020-08-24,176,379.265,0,14801,218,487952,89.11,-4,15195,Paso 3
2020-08-25,176,411.415,0,14801,218,487952,32.15,0,15195,Paso 3
2020-08-26,176,652.79,0,14801,218,487952,241.375,0,15195,Paso 3
2020-08-27,176,652.79,0,14801,218,487952,0,0,15195,Paso 3
2020-08-28,208,652.79,0,14885,218,487836,0,32,15311,Paso 3
,,,,,,,-652.79,-208,,Paso 3
