Casos,fecha,Casos confirmados
Pacientes criticos,2020-05-28,239
Pacientes criticos,2020-05-29,306
Pacientes criticos,2020-05-30,306
Pacientes criticos,2020-05-31,318
Pacientes criticos,2020-06-01,328
Pacientes criticos,2020-06-02,326
Pacientes criticos,2020-06-03,339
Pacientes criticos,2020-06-04,354
Pacientes criticos,2020-06-05,337
Pacientes criticos,2020-06-06,353
Pacientes criticos,2020-06-07,372
Pacientes criticos,2020-06-08,380
Pacientes criticos,2020-06-09,364
Pacientes criticos,2020-06-10,365
Pacientes criticos,2020-06-11,386
Pacientes criticos,2020-06-12,372
Pacientes criticos,2020-06-13,377
Pacientes criticos,2020-06-14,399
Pacientes criticos,2020-06-15,385
Pacientes criticos,2020-06-16,376
Pacientes criticos,2020-06-17,369
Pacientes criticos,2020-06-18,399
Pacientes criticos,2020-06-19,395
Pacientes criticos,2020-06-20,416
Pacientes criticos,2020-06-21,393
Pacientes criticos,2020-06-22,403
Pacientes criticos,2020-06-23,392
Pacientes criticos,2020-06-24,424
Pacientes criticos,2020-06-25,427
Pacientes criticos,2020-06-26,437
Pacientes criticos,2020-06-27,419
Pacientes criticos,2020-06-28,400
Pacientes criticos,2020-06-29,401
Pacientes criticos,2020-06-30,398
Pacientes criticos,2020-07-01,407
Pacientes criticos,2020-07-02,405
Pacientes criticos,2020-07-03,420
Pacientes criticos,2020-07-04,404
Pacientes criticos,2020-07-05,385
Pacientes criticos,2020-07-06,377
Pacientes criticos,2020-07-07,381
Pacientes criticos,2020-07-08,375
Pacientes criticos,2020-07-09,384
Pacientes criticos,2020-07-10,371
Pacientes criticos,2020-07-11,365
Pacientes criticos,2020-07-12,350
Pacientes criticos,2020-07-13,341
Pacientes criticos,2020-07-14,342
Pacientes criticos,2020-07-15,341
Pacientes criticos,2020-07-16,314
Pacientes criticos,2020-07-17,327
Pacientes criticos,2020-07-18,301
Pacientes criticos,2020-07-19,303
Pacientes criticos,2020-07-20,276
Pacientes criticos,2020-07-21,264
Pacientes criticos,2020-07-22,263
Pacientes criticos,2020-07-23,258
Pacientes criticos,2020-07-24,239
Pacientes criticos,2020-07-25,245
Pacientes criticos,2020-07-26,253
Pacientes criticos,2020-07-27,250
Pacientes criticos,2020-07-28,233
Pacientes criticos,2020-07-29,228
Pacientes criticos,2020-07-30,228
Pacientes criticos,2020-07-31,232
Pacientes criticos,2020-08-01,226
Pacientes criticos,2020-08-02,234
Pacientes criticos,2020-08-03,235
Pacientes criticos,2020-08-04,227
Pacientes criticos,2020-08-05,227
Pacientes criticos,2020-08-06,217
Pacientes criticos,2020-08-07,233
Pacientes criticos,2020-08-08,217
Pacientes criticos,2020-08-09,210
Pacientes criticos,2020-08-10,203
Pacientes criticos,2020-08-11,211
Pacientes criticos,2020-08-12,197
Pacientes criticos,2020-08-13,203
Pacientes criticos,2020-08-14,207
Pacientes criticos,2020-08-15,196
Pacientes criticos,2020-08-16,185
Pacientes criticos,2020-08-17,191
Pacientes criticos,2020-08-18,184
Pacientes criticos,2020-08-19,176
Pacientes criticos,2020-08-20,175
Pacientes criticos,2020-08-21,174
Pacientes criticos,2020-08-22,166
Pacientes criticos,2020-08-23,149
Pacientes criticos,2020-08-24,140
Pacientes criticos,2020-08-25,144
Pacientes criticos,2020-08-26,148
Pacientes criticos,2020-08-27,135
Pacientes criticos,2020-08-28,142
Pacientes criticos,2020-08-29,131
