country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Chile,Santiago Metropolitan Region,2020-03-30,-67,-35,-58,-66,-59,31
Chile,Santiago Metropolitan Region,2020-03-31,-64,-27,-53,-62,-59,29
Chile,Santiago Metropolitan Region,2020-04-01,-64,-27,-54,-62,-59,30
Chile,Santiago Metropolitan Region,2020-04-02,-65,-29,-55,-63,-59,31
Chile,Santiago Metropolitan Region,2020-04-03,-65,-29,-58,-62,-57,33
Chile,Santiago Metropolitan Region,2020-04-04,-66,-30,-57,-56,-47,24
Chile,Santiago Metropolitan Region,2020-04-05,-68,-39,-58,-56,-46,20
Chile,Santiago Metropolitan Region,2020-04-06,-64,-32,-56,-63,-57,28
Chile,Santiago Metropolitan Region,2020-04-07,-63,-27,-56,-61,-57,27
Chile,Santiago Metropolitan Region,2020-04-08,-64,-29,-56,-62,-57,27
Chile,Santiago Metropolitan Region,2020-04-09,-62,-21,-53,-60,-58,27
Chile,Santiago Metropolitan Region,2020-04-10,-83,-49,-73,-78,-82,42
Chile,Santiago Metropolitan Region,2020-04-11,-75,-43,-64,-66,-59,27
Chile,Santiago Metropolitan Region,2020-04-12,-76,-52,-72,-70,-50,21
Chile,Santiago Metropolitan Region,2020-04-13,-63,-34,-55,-62,-54,27
Chile,Santiago Metropolitan Region,2020-04-14,-62,-31,-55,-61,-54,26
Chile,Santiago Metropolitan Region,2020-04-15,-62,-31,-54,-60,-54,27
Chile,Santiago Metropolitan Region,2020-04-16,-63,-29,-54,-61,-54,28
Chile,Santiago Metropolitan Region,2020-04-17,-63,-30,-57,-61,-53,32
Chile,Santiago Metropolitan Region,2020-04-18,-64,-33,-55,-55,-40,22
Chile,Santiago Metropolitan Region,2020-04-19,-67,-40,-58,-58,-42,19
Chile,Santiago Metropolitan Region,2020-04-20,-62,-35,-53,-60,-51,26
Chile,Santiago Metropolitan Region,2020-04-21,-62,-32,-54,-59,-51,25
Chile,Santiago Metropolitan Region,2020-04-22,-62,-33,-53,-59,-51,25
Chile,Santiago Metropolitan Region,2020-04-23,-62,-32,-54,-59,-51,26
Chile,Santiago Metropolitan Region,2020-04-24,-64,-35,-58,-61,-51,30
Chile,Santiago Metropolitan Region,2020-04-25,-62,-32,-53,-54,-39,21
Chile,Santiago Metropolitan Region,2020-04-26,-65,-39,-58,-58,-40,18
Chile,Santiago Metropolitan Region,2020-04-27,-61,-35,-53,-60,-48,26
Chile,Santiago Metropolitan Region,2020-04-28,-61,-33,-52,-58,-50,19
Chile,Santiago Metropolitan Region,2020-04-29,-59,-31,-51,-57,-49,24
Chile,Santiago Metropolitan Region,2020-04-30,-53,-16,-45,-52,-49,22
Chile,Santiago Metropolitan Region,2020-05-01,-83,-77,-66,-75,-83,41
Chile,Santiago Metropolitan Region,2020-05-02,-56,-19,-48,-51,-42,21
Chile,Santiago Metropolitan Region,2020-05-03,-60,-29,-54,-54,-37,18
Chile,Santiago Metropolitan Region,2020-05-04,-56,-23,-47,-56,-47,24
Chile,Santiago Metropolitan Region,2020-05-05,-55,-21,-47,-54,-48,23
Chile,Santiago Metropolitan Region,2020-05-06,-58,-26,-48,-57,-50,25
Chile,Santiago Metropolitan Region,2020-05-07,-57,-21,-47,-55,-49,26
Chile,Santiago Metropolitan Region,2020-05-08,-58,-23,-50,-55,-49,27
Chile,Santiago Metropolitan Region,2020-05-09,-66,-35,-56,-63,-43,25
Chile,Santiago Metropolitan Region,2020-05-10,-68,-40,-62,-63,-38,20
Chile,Santiago Metropolitan Region,2020-05-11,-67,-42,-59,-67,-54,30
Chile,Santiago Metropolitan Region,2020-05-12,-66,-38,-60,-66,-55,29
Chile,Santiago Metropolitan Region,2020-05-13,-64,-32,-57,-65,-54,29
Chile,Santiago Metropolitan Region,2020-05-14,-63,-28,-55,-63,-55,27
Chile,Santiago Metropolitan Region,2020-05-15,-63,-27,-56,-62,-55,32
Chile,Santiago Metropolitan Region,2020-05-16,-79,-55,-71,-71,-53,29
Chile,Santiago Metropolitan Region,2020-05-17,-79,-57,-73,-73,-49,25
Chile,Santiago Metropolitan Region,2020-05-18,-75,-51,-70,-73,-63,34
Chile,Santiago Metropolitan Region,2020-05-19,-73,-46,-70,-72,-63,33
Chile,Santiago Metropolitan Region,2020-05-20,-73,-45,-70,-72,-63,33
Chile,Santiago Metropolitan Region,2020-05-21,-83,-55,-77,-81,-82,42
Chile,Santiago Metropolitan Region,2020-05-22,-73,-42,-69,-71,-64,38
Chile,Santiago Metropolitan Region,2020-05-23,-74,-44,-67,-67,-49,28
Chile,Santiago Metropolitan Region,2020-05-24,-76,-51,-69,-69,-45,24
Chile,Santiago Metropolitan Region,2020-05-25,-70,-42,-65,-70,-61,33
Chile,Santiago Metropolitan Region,2020-05-26,-71,-42,-66,-69,-61,32
Chile,Santiago Metropolitan Region,2020-05-27,-71,-45,-67,-70,-61,33
Chile,Santiago Metropolitan Region,2020-05-28,-71,-42,-66,-70,-61,34
Chile,Santiago Metropolitan Region,2020-05-29,-71,-39,-67,-69,-60,38
Chile,Santiago Metropolitan Region,2020-05-30,-71,-39,-64,-63,-45,27
Chile,Santiago Metropolitan Region,2020-05-31,-72,-45,-67,-65,-41,23
Chile,Santiago Metropolitan Region,2020-06-01,-69,-38,-64,-68,-60,32
Chile,Santiago Metropolitan Region,2020-06-02,-69,-38,-66,-68,-61,32
Chile,Santiago Metropolitan Region,2020-06-03,-71,-42,-66,-69,-61,33
Chile,Santiago Metropolitan Region,2020-06-04,-70,-40,-65,-68,-61,34
Chile,Santiago Metropolitan Region,2020-06-05,-70,-39,-66,-68,-60,37
Chile,Santiago Metropolitan Region,2020-06-06,-71,-41,-64,-63,-44,27
Chile,Santiago Metropolitan Region,2020-06-07,-73,-47,-68,-66,-41,23
Chile,Santiago Metropolitan Region,2020-06-08,-70,-44,-66,-69,-60,33
Chile,Santiago Metropolitan Region,2020-06-09,-70,-42,-65,-68,-60,32
Chile,Santiago Metropolitan Region,2020-06-10,-69,-43,-63,-69,-60,33
Chile,Santiago Metropolitan Region,2020-06-11,-69,-40,-64,-69,-60,33
Chile,Santiago Metropolitan Region,2020-06-12,-73,-46,-71,-72,-61,38
Chile,Santiago Metropolitan Region,2020-06-13,-71,-42,-64,-64,-43,27
Chile,Santiago Metropolitan Region,2020-06-14,-73,-48,-67,-66,-39,23
Chile,Santiago Metropolitan Region,2020-06-15,-69,-44,-65,-69,-59,32
Chile,Santiago Metropolitan Region,2020-06-16,-68,-39,-65,-67,-60,32
Chile,Santiago Metropolitan Region,2020-06-17,-73,-47,-72,-71,-62,34
Chile,Santiago Metropolitan Region,2020-06-18,-70,-41,-66,-69,-60,34
Chile,Santiago Metropolitan Region,2020-06-19,-71,-41,-68,-69,-60,36
Chile,Santiago Metropolitan Region,2020-06-20,-71,-39,-65,-64,-42,27
Chile,Santiago Metropolitan Region,2020-06-21,-75,-49,-70,-67,-36,23
Chile,Santiago Metropolitan Region,2020-06-22,-74,-53,-72,-72,-62,34
Chile,Santiago Metropolitan Region,2020-06-23,-72,-49,-69,-71,-62,33
Chile,Santiago Metropolitan Region,2020-06-24,-72,-49,-67,-70,-61,33
Chile,Santiago Metropolitan Region,2020-06-25,-71,-45,-66,-69,-60,34
Chile,Santiago Metropolitan Region,2020-06-26,-71,-44,-67,-69,-59,37
Chile,Santiago Metropolitan Region,2020-06-27,-71,-43,-66,-63,-42,27
Chile,Santiago Metropolitan Region,2020-06-28,-73,-48,-69,-66,-39,23
Chile,Santiago Metropolitan Region,2020-06-29,-86,-65,-84,-85,-83,42
Chile,Santiago Metropolitan Region,2020-06-30,-67,-39,-65,-66,-59,31
Chile,Santiago Metropolitan Region,2020-07-01,-69,-43,-67,-69,-60,33
Chile,Santiago Metropolitan Region,2020-07-02,-67,-38,-63,-66,-59,33
Chile,Santiago Metropolitan Region,2020-07-03,-67,-36,-64,-66,-57,35
Chile,Santiago Metropolitan Region,2020-07-04,-78,-54,-80,-74,-49,30
Chile,Santiago Metropolitan Region,2020-07-05,-70,-39,-64,-61,-35,23
Chile,Santiago Metropolitan Region,2020-07-06,-66,-39,-63,-66,-58,32
Chile,Santiago Metropolitan Region,2020-07-07,-66,-37,-63,-65,-59,31
Chile,Santiago Metropolitan Region,2020-07-08,-68,-43,-65,-67,-59,32
Chile,Santiago Metropolitan Region,2020-07-09,-68,-41,-63,-66,-58,32
Chile,Santiago Metropolitan Region,2020-07-10,-69,-42,-66,-67,-57,36
Chile,Santiago Metropolitan Region,2020-07-11,-69,-40,-65,-63,-39,26
Chile,Santiago Metropolitan Region,2020-07-12,-72,-47,-66,-65,-35,22
Chile,Santiago Metropolitan Region,2020-07-13,-67,-43,-62,-67,-57,31
Chile,Santiago Metropolitan Region,2020-07-14,-66,-41,-62,-65,-57,30
Chile,Santiago Metropolitan Region,2020-07-15,-65,-38,-60,-64,-56,30
Chile,Santiago Metropolitan Region,2020-07-16,-77,-47,-73,-76,-77,39
Chile,Santiago Metropolitan Region,2020-07-17,-68,-39,-65,-67,-58,36
Chile,Santiago Metropolitan Region,2020-07-18,-69,-40,-63,-62,-39,26
Chile,Santiago Metropolitan Region,2020-07-19,-72,-47,-64,-65,-34,22
Chile,Santiago Metropolitan Region,2020-07-20,-65,-40,-60,-65,-56,30
Chile,Santiago Metropolitan Region,2020-07-21,-71,-50,-73,-71,-59,32
Chile,Santiago Metropolitan Region,2020-07-22,-66,-41,-61,-65,-55,30
Chile,Santiago Metropolitan Region,2020-07-23,-67,-41,-62,-66,-56,31
Chile,Santiago Metropolitan Region,2020-07-24,-67,-39,-62,-65,-54,34
Chile,Santiago Metropolitan Region,2020-07-25,-68,-38,-61,-61,-36,25
Chile,Santiago Metropolitan Region,2020-07-26,-71,-46,-65,-63,-32,22
Chile,Santiago Metropolitan Region,2020-07-27,-66,-43,-61,-65,-55,30
Chile,Santiago Metropolitan Region,2020-07-28,-63,-36,-54,-63,-54,29
Chile,Santiago Metropolitan Region,2020-07-29,-61,-35,-53,-62,-54,29
Chile,Santiago Metropolitan Region,2020-07-30,-62,-33,-55,-62,-54,29
Chile,Santiago Metropolitan Region,2020-07-31,-61,-29,-55,-61,-52,32
Chile,Santiago Metropolitan Region,2020-08-01,-63,-27,-56,-55,-33,23
Chile,Santiago Metropolitan Region,2020-08-02,-64,-33,-55,-55,-26,19
Chile,Santiago Metropolitan Region,2020-08-03,-59,-29,-52,-62,-53,28
Chile,Santiago Metropolitan Region,2020-08-04,-58,-28,-51,-60,-53,28
Chile,Santiago Metropolitan Region,2020-08-05,-60,-32,-53,-61,-53,28
Chile,Santiago Metropolitan Region,2020-08-06,-60,-31,-51,-61,-53,29
Chile,Santiago Metropolitan Region,2020-08-07,-59,-27,-52,-60,-51,30
Chile,Santiago Metropolitan Region,2020-08-08,-61,-27,-51,-52,-31,22
Chile,Santiago Metropolitan Region,2020-08-09,-63,-34,-55,-54,-25,18
Chile,Santiago Metropolitan Region,2020-08-10,-56,-28,-48,-59,-52,26
Chile,Santiago Metropolitan Region,2020-08-11,-55,-26,-48,-58,-52,25
Chile,Santiago Metropolitan Region,2020-08-12,-54,-26,-48,-58,-51,25
Chile,Santiago Metropolitan Region,2020-08-13,-53,-22,-47,-57,-51,26
Chile,Santiago Metropolitan Region,2020-08-14,-54,-19,-50,-56,-50,28
Chile,Santiago Metropolitan Region,2020-08-15,-57,-20,-47,-48,-37,21
Chile,Santiago Metropolitan Region,2020-08-16,-56,-26,-48,-46,-20,16
Chile,Santiago Metropolitan Region,2020-08-17,-48,-23,-43,-54,-51,24
Chile,Santiago Metropolitan Region,2020-08-18,-50,-25,-48,-55,-49,24
Chile,Santiago Metropolitan Region,2020-08-19,-50,-26,-44,-54,-49,24
Chile,Santiago Metropolitan Region,2020-08-20,-49,-23,-42,-54,-49,24
Chile,Santiago Metropolitan Region,2020-08-21,-51,-22,-42,-53,-47,26
Chile,Santiago Metropolitan Region,2020-08-22,-57,-26,-48,-48,-28,19
Chile,Santiago Metropolitan Region,2020-08-23,-61,-33,-53,-50,-22,17
Chile,Santiago Metropolitan Region,2020-08-24,-46,-23,-41,-53,-48,23
Chile,Santiago Metropolitan Region,2020-08-25,-49,-26,-50,-54,-49,23
Chile,Santiago Metropolitan Region,2020-08-26,-48,-24,-43,-52,-47,23
Chile,Santiago Metropolitan Region,2020-08-27,-47,-20,-39,-51,-47,23
Chile,Santiago Metropolitan Region,2020-08-28,-48,-18,-42,-51,-45,25
Chile,Santiago Metropolitan Region,2020-08-29,-56,-22,-44,-45,-27,18
Chile,Santiago Metropolitan Region,2020-08-30,-57,-26,-45,-45,-19,15
Chile,Santiago Metropolitan Region,2020-08-31,-40,-16,-33,-48,-46,21
Chile,Santiago Metropolitan Region,2020-09-01,-42,-15,-39,-48,-47,21
Chile,Santiago Metropolitan Region,2020-09-02,-40,-15,-33,-48,-45,21
Chile,Santiago Metropolitan Region,2020-09-03,-41,-15,-32,-47,-46,21
Chile,Santiago Metropolitan Region,2020-09-04,-42,-14,-35,-47,-44,23
Chile,Santiago Metropolitan Region,2020-09-05,-51,-17,-38,-42,-25,17
Chile,Santiago Metropolitan Region,2020-09-06,-55,-26,-41,-45,-20,16
Chile,Santiago Metropolitan Region,2020-09-07,-36,-14,-30,-45,-46,20
Chile,Santiago Metropolitan Region,2020-09-08,-40,-16,-40,-47,-46,21
Chile,Santiago Metropolitan Region,2020-09-09,-38,-16,-30,-45,-43,20
Chile,Santiago Metropolitan Region,2020-09-10,-37,-13,-27,-44,-44,21
Chile,Santiago Metropolitan Region,2020-09-11,-41,-14,-32,-46,-43,25
Chile,Santiago Metropolitan Region,2020-09-12,-49,-17,-35,-40,-24,18
Chile,Santiago Metropolitan Region,2020-09-13,-51,-21,-35,-42,-17,16
Chile,Santiago Metropolitan Region,2020-09-14,-31,-7,-24,-42,-39,19
Chile,Santiago Metropolitan Region,2020-09-15,-31,0,-29,-40,-39,19
Chile,Santiago Metropolitan Region,2020-09-16,-31,3,-23,-40,-39,18
Chile,Santiago Metropolitan Region,2020-09-17,-32,14,-19,-40,-44,19
Chile,Santiago Metropolitan Region,2020-09-18,-84,-74,-61,-74,-78,35
Chile,Santiago Metropolitan Region,2020-09-19,-82,-75,-57,-66,-56,22
Chile,Santiago Metropolitan Region,2020-09-20,-64,-37,-46,-52,-25,17
Chile,Santiago Metropolitan Region,2020-09-21,-37,-14,-32,-45,-42,20
Chile,Santiago Metropolitan Region,2020-09-22,-39,-14,-35,-43,-41,21
Chile,Santiago Metropolitan Region,2020-09-23,-41,-17,-35,-43,-39,21
Chile,Santiago Metropolitan Region,2020-09-24,-41,-15,-35,-43,-39,22
Chile,Santiago Metropolitan Region,2020-09-25,-43,-16,-45,-44,-38,24
Chile,Santiago Metropolitan Region,2020-09-26,-52,-18,-41,-37,-21,18
Chile,Santiago Metropolitan Region,2020-09-27,-55,-24,-38,-38,-17,16
Chile,Santiago Metropolitan Region,2020-09-28,-37,-14,-33,-41,-37,20
Chile,Santiago Metropolitan Region,2020-09-29,-39,-13,-38,-41,-38,20
Chile,Santiago Metropolitan Region,2020-09-30,-37,-11,-33,-40,-37,19
Chile,Santiago Metropolitan Region,2020-10-01,-36,-7,-32,-40,-36,19
Chile,Santiago Metropolitan Region,2020-10-02,-37,-6,-31,-36,-34,20
Chile,Santiago Metropolitan Region,2020-10-03,-45,-11,-32,-29,-19,15
Chile,Santiago Metropolitan Region,2020-10-04,-48,-17,-30,-29,-14,14
Chile,Santiago Metropolitan Region,2020-10-05,-33,-7,-27,-36,-36,18
Chile,Santiago Metropolitan Region,2020-10-06,-35,-8,-32,-36,-36,18
Chile,Santiago Metropolitan Region,2020-10-07,-36,-10,-28,-37,-34,18
Chile,Santiago Metropolitan Region,2020-10-08,-37,-8,-29,-36,-35,19
Chile,Santiago Metropolitan Region,2020-10-09,-38,-10,-28,-35,-34,20
Chile,Santiago Metropolitan Region,2020-10-10,-44,-15,-30,-28,-15,15
Chile,Santiago Metropolitan Region,2020-10-11,-45,-19,-24,-28,-11,13
Chile,Santiago Metropolitan Region,2020-10-12,-58,-28,-30,-61,-74,31
Chile,Santiago Metropolitan Region,2020-10-13,-37,-9,-34,-33,-34,17
Chile,Santiago Metropolitan Region,2020-10-14,-37,-13,-31,-34,-33,18
Chile,Santiago Metropolitan Region,2020-10-15,-36,-9,-28,-32,-33,18
Chile,Santiago Metropolitan Region,2020-10-16,-37,-8,-27,-32,-32,19
Chile,Santiago Metropolitan Region,2020-10-17,-44,-15,-30,-26,-16,15
Chile,Santiago Metropolitan Region,2020-10-18,-51,-25,-18,-29,-17,15
Chile,Santiago Metropolitan Region,2020-10-19,-37,-13,-33,-36,-33,18
Chile,Santiago Metropolitan Region,2020-10-20,-37,-10,-32,-34,-32,18
Chile,Santiago Metropolitan Region,2020-10-21,-36,-11,-29,-34,-31,18
Chile,Santiago Metropolitan Region,2020-10-22,-35,-9,-26,-32,-31,18
Chile,Santiago Metropolitan Region,2020-10-23,-36,-7,-29,-33,-30,19
Chile,Santiago Metropolitan Region,2020-10-24,-39,-8,-27,-23,-12,14
Chile,Santiago Metropolitan Region,2020-10-25,-46,-14,32,25,-8,7
Chile,Santiago Metropolitan Region,2020-10-26,-35,-10,-29,-35,-31,18
Chile,Santiago Metropolitan Region,2020-10-27,-36,-9,-36,-33,-31,18
Chile,Santiago Metropolitan Region,2020-10-28,-35,-11,-29,-33,-29,17
Chile,Santiago Metropolitan Region,2020-10-29,-34,-7,-27,-32,-29,17
Chile,Santiago Metropolitan Region,2020-10-30,-33,-2,-27,-28,-28,16
Chile,Santiago Metropolitan Region,2020-10-31,-39,-5,-25,-22,-23,12
Chile,Santiago Metropolitan Region,2020-11-01,-41,-16,-28,-26,-11,10
Chile,Santiago Metropolitan Region,2020-11-02,-32,-8,-30,-33,-30,16
Chile,Santiago Metropolitan Region,2020-11-03,-32,-6,-30,-31,-30,16
Chile,Santiago Metropolitan Region,2020-11-04,-31,-7,-29,-31,-28,16
Chile,Santiago Metropolitan Region,2020-11-05,-31,-5,-26,-30,-28,16
Chile,Santiago Metropolitan Region,2020-11-06,-33,-6,-28,-31,-27,16
Chile,Santiago Metropolitan Region,2020-11-07,-32,-9,-27,-21,-9,10
Chile,Santiago Metropolitan Region,2020-11-08,-34,-15,-22,-24,-8,9
Chile,Santiago Metropolitan Region,2020-11-09,-32,-11,-29,-34,-28,16
Chile,Santiago Metropolitan Region,2020-11-10,-32,-8,-30,-32,-28,16
Chile,Santiago Metropolitan Region,2020-11-11,-32,-11,-28,-32,-27,16
Chile,Santiago Metropolitan Region,2020-11-12,-32,-9,-28,-32,-27,16
Chile,Santiago Metropolitan Region,2020-11-13,-35,-5,-34,-32,-27,17
Chile,Santiago Metropolitan Region,2020-11-14,-32,-10,-26,-21,-9,10
Chile,Santiago Metropolitan Region,2020-11-15,-32,-15,-19,-21,-7,9
Chile,Santiago Metropolitan Region,2020-11-16,-32,-10,-30,-33,-27,16
Chile,Santiago Metropolitan Region,2020-11-17,-35,-10,-38,-33,-27,17
Chile,Santiago Metropolitan Region,2020-11-18,-32,-10,-27,-31,-26,16
Chile,Santiago Metropolitan Region,2020-11-19,-31,-8,-29,-31,-26,16
Chile,Santiago Metropolitan Region,2020-11-20,-33,-7,-31,-31,-25,16
Chile,Santiago Metropolitan Region,2020-11-21,-30,-9,-25,-20,-7,10
Chile,Santiago Metropolitan Region,2020-11-22,-33,-16,-21,-22,-6,8
Chile,Santiago Metropolitan Region,2020-11-23,-33,-12,-29,-33,-26,16
Chile,Santiago Metropolitan Region,2020-11-24,-32,-9,-29,-31,-25,15
Chile,Santiago Metropolitan Region,2020-11-25,-31,-11,-26,-30,-24,15
Chile,Santiago Metropolitan Region,2020-11-26,-31,-9,-26,-30,-24,15
Chile,Santiago Metropolitan Region,2020-11-27,-32,-6,-29,-31,-24,15
Chile,Santiago Metropolitan Region,2020-11-28,-27,-4,-25,-17,-6,9
Chile,Santiago Metropolitan Region,2020-11-29,-48,-22,-19,-19,-12,8
Chile,Santiago Metropolitan Region,2020-11-30,-25,-1,-26,-29,-24,14
Chile,Santiago Metropolitan Region,2020-12-01,-25,1,-29,-26,-24,14
Chile,Santiago Metropolitan Region,2020-12-02,-25,-1,-24,-27,-22,14
Chile,Santiago Metropolitan Region,2020-12-03,-24,1,-23,-26,-22,14
Chile,Santiago Metropolitan Region,2020-12-04,-27,1,-27,-26,-22,14
Chile,Santiago Metropolitan Region,2020-12-05,-24,-2,-26,-14,-5,8
Chile,Santiago Metropolitan Region,2020-12-06,-25,-9,-21,-16,-4,7
Chile,Santiago Metropolitan Region,2020-12-07,-16,6,-22,-27,-33,13
Chile,Santiago Metropolitan Region,2020-12-08,-35,-8,-27,-46,-65,23
Chile,Santiago Metropolitan Region,2020-12-09,-23,-5,-24,-23,-21,11
Chile,Santiago Metropolitan Region,2020-12-10,-27,-4,-23,-26,-22,14
Chile,Santiago Metropolitan Region,2020-12-11,-28,-1,-24,-26,-21,15
Chile,Santiago Metropolitan Region,2020-12-12,-68,-38,-60,-48,-26,23
Chile,Santiago Metropolitan Region,2020-12-13,-67,-37,-57,-45,-22,19
Chile,Santiago Metropolitan Region,2020-12-14,-22,-1,-13,-25,-22,13
Chile,Santiago Metropolitan Region,2020-12-15,-20,2,-17,-22,-22,12
Chile,Santiago Metropolitan Region,2020-12-16,-16,5,-13,-20,-20,12
Chile,Santiago Metropolitan Region,2020-12-17,-11,11,-8,-16,-20,11
Chile,Santiago Metropolitan Region,2020-12-18,-10,16,-5,-13,-19,10
Chile,Santiago Metropolitan Region,2020-12-19,-58,-19,-50,-34,-22,19
Chile,Santiago Metropolitan Region,2020-12-20,-56,-19,-48,-30,-16,17
Chile,Santiago Metropolitan Region,2020-12-21,3,25,9,-5,-19,8
Chile,Santiago Metropolitan Region,2020-12-22,-3,29,3,-7,-20,8
Chile,Santiago Metropolitan Region,2020-12-23,-7,30,5,-8,-18,9
Chile,Santiago Metropolitan Region,2020-12-24,-25,23,-16,-23,-32,14
Chile,Santiago Metropolitan Region,2020-12-25,-88,-81,-67,-75,-80,33
Chile,Santiago Metropolitan Region,2020-12-26,-67,-34,-59,-51,-36,23
Chile,Santiago Metropolitan Region,2020-12-27,-64,-33,-54,-43,-21,18
Chile,Santiago Metropolitan Region,2020-12-28,-16,5,-18,-21,-22,13
Chile,Santiago Metropolitan Region,2020-12-29,-17,12,-20,-21,-22,12
Chile,Santiago Metropolitan Region,2020-12-30,-15,21,-16,-19,-20,11
Chile,Santiago Metropolitan Region,2020-12-31,-25,26,-25,-28,-35,15
Chile,Santiago Metropolitan Region,2021-01-01,-89,-83,-69,-78,-82,32
Chile,Santiago Metropolitan Region,2021-01-02,-67,-33,-58,-52,-40,22
Chile,Santiago Metropolitan Region,2021-01-03,-64,-33,-55,-43,-22,17
Chile,Santiago Metropolitan Region,2021-01-04,-22,0,-20,-25,-24,13
Chile,Santiago Metropolitan Region,2021-01-05,-23,1,-24,-25,-25,14
Chile,Santiago Metropolitan Region,2021-01-06,-25,-4,-24,-27,-24,14
Chile,Santiago Metropolitan Region,2021-01-07,-27,-4,-23,-26,-24,14
Chile,Santiago Metropolitan Region,2021-01-08,-30,-4,-28,-28,-24,15
Chile,Santiago Metropolitan Region,2021-01-09,-57,-22,-51,-41,-23,18
Chile,Santiago Metropolitan Region,2021-01-10,-58,-28,-52,-41,-18,15
Chile,Santiago Metropolitan Region,2021-01-11,-26,-6,-25,-28,-25,13
Chile,Santiago Metropolitan Region,2021-01-12,-29,-6,-28,-29,-26,14
Chile,Santiago Metropolitan Region,2021-01-13,-32,-13,-29,-31,-26,13
Chile,Santiago Metropolitan Region,2021-01-14,-33,-13,-29,-33,-29,14
Chile,Santiago Metropolitan Region,2021-01-15,-35,-11,-33,-33,-29,14
Chile,Santiago Metropolitan Region,2021-01-16,-63,-32,-57,-47,-28,17
Chile,Santiago Metropolitan Region,2021-01-17,-64,-36,-57,-46,-23,14
