Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
117,2.65E-05,0.000502670436695,0.017661161780657,0.109095190092787,0.316181813527314
118,2.52E-05,0.00109959158027,0.014717634817214,0.053580175216103,0.308674187748736
119,2.46E-05,0.000973923971096,0.013736459162733,0.110583528293235,0.277536002142504
120,2.95E-05,0.000973923971096,0.026001154843745,0.031552769849483,0.161967795485382
121,2.39E-05,0.001539428212378,0.021095276571341,0.047775656234359,0.166521601285502
122,3.28E-05,0.000565504241282,0.019132925262379,0.065189213179592,0.255013124806771
123,2.86E-05,0.001382343700911,0.016189398298936,0.082900437764915,0.275197561326226
124,3.41E-05,0.000942507068803,0.0206046887441,0.068761224860666,0.255997731466257
125,3.59E-05,0.001036757775683,0.016679986126176,0.045691982753732,0.202828971854034
126,3.23E-05,0.001225259189444,0.010792932199291,0.085132945065586,0.161844719652946
127,4.23E-05,0.00091109016651,0.028944681807188,0.080072595184065,0.121475846614036
128,2.81E-05,0.001131008482564,0.022567040053062,0.095253644828628,0.207628929319026
129,3.56E-05,0.000502670436695,0.021585864398581,0.058491691277579,0.187690644464443
130,3.63E-05,0.000565504241282,0.019623513089619,0.056854519257087,0.163567781307046
131,4.42E-05,0.001570845114672,0.014227046989974,0.131271429279452,0.204428957675698
132,3.81E-05,0.002450518378888,0.015698810471695,0.065338046999637,0.176121516215487
133,5.46E-05,0.000973923971096,0.007849405235848,0.133503936580123,0.106337519224445
134,3.75E-05,0.001225259189444,0.025019979189264,0.057449854537266,0.084922324380633
135,4.07E-05,0.000502670436695,0.019623513089619,0.031999271309617,0.14682946809579
136,3.48E-05,0.00109959158027,0.0206046887441,0.085430612705675,0.184736824485986
137,3.56E-05,0.002544769085768,0.019132925262379,0.088258455286525,0.13366035402517
138,4.46E-05,0.00201068174678,0.021585864398581,0.046436151853956,0.10190678925676
139,3.88E-05,0.001602262016965,0.011774107853772,0.091532799327509,0.118768178300451
140,3.35E-05,0.002764687401822,0.01030234437205,0.053431341396058,0.084306945218455
141,5.26E-05,0.001727929626139,0.029435269634429,0.079626093723931,0.08787614435909
142,6.29E-05,0.001068174677977,0.024038803534784,0.063700874979145,0.124675818257364
143,6.49E-05,0.003141690229343,0.026001154843745,0.065189213179592,0.131198837376456
144,4.16E-05,0.000219918316054,0.031397620943391,0.090044461127062,0.10904518753803
145,4.11E-05,0.001759346528432,0.016189398298936,0.072928571821918,0.098706817613432
146,4.37E-05,0.000848256361923,0.011283520026531,0.074268076202321,0.112245159181359
147,5E-05,0.001665095821552,0.015698810471695,0.059682361837937,0.080983897742691
148,5.75E-05,0.001162425384857,0.026982330498226,0.120853061876321,0.081353125239998
149,5.09E-05,0.000848256361923,0.037284674870276,0.037654956471317,0.084183869386019
150,5.51E-05,0.000848256361923,0.031397620943391,0.07173790126156,0.101537561759453
151,4.9E-05,0.00091109016651,0.032378796597872,0.062659038238832,0.094891466807925
152,5.22E-05,0.000973923971096,0.028944681807188,0.072482070361784,0.095137618472796
153,4.85E-05,0.001539428212378,0.023548215707543,0.088704956746659,0.084553096883326
154,5.21E-05,0.00091109016651,0.015698810471695,0.092276968427733,0.061168688720543
155,5.62E-05,0.000754005655042,0.042681140969922,0.070993732161337,0.081722352737305
156,6.21E-05,0.002073515551367,0.029435269634429,0.061766035318563,0.086399234369862
157,5.56E-05,0.001162425384857,0.045134080106124,0.006548688081968,0.08959920601319
158,5.81E-05,0.001602262016965,0.035322323561314,0.061319533858429,0.08615308270499
159,5.99E-05,0.001916431039899,0.039247026179238,0.055961516336819,0.085537703542812
160,6.02E-05,0.001539428212378,0.023057627880303,0.066826385200084,0.072737816969499
161,6.74E-05,0.002607602890355,0.015698810471695,0.070398396881158,0.054891821266322
162,7.19E-05,0.001759346528432,0.0412093774882,0.062510204418787,0.056984110417729
163,8.22E-05,0.002513352183475,0.036794087043036,0.046138484213867,0.074214726958727
164,8.14E-05,0.002293433867421,0.036303499215795,0.078137755523484,0.094029935980875
165,0.000103438,0.000942507068803,0.033850560079593,0.076351749682947,0.064491736196307
166,9.92E-05,0.002356267672008,0.027472918325467,0.058789358917669,0.07987621525077
167,8.52E-05,0.001508011310085,0.024038803534784,0.082602770124826,0.060799461223236
168,9.97E-05,0.000879673264216,0.018151749607898,0.064296210259324,0.041722707195702
169,0.000128494,0.002230600062834,0.041699965315441,0.046436151853956,0.039630418044296
170,8.32E-05,0.001853597235313,0.0412093774882,0.051050000275343,0.073230120299242
171,8.29E-05,0.000942507068803,0.042190553142681,0.077244752603215,0.066953252845021
172,0.000111191,0.000502670436695,0.037775262697517,0.081412099564468,0.077168546937184
