Date,Indonesia,Angola,Querétaro,Rio de Janeiro,Metropolitana
272,3,5.4,,7,4
273,3,5.4,,7,4
274,3,5.4,,7,4
275,3,5.4,,7,4
276,3,5.4,,7,4
277,3,5.4,,7,3.5
278,3,5.4,,7,3.5
279,3,5.4,,7,3.5
280,3,5.4,,7,3.5
281,3,5.4,,7,3.5
282,3,5.4,,7,2.8
283,3,5.4,,7,2.8
284,3,5.4,,7,2.8
285,3,5.4,,7,2.8
286,3,5.4,,7,2.8
287,3,5.4,,7,2.8
288,3,5.4,,7,2.8
289,3,5.4,,7,2.8
290,3,5.4,,7,2.8
291,3,5.4,,7,2.8
292,3,5.4,,7,2.8
293,3,5.4,,7,2.8
294,3,5.4,,7,2.8
295,3,5.4,,7,2.8
296,3,5.4,,7,2.8
297,3,5.4,,7,2.8
298,3,5.4,,7,2.8
299,3,5.4,,7,2.8
300,3,5.4,,7,2.8
301,3,5.4,,7,2.8
302,3,5.4,,7,2.8
303,3,5.4,,7,2.8
304,3,5.4,,7,2.8
305,3,5.4,,7,2.8
306,3,5.4,,7,2.8
307,3,5.4,,7,2.8
308,,,,7,2.8
309,,,,7,2.8
310,,,,7,2.8
311,,,,7,2.8
312,,,,7,2.8
313,,,,7,2.8
314,,,,7,2.8
315,,,,7,2.8
316,,,,7,2.8
317,,,,7,2.8
318,,,,7,2.8
319,,,,,2.8
320,,,,,2.8
321,,,,,2.8
322,,,,,2.8
323,,,,,2.8
324,,,,,2.8
325,,,,,2.8
326,,,,,2.8
327,,,,,2.8
328,,,,,2.8
329,,,,,2.8
330,,,,,2.8
331,,,,,2.8
332,,,,,2.8
333,,,,,2.8
334,,,,,2.8
335,,,,,2.8
336,,,,,2.8
337,,,,,2.8
338,,,,,2.8
339,,,,,2.8
340,,,,,2.8
341,,,,,2.8
342,,,,,2.8
343,,,,,2.8
344,,,,,2.8
345,,,,,3.5
346,,,,,3.5
347,,,,,3.5
348,,,,,3.5
349,,,,,3.5
350,,,,,3.5
351,,,,,3.5
352,,,,,3.5
353,,,,,3.5
354,,,,,3.5
355,,,,,3.5
356,,,,,3.5
357,,,,,3.5
358,,,,,3.5
359,,,,,3.5
360,,,,,3.5
361,,,,,3.5
362,,,,,3.5
363,,,,,3.5
364,,,,,3.5
365,,,,,3.5
366,,,,,2.8
367,,,,,2.8
368,,,,,2.8
369,,,,,2.8
370,,,,,2.8
