Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2020-07-09,406,675,625,128,479,1206,3885,153,588,223,867,377,123,327,23,201,329,493,261,77,174,463,2062,117,396,191,485,240,50,136,7,78,10,11,10,3,8,11,35,3,12,5,17,6,3,7,2,8
2020-07-10,419,673,624,298,479,702,3885,198,588,241,867,377,123,331,23,201,332,523,271,81,189,463,2111,116,415,195,512,229,53,142,7,73,10,11,10,4,8,11,35,4,12,5,17,6,3,7,2,8
2020-07-11,427,673,628,297,505,701,3887,198,589,241,894,374,123,327,23,201,339,535,275,84,195,461,2121,141,403,199,542,212,61,153,10,40,10,11,10,4,8,11,35,4,12,6,17,6,3,7,2,8
2020-07-12,418,673,628,299,536,701,3895,197,587,261,894,378,123,327,23,184,346,523,308,102,225,456,2155,150,420,204,554,206,71,150,6,48,10,11,10,4,9,11,35,4,12,6,17,6,3,7,2,8
2020-07-13,430,673,658,299,540,701,3887,198,587,261,894,378,123,327,23,201,375,550,315,116,233,444,2210,128,426,207,560,191,63,153,7,40,10,11,11,4,9,11,35,4,12,6,17,6,3,7,2,8
2020-07-14,714,678,677,299,540,701,3887,199,587,261,810,378,123,329,23,185,511,552,345,112,236,436,2097,107,429,227,557,194,62,145,7,42,14,11,12,4,9,11,35,4,12,6,16,6,3,7,2,8
2020-07-15,491,682,673,299,540,701,3864,199,613,261,713,378,123,327,23,142,420,554,366,111,220,441,2058,121,435,230,525,200,60,156,11,33,12,11,12,4,9,11,35,4,13,6,14,6,3,7,2,8
2020-07-16,509,677,673,299,574,701,3868,199,614,261,713,378,123,327,23,142,398,543,375,120,232,390,2054,128,418,216,510,229,63,156,9,43,12,11,12,4,10,11,34,4,13,6,14,6,3,7,2,8
2020-07-17,508,677,673,299,574,701,3797,199,570,261,713,378,121,327,23,142,427,535,393,125,239,397,1987,128,428,191,497,220,72,158,10,48,12,11,12,4,10,11,34,4,13,6,14,6,3,7,2,8
2020-07-18,521,677,673,299,574,632,3797,198,570,261,815,339,121,348,23,142,420,548,369,125,242,405,1955,155,429,186,532,189,77,155,10,50,12,11,12,4,10,11,34,4,13,6,15,5,3,8,2,8
2020-07-19,530,677,673,299,574,1137,3797,198,572,261,829,340,143,348,23,93,414,534,379,133,234,416,1983,159,399,231,587,178,86,143,9,51,12,11,12,4,10,11,34,4,13,6,15,5,3,8,2,7
2020-07-20,530,677,673,299,574,1137,3797,198,572,278,829,340,143,357,23,93,431,512,383,133,235,416,1992,161,402,197,590,181,79,140,7,54,12,11,12,4,10,11,34,4,13,7,15,5,3,8,2,7
2020-07-21,569,677,689,299,607,1320,3797,198,575,279,829,340,143,357,23,85,425,501,379,133,225,417,1964,152,396,199,576,186,88,144,8,57,12,11,13,4,11,11,34,4,13,7,15,5,3,8,2,6
2020-07-22,577,677,689,299,597,1193,3798,198,573,279,829,340,143,369,23,85,414,492,367,126,218,389,1852,164,399,207,591,190,92,158,6,51,12,11,13,4,11,11,34,4,13,7,15,5,3,9,2,6
2020-07-23,590,677,689,299,607,1178,3795,198,610,279,829,340,143,369,23,85,442,466,347,129,233,397,1800,151,388,184,577,193,87,163,7,47,12,11,13,4,11,11,34,4,14,7,15,5,3,9,2,6
2020-07-24,591,677,689,299,607,1178,3804,198,610,284,829,340,143,370,23,85,461,437,350,135,270,402,1628,156,384,199,571,175,88,181,7,49,12,11,13,4,11,11,34,4,14,7,15,5,3,9,2,6
2020-07-25,723,769,689,299,614,1178,3805,198,607,284,900,340,143,377,23,85,554,410,342,167,285,427,1527,143,418,189,592,183,95,179,7,63,14,11,13,4,11,11,34,4,14,7,15,5,3,9,2,6
2020-07-26,726,769,689,299,615,1193,3779,198,603,260,924,340,143,374,23,85,575,422,351,161,278,424,1474,113,406,166,595,184,88,175,7,64,14,11,13,4,11,11,33,4,14,7,16,5,3,9,2,6
2020-07-27,723,769,689,299,615,1193,3699,198,604,284,924,340,143,377,23,85,579,453,341,164,312,439,1434,117,401,162,598,184,88,165,10,64,14,11,13,4,11,11,31,4,14,7,16,5,3,9,2,6
2020-07-28,722,769,689,299,615,1193,3574,198,603,284,924,340,143,377,23,85,532,526,316,175,299,418,1421,107,427,164,588,174,106,181,8,67,14,11,13,4,11,11,29,4,14,7,16,5,3,9,2,6
2020-07-29,715.0,769.0,689.0,299.0,615.0,1193.0,3.56,198.0,603.0,284.0,924.0,340.0,143.0,363.0,23.0,85.0,563.0,538.0,323.0,214.0,288.0,395.0,1344.0,92.0,422.0,157.0,577.0,151.0,108.0,185.0,12.0,64.0,14.0,11.0,13.0,4.0,11.0,11.0,28.0,4.0,14.0,7.0,16.0,5.0,3.0,8.0,2.0,6.0
2020-07-30,722,769,955,299,615,1193,3388,198,603,284,924,340,143,380,23,101,581,585,327,216,290,393,1258,88,407,143,571,156,104,187,12,70,14,11,14,4,11,11,27,4,14,7,16,5,3,9,2,8
2020-07-31,664,769,955,299,615,1193,3212,198,591,284,924,340,143,380,23,101,472,614,331,217,297,380,1238,99,382,130,579,149,109,212,12,76,12,11,14,4,11,11,26,4,14,7,16,5,3,9,2,8
2020-08-01,664,769,955,299,615,1193,3212,198,603,284,924,340,157,380,23,101,478,553,356,228,324,368,1216,99,367,128,607,176,99,217,12,69,12,11,14,4,11,11,26,4,14,7,16,5,4,9,2,8
2020-08-02,664,710,955,299,615,1193,3200,198,603,284,907,340,157,381,30,101,499,555,405,241,329,347,1253,107,357,135,603,190,99,209,13,69,12,10,14,4,11,11,25,4,14,7,15,5,4,9,2,8
2020-08-03,664,707,955,299,615,1193,3200,198,603,284,936,340,157,381,30,101,488,571,403,241,344,352,1262,104,349,132,602,193,101,221,13,69,12,10,14,4,11,11,25,4,14,7,16,5,4,9,2,8
2020-08-04,664,707,955,299,615,1193,3200,198,604,284,936,340,157,378,30,98,515,579,397,243,342,338,1209,93,331,128,596,190,110,214,13,61,12,10,14,4,11,11,25,4,15,7,16,5,4,9,2,8
2020-08-05,664,707,955,390,615,1193,3200,198,605,284,936,340,157,382,30,98,539,576,410,242,358,343,1144,97,304,122,593,210,114,208,10,60,12,10,14,4,11,11,25,4,15,7,16,5,4,9,2,8
2020-08-06,664,707,955,392,615,1193,3200,198,613,284,936,340,157,382,30,98,498,592,419,256,309,337,1210,110,291,132,579,218,119,221,10,62,12,10,14,4,11,11,25,4,15,7,16,5,4,9,2,8
2020-08-07,664,707,955,392,615,1320,3200,198,612,284,936,340,157,425,30,98,546,601,440,262,324,386,1126,112,271,132,589,213,117,200,9,61,12,10,14,4,11,11,25,4,15,7,16,5,4,10,2,8
2020-08-08,664,707,955,390,615,1155,3200,198,612,284,936,340,157,430,30,98,549,597,475,268,299,388,1167,117,297,144,595,216,117,216,9,53,12,10,14,4,11,9,25,4,15,7,16,5,4,10,2,8
2020-08-09,664,707,955,390,615,1155,3200,198,588,284,846,340,159,429,30,98,579,571,480,281,297,404,1146,124,298,154,528,219,119,217,10,53,12,10,14,4,11,9,25,4,15,7,15,5,4,10,2,8
2020-08-10,664,707,955,390,615,1155,3200,198,588,284,936,340,159,429,30,98,612,573,446,281,313,464,1176,126,337,164,655,230,114,211,11,56,12,10,14,4,11,9,25,4,15,7,16,5,4,10,2,8
2020-08-11,711,708,955,390,615,1155,3200,198,576,284,936,395,159,429,30,98,615,529,438,267,292,451,1126,120,326,173,640,226,118,209,14,42,13,10,14,4,11,9,25,4,14,7,16,6,4,10,2,8
2020-08-12,712,708,955,390,615,1155,3200,199,576,284,981,340,159,446,30,98,633,519,420,266,275,468,1072,115,326,190,615,238,105,203,13,47,13,10,14,4,11,9,25,4,14,7,16,5,4,11,2,8
2020-08-13,712,706,955,390,615,1156,3200,165,576,284,981,395,159,451,30,122,639,517,424,247,264,508,1041,119,326,199,595,248,110,201,13,54,13,10,14,4,11,9,25,4,14,7,16,6,4,11,2,9
2020-08-14,712,704,956,399,615,1156,2607,170,576,284,981,395,159,451,30,122,616,519,437,249,254,515,1032,115,335,210,611,289,108,197,13,58,13,10,14,4,11,9,24,4,14,7,16,6,4,11,2,9
2020-08-15,712,703,956,399,615,1154,2607,189,606,284,981,395,159,454,30,155,637,496,430,219,254,539,984,127,350,222,598,286,101,189,15,65,13,10,14,4,11,9,24,4,15,7,16,6,4,11,2,9
2020-08-16,768,675,956,399,615,1156,2607,189,594,284,941,395,159,454,30,155,653,514,427,225,270,534,991,136,335,227,603,277,100,169,14,76,14,9,14,4,11,9,24,4,14,7,15,6,4,11,2,9
2020-08-17,768,675,956,399,615,1156,2607,189,594,284,941,395,159,454,30,155,661,522,440,203,280,532,986,129,326,215,610,275,91,167,14,81,14,9,14,4,11,9,24,4,14,7,15,6,4,11,2,9
2020-08-18,768,662,956,399,615,1156,2607,189,594,284,941,395,159,454,30,155,673,447,400,210,269,486,932,124,292,211,602,256,84,166,12,69,14,9,14,4,11,9,24,4,14,7,15,6,4,11,2,9
2020-08-19,768,611,956,399,671,1156,2607,189,594,284,941,395,199,454,30,155,644,507,397,197,266,504,927,121,280,202,585,261,81,170,5,74,14,8,14,4,11,9,24,4,14,7,15,6,5,11,2,9
2020-08-20,782,611,956,399,640,1156,2607,235,594,284,941,395,199,454,30,155,604,496,363,187,268,479,1000,119,306,199,587,258,79,170,4,77,14,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-21,782,611,956,399,640,1156,2608,235,594,284,941,395,199,454,30,155,622,502,311,185,270,491,931,132,306,197,613,247,93,152,4,81,14,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-22,782,611,956,399,640,1156,2608,235,594,284,941,395,199,454,30,155,595,533,320,188,268,488,986,126,289,221,633,238,92,146,4,82,14,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-23,735,611,956,399,640,1156,2608,235,594,284,941,395,199,454,30,155,582,531,319,175,281,461,986,135,314,242,636,255,87,145,4,105,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-24,735,611,956,399,640,1156,2608,235,594,284,941,395,199,454,30,155,610,542,300,151,297,439,1041,137,311,246,663,250,91,150,4,109,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-25,735,611,956,399,640,1154,2608,235,594,284,941,395,199,454,30,138,588,499,261,160,288,391,1043,152,330,237,665,239,82,151,5,104,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-26,735,611,956,399,640,1154,2608,235,594,284,941,395,199,454,30,138,604,473,262,160,286,368,1014,161,342,241,652,223,90,147,18,104,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-27,735,611,956,399,640,1154,2608,235,594,284,941,395,199,454,30,138,604,476,297,145,290,335,1043,163,323,262,656,228,83,144,16,106,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-28,735,611,956,399,640,1153,2670,235,594,284,941,395,199,454,30,138,585,477,333,129,298,328,1053,169,328,286,670,260,84,142,23,113,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
2020-08-29,735,611,956,399,644,1153,2676,235,594,284,941,395,199,454,30,150,539,501,357,129,316,330,1039,172,332,279,661,251,80,141,25,101,13,8,14,4,10,9,24,5,14,7,15,6,5,11,2,9
