Region,Categoria,Fecha,Total
Atacama,Casos nuevos totales,2020-03-05,0.0
Coquimbo,Casos nuevos totales,2020-03-05,0.0
Valparaíso,Casos nuevos totales,2020-03-05,0.0
Metropolitana,Casos nuevos totales,2020-03-05,1.0
O’Higgins,Casos nuevos totales,2020-03-05,0.0
Maule,Casos nuevos totales,2020-03-05,0.0
Ñuble,Casos nuevos totales,2020-03-05,0.0
Biobío,Casos nuevos totales,2020-03-05,0.0
Araucanía,Casos nuevos totales,2020-03-05,0.0
Los Ríos,Casos nuevos totales,2020-03-05,0.0
Los Lagos,Casos nuevos totales,2020-03-05,0.0
Aysén,Casos nuevos totales,2020-03-05,0.0
Magallanes,Casos nuevos totales,2020-03-05,0.0
Total,Casos nuevos totales,2020-03-05,1.0
Arica y Parinacota,Casos nuevos con sintomas,2020-03-05,0.0
Tarapacá,Casos nuevos con sintomas,2020-03-05,0.0
Antofagasta,Casos nuevos con sintomas,2020-03-05,0.0
Atacama,Casos nuevos con sintomas,2020-03-05,0.0
Coquimbo,Casos nuevos con sintomas,2020-03-05,0.0
Valparaíso,Casos nuevos con sintomas,2020-03-05,0.0
Metropolitana,Casos nuevos con sintomas,2020-03-05,1.0
O’Higgins,Casos nuevos con sintomas,2020-03-05,0.0
Maule,Casos nuevos con sintomas,2020-03-05,0.0
Ñuble,Casos nuevos con sintomas,2020-03-05,0.0
Biobío,Casos nuevos con sintomas,2020-03-05,0.0
Araucanía,Casos nuevos con sintomas,2020-03-05,0.0
Los Ríos,Casos nuevos con sintomas,2020-03-05,0.0
Los Lagos,Casos nuevos con sintomas,2020-03-05,0.0
Aysén,Casos nuevos con sintomas,2020-03-05,0.0
Magallanes,Casos nuevos con sintomas,2020-03-05,0.0
Total,Casos nuevos con sintomas,2020-03-05,1.0
Arica y Parinacota,Casos nuevos sin sintomas,2020-03-05,
Tarapacá,Casos nuevos sin sintomas,2020-03-05,
Antofagasta,Casos nuevos sin sintomas,2020-03-05,
Atacama,Casos nuevos sin sintomas,2020-03-05,
Coquimbo,Casos nuevos sin sintomas,2020-03-05,
Valparaíso,Casos nuevos sin sintomas,2020-03-05,
Metropolitana,Casos nuevos sin sintomas,2020-03-05,
O'Higgins,Casos nuevos sin sintomas,2020-03-05,
Maule,Casos nuevos sin sintomas,2020-03-05,
Ñuble,Casos nuevos sin sintomas,2020-03-05,
Biobío,Casos nuevos sin sintomas,2020-03-05,
Araucania,Casos nuevos sin sintomas,2020-03-05,
Los Ríos,Casos nuevos sin sintomas,2020-03-05,
Los Lagos,Casos nuevos sin sintomas,2020-03-05,
Aysén,Casos nuevos sin sintomas,2020-03-05,
Magallanes,Casos nuevos sin sintomas,2020-03-05,
Total,Casos nuevos sin sintomas,2020-03-05,
Arica y Parinacota,Casos nuevos sin notificar,2020-03-05,
Tarapacá,Casos nuevos sin notificar,2020-03-05,
Antofagasta,Casos nuevos sin notificar,2020-03-05,
Atacama,Casos nuevos sin notificar,2020-03-05,
Coquimbo,Casos nuevos sin notificar,2020-03-05,
Valparaíso,Casos nuevos sin notificar,2020-03-05,
Metropolitana,Casos nuevos sin notificar,2020-03-05,
O'Higgins,Casos nuevos sin notificar,2020-03-05,
Maule,Casos nuevos sin notificar,2020-03-05,
Ñuble,Casos nuevos sin notificar,2020-03-05,
Biobío,Casos nuevos sin notificar,2020-03-05,
Araucania,Casos nuevos sin notificar,2020-03-05,
Los Ríos,Casos nuevos sin notificar,2020-03-05,
Los Lagos,Casos nuevos sin notificar,2020-03-05,
Aysén,Casos nuevos sin notificar,2020-03-05,
Magallanes,Casos nuevos sin notificar,2020-03-05,
Total,Casos nuevos sin notificar,2020-03-05,
Arica y Parinacota,Fallecidos totales,2020-03-05,
Tarapacá,Fallecidos totales,2020-03-05,
Antofagasta,Fallecidos totales,2020-03-05,
Atacama,Fallecidos totales,2020-03-05,
Coquimbo,Fallecidos totales,2020-03-05,
Valparaíso,Fallecidos totales,2020-03-05,
Metropolitana,Fallecidos totales,2020-03-05,
O’Higgins,Fallecidos totales,2020-03-05,
Maule,Fallecidos totales,2020-03-05,
Ñuble,Fallecidos totales,2020-03-05,
Biobío,Fallecidos totales,2020-03-05,
Araucanía,Fallecidos totales,2020-03-05,
Los Ríos,Fallecidos totales,2020-03-05,
Los Lagos,Fallecidos totales,2020-03-05,
Aysén,Fallecidos totales,2020-03-05,
Magallanes,Fallecidos totales,2020-03-05,
Total,Fallecidos totales,2020-03-05,
Arica y Parinacota,Casos confirmados recuperados,2020-03-05,
Tarapacá,Casos confirmados recuperados,2020-03-05,
Antofagasta,Casos confirmados recuperados,2020-03-05,
Atacama,Casos confirmados recuperados,2020-03-05,
Coquimbo,Casos confirmados recuperados,2020-03-05,
Valparaíso,Casos confirmados recuperados,2020-03-05,
Metropolitana,Casos confirmados recuperados,2020-03-05,
O'Higgins,Casos confirmados recuperados,2020-03-05,
Maule,Casos confirmados recuperados,2020-03-05,
Ñuble,Casos confirmados recuperados,2020-03-05,
Biobío,Casos confirmados recuperados,2020-03-05,
Araucania,Casos confirmados recuperados,2020-03-05,
