Fecha,Casos totales acumulados,Casos activos,Fallecidos,Casos confirmados recuperados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas,Casos nuevos sin notificar,Casos probables acumulados,Casos activos probables
03-08-2020,361493,17810,9707,333976,1762,1119,527,116,39649,622
04-08-2020,362962,16887,9745,336330,1462,1049,350,63,39638,547
05-08-2020,364723,16640,9792,338291,1781,1216,482,83,40683,1207
06-08-2020,366671,16614,9889,340168,1947,1383,403,161,41400,1625
07-08-2020,368825,16699,9958,342168,2149,1479,570,100,42049,2028
08-08-2020,371023,16880,10011,344133,2201,1511,604,86,42506,2298
09-08-2020,373056,17153,10077,345826,2036,1452,502,82,42999,2638
10-08-2020,375044,17563,10139,347342,1988,1319,605,64,43152,2669
11-08-2020,376616,16897,10178,349541,1566,1061,424,81,43300,2625
12-08-2020,378168,16544,10205,351419,1540,1071,421,48,43921,2970
13-08-2020,380034,16604,10299,353131,1852,1343,425,84,44501,3247
14-08-2020,382111,16734,10340,355037,2077,1396,616,65,44984,3535
15-08-2020,383902,16556,10395,356951,1777,1158,552,67,45327,3641
16-08-2020,385946,16666,10452,358828,2086,1383,634,69,45731,3702
17-08-2020,387502,16604,10513,360385,1556,1012,480,64,45818,3489
18-08-2020,388855,15869,10546,362440,1336,846,443,47,45939,3184
19-08-2020,390037,15174,10578,364285,1233,876,316,41,46333,3210
20-08-2020,391849,15116,10671,366063,1813,1265,453,95,46657,3189
21-08-2020,393769,15149,10723,367897,1920,1328,496,96,47054,3290
22-08-2020,395708,15186,10792,369730,1926,1267,600,59,47408,3333
23-08-2020,397665,15634,10852,371179,1942,1315,554,73,47879,3459
24-08-2020,399568,16188,10916,372464,1903,1265,580,58,47959,3240
25-08-2020,400985,15564,10958,374463,1406,887,473,46,48096,2933
26-08-2020,402365,15107,10990,376268,1371,993,316,62,48588,3074
27-08-2020,404102,15108,11072,377922,1739,1197,450,92,48517,2728
28-08-2020,405972,15388,11132,379452,1868,1227,543,98,49622,3518
29-08-2020,408009,15645,11181,381183,2033,1330,645,58,49954,3595
