Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2020-01-13,30,13,0,0,0,0,2,18,0,0,12,0,0,0,2,0,0,0,9,0,0,0,0,3,0,32,0,8,4,9,0,0,0,0,26,1,0,0,0,1,0,0,21,0,0,0,0,0,10,1,24,0,0,10,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,46,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,6,1,6,2,0,4,0,0,0,0,0,0,7,23,3,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,15,2,8,2,0,0,0,14,0,0,11,0,0,1,0,0,0,0,0,1,34,0,0,0,4,0,1,0,0,0,0,0,0,27,0,59,0,43,0,0,0,0,24,0,0,0,16,10,0,0,0,2,41,0,51,0,38,0,23,37,0,32,0,0,34,16,113,10,0,28,6,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,1,0,2,12,1,0,7,5,21,0,38,1,0,22,0,0,0,0,0,0,6,0,0
2020-01-14,22,9,0,0,0,0,1,9,0,0,8,0,0,0,2,0,0,0,3,0,0,0,0,0,0,21,0,4,5,6,0,0,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,7,2,10,0,0,7,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,32,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,3,1,4,3,0,6,0,0,0,0,0,0,11,20,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,6,2,0,0,2,11,0,0,7,0,0,0,0,0,0,0,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,11,0,36,0,17,0,0,0,0,29,0,0,0,11,2,0,0,0,1,23,0,33,0,22,2,16,24,0,18,0,0,16,9,65,9,0,15,2,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,7,0,0,8,7,8,0,27,0,0,17,0,0,0,0,0,0,4,0,0
2020-01-15,16,5,0,0,0,0,0,9,0,0,12,0,0,0,1,0,0,0,6,0,0,0,0,0,0,20,0,2,5,7,0,0,1,0,15,0,0,0,1,0,0,0,9,0,0,0,0,0,7,1,11,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,3,0,5,0,0,3,0,0,0,0,0,0,8,14,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,3,2,0,0,1,10,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,1,0,12,0,17,1,15,0,0,1,0,10,0,0,0,5,5,0,0,0,0,12,0,27,0,13,0,12,18,0,15,0,0,7,7,62,5,0,19,1,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,10,0,0,5,6,4,0,33,0,0,12,0,0,0,0,0,0,2,0,0
2020-01-16,18,4,0,0,0,0,0,9,0,0,6,0,0,0,3,0,0,0,3,0,0,0,0,1,0,15,0,1,3,3,0,0,0,0,17,1,0,0,0,0,0,0,9,0,0,0,0,0,2,2,6,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,1,2,2,0,3,0,0,0,0,0,0,3,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,3,0,0,0,0,9,0,0,9,0,0,1,0,0,0,0,1,0,7,0,0,0,5,0,0,0,0,0,0,0,0,15,0,31,0,20,0,0,0,0,16,0,0,0,8,7,0,1,0,0,15,0,23,0,18,0,6,22,0,17,0,0,12,14,47,9,0,10,2,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,10,10,9,0,21,0,0,11,0,0,0,0,0,0,5,0,0
2020-01-17,6,6,0,0,0,0,0,11,0,0,12,0,0,0,3,0,0,0,4,0,0,0,0,1,0,23,0,1,3,6,0,0,0,0,17,0,0,0,0,0,0,1,13,0,0,0,0,0,4,1,10,0,0,6,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,30,0,0,0,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,29,7,8,1,2,2,0,6,0,0,0,0,0,0,9,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16,1,4,1,0,0,0,10,0,0,9,0,0,4,0,0,0,0,0,1,22,0,0,0,4,0,0,0,0,0,0,0,0,15,0,21,0,19,0,0,0,0,23,0,0,0,10,10,0,0,0,1,16,0,40,0,12,0,6,21,0,14,0,0,13,14,62,4,0,20,3,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,8,0,0,4,5,6,0,22,0,0,15,0,0,1,0,0,0,2,0,0
2020-01-20,34,17,0,0,0,0,2,16,0,0,15,0,0,0,2,0,0,0,8,0,0,0,0,0,0,27,0,7,13,10,0,0,0,0,24,1,0,0,0,0,0,0,18,0,0,0,0,0,20,3,18,0,0,9,0,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,15,0,6,2,0,3,0,0,0,0,0,0,11,30,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,19,3,7,2,0,0,0,19,0,0,8,0,0,3,0,0,0,0,0,2,38,0,0,0,9,0,0,0,0,0,0,0,0,23,0,43,0,45,0,0,1,0,22,0,0,0,24,13,0,0,0,0,34,0,46,0,38,0,19,36,0,29,0,0,35,19,87,8,0,38,3,1,0,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,8,1,0,7,7,19,0,41,0,0,23,0,0,0,0,0,0,4,0,0
2020-01-21,18,5,0,0,0,0,1,7,0,0,6,0,0,0,1,1,0,0,2,0,0,0,0,0,0,30,0,3,5,4,0,0,0,0,21,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,16,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,13,5,8,0,4,2,0,4,0,0,0,0,0,0,17,8,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15,0,6,1,0,0,2,10,0,0,9,0,0,1,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,13,0,28,0,21,0,0,0,1,15,0,0,0,6,9,0,0,0,1,18,0,25,0,16,0,9,22,0,19,0,0,14,8,66,6,0,20,3,1,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,4,13,0,0,2,5,5,0,24,0,0,8,0,0,0,0,0,0,3,0,0
2020-01-22,19,10,0,0,0,0,2,9,0,0,12,0,0,0,7,0,0,0,3,0,0,0,0,0,0,19,0,2,3,5,0,0,0,0,12,1,0,0,0,0,0,0,18,0,0,0,0,0,15,6,3,1,0,6,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,2,2,3,2,0,4,0,0,0,0,0,0,4,12,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,10,1,0,0,0,13,0,0,6,0,0,1,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,13,0,28,0,18,0,0,0,0,17,0,0,0,17,5,0,0,0,1,16,0,24,0,6,1,9,13,0,13,0,0,12,5,45,6,0,13,2,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,9,0,0,7,7,7,0,32,0,0,20,0,0,0,0,0,0,0,0,0
2020-01-23,20,5,0,0,0,0,0,8,0,0,8,0,0,0,2,0,0,0,3,0,0,0,0,0,0,22,0,1,2,5,0,0,0,0,12,1,0,0,0,0,0,0,8,0,1,0,0,0,7,0,10,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,20,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3,3,0,3,1,0,4,0,0,0,0,0,1,7,21,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,1,4,2,0,0,0,12,0,0,5,0,0,3,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,15,0,23,0,22,0,0,0,0,14,0,0,0,8,6,0,0,0,0,12,0,24,0,13,0,7,21,0,18,0,0,10,13,45,3,0,11,3,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,9,0,0,10,4,6,0,23,0,0,19,0,0,0,0,0,0,2,0,0
2020-01-24,28,14,0,0,0,0,0,17,0,0,11,0,0,0,4,0,0,0,2,0,0,0,0,1,0,17,0,0,3,6,0,0,0,0,24,1,0,0,0,0,0,0,9,0,0,0,0,0,3,3,13,0,0,6,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,2,0,4,0,0,2,0,0,0,0,0,0,8,14,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,12,2,10,3,0,0,0,10,0,0,8,0,0,1,0,0,0,0,0,1,16,0,0,0,2,0,0,0,1,0,0,0,0,22,0,36,0,14,0,0,0,0,22,0,0,0,6,4,0,0,0,1,19,0,31,0,20,0,11,18,0,21,0,0,11,10,39,6,0,16,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,0,0,3,9,5,0,26,0,0,13,0,0,0,0,0,0,3,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,25,16,0,0,0,0,2,23,0,0,14,0,0,0,6,0,0,0,5,0,1,0,0,0,0,30,0,7,5,5,0,0,0,0,33,3,0,0,0,1,0,0,24,0,0,0,0,0,16,5,30,0,0,13,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,39,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,6,1,4,2,0,5,0,0,0,0,0,0,16,22,4,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,17,3,10,1,0,0,2,18,0,0,7,0,0,1,0,0,0,0,0,0,31,0,0,0,4,0,0,0,1,1,0,0,0,23,0,57,0,27,0,0,0,0,22,0,0,0,21,13,0,0,0,1,27,0,39,0,20,0,17,36,1,39,0,0,18,25,99,17,0,24,5,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,11,14,0,0,10,16,12,0,31,0,0,32,0,0,0,0,0,0,6,0,0
2020-01-28,21,8,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,3,6,3,0,0,0,0,22,0,0,0,0,1,0,0,9,0,0,0,0,0,9,2,17,0,0,8,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,31,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,4,0,4,2,0,8,0,0,0,0,0,0,16,15,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,10,2,0,0,1,6,0,0,7,0,0,0,0,0,0,0,0,1,22,0,0,0,2,0,0,0,1,0,0,0,0,15,0,40,0,29,0,0,0,0,10,0,0,0,10,4,0,0,0,1,11,0,29,1,13,1,6,22,0,16,0,0,27,11,48,5,0,24,2,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,3,8,5,0,27,0,0,18,0,0,0,0,0,0,3,0,0
2020-01-29,11,5,0,0,0,0,1,15,0,0,13,0,0,0,4,0,0,0,8,0,0,0,0,1,0,18,0,1,2,3,0,0,0,0,11,0,0,0,0,1,0,0,12,0,0,0,0,0,12,3,7,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,4,0,4,1,0,5,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,2,1,0,0,1,11,0,0,4,0,0,2,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,14,0,33,0,24,0,0,0,0,17,0,0,0,7,5,0,0,0,1,11,0,22,0,8,0,7,26,0,8,0,0,16,19,56,1,0,10,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,4,7,0,0,8,1,8,0,26,0,0,12,0,0,0,0,0,0,2,0,0
2020-01-30,15,4,0,0,0,0,0,8,0,0,7,0,0,0,3,0,0,0,5,0,0,0,0,1,0,17,0,3,3,7,0,0,0,0,15,1,0,0,0,0,0,0,12,0,0,0,0,0,13,2,19,0,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,30,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,5,0,5,1,0,7,0,0,0,0,0,0,12,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,1,1,0,2,12,0,0,5,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,1,26,0,18,0,0,0,0,17,0,0,0,5,4,0,0,0,1,13,0,31,0,20,0,7,13,0,13,0,1,6,16,55,8,0,16,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,7,0,0,5,8,10,0,21,0,0,14,0,0,0,0,0,0,3,0,0
2020-01-31,19,8,0,0,0,0,0,14,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,1,0,21,0,3,2,7,0,0,0,0,11,1,0,0,0,0,0,0,9,0,0,0,0,0,14,3,12,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,27,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,8,0,5,2,0,7,0,0,0,0,0,0,8,16,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,4,0,0,0,0,12,0,0,6,0,0,3,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0,0,0,10,0,40,0,22,0,0,0,0,14,0,0,0,6,3,0,0,0,0,18,0,34,0,13,0,11,19,0,26,0,0,11,4,52,1,0,20,2,0,0,0,20,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,4,7,8,0,31,0,0,17,0,0,0,0,0,0,1,0,0
2020-02-03,39,17,0,0,0,0,0,20,0,0,12,0,0,0,4,0,0,0,9,0,0,0,0,2,0,33,0,6,6,6,0,0,0,0,18,1,0,0,0,0,0,0,16,0,0,1,0,0,14,6,20,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,48,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,6,1,3,2,0,7,0,0,0,0,0,0,10,28,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,22,1,3,1,0,0,0,18,0,0,12,0,0,7,0,0,0,0,0,0,28,0,0,0,9,0,0,0,0,0,0,0,0,25,0,44,0,34,0,0,0,0,24,0,0,0,24,6,0,0,0,0,32,0,47,0,30,0,26,31,0,33,0,0,24,22,87,7,0,26,5,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,11,1,0,10,8,15,0,37,0,0,24,0,0,0,0,0,0,3,0,0
2020-02-04,16,6,0,0,0,1,0,12,0,0,5,0,0,0,4,0,0,0,6,0,0,0,0,0,0,15,0,6,3,1,0,0,0,0,14,0,0,1,0,0,0,0,8,0,0,0,1,0,11,1,13,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,11,1,2,1,0,6,0,0,0,0,0,0,15,16,2,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,15,1,5,0,0,0,0,2,0,0,10,0,0,2,0,2,0,0,0,2,25,0,0,0,3,0,0,0,0,0,0,0,0,10,1,39,0,24,0,0,0,0,10,0,0,0,8,7,0,0,0,1,17,0,27,0,20,0,12,11,0,14,0,0,13,10,47,6,0,16,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,11,0,0,13,10,13,0,11,0,0,16,0,0,0,0,0,0,3,0,0
2020-02-05,13,12,0,0,0,0,1,11,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,16,0,1,1,4,0,0,0,0,11,0,0,0,1,0,0,0,8,0,0,0,0,0,4,4,18,0,0,5,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,28,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,1,1,4,1,0,3,0,0,0,0,0,0,12,15,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,1,7,0,0,0,0,15,0,0,6,0,0,1,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,10,0,38,0,22,0,0,0,0,15,0,0,0,7,4,0,0,0,0,12,0,18,0,14,1,10,25,0,18,0,0,18,7,53,7,0,12,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,0,0,6,3,8,0,17,0,0,9,0,1,0,0,0,0,5,0,0
2020-02-06,15,8,0,0,0,0,0,7,0,0,10,0,0,0,3,0,0,0,1,0,0,0,0,1,0,15,0,1,3,4,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,9,3,11,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,19,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,2,2,0,2,0,0,0,0,0,0,4,14,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,5,5,0,0,0,10,0,0,5,0,0,2,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,16,0,21,0,25,0,0,0,0,11,0,0,0,11,11,0,0,0,1,9,0,20,0,6,0,8,16,0,15,0,0,9,7,40,5,0,11,1,0,0,0,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,0,0,7,8,6,0,8,0,0,11,0,0,0,0,0,0,4,0,0
2020-02-07,17,11,0,0,0,0,0,13,0,0,10,0,0,0,6,1,0,0,3,0,0,0,0,1,0,17,0,3,2,8,0,0,0,0,26,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,14,0,0,6,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,5,0,2,2,0,2,0,0,0,0,0,0,9,12,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,1,4,1,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,1,21,0,0,0,4,0,0,0,0,0,0,0,0,19,0,32,0,23,0,0,0,0,14,0,0,0,9,9,0,0,0,0,12,0,28,0,14,0,16,16,0,11,0,0,14,9,47,4,0,23,2,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,6,0,0,4,8,12,0,32,0,0,17,0,0,0,0,0,0,7,0,0
2020-02-10,30,20,0,0,0,0,0,13,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,1,0,38,0,6,4,17,0,0,0,0,26,1,0,0,0,0,0,0,17,0,0,0,0,0,18,4,26,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,9,0,5,1,0,9,0,0,0,0,0,0,10,18,2,0,0,1,0,1,1,0,0,0,0,1,0,0,2,0,23,3,11,1,0,0,0,20,0,0,16,0,0,2,0,0,0,0,0,0,32,0,0,0,6,0,0,0,1,0,0,0,0,17,0,54,0,28,0,0,0,0,17,0,0,0,22,7,0,0,0,4,22,0,37,0,28,0,20,37,0,32,0,0,28,19,95,5,0,23,5,0,0,0,34,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,10,10,1,0,10,14,6,0,32,0,1,30,0,0,0,0,0,0,6,0,0
2020-02-11,18,11,0,0,0,0,1,4,0,0,4,0,0,0,2,0,0,0,6,0,0,0,0,0,0,21,0,7,4,4,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,0,0,0,9,4,6,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,21,8,11,0,3,4,0,8,0,0,0,0,0,0,7,17,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,5,1,0,0,1,20,0,0,8,0,0,3,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,11,0,25,0,22,0,0,0,0,15,0,0,2,7,10,0,0,0,0,14,0,30,0,15,0,13,15,0,15,0,0,21,7,78,9,0,10,1,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,13,0,0,12,5,7,0,25,0,0,19,0,0,0,0,0,0,4,0,0
2020-02-12,12,4,0,0,0,0,0,8,0,1,7,0,0,0,1,0,0,0,3,0,0,0,0,1,0,14,0,0,4,5,0,0,0,0,14,0,0,0,1,0,0,0,12,0,0,0,0,0,5,2,19,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,2,3,5,2,0,4,0,0,0,0,0,0,6,9,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,9,1,3,2,0,0,0,13,0,0,7,0,0,1,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,15,0,32,0,13,0,0,0,0,12,0,0,0,5,2,0,0,0,0,12,0,30,0,19,0,8,25,0,11,0,0,7,8,48,4,0,11,1,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,4,8,0,0,6,3,7,0,29,0,0,14,0,0,0,0,0,0,2,0,0
