Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2016-09-20,36,17,0,0,0,0,2,22,0,0,0,0,0,0,31,0,0,0,0,8,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,45,0,5,11,0,7,0,0,1,0,34,1,0,1,0,0,4,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,67,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,11,0,15,1,9,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,38,0,35,0,4,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,2,0,21,10,0,0,2,0,23,2,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37,0,76,0,0,35,0,0,2,0,30,0,0,0,0,25,0,18,0,0,0,3,42,0,66,0,45,0,31,48,0,50,0,0,25,0,38,96,21,0,27,4,0,0,0,0,33,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,9,13,0,0,17,0,8,0,23,0,56,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2016-09-21,27,13,0,0,0,0,1,9,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,21,0,3,2,0,2,0,0,0,0,16,3,0,0,0,0,3,0,0,0,9,0,1,0,0,0,0,0,30,7,0,36,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,41,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,11,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,15,0,0,0,6,3,0,0,2,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,26,0,40,0,0,22,0,0,3,0,19,0,0,0,0,19,0,7,0,0,0,1,19,0,37,0,21,0,12,29,0,20,0,0,20,0,14,60,12,0,22,1,0,0,0,0,23,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6,10,1,0,6,0,5,0,11,0,34,0,0,20,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0
2016-09-22,16,8,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,22,0,6,3,0,3,0,0,0,0,21,2,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,20,3,0,15,1,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0,11,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,0,0,2,1,0,0,1,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,46,0,0,14,0,0,1,1,17,0,0,0,0,9,0,4,0,0,0,1,22,0,39,0,20,0,10,22,0,18,0,0,14,0,15,55,8,0,17,5,0,1,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,19,1,0,10,0,4,0,13,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2016-09-23,18,8,0,0,0,0,1,9,0,0,0,0,0,1,22,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,23,0,4,2,0,7,0,0,1,0,14,3,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,14,1,0,14,0,0,7,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,43,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,8,0,0,0,5,1,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,43,0,0,18,0,0,0,1,10,0,0,1,0,10,0,6,0,0,0,0,21,0,50,0,11,0,7,22,1,24,0,0,19,0,12,58,14,0,21,3,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,6,0,0,9,0,13,0,8,0,42,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2016-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26,34,19,0,0,0,0,2,31,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,43,0,3,6,0,5,0,0,2,0,32,4,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,5,5,0,32,1,0,16,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,51,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,10,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,16,0,32,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,9,0,0,0,2,0,23,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,0,50,0,0,29,0,0,2,0,20,0,0,0,0,19,0,7,0,0,0,0,36,0,57,0,35,0,14,44,0,44,0,0,24,0,38,108,13,0,32,4,0,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,21,0,0,6,0,13,0,18,1,47,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
2016-09-27,22,5,0,0,0,0,1,13,0,0,0,0,0,0,10,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,20,0,5,5,0,3,0,0,1,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,4,0,11,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,39,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,5,0,9,0,7,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,20,0,1,0,8,0,0,0,3,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,0,29,0,0,20,1,0,1,0,13,0,0,0,0,14,0,3,0,0,0,1,30,0,35,0,19,1,19,20,0,17,0,0,10,0,19,73,7,0,14,2,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,1,0,0,5,12,1,0,7,0,7,0,12,0,27,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2016-09-28,24,2,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,0,6,7,0,8,0,0,0,0,16,0,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,18,2,0,9,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0,10,0,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,6,0,0,0,2,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,0,19,0,0,21,0,0,1,0,15,0,0,0,0,4,0,2,0,0,0,0,16,0,33,0,17,0,0,21,0,15,0,0,12,0,15,50,6,0,15,4,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,0,0,3,0,5,0,10,0,25,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2016-09-29,12,12,0,0,0,0,2,9,0,0,0,0,0,0,7,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,2,4,0,4,0,0,1,0,18,1,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,5,1,0,8,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,2,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,2,0,9,0,0,0,2,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,23,0,0,8,0,0,0,0,7,0,0,0,0,6,0,4,0,0,0,1,16,0,24,0,16,0,4,16,0,15,0,0,10,0,11,50,5,0,24,1,0,0,0,0,17,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,7,0,0,8,0,0,0,4,0,23,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-09-30,20,8,0,0,0,1,0,9,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,21,0,1,5,0,5,0,0,0,0,20,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,10,1,0,14,1,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,8,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,22,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,3,0,16,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,27,0,0,21,0,0,0,0,11,0,0,0,0,14,0,6,0,0,0,0,19,0,42,0,18,0,9,25,0,26,0,1,10,0,12,60,9,0,22,4,1,0,0,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,8,11,0,0,8,0,9,0,12,0,29,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2016-10-03,31,19,1,0,0,0,1,19,0,0,0,0,0,0,18,0,0,1,0,6,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,43,0,5,10,0,6,0,0,1,0,27,4,0,0,0,0,1,0,2,0,15,0,0,0,1,0,0,0,18,3,0,20,0,0,15,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,10,1,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,30,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,17,0,0,0,12,0,0,0,2,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,0,53,0,0,35,0,0,0,1,24,0,0,0,0,23,0,13,0,0,0,0,30,0,53,0,32,0,19,44,0,33,0,0,22,0,21,91,14,0,26,1,0,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,10,20,0,0,10,0,12,0,14,0,51,0,0,36,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
2016-10-04,20,13,0,0,0,0,2,13,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,0,0,5,0,2,0,0,0,0,12,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,16,4,0,22,1,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,34,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,6,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,11,0,0,0,2,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,7,0,0,1,0,0,0,0,0,23,0,33,0,0,25,0,0,0,0,13,0,0,0,0,8,0,5,0,0,0,1,23,0,40,0,19,0,10,25,0,19,0,0,13,0,10,65,8,0,19,3,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,9,13,0,0,11,0,5,0,11,0,34,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2016-10-05,10,7,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,22,0,3,3,0,3,0,0,1,0,16,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,3,0,0,17,1,0,5,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,10,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,8,1,0,0,1,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,32,0,0,14,1,0,1,0,12,0,0,0,0,5,0,5,0,0,0,1,19,0,30,0,12,0,8,17,0,21,0,0,7,0,11,53,9,0,21,1,0,0,0,1,15,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,6,9,0,0,3,0,7,0,4,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2016-10-06,24,10,0,0,0,0,0,10,0,0,0,0,0,0,12,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,22,0,1,7,0,1,0,0,1,0,14,2,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,8,1,0,11,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,0,0,1,0,0,0,1,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,42,0,0,19,0,0,2,0,7,0,0,0,0,3,0,6,0,0,0,0,17,0,38,0,9,0,7,16,0,11,0,0,6,0,17,49,4,0,18,2,1,0,0,0,18,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,8,1,0,8,0,5,0,6,0,28,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2016-10-07,17,6,0,0,0,0,2,16,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,18,0,5,4,0,4,0,0,0,0,23,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,9,2,0,19,0,0,12,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,10,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,24,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,19,0,0,0,3,9,0,0,1,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,0,30,0,0,11,0,0,2,0,25,0,0,1,0,15,0,6,0,0,0,0,15,0,40,0,20,0,10,18,0,15,0,0,17,0,6,54,6,0,22,5,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,10,0,0,8,0,7,0,9,0,36,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2016-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
