fecha_primeros_sintomas,Casos,Total
2020-05-06,recuperados,17421
2020-05-07,recuperados,18299
2020-05-08,recuperados,19397
2020-05-09,recuperados,20463
2020-05-10,recuperados,21556
2020-05-11,recuperados,23268
2020-05-12,recuperados,24998
2020-05-13,recuperados,26746
2020-05-14,recuperados,28761
2020-05-15,recuperados,31565
2020-05-16,recuperados,34160
2020-05-17,recuperados,36912
2020-05-18,recuperados,40726
2020-05-19,recuperados,44288
2020-05-20,recuperados,47808
2020-05-21,recuperados,51532
2020-05-22,recuperados,55821
2020-05-23,recuperados,59707
2020-05-24,recuperados,63908
2020-05-25,recuperados,69335
2020-05-26,recuperados,74187
2020-05-27,recuperados,78451
2020-05-28,recuperados,82658
2020-05-29,recuperados,88105
2020-05-30,recuperados,92970
2020-05-31,recuperados,97536
2020-06-01,recuperados,103387
2020-06-02,recuperados,108637
2020-06-03,recuperados,114883
2020-06-04,recuperados,119512
2020-06-05,recuperados,125218
2020-06-06,recuperados,130226
2020-06-07,recuperados,134752
2020-06-08,recuperados,141038
2020-06-09,recuperados,145900
2020-06-10,recuperados,150915
2020-06-11,recuperados,156001
2020-06-12,recuperados,161261
2020-06-13,recuperados,166129
2020-06-14,recuperados,170480
2020-06-15,recuperados,177518
2020-06-16,recuperados,182325
2020-06-17,recuperados,186939
2020-06-18,recuperados,191545
2020-06-19,recuperados,196705
2020-06-20,recuperados,201114
2020-06-21,recuperados,205024
2020-06-22,recuperados,210436
2020-06-23,recuperados,214621
2020-06-24,recuperados,219076
2020-06-25,recuperados,223064
2020-06-26,recuperados,227672
2020-06-27,recuperados,231812
2020-06-28,recuperados,235429
2020-06-29,recuperados,240264
2020-06-30,recuperados,244423
2020-07-01,recuperados,248308
2020-07-02,recuperados,252334
2020-07-03,recuperados,256354
2020-07-04,recuperados,260047
2020-07-05,recuperados,263073
2020-07-06,recuperados,266864
2020-07-07,recuperados,270316
2020-07-08,recuperados,273535
2020-07-09,recuperados,276634
2020-07-10,recuperados,279809
2020-07-11,recuperados,282496
2020-07-12,recuperados,285004
2020-07-13,recuperados,287648
2020-07-14,recuperados,290615
2020-07-15,recuperados,293881
2020-07-16,recuperados,296314
2020-07-17,recuperados,298936
2020-07-18,recuperados,301261
2020-07-19,recuperados,303485
2020-07-20,recuperados,306279
2020-07-21,recuperados,308743
2020-07-22,recuperados,310997
2020-07-23,recuperados,313223
2020-07-24,recuperados,315706
2020-07-25,recuperados,317675
2020-07-26,recuperados,319549
2020-07-27,recuperados,321934
2020-07-28,recuperados,324165
2020-07-29,recuperados,326279
2020-07-30,recuperados,327974
2020-07-31,recuperados,330202
2020-08-01,recuperados,332101
2020-08-02,recuperados,333697
2020-08-03,recuperados,336073
2020-08-04,recuperados,338020
2020-08-05,recuperados,339930
2020-08-06,recuperados,341971
2020-08-07,recuperados,343920
2020-08-08,recuperados,345655
2020-08-09,recuperados,347143
2020-08-10,recuperados,349354
2020-08-11,recuperados,351213
2020-08-12,recuperados,352973
2020-08-13,recuperados,354856
2020-08-14,recuperados,356760
2020-08-15,recuperados,358658
2020-08-16,recuperados,360215
2020-08-17,recuperados,362287
2020-08-18,recuperados,364209
2020-08-19,recuperados,366015
2020-08-20,recuperados,367871
2020-08-21,recuperados,369699
2020-08-22,recuperados,371174
2020-08-23,recuperados,372449
2020-08-24,recuperados,374446
2020-08-25,recuperados,376238
2020-08-26,recuperados,377935
2020-08-27,recuperados,379475
2020-08-28,recuperados,381182
