Date,Measured Current Infected,New Deaths,Recovered Population,Accumulative Deaths,Population,Total Cases,New Cases,New_Cases_pc,Active_cases_pc,Closure Policy Name,Policy,Mobility,retail_and_recreation_mob,grocery_and_pharmacy_mob,parks_percent_mob,transit_stations_mob,workplaces_mob,residential_mob
65,,2,,152,8125072,16828,1246,0.153352487214883,,Initial Closures,1.7,3.80255534567702,-57,-21,-47,-55,-49,26
66,,5,,157,8125072,17979,1151,0.141660283133491,,Initial Closures,1.7,3.81707087531224,-58,-23,-50,-55,-49,27
67,,6,,163,8125072,18957,978,0.120368164122115,,Initial Closures,1.7,3.94511352927033,-66,-35,-56,-63,-43,25
68,,3,,166,8125072,20353,1396,0.171813862080238,,Initial Closures,1.7,3.24881408039906,-68,-40,-62,-63,-38,20
69,,6,,172,8125072,21317,964,0.118645102468015,,Initial Closures,1.7,2.68764671598633,-67,-42,-59,-67,-54,30
70,,6,,178,8125072,22709,1392,0.171321558750495,,Initial Closures,1.7,3.69345395574663,-66,-38,-60,-66,-55,29
71,,6,,184,8125072,24965,2256,0.27765907797494,,Initial Closures,1.7,3.77155964675368,-64,-32,-57,-65,-54,29
72,,18,,202,8125072,27216,2251,0.277043698812761,,Initial Closures,1.7,3.83212837334661,-63,-28,-55,-63,-55,27
73,,19,,221,8125072,29276,2060,0.253536214817542,,Initial Closures,1.7,3.89603412933246,-63,-27,-56,-62,-55,32
74,,25,,246,8125072,30794,1518,0.186829113637393,,Initial Closures,1.7,4.00972650858676,-79,-55,-71,-71,-53,29
75,,24,,270,8125072,32684,1890,0.232613323303473,,Initial Closures,1.7,3.36863809393253,-79,-57,-73,-73,-49,25
76,,24,,294,8125072,34451,1767,0.217474995913882,,Initial Closures,1.7,2.85087194795864,-75,-51,-70,-73,-63,34
77,,24,,318,8125072,37591,3140,0.386458113848099,,Initial Closures,1.7,3.80173427323544,-73,-46,-70,-72,-63,33
78,,30,,348,8125072,41179,3588,0.441596086779293,,Initial Closures,1.7,3.84229713156341,-73,-45,-70,-72,-63,33
79,,40,,388,8125072,44641,3462,0.426088531892394,,Initial Closures,1.7,3.78560189895965,-83,-55,-77,-81,-82,42
80,,35,,423,8125072,48350,3709,0.456488262504012,,Initial Closures,1.7,3.87438285063474,-73,-42,-69,-71,-64,38
81,,32,,455,8125072,51399,3049,0.37525821309645,,Initial Closures,1.7,3.97132407321024,-74,-44,-67,-67,-49,28
82,,39,,494,8125072,54544,3145,0.387073493010277,,Initial Closures,1.7,3.29666643878644,-76,-51,-69,-69,-45,24
83,,35,,529,8125072,58930,4386,0.539810601062981,,Initial Closures,1.7,2.85421345429657,-70,-42,-65,-70,-61,33
84,,38,,567,8125072,62285,3355,0.412919417821774,,Initial Closures,1.7,3.77987035528121,-71,-42,-66,-69,-61,32
85,,28,,595,8125072,66011,3726,0.458580551655419,,Initial Closures,1.7,3.84337436372706,-71,-45,-67,-70,-61,33
86,,43,,638,8125072,69915,3904,0.480488049828974,,Initial Closures,1.7,3.91271390990676,-71,-42,-66,-70,-61,34
87,,47,,685,8125072,72910,2995,0.368612118144922,,Initial Closures,1.7,3.96304912424133,-71,-39,-67,-69,-60,38
88,,43,,728,8125072,76251,3341,0.411196356167675,,Initial Closures,1.7,4.2159764646364,-71,-39,-64,-63,-45,27
89,,47,,775,8125072,80504,4253,0.523441515349033,,Initial Closures,1.7,3.41687161211035,-72,-45,-67,-65,-41,23
90,,49,,824,8125072,85239,4735,0.582764066583041,,Initial Closures,1.7,2.84055403470292,-69,-38,-64,-68,-60,32
91,,70,,894,8125072,88194,2955,0.363689084847494,,Initial Closures,1.7,2.96468920076144,-69,-38,-66,-68,-61,32
92,,67,,961,8125072,92191,3997,0.491934102245494,,Initial Closures,1.7,4.17752159551085,-71,-42,-66,-69,-61,33
93,,73,,1034,8125072,95890,3699,0.455257504179655,,Initial Closures,1.7,4.13924441718902,-70,-40,-65,-68,-61,34
94,,71,,1105,8125072,99066,3176,0.390888843815784,,Initial Closures,1.7,4.27856037566884,-70,-39,-66,-68,-60,37
95,,79,,1184,8125072,103194,4128,0.508057036294571,,Initial Closures,1.7,4.4523622025664,-71,-41,-64,-63,-44,27
96,,700,,1884,8125072,108462,5268,0.648363485271269,,Initial Closures,1.7,3.33307816961945,-73,-47,-68,-66,-41,23
97,,66,,1950,8125072,112136,3674,0.452180608368763,,Initial Closures,1.7,3.10165301126276,-70,-44,-66,-69,-60,33
98,,18,,1968,8125072,115126,2990,0.367996738982744,,Initial Closures,1.7,4.40352399350851,-70,-42,-65,-68,-60,32
99,,147,,2115,8125072,119746,4620,0.568610345852935,,Initial Closures,1.7,4.37380588478565,-69,-43,-63,-69,-60,33
100,,158,,2273,8125072,124135,4389,0.540179828560288,,Initial Closures,1.7,4.41648845976602,-69,-40,-64,-69,-60,33
101,,195,,2468,8125072,129694,5559,0.684178552510058,,Initial Closures,1.7,4.3504093522628,-73,-46,-71,-72,-61,38
102,,213,,2681,8125072,134751,5057,0.622394484627336,,Initial Closures,1.7,4.47282765794452,-71,-42,-64,-64,-43,27
103,,197,,2878,8125072,140398,5647,0.695009225764399,,Initial Closures,1.7,3.61649251791061,-73,-48,-67,-66,-39,23
104,,35,,2913,8125072,144280,3882,0.477780381515388,,Initial Closures,1.7,3.00140704349049,-69,-44,-65,-69,-59,32
105,,21,,2934,8125072,148302,4022,0.495010998056386,,Initial Closures,1.7,4.37549166646022,-68,-39,-65,-67,-60,32
106,,180,,3114,8125072,151841,3539,0.435565370989943,,Initial Closures,1.7,4.47133304633585,-73,-47,-72,-71,-62,34
107,,205,,3319,8125072,154862,3021,0.37181208978825,,Initial Closures,1.7,4.53007235141239,-70,-41,-66,-69,-60,34
108,,226,,3545,8125072,159283,4421,0.544118255198231,,Initial Closures,1.7,3.3146843945293,-71,-41,-68,-69,-60,36
109,,170,,3715,8125072,162886,3603,0.443442224265828,,Initial Closures,1.7,4.30910479581039,-71,-39,-65,-64,-42,27
110,,155,,3870,8125072,166675,3789,0.466334329098868,,Initial Closures,1.7,3.55517656052698,-75,-49,-70,-67,-36,23
111,,22,,3892,8125072,169701,3026,0.372427468950429,,Initial Closures,1.7,3.03611170972793,-74,-53,-72,-72,-62,34
112,,3,,3895,8125072,172170,2469,0.303874230283744,,Initial Closures,1.7,4.39633278503415,-72,-49,-69,-71,-62,33
113,,170,,4065,8125072,174520,2350,0.289228206223896,,Initial Closures,1.7,4.1919831679161,-72,-49,-67,-70,-61,33
114,,141,,4206,8125072,177555,3035,0.37353515144235,,Initial Closures,1.7,4.43292124363179,-71,-45,-66,-69,-60,34
115,,136,,4342,8125072,180171,2616,0.321966377651792,,Initial Closures,1.7,4.37155675035956,-71,-44,-67,-69,-59,37
116,,242,,4584,8125072,183128,2957,0.363935236512366,,Initial Closures,1.7,4.54186174495669,-71,-43,-66,-63,-42,27
117,,127,,4711,8125072,185697,2569,0.316181813527314,,Initial Closures,1.7,3.67401843771163,-73,-48,-69,-66,-39,23
118,,66,,4777,8125072,188205,2508,0.308674187748736,,Initial Closures,1.7,2.99481450707722,-86,-65,-84,-85,-83,42
119,,112,,4889,8125072,190460,2255,0.277536002142504,,1,2,4.37021094252174,-67,-39,-65,-66,-59,31
120,,65,,4954,8125072,191776,1316,0.161967795485382,,1,2,4.44056126204218,-69,-43,-67,-69,-60,33
121,,101,,5055,8125072,193129,1353,0.166521601285502,,1,2,4.57774779991046,-67,-38,-63,-66,-59,33
122,,90,,5145,8125072,195201,2072,0.255013124806771,,1,2,4.62230425130401,-67,-36,-64,-66,-57,35
123,,106,,5251,8125072,197437,2236,0.275197561326226,,1,2,4.82158039777533,-78,-54,-80,-74,-49,30
124,,77,,5328,8125072,199517,2080,0.255997731466257,,1,2,3.90107670650564,-70,-39,-64,-61,-35,23
125,,73,,5401,8125072,201165,1648,0.202828971854034,,1,2,3.26306483689289,-66,-39,-63,-66,-58,32
126,,50,,5451,8125072,202480,1315,0.161844719652946,,1,2,4.64632760327404,-66,-37,-63,-65,-59,31
127,,82,,5533,8125072,203467,987,0.121475846614036,,1,2,4.66581830051584,-68,-43,-65,-67,-59,32
128,,77,,5610,8125072,205154,1687,0.207628929319026,,1,2,4.66380489192843,-68,-41,-63,-66,-58,32
129,,63,,5673,8125072,206679,1525,0.187690644464443,,1,2,4.68942152814513,-69,-42,-66,-67,-57,36
130,,73,,5746,8125072,208008,1329,0.163567781307046,,1,2,4.94971224381114,-69,-40,-65,-63,-39,26
131,,68,,5814,8125072,209669,1661,0.204428957675698,,1,2,4.05348081394102,-72,-47,-66,-65,-35,22
132,,44,,5858,8125072,211100,1431,0.176121516215487,,1,2,3.33317936916325,-67,-43,-62,-67,-57,31
133,,40,,5898,8125072,211964,864,0.106337519224445,,1,2,4.82823148519618,-66,-41,-62,-65,-57,30
134,,59,,5957,8125072,212654,690,0.084922324380633,,1,2,4.72004179763321,-65,-38,-60,-64,-56,30
135,,70,,6027,8125072,213847,1193,0.14682946809579,,1,2,4.83620177682225,-77,-47,-73,-76,-77,39
136,,831,,6858,8125072,215348,1501,0.184736824485986,,1,2,4.9814575333927,-68,-39,-65,-67,-58,36
137,,66,,6924,8125072,216434,1086,0.13366035402517,,1,2,5.24309252317466,-69,-40,-63,-62,-39,26
138,,51,,6975,8125072,217262,828,0.10190678925676,,1,2,4.17318051987861,-72,-47,-64,-65,-34,22
139,,78,,7053,8125072,218227,965,0.118768178300451,,1,2,3.64084760530887,-65,-40,-60,-65,-56,30
140,,43,,7096,8125072,218912,685,0.084306945218455,,1,2,5.04922365430334,-71,-50,-73,-71,-59,32
141,,37,,7133,8125072,219626,714,0.08787614435909,,1,2,4.88958398347205,-66,-41,-61,-65,-55,30
142,,59,,7192,8125072,220639,1013,0.124675818257364,,1,2,5.01979581900446,-67,-41,-62,-66,-56,31
143,,49,,7241,8125072,221705,1066,0.131198837376456,,1,2,5.15221989298732,-67,-39,-62,-65,-54,34
144,,62,,7303,8125072,222591,886,0.10904518753803,,1,2,5.44545027636753,-68,-38,-61,-61,-36,25
145,,50,,7353,8125072,223393,802,0.098706817613432,,1,2,4.33960012078607,-71,-46,-65,-63,-32,22
146,,47,,7400,8125072,224305,912,0.112245159181359,,1,2,3.50397225361507,-66,-43,-61,-65,-55,30
147,,44,,7444,8125072,224963,658,0.080983897742691,,1,2,5.2595368951952,-63,-36,-54,-63,-54,29
148,,33,,7477,8125072,225624,661,0.081353125239998,,1,2,5.21271882030237,-61,-35,-53,-62,-54,29
149,,38,,7515,8125072,226308,684,0.084183869386019,,1,2,5.37955915204844,-62,-33,-55,-62,-54,29
150,,39,,7554,8125072,227133,825,0.101537561759453,,1,2,5.36641123487556,-61,-29,-55,-61,-52,32
151,,45,,7599,8125072,227904,771,0.094891466807925,,1,2,5.55336874885207,-63,-27,-56,-55,-33,23
152,,50,,7649,8125072,228677,773,0.095137618472796,,1,2,,-64,-33,-55,-55,-26,19
153,,51,,7700,8125072,229364,687,0.084553096883326,,1,2,,-59,-29,-52,-62,-53,28
154,,35,,7735,8125072,229861,497,0.061168688720543,,1,2,,-58,-28,-51,-60,-53,28
155,,39,,7774,8125072,230525,664,0.081722352737305,,1,2,,-60,-32,-53,-61,-53,28
156,,34,,7808,8125072,231227,702,0.086399234369862,,1,2,,-60,-31,-51,-61,-53,29
157,,39,,7847,8125072,231955,728,0.08959920601319,,1,2,,-59,-27,-52,-60,-51,30
158,,24,,7871,8125072,232655,700,0.08615308270499,,1,2,,-61,-27,-51,-52,-31,22
159,,38,,7909,8125072,233350,695,0.085537703542812,,1,2,,-63,-34,-55,-54,-25,18
160,,37,,7946,8125072,233941,591,0.072737816969499,,1,2,,-56,-28,-48,-59,-52,26
161,,26,,7972,8125072,234387,446,0.054891821266322,,1,2,,-55,-26,-48,-58,-52,25
162,,20,,7992,8125072,234850,463,0.056984110417729,,1,2,,-54,-26,-48,-58,-51,25
163,,31,,8023,8125072,235453,603,0.074214726958727,,1,2,,-53,-22,-47,-57,-51,26
164,,21,,8044,8125072,236217,764,0.094029935980875,,1,2,,-54,-19,-50,-56,-50,28
165,,30,,8074,8125072,236741,524,0.064491736196307,,1,2,,-57,-20,-47,-48,-37,21
166,,31,,8105,8125072,237390,649,0.07987621525077,,1,2,,-56,-26,-48,-46,-20,16
167,,33,,8138,8125072,237884,494,0.060799461223236,,2,2.8,,-48,-23,-43,-54,-51,24
168,,22,,8160,8125072,238223,339,0.041722707195702,,2,2.8,,-50,-25,-48,-55,-49,24
169,,27,,8187,8125072,238545,322,0.039630418044296,,2,2.8,,-50,-26,-44,-54,-49,24
170,,32,,8219,8125072,239140,595,0.073230120299242,,2,2.8,,-49,-23,-42,-54,-49,24
171,,31,,8250,8125072,239684,544,0.066953252845021,,2,2.8,,-51,-22,-42,-53,-47,26
172,,38,,8288,8125072,240311,627,0.077168546937184,,2,2.8,,-57,-26,-48,-48,-28,19
173,,30,,8318,8125072,240864,553,0.068060935336942,,2,2.8,,-61,-33,-53,-50,-22,17
174,,21,,8339,8125072,241373,509,0.062645598709772,,2,2.8,,-46,-23,-41,-53,-48,23
175,,34,,8373,8125072,241826,453,0.055753352093372,,2,2.8,,-49,-26,-50,-54,-49,23
176,,29,,8402,8125072,242183,357,0.043938072179545,,2,2.8,,-48,-24,-43,-52,-47,23
177,,29,,8431,8125072,242651,468,0.057599489579908,,2,2.8,,-47,-20,-39,-51,-47,23
178,,31,,8462,8125072,243192,541,0.066584025347714,,2,2.8,,-48,-18,-42,-51,-45,25
179,,21,,8483,8125072,243751,559,0.068799390331557,,2,2.8,,-56,-22,-44,-45,-27,18
180,,34,,8517,8125072,244392,641,0.078891608591284,,2,2.8,,-57,-26,-45,-45,-19,15
181,,21,,8538,8125072,244874,482,0.059322551234008,,2,2.8,,-40,-16,-33,-48,-46,21
182,,21,,8559,8125072,245298,424,0.052184152952737,,2,2.8,,-42,-15,-39,-48,-47,21
183,,21,,8580,8125072,245763,465,0.057230262082601,,2,2.8,,-40,-15,-33,-48,-45,21
184,,28,,8608,8125072,246289,526,0.064737887861178,,2,2.8,,-41,-15,-32,-47,-46,21
185,,30,,8638,8125072,246858,569,0.070030148655914,,2,2.8,,-42,-14,-35,-47,-44,23
186,,33,,8671,8125072,247431,573,0.070522451985656,,2,2.8,,-51,-17,-38,-42,-25,17
187,,22,,8693,8125072,248050,619,0.076183940277699,,2,2.8,,-55,-26,-41,-45,-20,16
188,,26,,8719,8125072,248526,476,0.058584096239393,,2,2.8,,-36,-14,-30,-45,-46,20
189,,22,,8741,8125072,248876,350,0.043076541352495,,2,2.8,,-40,-16,-40,-47,-46,21
190,,20,,8761,8125072,249389,513,0.063137902039514,,2,2.8,,-38,-16,-30,-45,-43,20
191,,30,,8791,8125072,249858,469,0.057722565412344,,2,2.8,,-37,-13,-27,-44,-44,21
192,,27,,8818,8125072,250265,407,0.05009186380133,,2,2.8,,-41,-14,-32,-46,-43,25
193,,20,,8838,8125072,250803,538,0.066214797850407,,2,2.8,,-49,-17,-35,-40,-24,18
194,,25,,8863,8125072,251283,480,0.059076399569136,,2,2.8,,-51,-21,-35,-42,-17,16
195,,30,,8893,8125072,251746,463,0.056984110417729,,2,2.8,,-31,-7,-24,-42,-39,19
196,,21,,8914,8125072,252068,322,0.039630418044296,,2,2.8,,-31,0,-29,-40,-39,19
197,,18,,8932,8125072,252445,377,0.046399588828259,,2,2.8,,-31,3,-23,-40,-39,18
198,,14,,8946,8125072,252901,456,0.056122579590679,,2,2.8,,-32,14,-19,-40,-44,19
199,,28,,8974,8125072,253284,383,0.047138043822873,,2,2.8,,-84,-74,-61,-74,-78,35
200,,24,,8998,8125072,253701,417,0.051322622125687,,2,2.8,,-82,-75,-57,-66,-56,22
201,,10,,9008,8125072,254154,453,0.055753352093372,,2,2.8,,-64,-37,-46,-52,-25,17
202,,12,,9020,8125072,254352,198,0.024369014822269,,2,2.8,,-37,-14,-32,-45,-42,20
203,,21,,9041,8125072,254575,223,0.027445910633161,,2,2.8,,-39,-14,-35,-43,-41,21
204,,23,,9064,8125072,254907,332,0.040861176368653,,2,2.8,,-41,-17,-35,-43,-39,21
205,,32,,9096,8125072,255308,401,0.049353408806716,,2,2.8,,-41,-15,-35,-43,-39,22
206,,25,,9121,8125072,255742,434,0.053414911277094,,2,2.8,,-43,-16,-45,-44,-38,24
207,,30,,9151,8125072,256243,501,0.061660992050286,,2,2.8,,-52,-18,-41,-37,-21,18
208,,24,,9175,8125072,256660,417,0.051322622125687,,2,2.8,,-55,-24,-38,-38,-17,16
209,,34,,9209,8125072,257090,430,0.052922607947351,,3,3.5,,-37,-14,-33,-41,-37,20
210,,21,,9230,8125072,257386,296,0.036430446400967,,3,3.5,,-39,-13,-38,-41,-38,20
211,,16,,9246,8125072,257852,466,0.057353337915036,,3,3.5,,-37,-11,-33,-40,-37,19
212,,16,,9262,8125072,258269,417,0.051322622125687,,3,3.5,,-36,-7,-32,-40,-36,19
213,,24,,9286,8125072,258737,468,0.057599489579908,,3,3.5,,-37,-6,-31,-36,-34,20
214,,20,,9306,8125072,259058,321,0.03950734221186,,3,3.5,,-45,-11,-32,-29,-19,15
215,,28,,9334,8125072,259415,357,0.043938072179545,,3,3.5,,-48,-17,-30,-29,-14,14
216,,23,,9357,8125072,259778,363,0.044676527174159,,3,3.5,,-33,-7,-27,-36,-36,18
217,,27,,9384,8125072,260020,242,0.02978435144944,,3,3.5,,-35,-8,-32,-36,-36,18
218,,20,,9404,8125072,260307,287,0.035322763909046,,3,3.5,,-36,-10,-28,-37,-34,18
219,,22,,9426,8125072,260615,308,0.037907356390196,,3,3.5,,-37,-8,-29,-36,-35,19
220,,22,,9448,8125072,261039,424,0.052184152952737,,3,3.5,,-38,-10,-28,-35,-34,20
221,,22,,9470,8125072,261375,336,0.041353479698395,,3,3.5,,-44,-15,-30,-28,-15,15
222,,22,,9492,8125072,261744,369,0.045414982168773,,3,3.5,,-45,-19,-24,-28,-11,13
223,,25,,9517,8125072,262056,312,0.038399659719939,,3,3.5,,-58,-28,-30,-61,-74,31
224,,14,,9531,8125072,262323,267,0.032861247260332,,3,3.5,,-37,-9,-34,-33,-34,17
225,,13,,9544,8125072,262574,251,0.030892033941361,,3,3.5,,-37,-13,-31,-34,-33,18
226,,19,,9563,8125072,262811,237,0.029168972287261,,3,3.5,,-36,-9,-28,-32,-33,18
227,,18,,9581,8125072,263194,383,0.047138043822873,,3,3.5,,-37,-8,-27,-32,-32,19
228,,20,,9601,8125072,263565,371,0.045661133833645,,3,3.5,,-44,-15,-30,-26,-16,15
229,,13,,9614,8125072,263939,374,0.046030361330952,,3,3.5,,-51,-25,-18,-29,-17,15
230,,16,,9630,8125072,264327,388,0.047753422985052,,3,3.5,,-37,-13,-33,-36,-33,18
231,,20,,9650,8125072,264570,243,0.029907427281875,,3,3.5,,-37,-10,-32,-34,-32,18
232,,16,,9666,8125072,264818,248,0.030522806444054,,3,3.5,,-36,-11,-29,-34,-31,18
233,,20,,9686,8125072,265171,353,0.043445768849802,,3,3.5,,-35,-9,-26,-32,-31,18
234,,19,,9705,8125072,265512,341,0.041968858860574,,3,3.5,,-36,-7,-29,-33,-30,19
235,,22,,9727,8125072,265869,357,0.043938072179545,,3,3.5,,-39,-8,-27,-23,-12,14
236,,22,,9749,8125072,266212,343,0.042215010525445,,3,3.5,,-46,-14,32,25,-8,7
237,,25,,9774,8125072,266546,334,0.041107328033524,,3,3.5,,-35,-10,-29,-35,-31,18
238,,15,,9789,8125072,266687,141,0.017353692373434,,3,3.5,,-36,-9,-36,-33,-31,18
239,,5,,9794,8125072,266933,246,0.030276654779182,,3,3.5,,-35,-11,-29,-33,-29,17
240,,20,,9814,8125072,267267,334,0.041107328033524,,3,3.5,,-34,-7,-27,-32,-29,17
