Week,Date_Name,Cerrillos,Estación Central,Maipú,Pudahuel,Quilicura,Tiltil,Colina,Lampa,Independencia,Huechuraba,Cerro Navia,Conchalí,Lo Prado,Quinta Normal,Recoleta,Renca,San Joaquín,Providencia,Santiago,La Granja,Macul,Ñuñoa,Peñalolén,La Reina,Vitacura,Las Condes,Lo Barnechea,La Florida,La Pintana,San José de Maipo,Pirque,Puente Alto,San Miguel,San Ramón,La Cisterna,El Bosque,Lo Espejo,Pedro Aguirre Cerda,Paine,Buin,Calera de Tango,San Bernardo,Melipilla,San Pedro,Alhué,Curacaví,María Pinto,Isla de Maipo,El Monte,Padre Hurtado,Peñaflor,Talagante
11,"Mar 12, 2019",0.057,0.032,0.002,0.001,-0.02,0.054,0.001,0.001,-0.029,0.002,0,0.037,0.039,-0.038,-0.014,0.013,0.001,0.01,0.001,0.016,-0.019,-0.007,0.001,-0.049,-0.013,0,0.002,0.012,0.001,0,0.049,0.004,-0.026,0.035,0.123,0.014,0,0.004,0,0,0.005,0.008,0,0.349,0,0,0,0.001,0,0,0.001,0.001
12,"Mar 19, 2019",0.002,0.012,-0.049,-0.072,-0.023,-0.401,-0.365,-0.143,-0.027,-0.085,-0.037,0.053,0.043,-0.023,-0.003,-0.01,-0.017,0.01,0.019,-0.017,-0.023,0.019,-0.089,-0.077,-0.005,-0.086,-0.408,-0.051,0.003,-0.816,-0.332,-0.023,-0.03,0.031,0.096,-0.005,0.008,0.003,-0.172,-0.204,-0.135,-0.12,-0.333,-0.522,-0.718,-0.333,-0.25,-0.269,-0.215,-0.118,-0.147,-0.148
13,"Mar 26, 2019",-0.026,-0.007,-0.055,-0.071,-0.058,0.069,0.001,0.002,-0.067,-0.081,-0.051,-0.036,0.016,-0.028,-0.017,-0.026,-0.044,-0.041,-0.034,-0.04,-0.04,-0.04,-0.084,-0.105,-0.075,-0.1,0.002,-0.074,-0.059,0.4,-0.114,-0.054,-0.051,-0.008,0.067,-0.034,-0.053,-0.009,0.062,-0.079,-0.119,-0.1,0,0.294,0.266,0,0,-0.053,-0.074,-0.087,-0.074,-0.113
14,"Apr 2, 2019",-0.037,-0.019,0.034,0.107,-0.005,0.334,0.292,0.165,-0.046,0.052,-0.033,-0.014,-0.01,-0.013,-0.018,-0.058,-0.006,0.02,-0.013,-0.02,-0.017,-0.017,0.001,-0.007,-0.029,0.074,0.333,0.031,0.012,1,0.238,0.005,-0.005,-0.002,0.092,-0.021,-0.022,-0.01,0.286,0.085,0.022,0.04,0.333,0.5,0.5,0.25,0.2,0.144,0.146,0.024,0.026,0.053
15,"Apr 9, 2019",-0.213,-0.126,-0.163,-0.018,-0.011,0.307,0.201,0.046,-0.113,-0.058,-0.122,-0.081,-0.113,-0.114,-0.049,-0.145,-0.057,0.006,-0.099,-0.056,-0.037,-0.019,-0.036,-0.059,-0.058,0.034,0.167,-0.012,-0.01,0.5,0.071,-0.008,-0.113,-0.058,-0.028,-0.138,-0.148,-0.17,0.168,-0.044,-0.094,-0.172,0.2,0.377,0.5,0,0.138,0.001,0,-0.122,-0.071,-0.08
16,"Apr 16, 2019",-0.104,-0.038,-0.055,-0.075,-0.062,0.411,0.15,0.033,-0.042,-0.072,-0.053,-0.017,-0.021,-0.051,0.004,-0.09,-0.005,-0.074,-0.033,-0.018,0.034,-0.048,-0.102,-0.106,0.007,-0.123,0.014,-0.108,-0.036,0,0.005,-0.04,-0.04,0,0.024,-0.029,-0.113,-0.056,0.342,-0.04,-0.069,-0.175,0.5,0.818,1,0.256,0.626,0.193,0.148,-0.04,-0.055,-0.07
17,"Apr 23, 2019",-0.07,-0.057,-0.051,-0.078,-0.061,0.31,0.143,0.038,-0.061,-0.072,-0.056,-0.038,-0.071,-0.024,-0.011,-0.069,-0.023,0.026,-0.017,-0.046,0.001,0.015,-0.101,-0.083,-0.012,-0.144,0.175,-0.086,-0.036,1,0.003,-0.07,-0.036,0,0.045,-0.02,-0.064,-0.018,0.38,0.016,0.038,0.16,0.225,0.421,0.5,0.199,0.333,0.126,0.112,0.001,0.003,-0.025
18,"Apr 30, 2019",-0.035,0.037,-0.149,-0.144,-0.116,-0.095,0.004,-0.169,0.024,-0.212,0.018,0.029,0,0.019,-0.022,-0.043,0.002,0.103,0.088,0.052,0.022,0.072,-0.071,-0.066,0.022,-0.004,0.001,-0.071,-0.011,0.296,0.014,-0.039,-0.011,0.091,0.122,-0.01,-0.01,-0.026,0,-0.109,-0.149,-0.109,0.05,0.301,0,-0.369,-0.156,-0.172,-0.113,-0.197,-0.166,-0.17
19,"May 7, 2019",-0.053,-0.041,-0.07,-0.147,-0.054,0.001,0.001,-0.085,-0.061,-0.09,-0.052,-0.049,-0.025,-0.025,-0.036,-0.058,-0.04,0.003,0.01,-0.008,-0.018,-0.003,-0.012,-0.08,0.007,-0.066,0,-0.028,-0.02,0.333,-0.134,-0.054,-0.039,0.003,0.072,-0.011,-0.053,-0.054,0,0.024,0.009,-0.025,0.253,0.4,0.25,0.002,0.333,0.144,0.1,0,0,-0.021
20,"May 14, 2019",-0.02,0.001,0.002,0.006,-0.02,0.184,0.075,0.145,-0.033,0.04,0.105,0.01,-0.016,0.065,-0.01,-0.031,-0.003,0.081,0.033,0.01,0.02,0.058,0.001,-0.006,0.029,0.001,0.003,-0.023,0.022,0,0.006,0.024,-0.006,0.044,0.127,0.02,-0.026,-0.025,0.001,0.017,0.047,0.093,0.253,0,0.25,0.229,0.333,0.108,0.251,0.001,0.054,0.054
21,"May 21, 2019",-0.026,0.006,-0.018,-0.02,-0.025,0.152,-0.145,0.002,-0.003,-0.086,-0.013,-0.007,0,0.013,0.006,0.003,0.03,0.075,0.017,0.012,0.02,0.02,-0.051,-0.084,0.041,-0.059,0.002,-0.07,-0.011,0,-0.097,-0.023,0.038,0.016,0.112,-0.004,-0.015,-0.009,0.001,0.017,-0.069,-0.106,0,0,0,0,0.2,0.001,0,-0.019,-0.012,-0.024
22,"May 28, 2019",-0.118,-0.062,-0.098,-0.101,-0.088,0.001,0.077,0.001,-0.06,-0.072,-0.064,-0.08,-0.065,-0.036,-0.02,-0.068,-0.049,0.006,0.028,-0.041,-0.036,-0.029,-0.086,-0.099,-0.013,0.002,0.502,-0.055,-0.074,1,0,-0.071,-0.034,-0.079,0.023,-0.084,-0.109,-0.067,0,-0.05,-0.206,-0.102,0.137,0,0.333,0.049,0.137,0.024,0,-0.144,-0.074,-0.087
23,"Jun 4, 2019",-0.036,-0.005,-0.106,-0.171,-0.025,0.001,0.001,-0.112,0.005,-0.088,0,0.003,0.006,0.001,0.004,-0.03,0.011,0.118,0.082,0.009,0.015,0.076,-0.06,-0.059,0.107,-0.1,0.001,-0.082,-0.037,0.507,-0.08,-0.055,0.013,0.018,0.076,-0.019,-0.036,-0.029,-0.081,-0.141,-0.165,-0.133,0,0,0,-0.284,0.001,-0.234,-0.119,-0.164,-0.122,-0.149
24,"Jun 11, 2019",-0.065,-0.023,-0.054,-0.046,0.013,0,0.001,-0.02,-0.047,0.002,-0.036,-0.049,-0.043,0.001,-0.016,-0.05,0.006,0.196,0.041,-0.016,0.033,0.034,-0.013,0.012,0.085,0.023,0.009,0.001,-0.038,0.409,-0.201,-0.039,0.001,-0.033,-0.081,-0.056,-0.092,-0.054,0,-0.092,-0.089,-0.12,0,0,0.548,-0.16,-0.143,-0.165,-0.142,-0.134,-0.103,-0.133
25,"Jun 18, 2019",-0.183,-0.157,-0.179,-0.172,-0.18,0.667,0.001,-0.112,-0.087,-0.122,-0.246,-0.138,-0.196,-0.161,-0.085,-0.201,-0.099,0.053,-0.007,-0.163,-0.033,0.014,-0.182,-0.121,0.02,-0.04,-0.317,-0.162,-0.215,0.453,-0.14,-0.178,-0.129,-0.136,-0.212,-0.215,-0.252,-0.184,0.105,-0.094,-0.275,-0.151,0.139,0.5,0.696,0.404,0.133,-0.156,0.138,-0.135,-0.166,-0.142
26,"Jun 25, 2019",-0.291,-0.248,-0.245,-0.236,-0.191,-0.225,-0.17,-0.242,-0.178,-0.274,-0.249,-0.2,-0.273,-0.205,-0.212,-0.246,-0.256,-0.025,-0.134,-0.28,-0.162,-0.152,-0.217,-0.254,-0.102,-0.112,0.307,-0.223,-0.299,0.664,-0.227,-0.301,-0.197,-0.261,-0.277,-0.276,-0.347,-0.324,-0.201,-0.297,-0.32,-0.372,-0.201,-0.166,0,-0.168,-0.168,-0.202,-0.199,-0.246,-0.246,-0.193
27,"Jul 2, 2019",-0.02,0.029,-0.067,-0.054,-0.013,0,0.001,0,0.002,-0.021,-0.021,0.019,0,0.021,0.028,-0.014,0.064,0.169,0.084,0.028,0.072,0.081,0.025,-0.021,0.113,0.137,0.302,0.025,-0.033,0.457,0,-0.01,0.05,0.034,-0.054,-0.004,-0.043,-0.025,0,-0.056,-0.07,-0.054,0,-0.168,0,0,0,-0.046,0,-0.05,-0.035,-0.04
28,"Jul 9, 2019",-0.026,0.028,-0.009,0.001,0.027,0.767,0.781,0.107,0,0.019,0.055,-0.006,-0.01,0.019,0.049,-0.02,0.05,0.108,0.082,0.023,0.069,0.076,0.033,0.053,0.115,0.131,0.092,0.053,0.012,0,0.136,0.011,0.071,0.051,0.035,-0.002,0,0.057,0.331,0.005,0.001,0.004,0.5,1,0.713,0.548,0.6,0.102,0.172,-0.039,0.037,0.095
29,"Jul 16, 2019",-0.068,0.001,-0.07,-0.04,-0.035,0.254,0.69,-0.018,0.012,0.04,-0.035,0.003,-0.078,-0.005,0.057,-0.002,-0.01,0.083,-0.006,-0.041,0.01,0.011,-0.07,-0.046,0.127,0.021,0.002,-0.089,-0.105,0.001,-0.141,-0.071,0.001,-0.022,-0.041,-0.06,-0.063,-0.063,-0.142,-0.111,-0.134,-0.055,-0.333,-0.333,0,-0.018,-0.248,-0.152,-0.095,-0.069,-0.071,-0.133
30,"Jul 23, 2019",0.001,0.001,0.056,0.071,0.082,0,0.376,0.078,0.058,0.113,0.046,0.037,-0.044,0.08,0.087,0.028,0.009,0.276,0.071,0.03,0.06,0.113,0.086,0.129,0.098,0.147,0.262,0.09,0.004,0.333,0.001,0.07,0.063,-0.014,0.017,-0.021,-0.014,-0.008,0.001,0.077,0.039,0.038,0,0,0,0,0,0.094,0.007,0,0.001,0.09
31,"Jul 30, 2019",0.03,0.048,0,0.003,0.02,0.001,0.048,0.002,0.132,0.09,0.046,0.077,-0.008,0.066,0.12,0.068,0.06,0.261,0.108,0.067,0.069,0.113,0.074,0.072,0.144,0.222,0.154,0.054,0.02,0.149,0.001,0.034,0.056,0.03,0.042,0.057,0.005,0.01,0,-0.049,-0.024,0.002,0,-0.114,-0.167,0,0,0,0.001,0,0,0
32,"Aug 6, 2019",0.004,0.041,0.003,-0.039,0.084,-0.162,0.001,-0.313,0.08,0.167,0.113,0.113,0,0.092,0.081,0.104,0.006,0.192,0.072,0.069,0.053,0.115,0.027,0.108,0.16,0.088,0.002,0.026,0.058,0,-0.051,0.038,0.051,0.058,0,0.013,0,0.008,-0.024,0.047,0.002,0.054,-0.142,-0.2,-0.168,-0.182,-0.166,-0.138,0,-0.024,0.002,0.084
33,"Aug 13, 2019",-0.043,0.001,-0.039,-0.101,0.005,-0.573,-0.098,-0.408,0.079,0.05,0.015,0.029,-0.057,0.005,0.093,0.028,0.034,0.208,0.048,0.038,0.08,0.144,-0.01,0.051,0.12,0.001,0.003,-0.039,0.027,-0.334,-0.111,0.054,0.016,0.02,-0.012,-0.002,0.006,-0.023,-0.272,-0.112,-0.04,-0.009,-0.453,-0.5,-0.5,-0.37,-0.5,-0.163,-0.244,-0.071,0,-0.134
34,"Aug 20, 2019",-0.018,0.005,0.055,0.001,0.011,0.001,-0.079,0.109,0.063,0.043,0.01,0.037,-0.013,0.006,0.066,0.003,0.039,0.119,0.083,0.027,0.056,0.049,0.004,-0.02,0.105,0.116,0.003,0.001,0.041,0.171,0,0.007,0.005,0.024,-0.013,0.029,-0.014,-0.008,-0.08,-0.079,0.086,0.023,0,0,0,-0.038,0,0.055,0,0.044,0.002,-0.137
35,"Aug 27, 2019",0.03,0.061,-0.024,-0.055,0.027,-0.337,-0.231,-0.113,0.094,-0.021,0.089,0.079,0.077,0.098,0.103,0.082,0.099,0.092,0.09,0.086,0.094,0.066,-0.039,0.003,0.117,-0.029,-0.226,0.012,0.035,-0.451,-0.333,0.024,0.02,0.067,-0.013,0.014,0,0.015,-0.246,-0.079,0,0.009,-0.25,-0.4,-0.405,-0.245,-0.25,-0.133,-0.121,-0.072,-0.075,-0.056
36,"Sep 3, 2019",-0.234,-0.111,0.006,0.003,0.039,-0.33,0.018,0.009,-0.03,0.001,0.024,0.023,-0.293,-0.017,0.001,0.056,-0.366,0.127,-0.182,-0.251,-0.229,-0.038,-0.161,0.004,0.039,0.003,0.002,0.151,0.07,0.864,-0.34,0.057,-0.345,-0.206,-0.207,0.051,-0.272,-0.35,-0.222,-0.049,0.005,0.001,-0.18,-0.213,-0.608,-0.2,-0.249,-0.114,-0.111,0,-0.052,0.004
37,"Sep 10, 2019",-0.096,-0.119,-0.164,-0.085,0.004,-0.499,-0.333,-0.286,0.073,0.001,-0.029,0.001,-0.096,-0.039,0.06,0.004,-0.002,0.167,0.049,0.009,0.04,0.111,-0.037,0.064,0.104,-0.059,-0.333,-0.067,-0.041,-0.423,-0.456,-0.009,-0.043,-0.018,-0.081,0.001,-0.108,-0.067,-0.27,-0.297,-0.164,-0.101,-0.398,-0.5,-0.209,-0.271,-0.333,-0.225,-0.145,-0.244,-0.118,-0.174
38,"Sep 17, 2019",0.084,0.107,0,-0.023,0.021,0,-0.113,-0.041,0.155,0.011,0.115,0.118,0.141,0.118,0.135,0.105,0.079,0.108,0.154,0.103,0.072,0.093,-0.013,0.035,0.091,-0.003,-0.168,0.028,0.07,0,-0.073,0.039,0.125,0.082,0.044,0.08,0.071,0.091,-0.072,0.003,0.038,0.056,-0.169,-0.2,0.029,-0.145,-0.122,-0.072,-0.086,0.038,0.066,0.006
39,"Sep 24, 2019",0.033,0.022,0.002,-0.024,0.012,-0.104,0.001,-0.056,0.068,0.023,0.025,-0.007,-0.056,0.034,0.034,0.049,0.007,0.02,0.005,0.019,0.026,0.011,-0.012,0.019,0.073,0.002,0,0.001,-0.011,0,-0.101,0.004,0.001,-0.006,-0.032,0.042,0.024,0.01,-0.052,-0.024,-0.023,-0.008,0.014,-0.369,-0.2,-0.114,-0.168,-0.086,0,0,0.001,-0.02
40,"Oct 1, 2019",0.106,0.096,0.164,0.146,0.104,0.154,0.107,0.197,0.095,0.178,0.126,0.104,0.07,0.12,0.122,0.106,0.024,0.065,0.104,0.058,0.049,0.03,0.054,0.088,0.083,0.112,0.092,0.074,0.084,0,0.177,0.039,0.072,0.062,0.015,0.06,0.078,0.075,0.2,0.196,0.226,0.165,0.201,0,0.157,0.254,0.2,0.166,0.2,0.274,0.209,0.171
41,"Oct 8, 2019",0.028,0.049,-0.079,-0.16,-0.02,-0.226,0.005,-0.099,0.038,0.023,0.004,0.049,0.061,-0.042,0.114,0.007,0.057,-0.015,0.002,0.017,0.021,-0.03,0.041,0.001,0.002,0.003,0.003,0.038,0.041,0.003,0.338,0.056,0.002,0.014,-0.084,0.022,-0.011,-0.029,0.001,0.003,-0.011,-0.039,0,-0.143,0,0,-0.143,0,0,-0.026,0.001,-0.022
42,"Oct 15, 2019",0.023,-0.042,-0.047,-0.036,-0.04,0.001,-0.171,-0.1,0.032,-0.099,-0.042,-0.007,0.006,-0.066,0.001,-0.005,-0.018,-0.08,-0.013,-0.01,-0.047,-0.041,-0.114,-0.122,-0.054,-0.141,-0.285,-0.087,-0.034,0,-0.198,-0.017,-0.092,-0.043,-0.126,0.011,0.033,-0.057,-0.052,-0.101,-0.056,-0.086,0,0,0,0,0,0.138,-0.223,-0.054,0,-0.081
43,"Oct 22, 2019",-0.012,-0.053,0.164,0.319,-0.004,0.203,0.107,0.267,-0.002,0.074,-0.006,-0.061,-0.027,-0.028,-0.017,-0.02,-0.018,-0.068,-0.044,-0.025,-0.016,-0.076,0.099,-0.041,-0.023,0.094,0.009,0.042,-0.068,0.283,0.166,0.024,-0.041,-0.117,-0.148,-0.051,-0.049,-0.101,0.106,0.077,0.041,-0.02,0.403,0,0.252,0.253,0.29,0.168,0.077,0.036,0.036,0.112
44,"Oct 29, 2019",0.046,0.025,0.085,0.139,0.002,0.504,0.389,0.255,0.04,0.04,0.023,0.029,0.064,0.039,0.012,0.043,0.034,0.02,0.01,0.028,-0.002,0.025,0.09,0.043,-0.025,0.152,0.526,0.117,0.038,0.765,0.4,0.069,0.08,-0.022,0.022,0.011,0.037,0.067,0.332,0.101,0.055,0.054,0.394,0.453,0.5,0.501,0.5,0.213,0.25,0.196,0.073,0.13
45,"Nov 5, 2019",0.033,-0.011,-0.045,-0.034,0.005,0.002,0.001,-0.049,0.015,-0.055,0.002,-0.005,0.04,-0.033,0.003,0.002,0,-0.045,-0.014,-0.018,-0.015,-0.03,-0.002,0.001,-0.043,0.002,-0.098,-0.024,-0.025,-0.234,0.066,-0.009,-0.017,-0.039,-0.094,-0.025,-0.033,0.025,0,-0.05,-0.054,-0.068,0,0,0,0,0,0.002,-0.056,-0.054,-0.072,-0.039
46,"Nov 12, 2019",0.057,0.03,0.008,0.019,0.053,-0.342,-0.5,-0.113,0.03,-0.006,0.051,-0.026,0.043,0.032,-0.006,0.05,0.005,-0.054,-0.03,-0.006,-0.036,-0.042,-0.039,-0.022,-0.043,-0.087,-0.6,-0.025,0.024,-1,-0.395,0.005,0.028,-0.05,-0.049,-0.002,0.022,0.084,-0.27,-0.079,0.001,0.002,-0.246,-0.2,-0.577,-0.333,-0.211,-0.051,-0.287,-0.025,-0.056,-0.038
47,"Nov 19, 2019",0.053,-0.01,0.099,0.13,0.027,0.26,0.255,0.139,0.01,0.074,0.002,-0.011,-0.025,-0.018,-0.003,0.021,0.02,-0.054,-0.025,-0.01,-0.007,-0.029,0.05,0.022,-0.036,0.096,0.332,0.099,0.035,0.5,0.333,0.043,0.012,-0.034,-0.06,0.014,0.051,0.054,0.293,0.115,0.088,0.1,0.25,0.333,0.5,0.273,0.333,0.166,0.198,0.101,0.072,0.07
48,"Nov 26, 2019",0.045,-0.003,0.003,0.024,-0.035,0.156,0.136,0.077,0.035,-0.034,-0.014,-0.017,0.038,-0.012,-0.002,0.019,0.017,-0.092,-0.014,-0.016,-0.029,-0.056,0.044,0.042,-0.043,0.034,0.168,0.02,-0.009,0.333,0.179,0.004,-0.02,-0.04,-0.083,-0.01,-0.023,-0.014,0.151,0.054,0.002,0.003,0.168,0.334,0.333,0.168,0.2,0.105,0.088,0.001,0,0.04
49,"Dec 3, 2019",0.069,0.014,0.115,0.17,0.075,0.329,0.339,0.201,0.019,0.09,0.049,0.005,0.035,0.038,0.014,0.053,0.007,-0.041,-0.031,0.01,0.001,-0.025,0.12,0.12,-0.043,0.138,0.399,0.073,0.024,0.509,0.447,0.056,0.013,-0.007,-0.041,0.029,0.036,0.05,0.333,0.169,0.148,0.107,0.574,0.751,0.667,0.501,0.628,0.333,0.288,0.167,0.146,0.171
50,"Dec 10, 2019",0.066,0.003,-0.024,-0.018,0.003,-0.329,-0.467,-0.141,0.003,-0.057,0.002,-0.011,0.033,-0.007,0.001,0.012,0.014,-0.049,-0.044,-0.003,-0.017,-0.036,0.001,0.098,-0.067,0.002,-0.538,0.003,0.003,-0.722,0.077,0.041,-0.005,-0.054,-0.062,0.002,0.02,0.012,-0.08,-0.022,-0.025,-0.018,0,0.001,-0.5,-0.169,-0.121,0.003,-0.228,-0.086,-0.071,-0.049
51,"Dec 17, 2019",0.035,-0.016,-0.055,-0.046,-0.055,-0.087,-0.197,0.001,0.028,-0.083,-0.028,-0.054,-0.026,-0.029,-0.035,-0.02,-0.014,-0.097,-0.052,-0.022,-0.007,-0.021,-0.021,0.1,-0.051,-0.111,-0.2,-0.05,0.002,-0.232,0,-0.018,-0.038,-0.064,-0.093,0.01,-0.003,-0.01,-0.082,0,0.003,-0.023,0,0,0,-0.09,0,-0.073,-0.115,-0.054,-0.059,-0.021
52,"Dec 24, 2019",0.089,0.007,0.037,0.115,0.01,0.001,0.004,0.145,0.054,-0.013,0.01,-0.007,0.015,0.026,0.012,0.041,0.05,-0.059,-0.025,0.021,0.024,-0.032,0.073,0.116,-0.051,0.051,0,0.058,0.044,0,0.107,0.04,0.029,-0.009,-0.038,0.061,0.095,0.087,0.083,0.088,0.066,0.054,0,0,0,0.14,0,0.107,0.112,0.145,0.002,0.101
53,"Dec 31, 2019",0.106,0.032,0.112,0.165,0.055,0.172,0.176,0.135,0.04,0.106,0.083,0.022,0.025,0.092,0.019,0.058,0.044,-0.026,-0.006,0.028,0.032,0.013,0.153,0.166,-0.027,0.12,0.2,0.113,0.053,0,0.361,0.086,0.062,-0.002,-0.005,0.067,0.103,0.106,0.202,0.194,0.215,0.132,0.168,0.531,0,0.155,0,0.146,0.198,0.226,0.179,0.195
54,"Jan 7, 2020",0.064,-0.006,0.069,0.046,0.047,-0.464,-0.468,-0.078,0.024,0.073,-0.011,-0.039,0.021,0.005,-0.023,0.044,0.001,-0.079,-0.025,0,-0.002,-0.035,0.01,0.098,-0.008,-0.061,-0.75,0.047,0.014,-1,0.006,0.022,0.03,-0.021,-0.065,0.003,0.027,0.054,-0.082,0.015,0.127,0.047,0,0,-0.2,-0.217,-0.143,0,0,0.106,0.071,0.07
55,"Jan 14, 2020",-0.049,-0.089,0.165,0.199,-0.006,0.264,0.265,0.107,-0.055,0.276,0.045,-0.093,-0.059,0.014,-0.067,-0.043,-0.092,-0.163,-0.108,-0.108,-0.111,-0.132,0.073,0.097,-0.117,0.04,0.499,0.002,0.028,0,0.108,-0.009,-0.039,-0.083,-0.075,-0.017,-0.029,-0.026,0,0.091,0.355,0.17,0.05,0.357,0.167,0,0,0.056,-0.082,0.315,0.194,0.209
