Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28
Biobio,08,Hualqui,08105,26201.0,0.0,0.0,0.0,26.7,26.7,26.7,30.5,34.3,49.6,57.2,72.5,72.5,76.3,76.3,76.3,80.1,84.0,91.6,103.0,125.9,160.3,164.1,175.6,190.8,202.3,213.7,301.5,423.6,519.1,542.0,595.4,614.5,652.6,679.4,736.6,759.5,786.2,828.2,877.8,965.6,1095.4,1160.3,1217.5,1324.4,1385.4,1458.0
Biobio,08,Laja,08304,23873.0,0.0,0.0,0.0,20.9,20.9,20.9,25.1,29.3,29.3,29.3,41.9,50.3,50.3,50.3,62.8,100.5,175.9,213.6,226.2,238.8,247.1,259.7,280.7,280.7,301.6,318.4,351.9,397.9,460.8,548.7,536.2,582.2,624.1,645.1,661.8,691.2,733.0,762.4,779.1,800.1,800.1,804.3,821.0,833.6,837.8,825.2
Biobio,08,Lebu,08201,27100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.4,7.4,7.4,7.4,7.4,11.1,11.1,29.5,33.2,40.6,73.8,99.6,103.3,110.7,110.7,118.1,118.1,118.1,132.8,143.9,158.7,158.7,162.4,177.1,195.6,214.0,225.1,225.1,258.3,269.4
Biobio,08,Los Alamos,08206,22524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,8.9,8.9,8.9,13.3,13.3,22.2,31.1,75.5,208.7,284.1,315.2,377.4,417.3,439.5,461.7,488.4,541.6,586.0,603.8,621.6,657.1,705.9,776.9,794.7,808.0,821.3,879.1
Biobio,08,Los Angeles,08301,218515.0,5.0,6.9,5.5,7.8,10.1,10.1,10.1,11.4,11.9,13.7,14.2,14.2,14.2,14.2,15.1,20.6,32.5,43.9,62.7,73.2,95.2,108.0,135.0,149.6,168.4,183.1,214.2,255.8,310.3,336.8,373.0,405.0,427.0,461.8,484.2,496.5,512.6,538.6,556.0,568.4,575.7,590.8,602.2,620.1,637.0,663.1
Biobio,08,Lota,08106,45750.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,4.4,19.7,28.4,32.8,52.5,69.9,76.5,96.2,118.0,133.3,153.0,174.9,192.3,266.7,358.5,478.7,555.2,629.5,699.5,747.5,780.3,804.4,850.3,885.2,948.6,994.5,1055.7,1088.5,1143.2,1184.7,1235.0,1285.2,1342.1
Biobio,08,Mulchen,08305,31041.0,0.0,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,19.3,22.6,29.0,32.2,35.4,35.4,35.4,45.1,64.4,70.9,77.3,87.0,87.0,93.4,112.8,167.5,199.7,232.0,302.8,335.0,393.0,402.7,409.1,412.4,422.0,428.5,441.4,457.5,470.3,509.0,512.2,599.2,637.9
Biobio,08,Nacimiento,08306,27944.0,0.0,0.0,0.0,0.0,14.3,17.9,32.2,35.8,35.8,35.8,35.8,35.8,35.8,42.9,57.3,71.6,75.2,85.9,100.2,114.5,125.3,132.4,136.0,150.3,164.6,207.6,236.2,311.3,382.9,404.4,476.0,536.8,551.1,558.3,558.3,561.8,583.3,594.0,594.0,608.4,619.1,622.7,647.7,683.5,730.0,783.7
Biobio,08,Negrete,08307,10429.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,47.9,86.3,153.4,239.7,258.9,287.7,374.0,374.0,412.3,556.1,623.3,700.0,805.4,987.6,1026.0,1016.4,1054.8,1141.0,1179.4,1208.2,1256.1,1265.7,1265.7,1265.7,1284.9,1304.1,1399.9,1438.3,1562.9,1630.1,1706.8
Biobio,08,Penco,08107,49865.0,0.0,0.0,0.0,10.0,10.0,10.0,18.0,22.1,24.1,30.1,34.1,36.1,38.1,40.1,40.1,42.1,44.1,46.1,48.1,52.1,66.2,74.2,90.2,126.3,164.4,206.6,334.9,419.1,473.3,517.4,609.6,653.8,713.9,756.0,752.0,802.2,852.3,934.5,998.7,1103.0,1179.2,1335.6,1421.8,1578.3,1674.5,1814.9
